RA_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
RA20,23871,4092,2005,62,66,30090,9471,1504,623,21,14,11628,8339,1300,612,16,16,10287,13944,2164,1073,17,20,17221,19903,3217,1591,32,35,24779,61646,10398,5806,129,115,78099,76559,12885,7240,138,159,96971,102814,16139,9395,202,217,128772,45873,8248,4258,89,121,58593,40043,8173,3342,64,104,51720,30273,6418,2092,48,96,38925,21535,2958,1245,52,50,25845,454250,77499,39281,869,1022,572924
RA21,6995,153,54,38,37,7282,4580,109,31,25,20,4770,4179,113,50,21,15,4375,8475,230,66,35,22,8834,11862,305,97,52,51,12366,30812,754,166,98,98,31933,27205,461,86,53,91,27895,23267,307,48,74,88,23780,7946,91,12,17,26,8092,5728,78,17,26,34,5883,3422,38,5,20,22,3509,6910,105,34,35,34,7122,141383,2747,661,494,540,145837
RA22,1916,30,14,6,25,1993,1343,16,10,6,10,1393,1323,18,6,9,8,1373,2526,37,22,12,18,2612,3070,46,43,8,22,3178,6335,102,34,18,27,6519,4055,43,14,6,21,4137,2722,9,9,14,23,2772,821,3,3,8,4,840,649,3,3,3,4,667,463,3,3,6,10,482,1465,16,10,9,19,1511,26694,322,166,109,184,27481
RA23,34,0,0,0,0,36,29,0,0,0,0,32,14,0,0,0,0,14,32,0,0,0,0,32,25,0,0,0,0,25,41,0,0,0,0,39,18,0,0,0,0,23,17,0,0,0,0,17,3,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,8,24,0,0,0,0,28,252,0,0,3,3,261
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
