RA_CODE_2016,Sme_Usl_ad_5_yr_ago_as_2016_M,Sme_Usl_ad_5_yr_ago_as_2016_F,Sme_Usl_ad_5_yr_ago_as_2016_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
RA20,1108638,1167678,2276316,102828,107508,210339,21263,22551,43813,483779,501731,985505,16622,17741,34359,6929,7155,14082,8367,8582,16948,3587,3966,7554,1985,2041,4035,3364,3541,6904,79,26,101,545977,567333,1113309,179123,191144,370264,11039,10070,21104,838967,876058,1715024,134957,138014,272974,2082563,2181757,4264317
RA21,292503,299229,591727,52298,56926,109219,6527,7086,13605,97155,106415,203574,4809,4814,9619,1654,1792,3448,2055,2093,4148,876,987,1856,988,1004,1987,465,487,948,0,8,9,114524,124681,239207,8173,8911,17084,2452,2188,4646,177450,192708,370158,44697,43639,88339,514649,535574,1050220
RA22,68211,67482,135693,12091,13171,25265,1808,1954,3764,15419,16369,31784,1153,1189,2342,1029,1143,2167,571,582,1154,174,190,363,287,282,572,70,80,154,0,0,7,20513,21796,42311,1849,1953,3808,545,494,1036,35003,37416,72421,11393,11204,22597,114607,116101,230706
RA23,1028,960,1989,142,125,269,41,30,71,115,130,242,9,7,17,21,22,43,5,4,14,0,0,0,5,12,15,3,3,4,0,0,0,199,209,404,14,20,32,9,3,8,360,353,719,134,103,237,1521,1420,2942
RA25,12,0,7,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,0,13,0,0,0,0,0,0,16,0,13,3,0,3,28,4,29
RA29,534,315,849,155,88,242,121,100,227,1182,1019,2207,121,122,237,30,29,65,49,49,99,20,21,40,21,18,40,7,12,17,0,0,0,1557,1366,2915,459,487,945,62,48,110,2233,1988,4223,1355,772,2128,4117,3073,7193
