RA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
RA20,8201,2346,25658,11248,8383,7724,3660,6266,720,74220,179,186,219,231,207,201,205,428,80,1947,4034,6289,2305,2975,4005,2005,1596,1523,803,25533,3215,3707,5254,3482,3575,3125,3028,3972,5488,34847,213405,494618,204145,154776,184129,95479,54057,73191,22804,1496607
RA21,2165,465,6903,2764,1918,2067,840,2308,187,19617,41,56,41,40,27,42,33,109,22,402,744,850,508,584,541,247,335,363,137,4308,1572,840,1943,1233,955,1079,1092,1919,1229,11863,44444,78741,58919,40376,31537,17199,14157,22953,4645,312975
RA22,596,83,1388,550,418,462,137,561,42,4241,16,4,3,7,14,10,4,27,6,82,127,127,80,109,71,36,60,72,18,696,533,155,395,270,193,267,292,505,280,2896,11639,13448,10262,7938,5574,3242,2996,5317,923,61329
RA23,19,0,12,9,3,0,0,5,0,54,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,11,3,3,7,4,0,3,0,3,3,28,177,154,75,86,48,31,24,47,10,652
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22
RA29,9,3,34,8,3,3,4,6,0,75,0,0,0,0,0,0,0,0,0,0,3,4,5,7,3,3,0,6,0,34,4,5,15,4,0,0,9,14,15,66,132,367,223,181,112,65,72,142,34,1337
