RA_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
RA20,16776,23817,12044,13651,16571,8027,3896,4778,1248,100806,21356,23448,18213,30039,25759,12775,5620,7527,1781,146519,34963,16751,131667,43374,35238,22373,24197,29218,4904,342678,1652,1191,1671,3176,4126,2773,1371,2419,199,18584,4145,3222,3226,7415,7692,4301,2650,3181,536,36367,2327,4493,1876,1815,2556,1489,1086,1292,441,17372,3531,5280,4584,4746,4657,3512,3073,4362,4226,37974,213405,494618,204145,154776,184129,95479,54057,73191,22804,1496607
RA21,4159,5598,1985,3540,2879,1197,474,945,241,21014,5002,5307,3144,8287,5230,2068,705,1681,401,31830,15660,4686,46942,15596,11009,7485,9827,13138,1703,126049,680,302,605,1118,1359,1037,417,1164,76,6764,1200,562,927,2259,1589,1098,697,1200,122,9650,409,600,349,308,374,211,178,362,79,2868,1786,1314,1616,1658,1177,1248,1127,2088,1093,13099,44444,78741,58919,40376,31537,17199,14157,22953,4645,312975
RA22,1207,1095,242,730,472,182,94,214,48,4279,1230,1031,492,1548,961,338,132,361,70,6151,4856,1013,8439,3224,2099,1538,2044,2975,356,26537,244,67,127,291,318,268,98,288,20,1724,414,129,171,461,324,247,161,313,23,2233,112,92,65,64,62,41,35,91,13,569,673,288,332,351,260,313,304,577,265,3359,11639,13448,10262,7938,5574,3242,2996,5317,923,61329
RA23,10,14,0,6,6,0,0,3,0,44,14,6,3,10,10,8,3,3,0,50,94,8,58,42,8,12,16,27,3,261,3,0,0,4,4,3,0,3,0,19,8,0,0,5,3,7,0,0,0,26,0,0,3,0,0,0,0,0,0,4,9,7,9,4,0,0,0,4,3,37,177,154,75,86,48,31,24,47,10,652
RA25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,4,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,4,0,22
RA29,10,16,3,12,8,5,4,6,0,65,10,25,18,32,14,7,3,15,3,119,34,19,158,42,23,23,32,59,6,383,0,4,5,3,0,0,3,0,0,15,0,3,6,7,3,3,5,3,0,33,0,8,4,0,0,0,0,0,0,20,3,11,14,5,0,3,9,13,15,72,132,367,223,181,112,65,72,142,34,1337
