RA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
RA20,76463,14681,92512,755123,244492,24316,1023923,2429293,272709,3725933
RA21,22049,5514,28004,172412,74132,8112,254649,566202,87753,908600
RA22,5623,1602,7324,33276,14311,1500,49080,130017,22607,201709
RA23,86,19,109,373,166,11,545,1819,256,2617
RA25,0,0,0,5,0,0,5,18,3,25
RA29,25,13,38,649,290,14,960,3900,1969,6825
