RA_CODE_2016,M_AgriForestFish_PD,M_AgriForestFish_GD_GC,M_AgriForestFish_BD,M_AgriForestFish_AdD_D,M_AgriForestFish_Cert,M_AgriForestFish_ID_NS,M_AgriForestFish_ToT,M_Min_PD,M_Min_GD_GC,M_Min_BD,M_Min_AdD_D,M_Min_Cert,M_Min_ID_NS,M_Min_ToT,M_Mnfg_PD,M_Mnfg_GD_GC,M_Mnfg_BD,M_Mnfg_AdD_D,M_Mnfg_Cert,M_Mnfg_ID_NS,M_Mnfg_ToT,M_EGW_WS_PD,M_EGW_WS_GD_GC,M_EGW_WS_BD,M_EGW_WS_AdD_D,M_EGW_WS_Cert,M_EGW_WS_ID_NS,M_EGW_WS_ToT,M_Cnstn_PD,M_Cnstn_GD_GC,M_Cnstn_BD,M_Cnstn_AdD_D,M_Cnstn_Cert,M_Cnstn_ID_NS,M_Cnstn_ToT,M_WTrade_PD,M_WTrade_GD_GC,M_WTrade_BD,M_WTrade_AdD_D,M_WTrade_Cert,M_WTrade_ID_NS,M_WTrade_ToT,M_RTrade_PD,M_RTrade_GD_GC,M_RTrade_BD,M_RTrade_AdD_D,M_RTrade_Cert,M_RTrade_ID_NS,M_RTrade_ToT,M_AccomFoodS_PD,M_AccomFoodS_GD_GC,M_AccomFoodS_BD,M_AccomFoodS_AdD_D,M_AccomFoodS_Cert,M_AccomFoodS_ID_NS,M_AccomFoodS_ToT,M_TransPostWhse_PD,M_TransPostWhse_GD_GC,M_TransPostWhse_BD,M_TransPostWhse_AdD_D,M_TransPostWhse_Cert,M_TransPostWhse_ID_NS,M_TransPostWhse_ToT,M_InfoMedTelecom_PD,M_InfoMedTelecom_GD_GC,M_InfoMedTelecom_BD,M_InfoMedTelecom_AdD_D,M_InfoMedTelecom_Cert,M_InfoMedTelecom_ID_NS,M_InfoMedTelecom_ToT,M_FinInsurS_PD,M_FinInsurS_GD_GC,M_FinInsurS_BD,M_FinInsurS_AdD_D,M_FinInsurS_Cert,M_FinInsurS_ID_NS,M_FinInsurS_ToT,M_RentHirREserv_PD,M_RentHirREserv_GD_GC,M_RentHirREserv_BD,M_RentHirREserv_AdD_D,M_RentHirREserv_Cert,M_RentHirREserv_ID_NS,M_RentHirREserv_ToT,M_ProScieTechServ_PD,M_ProScieTechServ_GD_GC,M_ProScieTechServ_BD,M_ProScieTechServ_AdD_D,M_ProScieTechServ_Cert,M_ProScieTechServ_ID_NS,M_ProScieTechServ_ToT,M_AdminSupServ_PD,M_AdminSupServ_GD_GC,M_AdminSupServ_BD,M_AdminSupServ_AdD_D,M_AdminSupServ_Cert,M_AdminSupServ_ID_NS,M_AdminSupServ_ToT,M_PubAdmiSafety_PD,M_PubAdmiSafety_GD_GC,M_PubAdmiSafety_BD,M_PubAdmiSafety_AdD_D,M_PubAdmiSafety_Cert,M_PubAdmiSafety_ID_NS,M_PubAdmiSafety_ToT,M_EducTrain_PD,M_EducTrain_GD_GC,M_EducTrain_BD,M_EducTrain_AdD_D,M_EducTrain_Cert,M_EducTrain_ID_NS,M_EducTrain_ToT,M_HealthCareSocA_PD,M_HealthCareSocA_GD_GC,M_HealthCareSocA_BD,M_HealthCareSocA_AdD_D,M_HealthCareSocA_Cert,M_HealthCareSocA_ID_NS,M_HealthCareSocA_ToT,M_ArtRecServ_PD,M_ArtRecServ_GD_GC,M_ArtRecServ_BD,M_ArtRecServ_AdD_D,M_ArtRecServ_Cert,M_ArtRecServ_ID_NS,M_ArtRecServ_ToT,M_OthServ_PD,M_OthServ_GD_GC,M_OthServ_BD,M_OthServ_AdD_D,M_OthServ_Cert,M_OthServ_ID_NS,M_OthServ_ToT,M_ID_NS_PD,M_ID_NS_GD_GC,M_ID_NS_BD,M_ID_NS_AdD_D,M_ID_NS_Cert,M_ID_NS_ID_NS,M_ID_NS_ToT,M_ToT_PD,M_ToT_GD_GC,M_ToT_BD,M_ToT_AdD_D,M_ToT_Cert,M_ToT_ID_NS,M_ToT_ToT,F_AgriForestFish_PD,F_AgriForestFish_GD_GC,F_AgriForestFish_BD,F_AgriForestFish_AdD_D,F_AgriForestFish_Cert,F_AgriForestFish_ID_NS,F_AgriForestFish_ToT,F_Min_PD,F_Min_GD_GC,F_Min_BD,F_Min_AdD_D,F_Min_Cert,F_Min_ID_NS,F_Min_ToT,F_Mnfg_PD,F_Mnfg_GD_GC,F_Mnfg_BD,F_Mnfg_AdD_D,F_Mnfg_Cert,F_Mnfg_ID_NS,F_Mnfg_ToT,F_EGW_WS_PD,F_EGW_WS_GD_GC,F_EGW_WS_BD,F_EGW_WS_AdD_D,F_EGW_WS_Cert,F_EGW_WS_ID_NS,F_EGW_WS_ToT,F_Cnstn_PD,F_Cnstn_GD_GC,F_Cnstn_BD,F_Cnstn_AdD_D,F_Cnstn_Cert,F_Cnstn_ID_NS,F_Cnstn_ToT,F_WTrade_PD,F_WTrade_GD_GC,F_WTrade_BD,F_WTrade_AdD_D,F_WTrade_Cert,F_WTrade_ID_NS,F_WTrade_ToT,F_RTrade_PD,F_RTrade_GD_GC,F_RTrade_BD,F_RTrade_AdD_D,F_RTrade_Cert,F_RTrade_ID_NS,F_RTrade_ToT,F_AccomFoodS_PD,F_AccomFoodS_GD_GC,F_AccomFoodS_BD,F_AccomFoodS_AdD_D
RA20,399,98,1119,714,1484,217,4026,421,79,900,299,931,72,2707,5737,1341,18793,11730,35461,2641,75703,1523,347,3621,1544,3737,307,11073,2332,709,12275,10278,78055,3384,107020,3220,781,9661,4812,9642,1002,29128,4786,1010,17035,9400,17178,2134,51536,2478,384,10391,8795,11435,1500,34981,3832,971,11477,9542,17675,2468,45972,3763,972,9693,3655,3651,603,22338,7473,2278,20130,6655,3399,967,40911,1417,395,4725,2473,4152,478,13640,20393,4343,50521,11024,7297,2167,95741,2182,637,7369,4329,8081,963,23555,5998,2718,13508,8774,10536,1146,42680,15356,5805,18847,4561,4364,873,49809,10016,3037,21464,6398,7401,1389,49702,1396,571,5864,2712,3919,512,14978,1878,550,4745,3957,18857,971,30952,3503,714,9635,5420,14385,5004,38664,98101,27744,251772,117066,261633,28798,785113,197,97,832,470,557,125,2271,156,53,462,89,89,24,868,2716,869,10073,5266,6143,1212,26279,800,264,2060,781,797,143,4845,990,387,4287,3366,3824,542,13388,1939,595,7017,3495,3553,596,17195,3709,1327,21161,13428,15662,2874,58169,2034,480,10197,7506
RA21,228,125,1451,1784,6686,874,11143,62,26,276,199,1747,82,2396,441,221,2161,2148,13344,887,19205,191,115,680,707,2950,165,4810,122,121,1147,1642,25883,1104,30015,101,52,560,605,2750,241,4297,211,110,1332,1303,5840,518,9320,127,72,798,936,3342,351,5626,118,99,663,1020,5139,618,7654,91,53,516,378,935,94,2062,213,148,978,825,461,80,2712,45,30,322,310,1036,94,1833,870,403,4126,1568,1732,256,8958,76,76,454,581,2209,230,3636,695,535,2275,3033,4543,381,11465,1658,1617,4150,1174,1397,203,10196,1416,786,3700,1702,2548,344,10501,119,71,521,453,1050,125,2331,158,78,494,520,6170,272,7695,169,81,759,679,4351,1266,7299,7110,4806,27360,21580,94106,8180,163147,161,198,1224,1250,1545,501,4880,15,15,92,55,88,10,268,167,127,1176,1062,2204,347,5083,65,56,298,210,285,29,949,42,67,538,709,1278,147,2779,45,43,331,355,642,81,1507,155,192,1952,2337,5681,904,11213,134,113,1215,1587
RA22,87,43,659,1058,3819,520,6184,11,4,47,38,323,12,438,34,22,213,235,2106,172,2780,22,9,74,83,478,33,702,5,15,103,170,4010,192,4484,15,7,87,125,678,56,967,26,16,170,218,1267,140,1832,26,14,146,201,846,91,1330,12,16,70,173,1180,158,1614,3,0,55,35,132,8,240,10,7,75,103,61,16,271,7,3,40,44,165,19,278,74,46,498,202,277,44,1141,3,5,65,96,399,47,614,91,73,301,477,835,71,1854,141,272,784,184,328,40,1741,170,95,566,317,579,63,1793,10,11,82,68,213,22,398,9,11,63,96,1337,52,1572,17,17,73,120,917,295,1445,781,678,4168,4052,19948,2050,31672,56,91,605,623,758,219,2363,6,0,11,12,15,0,40,20,16,143,164,370,62,776,12,7,37,31,62,4,156,10,6,76,107,193,28,411,10,0,57,62,157,24,307,17,34,270,378,1248,224,2166,30,24,218,391
RA23,0,0,16,9,69,5,107,0,0,0,0,0,0,0,0,0,0,0,11,0,16,0,0,0,0,6,0,5,0,0,0,0,33,3,32,0,0,0,0,0,0,0,0,0,0,0,10,0,11,0,0,3,3,10,4,22,0,0,0,0,4,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,9,0,0,6,4,11,0,21,3,13,17,0,3,0,34,0,0,5,0,4,0,7,0,0,4,0,7,0,15,0,0,0,0,8,0,8,0,0,0,0,4,5,7,11,15,51,28,194,23,314,0,0,12,5,15,3,40,0,0,0,0,0,0,0,0,0,3,3,6,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,0,20,0,0,0,4
RA25,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,12,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA29,0,0,12,0,10,0,26,0,0,0,0,0,0,4,3,0,10,3,35,6,61,4,0,3,0,9,0,13,0,0,6,7,98,8,124,5,0,5,3,6,0,17,0,0,13,3,18,0,34,8,4,10,13,21,8,59,3,4,12,7,19,7,48,0,0,3,3,7,0,13,9,0,12,7,0,0,21,0,0,6,3,3,0,13,9,5,35,4,10,3,67,4,0,3,7,14,0,28,6,4,9,5,15,0,42,4,7,9,10,5,0,30,15,0,18,8,11,3,51,3,0,8,0,10,0,25,3,0,5,6,12,3,34,12,0,7,4,23,11,50,85,28,178,99,318,55,761,0,0,3,0,0,3,9,0,0,0,0,3,0,6,0,0,9,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,8,0,12,0,0,3,0,0,0,7,0,0,10,4,15,0,34,7,0,43,12
