RA_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
RA20,280380,536313,268815,221575,296273,209633,120270,174041,36910,2144221
RA21,68335,84804,75856,56253,56405,46081,31644,58952,8167,486498
RA22,20627,14532,13650,11110,10260,9234,7018,13978,1770,102180
RA23,393,160,121,122,88,64,56,149,16,1179
RA25,0,4,7,0,0,0,0,3,0,23
RA29,178,405,297,277,182,134,200,307,57,2033
