SSC_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SSC20001,0,0,0,0,0,0,0,0
SSC20002,747,1831,716,127,31,3444,111,3556
SSC20003,51,383,543,213,88,1283,23,1306
SSC20004,0,0,0,0,0,0,0,0
SSC20005,0,11,26,11,6,51,3,58
SSC20006,0,0,0,0,0,0,0,0
SSC20007,0,7,12,3,0,21,0,19
SSC20008,0,5,13,0,9,22,0,27
SSC20009,0,8,8,10,3,28,0,30
SSC20010,0,7,11,3,3,22,0,25
SSC20011,0,0,0,0,0,0,0,0
SSC20012,4,133,121,26,12,302,11,319
SSC20013,0,6,18,10,13,44,0,46
SSC20014,228,1130,1131,287,118,2896,109,3005
SSC20015,0,0,0,0,0,0,0,0
SSC20016,99,561,659,216,112,1653,87,1736
SSC20017,321,1099,801,136,38,2401,82,2485
SSC20018,3,23,37,24,11,98,9,104
SSC20019,4,6,11,9,5,32,0,32
SSC20020,291,788,408,117,61,1660,128,1791
SSC20021,75,342,378,141,84,1021,79,1098
SSC20022,70,971,1426,386,182,3034,81,3116
SSC20023,0,5,3,0,4,10,0,10
SSC20024,0,3,5,4,3,23,3,24
SSC20025,0,9,11,0,6,28,0,28
SSC20026,3,13,47,22,20,102,4,107
SSC20027,7,102,208,80,81,478,14,492
SSC20028,0,16,24,6,7,61,7,61
SSC20029,0,12,15,14,7,46,3,49
SSC20030,0,20,38,10,12,76,0,77
SSC20031,0,0,0,3,0,8,0,8
SSC20032,0,3,8,4,3,21,0,17
SSC20033,137,738,714,170,72,1828,42,1876
SSC20034,416,1867,1440,351,198,4265,148,4415
SSC20035,373,2528,2557,777,436,6669,205,6874
SSC20036,461,1607,1472,409,168,4122,195,4310
SSC20037,0,9,19,12,9,49,3,53
SSC20038,0,7,7,5,0,24,0,30
SSC20039,0,0,0,0,0,0,0,0
SSC20040,3,30,33,11,14,94,3,100
SSC20041,0,39,93,50,44,227,9,239
SSC20042,0,4,12,3,4,27,0,32
SSC20043,0,0,4,0,0,12,0,12
SSC20044,0,4,3,0,0,9,0,9
SSC20045,38,344,403,129,41,947,35,985
SSC20046,0,0,3,0,0,7,0,7
SSC20047,0,3,7,4,10,24,3,21
SSC20048,41,269,192,61,26,584,21,606
SSC20049,0,0,6,0,0,3,0,3
SSC20050,0,0,10,3,0,10,0,12
SSC20051,4,42,43,21,14,126,8,133
SSC20052,259,1126,1028,352,148,2918,156,3076
SSC20053,0,11,9,9,6,39,0,39
SSC20054,0,0,0,0,0,0,0,0
SSC20055,0,13,30,18,17,72,3,80
SSC20056,0,8,8,9,6,29,0,25
SSC20057,0,0,10,0,0,8,0,8
SSC20058,0,0,3,0,0,3,0,3
SSC20059,0,3,0,0,3,4,0,4
SSC20060,0,6,3,0,0,7,3,8
SSC20061,114,402,343,94,54,1017,66,1077
SSC20062,3,33,39,22,31,135,8,141
SSC20063,0,0,3,0,0,7,0,10
