SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC22730,0,0,0,15,20,10,9,26,9,89
SSC22731,204,79,447,1544,1929,958,887,2378,977,8671
SSC22732,0,0,0,14,18,10,7,9,15,80
SSC22733,0,0,0,0,0,0,0,0,0,0
SSC22734,0,0,0,7,13,3,3,12,10,50
SSC22735,0,0,0,4,12,4,6,3,3,35
SSC22736,349,213,731,7066,7732,3386,2933,8666,2858,32635
SSC22737,17,7,37,273,335,158,144,395,205,1516
SSC22738,0,0,3,14,23,16,13,20,4,89
SSC22739,9,4,21,171,227,97,91,135,71,795
SSC22740,3,0,5,56,78,45,30,70,34,308
SSC22741,0,0,0,13,27,15,4,16,6,86
SSC22742,64,24,165,2368,2575,913,629,2260,777,9522
SSC22743,4,5,13,1490,1183,271,135,1188,860,5121
SSC22744,174,30,275,2492,3158,1397,1078,2472,833,11431
SSC22745,0,0,3,21,43,23,28,18,4,135
SSC22746,0,0,0,0,0,0,4,7,0,12
SSC22747,40,20,76,1092,1115,461,395,1409,442,4915
SSC22748,3,0,6,3,6,7,4,12,0,34
SSC22749,0,0,0,18,30,11,13,10,9,90
SSC22750,0,0,0,69,109,50,43,50,66,388
SSC22751,7,0,5,33,54,37,33,28,15,198
SSC22752,413,95,728,3762,4239,2214,1488,4115,829,16658
SSC22753,0,0,0,0,3,0,0,0,0,7
SSC22754,0,0,0,3,5,3,0,3,0,20
SSC22755,29,11,60,574,667,305,264,561,211,2587
SSC22756,0,3,3,55,74,42,30,53,46,301
SSC22757,0,0,0,6,7,6,0,3,0,24
SSC22758,0,0,0,34,51,14,26,31,22,175
SSC22759,0,0,0,5,11,3,4,0,4,29
SSC22760,80,19,121,569,671,345,287,934,399,3206
SSC22761,101,19,154,985,1100,541,444,967,431,4464
SSC22762,0,0,0,3,4,6,0,3,0,18
SSC22763,4,5,9,60,87,43,33,62,25,319
SSC22764,0,0,0,12,20,11,11,7,9,67
SSC22765,0,0,0,10,11,7,5,4,4,42
SSC22766,0,3,3,0,9,3,3,7,13,36
SSC22767,0,0,0,20,20,25,16,9,9,99
SSC22768,0,0,0,43,36,13,16,28,15,144
SSC22769,0,0,0,9,17,6,8,3,4,46
SSC22770,0,0,3,34,43,19,23,19,25,158
SSC22771,0,0,0,9,15,5,3,8,0,38
SSC22772,0,0,0,3,5,4,5,3,0,26
SSC22773,0,0,0,0,15,5,7,3,3,36
SSC22774,13,4,13,60,78,45,46,94,117,435
SSC22775,0,0,0,3,7,0,4,4,6,20
SSC22776,0,0,0,0,3,3,0,0,0,9
SSC22777,7,0,10,1126,1348,512,476,1117,308,4897
SSC22778,109,46,304,2906,3320,1413,918,1945,774,11284
SSC22779,17,8,31,353,352,120,90,295,119,1339
SSC22780,3,0,5,98,108,63,60,80,35,458
SSC22781,0,0,3,30,53,38,27,17,25,196
SSC22782,0,0,0,6,0,0,0,0,0,7
SSC22783,0,0,0,10,9,15,3,5,3,58
SSC22784,0,0,0,16,28,13,24,18,9,115
SSC22785,0,0,0,12,20,8,5,14,3,58
SSC22786,0,0,0,0,3,0,0,0,3,10
SSC22787,0,0,4,52,96,36,35,42,37,306
SSC22788,55,15,82,302,377,200,197,381,166,1631
SSC22789,0,0,0,24,43,34,21,12,9,135
SSC22790,0,0,0,18,12,5,15,12,3,73
SSC22791,248,41,327,2275,1610,420,197,1553,670,6728
SSC22792,0,0,0,0,0,0,0,0,0,4
SSC22793,0,0,0,5,7,0,3,0,3,20
SSC22794,0,0,0,0,3,0,0,5,0,16
SSC22795,0,0,0,0,0,5,0,0,0,7
SSC22796,0,0,0,0,0,3,0,3,3,13
SSC22797,0,0,0,5,4,4,0,0,5,20
SSC22798,0,0,0,11,9,15,6,16,13,63
SSC22799,0,0,3,71,85,52,35,37,15,298
SSC22800,0,0,0,27,30,8,8,14,16,104
SSC22801,0,0,0,0,0,0,3,4,0,4
SSC22802,0,0,0,0,0,0,0,0,0,3
SSC22803,0,0,3,18,36,19,22,23,3,125
SSC22804,110,76,339,3237,4232,1809,1414,3126,1467,15292
SSC22805,14,5,20,1299,1540,664,634,1815,635,6585
SSC22806,0,0,0,4,11,3,0,5,8,26
SSC22807,0,0,3,8,10,5,10,4,3,38
SSC22808,0,0,0,27,49,25,26,27,31,182
SSC22809,0,0,3,7,8,8,5,8,0,33
SSC22810,7,3,24,819,868,429,310,550,155,3131
SSC22811,0,0,0,10,12,7,3,0,6,40
SSC22812,0,0,0,0,0,0,0,0,0,0
SSC22813,0,0,0,0,0,0,0,0,0,0
SSC22814,126,78,294,702,1005,495,453,1024,582,4261
SSC22815,0,0,0,13,12,19,11,21,3,84
SSC22816,0,0,0,7,9,5,0,5,0,28
SSC22817,0,0,0,17,17,3,3,10,14,62
SSC22818,27,50,104,923,1350,715,470,624,510,4591
SSC22819,4,0,6,42,75,34,32,27,25,237
SSC22820,0,0,0,9,8,5,0,4,7,33
SSC22821,0,0,3,58,79,39,39,18,30,259
SSC22822,0,0,0,7,4,3,0,3,8,34
SSC22823,0,0,0,6,11,6,4,3,5,33
SSC22824,0,0,0,11,31,14,25,15,4,104
SSC22825,0,0,0,4,5,3,6,15,3,33
SSC22826,4,0,7,59,88,42,35,64,25,314
SSC22827,0,0,0,14,14,15,9,14,11,80
SSC22828,0,0,3,14,40,14,12,39,17,132
SSC22829,0,0,0,0,5,3,3,3,0,16
SSC22830,0,0,0,3,13,4,4,8,8,36
SSC22831,0,0,4,55,94,60,46,76,45,369
SSC22832,0,0,0,6,4,6,7,14,3,33
SSC22833,0,0,0,35,56,23,27,21,14,174
SSC22834,0,0,0,0,3,0,0,0,0,4
SSC22835,0,0,0,0,0,0,0,3,0,3
SSC22836,0,3,3,72,79,58,34,56,39,335
SSC22837,0,3,5,28,54,22,25,27,18,180
SSC22838,0,0,3,56,72,51,43,35,19,284
SSC22839,0,0,0,4,13,3,4,4,3,34
SSC22840,0,0,0,6,10,12,15,3,3,43
SSC22841,0,0,0,13,19,15,9,13,7,75
SSC22842,12,10,38,526,612,291,270,444,123,2270
SSC22843,4,0,5,45,36,21,19,39,40,202
SSC22844,3,0,3,11,19,8,7,20,17,78
SSC22845,3,0,3,46,83,34,30,73,25,287
SSC22846,0,0,0,29,33,18,23,23,10,138
SSC22847,0,0,0,3,6,4,4,0,0,25
SSC22848,0,0,0,0,0,0,0,5,0,11
SSC22849,0,0,0,11,7,10,3,3,0,26
SSC22850,0,0,0,0,0,0,0,0,0,0
SSC22851,0,0,0,0,0,0,0,0,0,0
SSC22852,0,0,0,0,0,0,0,0,0,0
SSC22853,0,0,0,4,0,0,0,0,0,0
SSC22854,0,0,0,15,15,10,7,9,11,64
SSC22855,0,0,0,3,3,3,0,0,3,7
SSC22856,0,0,0,0,0,0,0,3,0,7
SSC22857,0,0,0,0,0,0,0,0,0,0
SSC22858,0,0,0,42,88,29,37,67,18,271
SSC22859,0,3,3,19,31,12,17,17,16,117
SSC22860,0,0,0,151,228,129,115,149,78,849
SSC22861,16,14,44,277,350,219,175,202,126,1355
SSC22862,29,9,50,88,134,84,68,115,63,552
SSC22863,0,0,0,0,0,0,0,0,3,4
SSC22864,0,0,0,0,12,0,6,4,10,24
SSC22865,0,0,0,0,0,0,0,0,0,5
SSC22866,0,0,0,9,12,9,3,9,6,57
SSC22867,0,0,0,13,12,4,6,4,3,40
SSC22868,51,12,96,3819,4369,1814,1713,3982,1193,16891
SSC22869,0,0,0,36,55,30,29,37,33,217
SSC22870,0,0,0,11,27,13,10,10,7,83
SSC22871,0,0,0,11,14,15,11,9,6,63
SSC22872,0,0,0,14,19,8,14,18,5,81
SSC22873,0,0,0,15,0,0,3,6,4,26
SSC22874,50,6,65,285,470,219,155,256,97,1483
SSC22875,0,0,5,43,43,21,24,29,12,166
SSC22876,0,0,0,0,3,0,0,0,0,10
SSC22877,11,7,40,851,892,405,261,647,178,3236
SSC22878,0,3,3,27,27,20,15,20,14,120
SSC22879,16,13,30,221,300,147,164,279,175,1290
SSC22880,0,0,0,0,0,0,0,0,0,0
SSC22881,0,0,3,34,52,39,27,40,13,214
SSC22882,0,0,0,18,16,14,12,12,13,85
SSC22883,3,0,3,57,42,30,29,41,14,218
SSC22884,0,0,0,9,11,5,6,16,0,50
SSC22885,0,0,3,41,68,27,21,25,17,197
SSC22886,0,0,0,6,11,0,3,0,3,27
SSC22887,0,0,0,24,34,23,15,21,11,130
SSC22888,0,0,0,3,9,7,3,0,3,23
SSC22889,0,0,5,19,25,16,12,6,8,88
SSC22890,0,0,0,0,0,0,0,0,0,0
SSC22891,0,3,3,49,51,21,21,28,20,196
SSC22892,0,0,3,29,62,35,25,24,8,180
SSC22893,0,0,0,20,50,30,12,23,14,147
SSC22894,0,0,0,14,14,3,10,11,11,63
SSC22895,7,3,25,518,652,302,200,376,213,2267
SSC22896,51,8,85,418,517,270,258,431,201,2101
SSC22897,0,0,0,4,8,3,0,3,0,16
SSC22898,7,3,19,295,353,185,178,212,128,1349
SSC22899,0,0,0,28,51,19,29,11,12,154
SSC22900,40,42,116,328,419,241,202,377,242,1810
SSC22901,10,0,16,290,324,189,148,269,106,1321
SSC22902,127,67,317,3469,3732,1250,851,1971,866,12141
SSC22903,0,0,6,9,17,4,8,13,21,78
SSC22904,186,99,363,1058,1581,780,686,1510,935,6558
SSC22905,0,0,0,0,0,0,0,0,3,12
SSC22906,0,0,5,81,105,57,74,67,60,438
SSC22907,0,0,0,0,4,5,4,0,0,19
SSC22908,0,0,0,0,0,0,0,0,0,0
SSC22909,23,12,51,205,328,198,142,303,154,1337
SSC22910,0,3,9,101,123,53,62,63,48,449
SSC22911,0,0,0,45,57,52,31,46,23,246
SSC22912,0,3,9,46,74,37,23,27,27,234
SSC22913,0,0,0,18,34,8,12,17,13,109
SSC22914,0,0,0,11,34,8,15,7,18,96
SSC22915,0,0,3,19,29,10,12,13,7,93
SSC22916,0,0,3,4,7,4,9,0,5,28
SSC22917,0,0,0,0,3,3,0,3,3,11
SSC22918,0,0,0,16,17,12,6,12,10,67
SSC22919,11,0,17,142,190,95,81,148,76,729
SSC22920,0,0,0,121,163,82,93,80,33,569
SSC22921,0,0,0,0,0,0,0,0,0,0
SSC22922,0,0,0,10,4,3,10,6,11,40
SSC22923,0,0,0,3,3,3,9,7,3,32
SSC22924,0,0,0,16,30,12,17,9,7,98
SSC22925,0,0,0,8,5,3,11,13,10,41
SSC22926,0,0,0,26,23,24,13,25,16,129
SSC22927,0,0,0,3,10,3,5,3,3,31
SSC22928,0,0,0,30,38,13,13,21,12,119
SSC22929,0,0,0,0,0,0,0,0,0,0
SSC29494,22,12,38,1281,954,324,278,1969,2020,6825
SSC29797,0,0,0,7,3,3,0,11,3,25
