SSC_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SSC22378,0,0,0,0,0,0,0,0,0,0
SSC22379,290,102,600,6879,8082,3481,2726,5822,1945,28940
SSC22380,0,0,3,65,65,43,30,36,24,263
SSC22381,4,0,3,38,58,28,23,28,8,177
SSC22382,0,0,3,57,99,41,28,45,42,314
SSC22383,117,34,241,1629,1745,666,578,2691,813,8110
SSC22384,165,73,322,1828,1786,792,780,3509,930,9625
SSC22385,186,28,309,2965,2984,1299,1234,5474,1357,15300
SSC22386,0,0,3,74,135,54,41,62,51,416
SSC22387,152,43,343,3065,3176,1521,918,1806,526,11010
SSC22388,0,0,0,3,3,3,8,5,0,22
SSC22389,0,0,0,17,34,4,6,3,20,88
SSC22390,0,0,0,3,0,0,0,0,0,3
SSC22391,0,0,3,19,24,18,23,20,15,119
SSC22392,0,0,0,7,15,6,9,7,0,50
SSC22393,168,82,385,1747,2120,1031,824,1908,1222,8849
SSC22394,0,0,0,0,0,0,0,0,0,0
SSC22395,0,0,0,0,0,0,0,0,0,0
SSC22396,0,3,3,30,26,9,13,21,9,97
SSC22397,7,3,12,103,146,108,77,105,97,634
SSC22398,3,0,8,28,47,32,24,38,15,176
SSC22399,0,0,0,3,5,4,0,3,0,14
SSC22400,0,0,0,3,3,0,4,3,0,12
SSC22401,0,4,5,30,77,28,30,36,39,231
SSC22402,112,118,249,1889,1926,781,700,2652,809,8762
SSC22403,0,0,0,3,3,0,0,0,0,9
SSC22404,0,0,0,0,0,0,0,0,0,0
SSC22405,0,0,0,16,28,15,10,16,22,106
SSC22406,0,0,0,8,10,8,6,0,4,30
SSC22407,0,0,0,53,83,50,41,37,16,280
SSC22408,0,0,0,4,11,6,9,4,0,31
SSC22409,0,0,0,3,3,3,4,3,0,12
SSC22410,0,0,0,6,4,3,5,0,0,20
SSC22411,3,4,17,65,92,52,48,91,57,404
SSC22412,0,0,0,24,54,36,25,26,20,175
SSC22413,0,0,0,20,16,13,9,14,10,70
SSC22414,34,0,51,159,244,133,109,170,70,882
SSC22415,0,0,0,13,9,7,5,4,0,45
SSC22416,4,0,4,20,48,14,8,19,5,115
SSC22417,0,0,4,32,42,19,28,22,20,160
SSC22418,5,0,11,106,152,90,64,124,67,607
