SSC_CODE_2016,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_sch_quls_Cert3a4_Level_M,Non_sch_quls_Cert3a4_Level_F,Non_sch_quls_Cert3a4_Level_P,Non_sch_quls_Cert1a2_Level_M,Non_sch_quls_Cert1a2_Level_F,Non_sch_quls_Cert1a2_Level_P,Non_sch_quls_Certnfd_Level_M,Non_sch_quls_Certnfd_Level_F,Non_sch_quls_Certnfd_Level_P,Non_sch_quls_CertTot_Level_M,Non_sch_quls_CertTot_Level_F,Non_sch_quls_CertTot_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
SSC20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20002,3777,3758,7543,2091,1650,3739,487,753,1247,94,101,193,157,136,291,2820,2644,5468,603,788,1383,5.6,5.1,5.3,74.7,70.4,72.5,70.7,66.6,68.7,458,474,927,110,210,321,1210,1245,2457,317,346,659,318,174,495,12,26,35,34,38,71,369,234,598,2476,2453,4922,1155,1153,2311,1035,1042,2077,2520,2521,5043
SSC20003,1543,1626,3172,792,465,1257,239,511,750,55,63,119,35,38,81,1123,1081,2203,348,468,817,3.1,3.5,3.7,72.8,66.5,69.5,70.4,63.9,67,104,101,204,36,79,117,318,407,726,131,167,300,285,91,380,11,18,30,24,38,58,327,144,466,1523,1608,3137,255,234,489,1115,1207,2327,601,601,1211
SSC20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20005,68,77,144,25,14,36,11,23,25,7,0,6,0,0,0,37,38,76,23,27,51,0,0,0,54.4,49.4,52.8,63.2,48.1,46.5,3,0,0,0,3,3,14,15,25,4,6,13,11,3,19,0,0,0,0,0,0,11,9,16,61,64,123,15,9,19,49,57,108,20,16,40
SSC20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20007,23,27,46,11,7,12,0,5,10,3,0,3,0,0,0,8,13,20,7,10,11,0,0,0,34.8,48.1,43.5,60.9,44.4,54.3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,6,0,10,21,21,40,0,3,7,14,20,29,6,9,12
SSC20008,30,32,53,9,8,19,6,9,17,0,0,0,0,0,3,17,15,38,11,11,23,0,0,7.9,56.7,46.9,71.7,50,53.1,67.9,0,0,0,0,0,0,0,0,0,0,3,3,10,0,6,0,0,3,0,0,0,6,3,12,26,35,65,0,0,0,29,33,63,0,4,3
SSC20009,30,32,57,15,5,18,0,15,12,0,0,0,0,0,0,17,18,34,11,14,22,0,0,0,56.7,56.3,59.6,50,62.5,52.6,0,0,0,0,0,0,0,3,3,0,0,0,12,6,18,0,0,0,0,0,0,13,6,15,38,35,74,0,0,0,34,30,65,3,0,4
SSC20010,27,18,52,13,3,13,3,11,14,0,0,3,0,0,0,16,11,25,11,9,23,0,0,0,59.3,61.1,48.1,59.3,77.8,57.7,0,0,0,0,0,0,0,0,0,3,3,5,9,0,10,0,0,0,0,0,0,9,0,10,24,19,48,3,0,3,18,17,41,7,3,8
