SSC_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
SSC20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,..,6,0
SSC20002,462,1241,518,1199,413,1024,933,2228,268,489,306,545,1545,2765,0,0,2117,3797,0,0,0,0,0,0,22,40,22,40,24,54,3556,7360,425,..,3984,7360
SSC20003,860,2658,96,241,143,430,238,663,157,317,22,34,4,7,4,6,188,364,0,0,0,0,0,0,10,25,10,25,3,17,1306,3728,108,..,1414,3728
SSC20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,..,10,0
SSC20005,52,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,3,4,0,0,58,133,34,..,87,133
SSC20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC20007,19,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,46,6,..,28,46
SSC20008,27,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,61,6,..,36,61
SSC20009,30,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,75,3,..,33,75
SSC20010,25,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,51,9,..,29,51
SSC20011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC20012,303,678,0,3,0,0,0,3,4,6,0,0,0,0,0,0,4,6,0,0,0,0,0,0,6,9,6,9,0,0,319,693,663,..,981,693
SSC20013,46,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,0,0,46,137,3,..,52,137
SSC20014,2022,5134,586,1111,309,719,903,1828,50,99,0,0,0,0,4,6,53,104,0,0,0,0,0,0,10,26,10,26,20,40,3005,7129,334,..,3340,7129
SSC20015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
SSC20016,1691,5109,43,101,0,3,43,105,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,6,1736,5223,82,..,1819,5223
SSC20017,400,1011,1032,2342,540,1401,1569,3741,102,176,178,278,200,256,12,29,491,744,0,0,0,0,0,0,9,22,9,22,15,33,2485,5544,388,..,2866,5544
SSC20018,97,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,104,224,32,..,132,224
SSC20019,32,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,74,5,..,39,74
SSC20020,944,2493,173,431,154,419,321,857,507,1038,5,21,0,3,0,0,512,1066,0,3,0,0,0,0,0,3,3,4,5,12,1791,4428,149,..,1938,4428
SSC20021,935,2134,99,127,0,0,98,128,17,27,0,0,0,0,0,0,17,27,23,24,14,18,3,4,7,8,45,59,3,5,1098,2350,203,..,1296,2350
SSC20022,2706,7858,58,118,109,256,167,371,222,324,0,0,0,0,0,0,222,324,0,0,0,3,0,0,0,7,3,4,15,34,3116,8595,269,..,3386,8595
SSC20023,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,3,..,11,18
SSC20024,24,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,64,7,..,29,64
SSC20025,28,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,61,3,..,30,61
SSC20026,107,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,295,6,..,113,295
SSC20027,434,1234,0,0,0,0,0,0,3,8,0,0,0,0,0,0,3,8,0,0,53,89,0,0,0,4,50,90,3,20,492,1351,38,..,529,1351
SSC20028,61,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,147,3,..,63,147
SSC20029,49,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,126,22,..,72,126
SSC20030,75,187,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,195,12,..,89,195
SSC20031,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,0,..,9,20
SSC20032,17,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,17,40,5,..,22,40
