SSC_CODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
SSC20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20002,67,172,29,15,3,438,116,48,308,52,36,9,567,17,10,63,22,10,5,123,15,7,36,20,38,12,132,20,8,66,19,13,13,137,772,265,2115,518,466,95,4240
SSC20003,35,86,21,24,3,202,22,10,93,32,21,6,185,3,0,14,3,15,0,36,3,0,5,10,27,0,40,4,0,20,6,21,7,56,169,89,602,237,346,35,1482
SSC20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20005,3,3,0,0,0,8,0,0,3,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,9,10,0,41
SSC20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,14
SSC20008,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,17
SSC20009,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,17
SSC20010,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,12
SSC20011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20012,6,20,7,3,0,34,7,3,17,10,5,0,43,0,0,3,0,3,0,9,0,0,0,0,0,0,3,0,3,3,0,7,0,13,28,15,92,51,77,6,271
SSC20013,0,6,0,0,0,6,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,7,3,19,9,44
SSC20014,34,130,43,31,7,302,34,19,126,63,64,6,311,0,0,11,9,10,4,31,3,0,17,17,53,6,90,3,4,19,27,32,17,104,189,97,743,485,832,96,2441
SSC20015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20016,9,41,16,32,6,107,3,6,55,46,52,5,169,0,0,0,0,6,0,11,3,0,3,7,39,7,53,4,0,16,10,20,14,63,36,32,280,209,440,81,1076
SSC20017,22,91,14,7,3,224,86,19,136,29,7,10,291,6,9,49,9,10,0,90,7,0,21,6,25,0,55,24,7,37,16,15,10,102,525,142,1187,281,253,58,2445
SSC20018,0,0,0,3,0,3,0,0,3,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,5,5,0,0,7,5,26,12,51
SSC20019,0,0,0,0,0,3,0,0,3,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,3,5,3,13,0,27
SSC20020,14,33,6,14,0,98,20,8,65,37,37,10,177,0,3,9,11,7,0,31,3,0,13,11,20,3,46,7,0,14,11,19,14,63,168,44,395,229,353,74,1268
