SSC_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
SSC20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20002,0,0,0,0,0,0,0,0,0,53,27,6,87,0,5,7,90,64,0,154
SSC20003,0,0,0,0,0,0,3,0,0,39,28,5,71,0,0,3,73,51,0,129
SSC20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20005,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3
SSC20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20007,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,6,0,0,5
SSC20008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20009,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,0,0,6
SSC20010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20012,0,0,0,0,0,0,0,0,0,7,12,0,23,0,0,0,29,6,0,36
SSC20013,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,4
SSC20014,0,0,0,0,3,7,5,3,13,111,81,6,204,8,4,11,213,160,5,376
SSC20015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20016,0,0,0,0,0,0,12,3,11,61,55,16,131,12,9,22,155,170,5,333
SSC20017,0,0,0,0,0,0,0,0,8,64,47,7,118,3,8,11,131,61,0,189
SSC20018,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,9
SSC20019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3
SSC20020,0,0,0,0,0,4,10,3,10,44,37,5,80,15,10,21,100,106,6,210
SSC20021,0,0,0,0,0,0,0,0,7,26,20,0,41,3,8,10,51,33,3,82
SSC20022,0,0,0,0,0,3,3,0,6,160,124,7,294,11,8,25,312,96,3,412
SSC20023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8
SSC20026,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
SSC20027,0,0,0,0,0,0,0,0,0,10,13,0,23,3,3,3,26,15,0,45
SSC20028,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3
SSC20029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC20030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,7
SSC20031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20033,0,0,0,0,0,0,0,3,3,58,30,4,92,0,3,3,96,50,3,154
SSC20034,0,3,0,0,0,3,6,3,8,136,101,10,247,9,7,12,260,180,3,442
SSC20035,0,3,0,0,0,3,7,3,15,303,204,18,523,32,26,61,579,390,7,979
SSC20036,0,4,0,0,0,4,10,9,19,142,93,9,246,9,17,29,273,318,9,602
SSC20037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
SSC20038,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,6
SSC20039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20040,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,9,0,11
SSC20041,0,0,0,0,0,0,0,0,0,3,5,0,7,0,0,0,6,11,0,15
SSC20042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SSC20043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20045,0,0,0,0,0,0,0,0,0,27,23,0,53,3,3,4,52,19,0,75
SSC20046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20047,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,4
SSC20048,0,0,0,0,0,0,3,0,3,13,23,5,39,0,0,0,41,12,0,52
SSC20049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20051,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,3,3,0,5
SSC20052,0,3,0,0,0,3,4,3,11,100,78,11,188,7,7,16,205,142,3,350
SSC20053,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3
SSC20054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20055,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,8
SSC20056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20061,0,0,0,0,0,0,5,0,3,36,27,11,68,12,9,15,85,78,0,165
SSC20062,0,0,0,0,0,0,0,0,0,3,4,0,4,0,0,0,4,3,0,6
SSC20063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6
SSC20065,0,0,0,0,0,0,3,0,5,86,59,3,152,0,8,10,157,90,0,253
SSC20066,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3
SSC20067,0,0,0,0,0,0,0,0,0,62,41,3,105,4,4,3,110,30,0,144
SSC20068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20070,0,0,0,0,0,0,0,0,0,5,3,0,6,0,0,0,6,0,0,9
SSC20071,0,0,0,0,0,0,0,0,0,6,0,0,10,0,0,0,10,3,0,9
SSC20072,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,3,0,0,3
SSC20073,0,0,0,0,0,0,0,0,0,19,39,4,63,0,0,0,70,30,0,97
SSC20074,0,3,0,0,0,3,13,4,24,130,106,11,257,21,13,28,284,270,13,565
SSC20075,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3
SSC20076,0,0,0,0,0,0,4,3,9,77,49,5,131,3,10,11,145,117,4,265
SSC20077,0,0,0,0,0,0,5,0,5,79,67,8,151,4,10,12,165,150,4,320
SSC20078,0,0,0,0,0,0,3,0,4,73,61,3,144,0,0,3,142,86,0,229
SSC20079,0,0,0,0,0,0,0,0,0,74,57,4,140,0,7,8,147,53,0,192
SSC20080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
SSC20081,0,0,0,0,0,0,0,3,3,35,35,4,71,3,4,6,78,36,5,114
SSC20082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20084,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,8,0,0,6
SSC20085,0,0,0,0,0,0,0,0,0,5,10,0,16,3,0,6,17,13,0,33
SSC20086,0,0,0,0,0,0,0,0,0,9,15,0,16,3,0,6,20,19,0,40
SSC20087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20088,0,3,0,0,0,4,5,0,8,123,94,17,236,11,11,20,259,247,7,512
SSC20089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20090,0,0,0,0,0,0,0,0,0,5,14,3,29,0,0,0,30,6,0,35
SSC20091,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,7
SSC20092,0,0,0,0,0,0,0,0,0,9,14,0,19,0,0,0,22,3,0,25
SSC20093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20094,0,0,0,0,0,0,5,3,10,81,76,7,170,5,3,11,179,141,10,334
SSC20095,0,0,0,0,0,0,0,0,0,0,3,3,7,0,0,0,8,3,0,17
SSC20096,0,0,0,0,0,0,0,0,0,29,27,0,59,3,0,3,58,22,0,79
SSC20097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
