SSC_CODE_2016,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SSC20001,0,0,0,0,0
SSC20002,430,262,75,43,5791
SSC20003,362,163,60,46,2030
SSC20004,0,0,0,0,0
SSC20005,17,28,8,0,79
SSC20006,0,0,0,0,0
SSC20007,3,8,0,0,24
SSC20008,4,3,0,0,18
SSC20009,6,4,0,0,21
SSC20010,9,0,0,0,22
SSC20011,0,0,0,0,0
SSC20012,136,77,45,11,499
SSC20013,15,8,0,0,62
SSC20014,441,295,183,76,3630
SSC20015,0,0,0,0,0
SSC20016,277,224,67,14,1981
SSC20017,596,454,143,46,3693
SSC20018,24,29,10,3,110
SSC20019,13,7,0,0,39
SSC20020,215,139,62,25,2269
SSC20021,245,217,110,55,1276
SSC20022,583,384,186,45,4245
SSC20023,10,3,0,0,11
SSC20024,9,5,3,0,51
SSC20025,17,10,0,0,51
SSC20026,34,21,3,0,159
SSC20027,97,65,27,6,687
SSC20028,19,10,6,3,97
SSC20029,8,5,3,0,53
SSC20030,14,17,3,0,75
SSC20031,0,3,0,0,8
SSC20032,3,3,3,0,21
SSC20033,493,240,68,38,2999
SSC20034,783,510,304,154,5620
SSC20035,1194,625,241,98,8520
SSC20036,435,312,336,161,5002
SSC20037,10,7,4,3,59
SSC20038,14,3,0,0,27
SSC20039,0,0,0,0,0
SSC20040,24,22,3,3,103
SSC20041,81,47,17,0,348
SSC20042,11,10,0,0,45
SSC20043,4,3,0,0,15
SSC20044,3,3,0,0,11
SSC20045,307,305,116,47,1519
SSC20046,3,0,0,0,10
SSC20047,4,3,0,0,25
SSC20048,181,164,53,22,868
SSC20049,0,0,0,0,3
SSC20050,7,3,0,0,15
SSC20051,34,11,3,3,104
SSC20052,642,492,248,86,3888
SSC20053,21,5,0,0,46
SSC20054,0,0,0,0,0
SSC20055,18,18,3,0,105
SSC20056,8,0,3,0,39
SSC20057,3,0,0,0,9
SSC20058,0,0,0,0,3
SSC20059,4,0,0,0,6
SSC20060,3,0,0,0,15
SSC20061,126,83,50,37,1318
SSC20062,30,34,8,0,207
SSC20063,3,4,0,0,14
SSC20064,20,20,11,5,99
SSC20065,707,582,294,128,5874
SSC20066,20,7,4,0,49
SSC20067,146,60,19,3,2197
SSC20068,8,3,0,0,17
SSC20069,0,0,0,0,11
SSC20070,57,43,15,8,260
SSC20071,54,33,12,0,209
SSC20072,9,4,7,0,36
SSC20073,170,84,25,7,882
SSC20074,1033,483,160,53,8280
SSC20075,23,24,3,4,109
SSC20076,718,376,161,123,4214
SSC20077,480,302,147,110,3714
SSC20078,548,289,187,49,3626
SSC20079,486,208,158,40,3068
SSC20080,14,3,0,0,56
SSC20081,234,90,18,0,1437
SSC20082,0,0,0,0,6
SSC20083,0,0,0,0,5
SSC20084,19,11,3,0,90
SSC20085,115,76,38,8,532
SSC20086,117,91,43,18,489
SSC20087,0,0,0,0,4
SSC20088,646,550,364,125,5147
SSC20089,0,4,0,0,11
SSC20090,95,37,16,6,432
SSC20091,33,25,8,0,166
SSC20092,77,35,17,6,373
SSC20093,4,0,0,0,13
SSC20094,434,389,186,67,2849
SSC20095,56,18,12,0,173
SSC20096,139,92,23,7,694
SSC20097,0,3,0,0,8
SSC20098,39,15,7,0,147
SSC20099,4,4,0,0,14
SSC20100,6,0,3,0,16
SSC20101,16,7,8,3,51
SSC20102,565,478,304,170,3564
SSC20103,14,10,3,0,91
SSC20104,329,205,77,24,3501
SSC20105,7,7,3,3,43
SSC20106,0,3,0,0,22
SSC20107,239,162,74,39,1387
SSC20108,4,0,4,0,24
SSC20109,0,0,0,0,4
SSC20110,473,301,131,51,2952
SSC20111,400,320,210,128,2862
SSC20112,282,213,121,48,1824
SSC20113,5,3,0,0,35
SSC20114,32,22,3,0,157
SSC20115,25,10,0,0,71
SSC20116,7,0,0,0,30
SSC20117,6,19,0,0,60
SSC20118,29,22,9,4,129
SSC20119,287,178,90,26,1276
SSC20120,63,75,34,10,273
SSC20121,0,0,0,0,5
SSC20122,1240,846,469,280,7379
SSC20123,1858,1125,587,343,10692
SSC20124,42,28,5,3,222
SSC20125,25,8,6,0,114
SSC20126,10,12,6,0,56
SSC20127,6,0,4,0,24
SSC20128,17,13,5,0,292
SSC20129,0,3,0,0,23
SSC20130,43,112,77,17,336
SSC20131,3,3,0,0,18
SSC20132,293,192,68,20,2373
SSC20133,3,0,0,0,9
SSC20134,3,0,0,0,10
SSC20135,159,66,54,49,1163
SSC20136,7,13,7,4,42
SSC20137,24,24,11,3,110
SSC20138,3,0,0,0,11
SSC20139,17,15,5,0,84
SSC20140,62,33,18,3,246
SSC20141,7,4,0,0,21
SSC20142,3,3,0,0,12
SSC20143,30,21,9,0,117
SSC20144,0,0,0,0,5
SSC20145,90,40,13,4,447
SSC20146,25,19,0,0,83
SSC20147,13,12,4,0,79
SSC20148,62,35,8,3,216
SSC20149,15,24,8,0,116
SSC20150,33,14,6,0,142
SSC20151,3,0,0,0,4
SSC20152,0,0,0,0,10
SSC20153,0,0,0,0,14
SSC20154,0,0,0,0,3
SSC20155,4,0,0,0,17
SSC20156,0,7,0,0,11
SSC20157,0,0,0,0,6
SSC20158,14,7,0,0,55
SSC20159,45,23,5,0,126
SSC20160,18,7,4,3,60
SSC20161,440,315,124,22,2098
SSC20162,3,0,0,0,5
SSC20163,29,33,6,0,153
SSC20164,83,33,15,0,448
SSC20165,4,7,4,0,31
SSC20166,0,0,0,0,0
SSC20167,3,0,0,0,20
SSC20168,152,102,50,13,1034
SSC20169,0,3,0,0,10
SSC20170,38,30,5,0,201
SSC20171,19,12,0,0,62
SSC20172,674,539,358,144,5819
SSC20173,548,341,147,175,4375
SSC20174,464,210,82,19,3040
SSC20175,296,168,74,29,1480
SSC20176,19,21,0,3,77
SSC20177,12,28,11,0,67
SSC20178,5,4,0,0,26
SSC20179,0,0,0,0,21
SSC20180,121,123,66,37,656
SSC20181,1489,969,482,270,7292
SSC20182,0,0,0,0,15
SSC20183,29,21,10,0,161
SSC20184,11,4,3,0,50
SSC20185,481,368,172,70,2309
SSC20186,3,4,0,0,15
SSC20187,382,169,59,13,2077
SSC20188,132,71,22,3,688
SSC20189,187,106,32,6,851
SSC20190,295,177,109,24,2093
SSC20191,313,277,146,49,2187
SSC20192,23,27,5,4,101
SSC20193,0,0,0,0,0
SSC20194,100,91,58,11,472
SSC20195,50,40,5,3,225
SSC20196,12,5,0,0,31
SSC20197,100,54,23,7,864
SSC20198,0,0,0,0,0
SSC20199,23,24,0,0,77
SSC20200,953,704,421,247,7218
SSC20201,9,5,3,0,31
SSC20202,34,24,3,3,138
SSC20203,860,746,419,193,4745
SSC20204,13,19,3,0,53
SSC20205,0,0,3,0,20
SSC20206,29,38,3,0,177
SSC20207,514,345,157,66,3019
SSC20208,14,11,0,0,40
SSC20209,12,6,4,0,37
SSC20210,8,4,0,0,22
SSC20211,24,4,0,0,70
SSC20212,5,4,0,0,26
SSC20213,1332,687,313,175,8600
SSC20214,1973,1059,596,320,13868
SSC20215,0,0,0,0,8
SSC20216,9,4,5,0,79
SSC20217,10,0,0,0,18
SSC20218,7,11,8,0,68
SSC20219,7,11,0,0,23
SSC20220,18,6,8,6,86
SSC20221,3,4,0,0,16
SSC20222,21,12,0,0,75
SSC20223,2824,1600,937,380,21965
SSC20224,11,9,0,0,43
SSC20225,6,16,7,3,62
SSC20226,4,9,4,0,41
SSC20227,0,0,0,0,0
SSC20228,52,38,11,3,257
SSC20229,11,9,3,0,44
SSC20230,27,19,3,4,134
SSC20231,26,23,3,0,158
SSC20232,119,53,16,0,986
SSC20233,0,0,0,0,3
SSC20234,21,21,3,0,113
SSC20235,3,11,0,0,24
SSC20236,6,3,3,5,37
SSC20237,4,3,0,0,16
SSC20238,0,0,0,0,0
SSC20239,4,0,0,0,8
SSC20240,9,3,0,0,25
SSC20241,7,10,0,3,49
SSC20242,0,0,0,0,0
SSC20243,41,52,22,11,311
SSC20244,0,0,0,0,0
SSC20245,56,21,10,3,268
SSC20246,74,74,23,3,424
SSC20247,312,196,67,27,1753
SSC20248,155,123,34,19,1058
