SSC_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SSC20001,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20002,..,1161,1161,1206,348,1555,348,117,467,221,50,266,60,10,70,34,0,32,1870,1694,3556
SSC20003,..,247,247,353,27,381,197,8,198,290,0,286,147,0,143,37,0,37,1020,287,1306
SSC20004,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20005,..,17,17,23,0,26,6,0,6,6,0,6,3,0,3,0,0,0,39,19,58
SSC20006,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20007,..,4,4,8,0,10,3,0,3,0,0,0,3,0,3,0,0,0,11,3,19
SSC20008,..,4,4,12,0,12,3,0,3,0,0,0,0,0,0,0,0,0,22,4,27
SSC20009,..,7,7,9,0,9,6,0,6,7,0,7,0,0,0,0,0,0,19,7,30
SSC20010,..,7,7,9,0,10,3,0,3,4,0,4,0,0,0,0,0,0,15,13,25
SSC20011,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20012,..,101,101,117,3,127,43,0,43,33,0,33,12,0,12,0,0,0,212,104,319
SSC20013,..,5,5,15,3,19,12,0,12,10,0,10,0,0,0,0,0,0,35,5,46
SSC20014,..,851,851,979,70,1055,494,10,506,398,4,401,146,8,148,38,0,38,2060,945,3005
SSC20015,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20016,..,295,295,479,40,515,330,8,340,291,4,298,146,3,148,137,3,134,1385,355,1736
SSC20017,..,785,785,793,79,876,349,16,367,340,10,354,89,0,92,18,0,18,1594,888,2485
SSC20018,..,24,24,45,5,47,12,0,12,17,0,17,6,0,6,0,0,0,75,30,104
SSC20019,..,9,9,11,3,15,3,0,3,0,0,0,3,0,3,0,0,0,20,11,32
SSC20020,..,583,583,455,70,525,266,23,287,220,13,228,82,16,100,52,14,68,1072,715,1791
SSC20021,..,396,396,379,20,402,119,3,123,123,0,123,42,0,42,7,0,14,676,420,1098
SSC20022,..,618,618,932,63,993,484,22,503,643,13,657,254,3,258,87,0,86,2399,715,3116
SSC20023,..,8,8,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,3,6,10
SSC20024,..,3,3,11,0,10,3,0,3,0,0,0,3,0,3,0,0,0,19,3,24
SSC20025,..,10,10,11,0,16,3,0,3,0,0,0,4,0,4,0,0,0,18,13,28
SSC20026,..,17,17,42,0,42,21,0,21,9,0,14,15,0,15,0,0,0,90,17,107
SSC20027,..,99,99,168,11,173,76,0,76,88,0,88,37,0,37,18,0,18,383,107,492
SSC20028,..,17,17,25,3,27,4,0,4,11,0,11,0,0,0,0,0,0,44,16,61
SSC20029,..,15,15,17,0,17,6,0,7,7,0,7,3,0,3,0,0,0,35,19,49
SSC20030,..,15,15,31,0,34,14,0,14,5,0,5,8,0,8,4,0,4,58,17,77
SSC20031,..,0,0,4,0,4,0,0,0,5,0,5,0,0,0,0,0,0,8,0,8
SSC20032,..,4,4,11,0,11,3,0,3,0,0,0,0,0,0,0,0,0,13,4,17
SSC20033,..,519,519,492,66,560,257,32,290,340,24,361,115,3,119,29,0,29,1236,636,1876
