SSC_CODE_2016,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SSC20001,0,0,0,0,0,0,0,0
SSC20002,453,31,0,3,0,0,0,489
SSC20003,567,22,11,3,0,0,0,597
SSC20004,0,0,0,0,0,0,0,0
SSC20005,14,0,0,0,0,0,0,14
SSC20006,0,0,0,0,0,0,0,0
SSC20007,3,0,0,0,0,0,0,4
SSC20008,4,0,0,0,0,0,0,4
SSC20009,10,0,0,0,0,0,0,10
SSC20010,9,0,0,0,0,0,0,4
SSC20011,0,0,0,0,0,0,0,0
SSC20012,60,4,0,0,0,0,0,64
SSC20013,14,0,0,0,0,0,5,18
SSC20014,810,38,15,4,0,3,0,870
SSC20015,0,0,0,0,0,0,0,0
SSC20016,605,30,27,14,5,0,0,688
SSC20017,642,46,13,5,0,0,3,703
SSC20018,18,3,3,0,0,0,0,24
SSC20019,6,0,0,0,0,0,0,6
SSC20020,395,12,17,5,0,0,0,433
SSC20021,213,24,15,0,0,0,0,247
SSC20022,1049,72,46,3,0,0,3,1179
SSC20023,0,0,0,0,0,0,0,0
SSC20024,5,0,0,0,0,0,0,12
SSC20025,3,0,0,0,0,0,0,3
SSC20026,39,0,0,0,0,0,0,48
SSC20027,169,5,6,0,0,0,0,184
SSC20028,13,0,0,0,0,0,0,19
SSC20029,12,3,0,0,0,0,0,13
SSC20030,23,0,3,0,0,0,0,21
SSC20031,0,0,0,0,0,0,0,0
SSC20032,3,0,0,0,0,0,0,3
SSC20033,602,16,6,0,0,0,0,626
SSC20034,1106,66,25,7,0,0,3,1209
SSC20035,2219,134,71,25,3,6,7,2456
SSC20036,1259,61,27,20,0,0,4,1367
SSC20037,12,0,0,0,0,0,0,19
SSC20038,7,0,0,0,0,0,0,7
SSC20039,0,0,0,0,0,0,0,0
SSC20040,18,0,0,0,0,0,0,16
SSC20041,67,3,3,3,0,0,0,79
SSC20042,3,0,3,0,0,0,0,7
SSC20043,4,0,0,0,0,0,0,4
SSC20044,0,0,0,0,0,0,0,0
SSC20045,225,15,4,0,0,0,0,248
SSC20046,0,0,0,0,0,0,0,0
SSC20047,6,0,0,0,0,0,0,7
SSC20048,109,10,6,0,0,0,0,124
SSC20049,0,0,0,0,0,0,0,0
SSC20050,3,0,0,0,0,0,0,3
SSC20051,16,0,0,0,0,0,0,21
SSC20052,555,57,50,12,0,0,7,678
SSC20053,4,0,0,0,0,0,0,4
SSC20054,0,0,0,0,0,0,0,0
SSC20055,26,0,0,0,0,0,0,27
SSC20056,6,0,0,0,0,0,0,8
SSC20057,3,0,0,0,0,0,0,3
SSC20058,0,0,0,0,0,0,0,0
SSC20059,0,0,0,0,0,0,0,0
SSC20060,3,0,0,0,0,0,0,3
SSC20061,262,21,14,3,0,0,0,304
SSC20062,54,4,4,0,0,0,0,59
SSC20063,3,0,0,0,0,0,0,3
SSC20064,19,3,0,0,0,0,0,18
SSC20065,782,38,16,3,0,0,0,838
SSC20066,5,0,0,0,0,0,0,9
SSC20067,530,41,41,3,0,0,0,620
