SSC_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
SSC20001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20002,1164,2281,0,7,25,111,4,10,327,1148,353,1274,21,85,43,141,75,248,139,470,489,1742,0,6,9,27,0,3,43,99,58,135,5,12,30,66,66,134,104,208,154,342,81,171,1886,4539
SSC20003,287,561,13,66,84,390,9,32,256,1008,356,1496,52,214,88,340,98,313,242,873,597,2363,0,0,9,35,0,7,27,69,39,114,12,31,24,48,57,131,91,213,129,328,13,32,1034,3282
SSC20004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20005,21,44,0,0,0,8,0,0,9,46,12,47,0,3,0,0,0,3,0,4,14,53,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,3,0,3,3,11,0,0,40,109
SSC20006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20007,3,7,0,7,0,0,0,0,4,9,3,17,0,0,0,0,0,4,0,4,4,18,0,0,0,0,0,0,0,7,0,7,0,0,0,3,0,3,4,6,5,12,0,0,16,38
SSC20008,17,31,0,0,0,3,0,0,6,12,4,19,0,0,0,0,0,8,0,8,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,54
SSC20009,7,15,0,0,0,0,0,0,5,32,5,32,0,3,0,3,0,0,3,5,10,35,0,0,0,0,0,0,3,4,3,4,0,0,0,0,0,4,0,4,6,9,0,0,23,65
SSC20010,6,15,0,0,0,3,0,6,5,6,7,18,0,4,0,0,0,8,4,8,4,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,44
SSC20011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20012,112,228,0,0,10,30,0,3,37,139,47,173,3,11,10,29,6,30,19,75,64,244,0,0,3,8,0,0,14,36,20,45,0,3,5,21,5,10,13,33,36,80,0,0,215,554
SSC20013,15,31,0,7,0,7,0,0,15,44,14,56,0,0,0,4,3,15,3,17,18,69,0,0,0,0,0,0,4,10,4,10,0,0,0,0,0,3,0,3,4,18,0,0,36,113
SSC20014,775,1540,7,39,60,265,16,58,493,1845,576,2214,46,189,61,195,192,632,300,1019,870,3229,3,22,13,48,8,28,86,211,109,308,20,56,34,73,211,487,265,616,376,922,64,130,2089,5824
SSC20015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSC20016,411,838,18,101,50,266,27,137,304,1223,404,1728,45,197,42,158,197,647,285,1004,688,2731,4,23,33,136,10,45,103,301,156,499,10,41,25,68,138,307,179,420,333,922,26,61,1455,4555
SSC20017,691,1341,0,0,50,216,7,12,451,1658,504,1891,21,88,91,293,83,248,193,636,703,2520,0,6,10,37,3,6,62,143,80,190,4,11,35,75,70,149,113,242,189,435,25,53,1611,4348
SSC20018,40,87,0,0,0,3,4,11,13,41,18,57,0,9,0,4,6,12,10,23,24,85,0,0,0,6,0,0,3,9,7,13,0,0,0,0,4,4,4,4,9,23,0,3,76,193
SSC20019,14,27,0,0,0,7,0,0,3,12,3,17,0,0,0,5,0,3,0,10,6,27,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,3,4,3,4,0,0,22,56
SSC20020,408,844,3,38,23,124,6,34,286,1040,322,1232,24,91,30,89,59,197,111,384,433,1615,0,7,9,30,4,16,94,242,110,293,12,41,13,32,79,183,104,249,210,543,58,124,1112,3122
SSC20021,343,684,4,11,15,69,5,20,149,580,171,684,9,33,20,62,54,162,77,249,247,932,0,0,8,26,0,0,28,72,33,103,0,5,6,12,38,78,45,103,82,199,3,6,679,1827
SSC20022,815,1619,14,69,161,749,25,94,652,2557,845,3474,74,311,118,372,141,450,335,1134,1179,4610,8,30,51,184,3,23,160,466,227,702,28,103,60,139,90,196,181,434,412,1139,21,46,2428,7412
SSC20023,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12
SSC20024,9,17,0,3,0,0,0,0,9,30,10,37,0,0,0,0,0,6,0,6,12,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,61
SSC20025,10,19,0,0,0,0,0,0,0,3,0,3,3,9,0,0,0,0,4,13,3,21,0,0,0,0,0,0,4,10,4,10,0,0,0,0,3,5,3,5,8,17,0,0,18,50
SSC20026,39,78,0,0,4,23,0,3,22,100,26,126,3,11,3,11,11,30,14,51,48,176,0,0,3,3,0,0,0,0,3,3,0,3,0,0,0,3,3,11,4,11,0,0,88,268
SSC20027,166,327,3,21,15,53,11,40,97,403,120,514,11,61,11,35,41,129,60,226,184,742,0,3,5,18,0,9,18,43,24,76,4,9,4,3,18,39,22,49,45,122,0,3,396,1196
SSC20028,19,45,0,0,0,0,0,0,9,45,9,45,0,0,3,14,3,13,9,23,19,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,6,3,6,0,3,47,123
SSC20029,11,23,0,8,4,13,0,3,4,19,13,48,0,0,0,0,5,6,5,6,13,55,0,0,0,0,0,0,5,6,5,6,0,0,0,0,3,9,3,9,3,15,0,3,32,104
SSC20030,26,52,0,5,4,36,0,0,8,36,20,82,0,0,3,5,3,10,5,18,21,96,0,0,0,0,0,0,5,14,5,14,0,4,0,0,5,3,3,8,7,17,0,0,58,165
SSC20031,3,9,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,4,16
