SSC_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SSC20001,0,0,0,0,0,0,0,0
SSC20002,32,2142,1068,426,2459,1.1,2001,2.1
SSC20003,40,2200,877,351,2602,0.9,2200,2.9
SSC20004,0,0,0,0,0,0,0,0
SSC20005,57,1424,598,0,1406,0.7,1109,2.2
SSC20006,0,0,0,0,0,0,0,0
SSC20007,46,1170,668,0,1125,0.8,949,2.4
SSC20008,55,1430,441,0,1275,0.6,762,1.9
SSC20009,43,802,556,0,1187,0.7,900,2.4
SSC20010,52,2550,427,0,900,0.6,833,2.2
SSC20011,0,0,0,0,0,0,0,0
SSC20012,52,1517,651,309,1408,0.7,1187,2.1
SSC20013,47,1400,550,0,1916,0.7,1625,2.6
SSC20014,40,1900,683,350,1696,0.8,1375,2.3
SSC20015,0,0,0,0,0,0,0,0
SSC20016,36,1351,438,300,1150,0.9,1109,3
SSC20017,43,3000,1154,500,3376,0.9,2263,2.3
SSC20018,53,1114,471,150,1187,0.7,900,2.4
SSC20019,50,1042,511,0,1042,0.7,850,2.1
SSC20020,33,1500,518,254,1261,1.1,1010,2.4
SSC20021,51,1300,524,200,1362,0.7,939,2.1
SSC20022,35,1560,680,300,1809,0.8,1527,2.8
SSC20023,60,0,420,0,1074,0.8,474,1.7
SSC20024,45,1343,469,0,1125,0.9,1042,2.5
SSC20025,54,1200,459,0,1125,0.7,1062,2.2
SSC20026,45,1850,670,270,1462,0.8,1341,2.7
SSC20027,39,1470,671,240,1732,0.8,1478,2.7
SSC20028,47,1305,693,0,1416,0.7,1221,2.2
SSC20029,45,1200,481,240,1292,0.7,1199,2.3
SSC20030,44,1365,427,205,900,0.8,814,2.8
SSC20031,30,0,383,0,900,0.9,900,3.1
SSC20032,47,1300,687,0,1541,0.7,1374,1.9
SSC20033,38,2037,915,370,2802,0.9,2123,2.5
SSC20034,42,2000,732,331,1917,0.8,1400,2.3
SSC20035,38,1517,592,310,1586,0.8,1370,2.6
SSC20036,38,2000,503,340,1478,0.9,1240,2.6
SSC20037,49,800,615,138,1708,0.6,1145,2.4
SSC20038,57,720,372,0,849,0.7,774,2.2
SSC20039,0,0,0,0,0,0,0,0
SSC20040,52,867,435,190,1228,0.7,855,2.2
SSC20041,48,1733,679,277,1836,0.7,1446,2.6
SSC20042,53,1400,560,80,1375,0.9,1275,2.4
SSC20043,48,0,450,0,774,0.5,774,2
SSC20044,58,0,150,0,0,0,649,1.4
SSC20045,51,1624,711,316,1699,0.7,1284,2.2
SSC20046,53,0,575,0,1087,0.7,1292,2
SSC20047,48,394,387,0,833,0.7,706,2.2
SSC20048,50,1441,566,250,1173,0.7,926,2.1
SSC20049,65,0,425,0,900,0.6,899,2
SSC20050,56,0,374,0,900,0.6,900,2
SSC20051,55,642,577,74,1215,0.7,990,2.1
SSC20052,45,1066,561,200,1284,0.7,998,2.2
SSC20053,55,1200,560,200,1406,0.5,1286,2
SSC20054,0,0,0,0,0,0,0,0
SSC20055,44,1200,709,150,1781,0.7,1542,2.9
SSC20056,49,867,550,0,1312,0.6,1125,2
SSC20057,56,0,364,0,774,0.7,725,1.6
SSC20058,36,0,575,0,0,0,0,2
SSC20059,54,0,649,0,1062,0,1062,2
SSC20060,49,1083,425,0,0,0.6,575,1.3
SSC20061,35,1517,508,295,1346,0.9,1156,2.6
SSC20062,40,1218,676,120,1520,0.8,1375,2.6
SSC20063,44,0,700,0,0,1,1125,2
SSC20064,56,1100,454,218,1125,0.7,857,2.2
SSC20065,37,2350,1059,381,2707,0.9,1990,2.1
SSC20066,54,836,509,0,1075,0.6,1025,2.1
SSC20067,28,1800,880,385,1970,0.8,1898,2.9
SSC20068,56,1113,478,0,1062,0.8,900,2
SSC20069,46,0,389,0,0,0.3,649,1.4
SSC20070,46,2000,718,100,1955,0.8,1821,2.8
SSC20071,46,2000,738,380,1962,0.7,1740,2.6
SSC20072,44,1300,534,200,1199,0.7,1142,2.6
SSC20073,36,1477,682,320,1522,0.8,1488,2.8
SSC20074,35,2178,824,326,2313,0.9,1757,2.4
SSC20075,46,2000,918,240,2444,0.8,2075,2.9
SSC20076,39,2500,818,400,2754,0.9,2251,2.9
SSC20077,37,2000,650,346,1959,0.9,1479,2.5
SSC20078,40,2058,792,385,2261,0.8,1907,2.7
SSC20079,40,1860,669,426,2100,0.9,1907,3
SSC20080,44,1000,493,100,1031,0.7,1071,2.7
SSC20081,39,1866,698,323,2098,0.9,1885,3.1
SSC20082,56,0,599,0,0,0.6,0,2
SSC20083,42,0,833,0,0,0,0,0
SSC20084,33,1950,407,180,1463,0.8,1319,3.1
SSC20085,45,1300,595,231,1453,0.7,1198,2.4
SSC20086,52,894,455,180,1015,0.7,775,2.2
SSC20087,53,0,749,0,0,0.6,749,1
SSC20088,44,1950,526,346,1531,0.8,1318,2.7
SSC20089,46,1127,537,0,1374,1.2,762,1.6
SSC20090,40,1700,706,318,2016,0.9,1875,2.9
SSC20091,41,1802,636,208,1958,0.8,1712,3
SSC20092,40,1600,659,197,1608,0.8,1437,2.9
SSC20093,29,1300,863,0,1937,1,1687,2.8
SSC20094,43,1517,587,260,1563,0.8,1162,2.3
SSC20095,49,1073,502,240,1260,0.6,1118,2.4
SSC20096,42,1394,576,300,1395,0.8,1170,2.5
SSC20097,52,0,812,0,0,0,1649,2
SSC20098,44,1733,681,280,1575,0.8,1542,3
SSC20099,53,0,450,190,949,0.8,850,2.1
SSC20100,54,1034,712,0,1375,0.6,899,1.7
SSC20101,52,1831,462,0,1187,0.8,850,2
SSC20102,44,1205,545,240,1206,0.7,904,2.1
SSC20103,33,1083,531,260,933,0.8,837,2.1
SSC20104,33,2100,951,364,2266,1,1653,2.1
SSC20105,44,1517,388,0,900,0.7,725,2.2
SSC20106,36,1800,514,195,1174,0.7,1187,3.1
SSC20107,43,1517,583,250,1549,0.7,1259,2.5
SSC20108,43,1000,811,75,1562,0.9,1199,2.5
SSC20109,45,0,612,0,0,0.3,899,1.5
SSC20110,39,1300,623,250,1687,0.8,1165,2.1
SSC20111,40,1213,536,250,1304,0.7,959,2.1
SSC20112,42,1300,578,240,1505,0.7,1065,2.2
SSC20113,47,1150,446,140,1281,0.9,982,2.6
SSC20114,42,1354,548,295,1437,0.7,1364,2.9
SSC20115,43,1950,817,0,1718,0.7,1531,2.4
SSC20116,36,0,556,23,1374,1.3,1187,3.3
SSC20117,53,1300,656,193,1339,0.7,1286,2.2
SSC20118,53,813,502,70,1300,0.7,985,2.2
SSC20119,45,1733,701,350,1830,0.8,1551,2.6
SSC20120,58,1408,796,304,1764,0.7,1365,2.3
SSC20121,68,0,225,0,0,0.8,0,2
SSC20122,42,2500,710,410,2153,0.9,1715,2.7
SSC20123,41,2500,703,480,2268,0.8,1996,3
SSC20124,40,1231,634,160,1331,0.7,1223,2.7
SSC20125,43,1400,645,163,1449,0.8,1210,2.6
SSC20126,52,2113,700,0,1792,0.9,1800,2.5
SSC20127,45,0,674,0,1708,1,1625,2.3
