SSC_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SSC20001,0,0,0,0,0,0,0,0,0,0
SSC20002,860,2179,396,472,541,378,78,182,92,5171
SSC20003,384,564,218,203,336,242,43,92,37,2128
SSC20004,0,0,0,0,0,0,0,0,0,0
SSC20005,21,12,4,11,13,3,3,5,0,71
SSC20006,0,0,0,0,0,0,0,0,0,0
SSC20007,0,5,8,0,3,3,0,3,0,23
SSC20008,15,3,4,3,7,0,4,0,0,34
SSC20009,7,0,3,6,3,3,6,7,0,30
SSC20010,9,4,4,3,0,0,0,4,0,25
SSC20011,0,0,0,0,0,0,0,0,0,0
SSC20012,70,100,53,34,27,34,5,24,7,351
SSC20013,27,8,6,6,8,6,9,12,0,75
SSC20014,466,758,503,365,605,371,225,246,71,3608
SSC20015,0,0,0,0,0,0,0,0,0,0
SSC20016,121,199,321,208,233,201,289,418,55,2050
SSC20017,760,1209,159,184,327,263,22,76,69,3067
SSC20018,21,12,16,8,10,4,9,20,7,109
SSC20019,11,3,6,8,9,0,0,3,0,40
SSC20020,138,307,277,237,229,178,203,350,49,1965
SSC20021,142,153,192,125,141,88,86,128,25,1090
SSC20022,543,1081,552,542,630,526,183,386,56,4502
SSC20023,3,4,0,0,0,0,0,3,0,8
SSC20024,19,0,7,0,4,0,3,3,0,29
SSC20025,6,3,6,0,0,3,4,6,0,32
SSC20026,29,29,25,18,19,12,7,14,0,157
SSC20027,133,108,125,69,78,69,61,112,14,769
SSC20028,8,9,14,6,12,0,9,8,0,78
SSC20029,3,8,9,0,6,4,12,10,0,56
SSC20030,5,9,9,12,3,7,9,10,0,66
SSC20031,3,0,0,0,0,0,0,0,0,10
SSC20032,6,4,3,3,0,3,3,0,0,27
SSC20033,500,1160,194,234,327,226,46,105,30,2824
SSC20034,729,1331,648,488,787,421,295,313,85,5094
SSC20035,800,1538,1267,949,1426,836,938,989,162,8906
SSC20036,577,935,694,442,663,455,368,407,91,4640
SSC20037,24,6,0,10,3,3,3,7,0,57
SSC20038,0,7,0,5,5,3,3,3,0,26
SSC20039,0,0,0,0,0,0,0,0,0,0
SSC20040,21,10,16,10,3,0,12,22,0,93
SSC20041,40,58,61,33,38,23,37,34,12,333
SSC20042,15,3,8,5,4,3,0,3,0,41
SSC20043,3,3,3,0,0,0,0,0,0,12
SSC20044,0,0,0,0,0,0,0,0,0,9
