SA1_7DIGITCODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
2110128,0,0,0,0,3,6,7,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,4,7,3,5,0,0,0,24,3,25,28,37,36,61,24,8,3,230
2110129,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,7,0,0,0,25,0,12,38,49,41,65,48,9,9,261
2110130,0,0,0,0,0,4,6,3,0,18,0,0,0,0,0,0,0,0,0,0,3,6,10,3,7,18,12,6,0,67,16,34,46,66,67,137,85,21,3,479
2110131,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,4,4,0,17,7,10,8,31,27,53,17,6,0,164
2110132,0,0,0,0,0,6,6,6,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,10,7,0,32,7,13,48,33,41,52,48,29,14,283
2110133,0,0,0,0,3,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,12,0,9,30,31,55,51,27,17,3,222
2110134,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,9,8,0,0,0,0,17,3,8,26,56,48,61,17,4,0,224
2110135,0,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,9,5,20,45,27,55,48,35,17,3,256
2110136,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,15,9,18,47,37,28,60,33,18,0,250
2110201,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,19,4,19,32,42,48,50,15,14,9,223
2110202,0,0,3,0,3,0,8,5,3,29,0,0,0,0,0,0,0,0,0,0,3,0,3,6,3,6,9,0,0,40,11,23,42,62,80,77,71,27,6,396
2110203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,85,307,257,94,40,12,0,0,791,0,89,304,258,99,49,12,5,0,814
2110204,0,0,0,0,0,0,3,3,0,11,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,3,9,5,3,29,10,19,30,38,32,36,39,11,3,220
2110205,0,0,0,0,0,3,4,3,3,23,0,0,0,0,0,0,0,0,0,0,3,0,9,3,7,12,0,3,0,33,8,8,38,28,55,55,19,14,10,237
2110206,0,0,0,3,0,3,5,6,0,25,0,0,0,0,0,0,0,0,0,0,3,4,0,5,7,12,5,3,0,35,8,15,42,64,67,75,55,22,3,357
2110207,0,0,0,0,0,3,3,0,3,14,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,3,3,0,0,9,5,19,21,45,57,35,34,15,4,231
2110208,0,0,0,0,0,0,6,5,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,6,4,0,14,3,20,43,37,46,49,16,9,3,218
2110209,0,0,0,0,0,3,15,9,3,25,0,0,0,0,0,0,0,0,0,0,5,0,8,5,3,7,9,3,0,41,12,24,55,68,51,50,53,10,7,333
2110210,0,0,0,0,0,0,3,3,0,9,0,0,0,0,0,0,0,0,0,3,4,0,0,5,9,6,6,0,0,31,16,25,38,34,56,65,38,10,6,283
2110211,0,0,0,0,0,3,4,4,3,19,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,6,4,7,0,31,11,14,34,39,31,55,47,22,9,248
2110212,0,0,3,0,0,7,4,10,0,22,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,11,8,8,0,38,4,15,75,33,32,54,30,22,0,265
2110301,0,0,0,0,3,3,4,14,3,24,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,6,4,0,0,29,9,24,40,72,84,86,52,26,16,404
2110302,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,4,8,25,36,15,6,4,0,101
2110303,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,5,9,9,12,0,0,0,37,18,15,43,103,114,85,37,0,0,431
2110304,0,0,4,0,3,5,5,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6,3,0,34,9,21,40,32,41,55,48,14,0,266
2110305,0,0,0,3,0,3,5,3,0,12,0,3,0,0,0,0,0,0,0,0,4,0,3,9,7,3,0,0,0,29,8,22,46,75,89,50,31,11,3,333
2110306,0,0,0,0,0,0,3,3,4,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,3,4,0,25,12,11,24,35,22,54,34,23,13,216
2110307,0,0,0,0,0,0,4,9,5,24,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,4,0,9,0,24,13,25,39,53,44,66,50,36,11,340
2110308,0,0,0,0,0,0,3,5,7,15,0,0,0,0,3,3,0,0,0,3,0,0,4,0,12,3,3,3,8,30,11,14,45,53,66,56,33,25,11,320
2110309,0,0,0,3,0,0,3,5,0,18,0,0,0,0,0,0,0,0,0,0,0,3,5,7,4,8,8,3,0,44,20,46,204,129,91,86,40,12,3,623
2110310,0,0,0,0,0,5,3,0,3,16,0,0,0,0,0,0,3,0,0,0,3,0,0,3,3,4,3,0,3,18,4,6,14,18,23,23,31,4,5,134
2110311,0,0,0,0,4,4,11,10,4,35,0,0,0,0,0,0,0,3,0,5,0,4,13,11,11,7,8,14,8,72,8,38,106,84,80,75,64,42,39,549
2110312,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,9,4,16,23,43,61,55,27,4,0,238
2110313,0,0,0,0,0,0,6,3,3,15,0,0,0,0,0,0,0,0,0,0,3,0,16,6,6,7,6,0,0,45,16,41,101,72,67,61,52,20,18,451
2110314,0,0,0,0,0,0,3,3,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,6,12,3,7,3,0,37,7,17,37,48,55,37,43,19,10,276
2110315,0,0,0,0,3,5,3,3,6,24,0,0,0,0,0,0,0,0,0,3,0,7,4,5,3,3,14,3,0,44,4,34,48,35,37,36,42,19,5,262
2110316,0,0,0,0,0,0,6,13,7,20,0,0,0,0,0,0,0,0,0,0,3,4,6,8,6,5,5,5,0,43,11,22,51,55,52,56,53,43,15,359
2110317,0,0,0,0,0,0,5,5,9,25,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,4,13,3,0,38,8,26,46,49,59,74,70,36,25,393
2110318,0,0,0,0,0,0,5,5,3,18,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,5,0,8,18,14,25,56,45,64,65,52,23,10,352
2110319,0,0,3,0,0,0,7,12,9,32,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,5,8,4,5,28,9,26,55,27,40,61,58,74,71,419
2110320,0,0,4,5,0,5,9,9,9,40,0,0,0,0,0,0,0,0,0,3,3,0,8,3,5,12,7,18,3,58,12,21,52,47,39,60,43,52,24,345
2110321,0,0,0,0,0,0,4,6,0,16,0,0,0,0,0,0,0,0,0,3,0,3,0,4,15,6,3,4,0,40,11,26,45,58,67,59,36,23,5,326
2110322,0,0,0,0,3,0,3,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,8,10,0,0,27,13,7,39,31,51,38,34,17,3,243
2110323,0,0,0,0,3,0,9,0,4,20,0,0,0,3,0,0,0,0,0,3,0,0,3,0,3,8,7,7,10,38,10,38,77,61,75,80,49,29,26,442
2110324,0,0,0,0,4,4,10,10,9,31,0,0,0,0,0,0,0,0,0,4,0,0,3,6,3,0,7,12,13,40,7,7,28,39,44,32,44,45,40,283
2110325,0,0,0,0,0,0,9,3,4,20,0,0,0,0,0,0,0,0,0,0,0,3,5,0,5,0,4,3,0,25,15,27,84,58,69,58,39,22,4,372
2110326,0,0,0,3,0,3,8,4,0,21,0,0,0,0,0,0,0,0,0,0,3,0,8,5,0,0,10,5,3,43,15,30,53,64,41,43,50,26,9,320
2110327,0,0,0,4,3,0,3,13,6,35,0,0,0,0,3,5,0,0,0,16,6,7,5,9,3,4,0,16,3,55,10,43,80,70,90,76,49,64,23,515
2110328,0,3,0,3,3,3,9,10,5,37,0,0,3,0,0,0,0,0,0,5,0,11,6,3,9,7,6,10,8,51,6,48,72,35,44,53,53,37,16,361
2110329,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,3,0,16,8,11,26,21,28,44,24,6,3,168
2110330,0,0,3,0,3,4,5,13,0,26,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,3,19,3,26,28,34,37,31,40,25,5,230
2110331,0,0,3,0,5,3,10,14,4,41,0,0,0,0,0,0,0,0,0,0,0,4,11,4,3,3,10,5,0,43,15,41,79,47,51,48,35,22,8,340
2110332,0,0,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4,7,0,3,0,26,11,13,24,23,28,29,16,3,0,140
2110333,0,3,5,0,5,4,5,5,0,26,0,0,0,0,0,0,0,0,0,3,0,0,3,8,7,7,3,5,4,42,20,29,64,59,51,68,47,25,3,361
2110334,0,0,0,0,0,0,5,11,4,30,0,0,0,0,0,0,0,0,0,3,4,3,9,6,10,11,6,4,0,54,10,24,82,45,63,60,39,36,11,377
2110401,0,0,0,0,3,0,3,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,4,11,17,5,3,4,45,8,3,20,26,50,62,27,9,6,214
2110402,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,8,3,3,0,24,13,7,11,21,30,46,33,10,0,176
2110403,0,0,0,0,3,10,11,3,3,32,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,6,3,0,0,21,10,12,38,56,77,98,64,29,12,394
2110404,0,0,0,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,3,14,26,30,36,37,15,0,172
2110405,0,0,0,0,3,0,9,4,0,18,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,0,5,3,20,4,7,27,23,51,58,39,14,8,228
2110406,0,0,0,0,4,5,7,0,0,13,0,0,0,0,0,0,0,0,0,0,3,3,5,0,10,9,11,3,0,43,3,14,31,34,47,63,42,17,0,257
2110407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2110408,0,0,0,0,0,5,9,7,3,26,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,9,13,0,0,29,3,8,18,10,34,61,73,17,3,221
2110409,0,0,0,0,0,3,3,10,3,23,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,4,6,0,23,5,16,14,16,40,45,47,21,5,214
2110410,0,0,0,0,0,3,9,0,0,16,0,0,0,0,0,0,0,0,0,0,4,0,7,0,12,12,6,4,3,49,9,12,25,28,65,78,62,17,6,298
2110411,0,0,3,0,5,8,16,5,3,40,0,0,0,0,0,0,0,0,0,0,3,0,0,9,4,14,13,9,0,53,16,14,24,54,72,152,83,41,10,467
2110412,0,0,0,0,4,6,11,10,10,42,0,0,0,0,0,0,0,0,0,0,4,0,3,3,6,7,0,5,5,27,5,17,33,27,40,60,60,42,19,301
2110413,0,0,0,0,3,3,10,7,8,26,0,0,0,0,0,0,0,0,0,3,0,4,3,6,3,5,10,3,6,39,6,17,28,34,41,49,50,39,25,280
2110414,0,0,0,0,0,6,11,12,13,43,0,0,0,0,0,5,0,0,0,7,4,0,6,0,7,14,18,11,0,62,9,26,63,47,64,80,92,63,22,467
2110415,0,0,0,0,0,4,8,11,7,32,0,0,0,0,0,0,0,0,0,0,4,0,8,0,3,3,5,8,16,55,5,22,48,29,42,61,58,54,48,363
2110416,0,0,0,0,4,3,12,9,3,30,0,0,0,0,0,0,0,0,0,0,0,7,0,3,7,0,0,3,0,19,14,15,35,36,63,58,62,28,5,323
2110501,0,0,0,0,0,0,0,4,3,11,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,11,7,35,65,17,23,24,12,12,3,198
2110502,0,0,0,0,0,3,3,17,4,33,0,0,0,0,0,3,0,3,0,10,0,15,9,11,3,5,6,3,0,52,14,100,155,105,62,49,30,35,6,557
2110503,0,0,0,3,3,7,9,13,4,35,0,0,0,0,0,3,3,0,0,4,0,0,7,3,4,8,3,0,0,20,6,30,100,70,67,74,31,18,5,404
2110504,0,0,0,0,0,0,3,5,0,14,0,0,0,0,0,0,0,0,0,8,0,0,18,0,3,0,0,4,0,26,8,28,114,52,44,26,19,13,4,315
2110505,0,0,0,0,0,0,3,5,7,20,0,0,0,0,0,0,0,3,0,3,0,0,0,3,3,0,0,0,0,9,4,27,92,58,37,40,26,16,5,305
2110506,0,0,0,0,0,8,6,10,4,31,0,0,0,0,0,0,0,0,0,3,0,3,22,7,0,0,5,3,0,48,11,45,131,68,42,46,24,20,10,394
2110507,0,0,0,0,0,0,4,12,8,20,0,0,0,0,0,0,5,0,0,9,0,0,9,10,4,8,3,0,0,34,10,40,149,102,49,37,24,14,11,434
2110508,0,0,0,0,0,4,5,4,5,13,0,0,0,0,0,0,3,3,5,8,0,0,5,0,3,6,0,3,0,23,3,45,119,60,37,38,18,16,9,337
2110509,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,0,0,0,5,0,0,15,5,6,0,0,0,0,21,10,59,173,70,31,16,9,5,4,382
2110510,0,0,0,0,0,3,13,12,4,37,0,0,0,0,0,0,0,3,4,8,0,0,7,4,4,0,3,0,0,22,4,55,168,113,68,43,36,28,12,523
2110512,0,0,0,0,0,3,11,11,8,27,0,0,0,0,0,0,3,5,0,7,3,0,3,4,0,3,0,3,0,16,4,18,49,55,63,37,20,18,9,273
2110514,0,0,0,0,0,3,3,6,3,18,0,0,0,0,0,0,6,4,0,13,0,0,0,5,3,3,3,0,0,18,4,26,97,78,69,31,35,23,11,372
2110515,0,0,0,0,0,4,10,6,4,23,0,0,0,0,0,5,6,3,0,15,0,0,5,0,0,5,0,0,0,16,3,31,88,65,45,34,29,17,6,327
2110516,0,0,0,0,0,0,3,7,0,18,0,0,0,0,0,0,0,3,0,10,0,0,0,0,5,0,0,0,0,12,6,16,44,46,42,18,16,14,10,214
2110517,0,0,0,0,0,0,7,12,0,25,0,0,0,0,0,0,0,12,0,15,0,0,0,3,5,0,3,3,0,14,9,38,51,83,46,43,23,29,5,335
2110518,0,0,0,0,0,3,11,10,0,31,0,0,0,0,0,0,4,0,0,9,0,0,9,6,0,0,0,0,0,13,5,32,118,87,47,19,25,18,3,360
2110519,0,0,0,0,0,0,3,4,3,16,0,0,0,0,0,0,0,3,0,3,0,5,6,5,4,3,0,0,0,21,7,43,114,70,33,28,11,9,3,313
2110520,0,0,0,0,0,3,7,19,3,30,0,0,0,0,0,0,3,6,0,10,0,0,0,3,0,7,0,0,3,16,7,34,61,78,30,41,35,30,10,319
2110521,0,0,0,0,0,3,8,9,3,20,0,0,0,0,0,0,0,3,0,3,8,11,25,10,6,8,5,5,0,79,21,89,229,82,52,38,38,25,11,580
2110522,0,0,0,0,0,0,0,12,6,19,0,0,0,0,0,0,0,0,0,3,0,8,25,11,9,12,3,5,0,70,13,97,225,95,62,48,22,23,13,588
2110523,0,0,0,0,0,3,5,13,3,28,0,0,0,0,0,0,0,3,0,3,6,19,48,25,13,10,6,3,0,129,28,108,290,170,95,59,45,19,5,815
2110524,0,0,0,0,0,3,3,13,0,22,0,0,0,0,0,0,0,0,0,5,0,4,5,9,8,0,6,0,0,34,4,41,92,96,72,34,35,18,4,391
2110525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,0,0,0,28,10,30,117,68,43,43,25,9,0,338
2110526,0,0,0,0,4,3,3,12,5,32,0,0,0,0,0,0,0,4,7,12,0,0,3,5,7,6,0,0,0,27,11,51,91,90,67,53,24,34,11,436
2110527,0,0,0,0,0,3,13,5,0,23,0,0,0,0,0,5,0,0,0,14,0,3,4,7,0,0,0,0,0,13,3,34,66,55,41,29,13,8,0,249
2110528,0,0,0,3,0,0,4,12,3,15,0,0,0,0,0,0,3,0,0,5,0,0,7,12,0,0,3,3,0,20,8,20,61,64,40,15,19,16,4,255
2110529,0,0,0,0,0,4,14,14,0,31,0,0,0,0,0,0,0,0,3,6,3,3,21,10,7,0,3,3,0,48,12,54,193,97,56,45,32,28,3,513
2110530,0,0,0,0,3,0,18,18,3,41,0,0,0,0,0,0,0,0,0,3,3,0,11,6,3,5,0,0,0,44,18,65,186,86,41,51,29,33,9,518
2110531,0,0,0,0,0,0,16,14,6,38,0,0,0,0,3,0,0,0,0,11,0,8,14,11,0,0,0,5,3,35,6,60,167,104,61,39,39,25,21,514
2110532,0,0,0,0,0,0,0,4,3,8,0,0,0,0,0,0,0,3,0,5,0,0,7,5,3,0,0,3,0,18,5,10,65,49,19,20,14,8,4,190
2110533,0,0,0,0,0,0,8,19,3,32,0,0,0,0,0,3,3,3,3,18,0,0,7,3,3,5,0,0,0,16,3,43,103,65,62,41,31,35,8,391
2110534,0,0,0,0,0,3,11,17,3,31,0,0,0,0,0,0,3,3,3,9,0,3,7,3,10,4,3,0,3,33,12,59,173,111,82,55,31,34,10,559
2110535,0,0,0,0,0,4,3,4,3,16,0,0,0,0,0,0,3,0,0,9,3,10,22,6,3,5,3,0,0,51,5,82,246,127,60,51,19,8,7,597
2110536,0,0,0,0,0,4,3,8,8,27,0,0,0,0,0,0,3,4,0,6,0,3,7,0,4,4,0,0,0,15,3,33,92,65,41,36,7,24,10,311
2110537,0,0,0,0,0,0,6,6,0,14,0,0,0,0,0,0,0,0,3,5,0,0,10,12,3,3,3,4,0,33,7,57,169,75,39,22,24,17,6,414
2110538,0,0,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,14,13,78,136,61,36,31,24,11,8,407
2110539,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,3,7,3,3,8,3,6,3,0,3,0,30,13,51,136,63,38,38,15,9,3,362
2110540,0,0,0,0,0,0,0,3,4,7,0,0,0,0,0,0,0,5,0,4,0,0,7,6,3,3,8,3,0,30,9,68,130,89,73,45,35,18,6,474
2110541,0,0,0,0,0,12,15,15,4,43,0,0,0,0,7,3,8,0,0,19,0,10,5,3,6,10,9,12,3,58,7,78,178,82,72,76,54,43,8,599
2110542,0,3,0,0,0,3,8,11,5,29,0,0,3,0,0,0,0,0,0,5,3,3,7,3,3,0,3,0,0,20,8,50,120,73,62,41,28,14,11,408
2110543,0,0,0,0,0,3,6,13,0,24,0,0,0,0,0,3,3,0,3,15,0,4,4,3,5,0,4,3,0,23,7,51,118,102,58,44,28,16,6,433
2110545,0,0,0,0,0,0,0,3,0,7,0,0,3,0,0,0,0,0,0,9,3,7,39,9,3,0,0,0,0,58,12,102,462,196,62,33,14,6,0,888
2110546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,8,3,3,0,0,0,0,27,4,50,107,34,17,12,8,5,0,243
2110547,0,0,0,0,0,0,0,4,5,9,0,0,0,0,0,0,0,0,0,4,0,3,6,0,5,0,4,0,0,18,4,35,131,46,21,14,5,9,3,267
2110548,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,3,11,4,0,3,0,4,0,29,7,53,119,42,20,10,0,10,3,260
2110549,0,0,0,0,0,0,8,13,0,24,0,0,0,0,0,0,0,3,3,10,0,3,10,7,0,0,0,0,0,27,4,38,123,86,51,30,24,17,8,378
