SA1_7DIGITCODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
2100101,0,0,3,4,0,8,0,3,0,17,3,0,3,8,0,3,3,3,0,24,5,14,6,6,3,0,3,4,0,35,0,7,3,3,0,8,4,3,0,30,7,8,3,4,8,4,4,9,0,41,3,15,4,0,10,4,0,0,0,38,0,7,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,42,24,21,23,28,11,21,0,198
2100102,0,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,3,0,0,0,16,0,8,0,0,3,0,0,0,0,7,0,3,5,0,0,0,0,0,0,11,0,3,5,3,4,3,0,0,0,21,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,14,11,6,15,12,4,4,0,76
2100105,0,0,0,4,0,3,0,0,0,9,0,3,0,3,0,7,0,3,0,20,0,13,6,0,4,0,0,5,0,40,0,3,3,9,3,0,0,3,0,23,4,7,4,8,3,3,0,0,0,22,3,8,4,3,3,4,3,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,19,29,11,15,4,13,0,128
2100106,0,0,3,3,0,18,0,3,0,28,0,5,5,5,0,4,0,4,0,30,0,21,7,8,12,5,3,3,0,50,8,16,9,3,8,3,0,4,0,53,9,14,6,7,17,3,3,0,0,60,6,12,3,8,10,4,3,4,3,47,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,67,36,30,45,36,11,19,6,274
2100107,0,0,0,0,0,3,0,3,0,11,0,3,4,6,0,0,0,0,0,20,0,10,3,6,0,3,0,4,0,36,0,5,3,8,3,3,3,3,0,35,3,8,7,7,3,0,0,7,0,33,4,10,0,0,0,0,0,9,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,34,25,26,11,17,4,25,3,161
2100108,0,0,0,3,3,15,0,6,0,32,0,4,9,10,10,0,4,4,3,34,9,19,5,7,11,4,3,6,0,66,5,22,10,6,16,8,3,7,0,86,10,8,10,11,17,10,4,5,0,72,3,13,3,3,9,4,5,3,0,45,0,0,4,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,63,41,38,61,39,24,32,3,339
2100109,0,0,3,3,0,4,0,0,0,11,0,0,4,3,0,4,0,5,0,22,6,7,12,10,4,11,3,0,0,53,5,13,12,4,6,5,6,4,0,51,9,11,4,6,10,7,7,4,4,58,5,7,0,3,5,3,0,4,0,27,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,46,35,33,26,28,14,17,5,228
2100110,0,0,5,7,0,7,0,6,0,30,0,3,0,7,7,3,0,3,0,22,3,0,3,0,3,0,0,0,0,14,7,10,0,9,11,0,0,3,0,48,19,25,14,10,16,5,3,3,0,94,7,11,10,4,12,3,0,0,0,41,0,3,0,0,0,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,58,33,33,46,26,5,24,3,260
2100111,0,0,3,0,0,9,0,13,0,26,0,5,6,10,0,3,0,3,0,28,0,3,0,3,0,3,0,3,0,14,7,10,6,3,7,0,0,3,3,38,9,22,10,6,8,3,0,6,0,69,5,8,0,0,0,0,3,0,0,17,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,45,19,27,24,26,7,27,4,196
2100112,0,0,0,0,0,8,0,6,0,14,0,3,0,3,4,0,0,0,0,16,0,8,7,4,3,0,0,0,0,27,3,7,9,7,3,3,0,3,0,35,12,20,12,3,15,6,6,8,0,69,7,16,8,6,8,4,9,3,0,58,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,56,37,25,38,18,10,24,3,228
