SA1_7DIGITCODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
2100101,0,11,0,7,0,25,3,0,6,8,3,0,21,0,0,0,0,0,0,0,0,0,0,4,6,0,7,0,0,0,0,3,0,3,12,7,28,25,56,3,129
2100102,0,7,0,0,0,4,0,0,3,3,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,18,4,45
2100105,4,4,0,3,0,13,5,0,10,8,4,0,23,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,9,7,16,24,37,0,88
2100106,0,17,3,3,0,29,0,7,18,7,13,3,45,0,0,3,3,0,0,7,3,0,0,0,4,0,11,0,0,0,0,0,0,3,12,13,54,23,63,10,180
2100107,0,6,0,0,0,6,0,3,10,10,5,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,26,10,35,0,96
2100108,4,10,0,3,0,29,5,8,19,7,8,0,48,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,16,10,55,29,82,13,208
2100109,7,7,0,0,0,25,0,5,11,4,6,3,36,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,12,18,40,26,49,8,150
2100110,4,15,3,5,0,23,4,4,13,6,10,0,39,0,0,0,0,0,0,7,0,0,0,0,9,0,9,0,0,0,0,0,0,3,15,10,51,34,55,4,167
2100111,3,8,0,3,0,25,0,5,10,4,7,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,13,32,15,44,4,114
2100112,3,12,4,0,0,21,3,10,14,0,5,0,27,0,0,0,0,4,0,4,0,0,0,0,3,0,4,0,0,0,0,0,0,3,8,15,40,26,55,9,140
