SA1_7DIGITCODE_2016,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
2100113,3,10,0,0,0,24,3,4,10,0,6,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,4,8,11,32,23,46,6,123
2100114,3,21,6,3,0,37,0,8,19,5,7,0,40,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,14,62,30,60,4,166
2100115,0,8,5,3,0,19,3,0,7,10,12,0,40,0,0,0,0,4,0,4,0,0,0,3,4,0,10,0,0,0,0,3,0,3,10,6,30,39,87,0,174
2100117,3,25,5,5,0,46,16,8,42,13,11,0,80,0,0,5,0,0,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,35,20,124,44,79,9,308
2100118,0,5,0,4,0,14,3,0,8,3,3,0,17,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,5,30,13,26,3,98
2100119,0,10,3,6,0,25,0,9,10,0,5,0,30,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,0,0,0,4,0,3,9,16,37,19,91,3,175
2100120,0,8,0,0,0,19,3,4,28,13,13,0,59,0,0,4,0,0,0,3,0,0,0,0,7,0,6,0,0,0,0,0,0,8,16,6,62,29,74,4,197
2100121,3,10,4,3,0,22,6,5,26,11,5,3,55,0,0,0,0,0,0,3,0,0,0,0,11,0,11,0,0,0,0,0,0,3,25,9,68,45,83,4,231
2100122,10,35,7,6,0,75,10,4,42,23,15,3,100,0,0,0,0,4,0,9,0,0,0,3,13,0,17,0,0,0,3,6,0,11,37,23,150,90,191,12,503
2100123,4,18,3,8,0,44,8,3,24,10,14,0,67,0,0,0,0,3,0,7,0,0,0,3,5,0,11,0,0,0,0,3,0,3,28,9,87,44,125,6,306
2100124,4,9,4,4,0,30,5,4,16,0,9,0,42,0,0,0,0,0,0,0,0,0,0,3,8,0,9,0,0,0,0,0,0,3,13,9,48,29,60,3,172
2100201,3,13,0,3,0,22,12,10,11,8,0,0,45,0,0,0,0,0,0,3,0,0,0,3,4,0,6,0,0,0,0,5,0,6,31,21,46,42,46,5,192
2100202,7,5,0,3,0,15,4,0,10,3,3,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,17,7,35,15,18,6,91
2100203,3,7,3,3,0,22,4,7,16,5,3,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,11,54,20,51,4,150
2100204,4,10,0,3,0,22,3,3,12,0,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,16,13,37,14,23,8,106
2100205,4,21,0,3,0,42,6,3,16,10,8,0,45,0,0,0,0,0,0,0,0,3,0,0,3,0,10,0,0,0,0,3,0,3,15,10,65,22,53,3,174
2100206,3,13,0,0,0,17,6,3,17,0,0,0,30,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,4,17,10,43,18,16,4,100
2100207,10,9,5,0,0,28,7,3,22,4,5,3,35,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,3,19,15,52,22,32,6,135
2100208,0,3,3,0,0,23,19,3,30,9,0,4,59,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,3,4,38,9,69,32,21,8,182
2100209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100211,4,15,0,0,0,39,6,12,21,13,8,0,55,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,14,23,76,30,43,7,197
2100212,0,4,7,0,0,9,3,0,14,0,3,0,25,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,8,34,13,16,4,76
2100213,6,13,3,0,0,25,3,10,15,6,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,0,4,8,16,50,22,28,4,129
2100214,4,12,0,7,0,28,8,3,19,3,8,0,39,0,0,0,0,0,0,3,0,0,0,0,8,0,10,0,0,0,0,0,0,0,16,6,51,20,51,3,148
2100215,4,15,5,3,0,35,3,6,19,7,3,0,38,0,0,0,0,0,0,3,0,0,0,0,7,0,9,0,0,3,0,0,0,11,23,16,71,34,38,3,180
2100216,11,3,0,0,0,16,7,3,16,4,7,0,34,0,0,3,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,11,41,11,33,10,122
2100217,3,0,3,0,0,10,7,0,15,3,4,0,32,0,0,0,0,0,0,3,0,0,3,3,4,0,9,0,0,0,0,0,0,6,20,10,35,25,24,6,110
2100218,3,12,0,8,0,22,3,3,11,5,0,0,26,0,0,3,0,0,0,4,0,0,0,0,0,0,3,0,0,4,0,0,0,4,11,10,58,16,31,3,130
2100219,0,0,0,0,0,3,4,0,3,0,3,0,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,10,17,0,46
2100220,0,5,6,0,0,19,5,0,11,3,0,0,27,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,4,17,12,27,21,16,4,98
2100221,5,3,0,0,0,11,3,3,9,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,3,19,5,30,7,66
2100222,5,8,0,0,0,27,14,8,26,3,0,4,59,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,8,36,15,81,23,27,7,182
2100223,11,7,3,4,0,29,8,3,15,4,6,3,40,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,3,7,18,19,67,26,36,8,174
2100224,3,18,5,3,0,35,13,4,15,3,5,0,35,0,0,4,0,0,0,4,0,0,0,0,5,0,6,0,0,0,0,0,0,0,20,12,64,20,40,3,161
2100225,0,10,0,0,0,16,3,0,8,3,6,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,38,11,23,0,89
2100226,4,8,0,0,0,12,6,3,4,0,0,0,16,0,0,3,0,0,0,3,0,0,3,0,0,0,6,0,0,0,0,0,0,0,11,4,35,7,12,0,72
2100227,4,9,5,3,0,28,12,3,30,6,0,0,51,0,0,0,3,0,0,4,0,0,0,0,3,0,3,0,0,0,0,0,0,0,27,14,66,26,23,0,160
2100228,3,0,0,0,0,7,0,0,13,0,4,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,3,4,42,15,17,3,85
2100229,4,10,0,0,0,20,0,0,12,3,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,8,7,34,16,26,3,99
2100230,7,12,3,3,0,22,3,7,16,7,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,12,41,15,35,3,117
2100231,3,8,3,3,0,19,10,12,24,4,5,0,52,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,60,18,43,6,157
2100232,3,5,3,0,0,15,8,6,9,3,7,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,34,15,22,0,94
2100233,3,11,3,0,0,25,8,3,13,8,0,0,34,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,19,10,46,22,24,7,121
2100234,0,0,0,0,0,7,0,0,4,3,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,16,4,23,3,49
2100301,0,3,0,0,0,8,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,11,8,19,5,55
2100302,0,5,0,0,0,11,3,0,9,4,5,3,21,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,3,31,18,33,4,86
2100303,3,8,0,6,0,13,3,0,10,0,4,0,19,0,0,0,0,0,0,4,0,0,0,4,3,0,7,0,0,0,0,0,0,0,7,3,29,14,45,4,101
2100304,5,4,3,3,0,11,3,0,18,6,7,0,31,0,0,0,0,0,0,4,0,0,0,4,4,0,9,0,0,0,0,0,0,0,12,8,36,24,43,3,119
2100305,4,7,0,6,0,30,5,9,17,19,10,3,66,0,0,0,0,0,0,0,0,0,0,3,5,0,6,0,0,0,0,0,0,0,12,23,51,37,69,3,195
2100306,0,8,0,5,0,13,0,0,11,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,26,5,36,3,79
2100307,3,3,0,0,0,12,0,0,9,3,8,0,19,0,0,0,0,0,0,3,0,0,0,0,3,0,4,0,0,0,0,0,0,3,6,3,23,17,29,10,91
2100308,4,7,3,0,0,16,5,5,12,0,8,0,21,0,0,0,0,4,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,4,12,6,34,13,34,6,108
2100309,11,22,5,3,0,43,0,3,17,7,10,3,36,0,0,4,0,0,0,4,0,0,0,7,8,0,12,0,0,0,0,0,0,3,10,14,77,34,72,3,214
2100310,0,7,0,5,0,13,0,3,9,9,3,0,27,0,0,0,0,3,0,5,0,0,0,0,4,0,4,0,0,0,0,0,0,3,10,8,38,22,68,0,141
2100311,7,17,3,6,0,37,4,5,25,10,9,0,52,0,0,0,0,0,0,6,0,0,0,4,5,0,11,0,0,0,0,5,0,8,9,17,78,42,112,17,282
2100312,3,3,5,3,0,23,3,3,4,12,8,4,37,0,0,0,0,0,0,0,0,0,0,0,11,0,11,0,0,0,0,5,0,7,10,9,32,29,95,16,186
2100313,3,9,3,0,0,23,0,0,9,8,11,0,30,0,0,0,0,0,0,3,0,0,0,0,5,0,12,0,0,0,0,7,0,4,5,6,38,24,78,11,160
2100314,3,11,4,4,0,17,3,0,8,3,9,0,29,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,3,6,13,32,22,55,6,140
2100315,3,3,5,3,0,18,0,8,9,3,8,4,33,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,3,6,0,9,4,8,28,42,71,9,166
2100316,0,5,0,3,0,9,0,3,9,4,8,0,18,0,0,0,0,3,0,3,0,0,0,0,3,0,7,0,0,0,0,3,0,3,3,3,13,17,41,5,83
2100317,6,10,3,3,0,27,3,0,10,0,6,0,26,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,13,13,41,26,54,0,148
2100318,3,13,3,8,0,36,11,4,18,5,7,0,53,0,0,0,0,0,0,3,0,0,0,0,3,0,7,0,0,5,0,4,0,3,22,13,73,33,60,6,204
2100319,3,9,4,0,0,20,4,0,13,3,10,0,28,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,4,12,11,32,18,24,7,107
2100320,0,6,3,0,0,24,6,0,15,5,5,0,26,0,0,3,0,0,0,5,0,0,0,0,4,0,6,0,0,0,0,3,0,7,11,6,40,26,47,7,133
2100321,0,11,3,0,0,21,3,0,7,6,3,0,25,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,0,0,3,3,22,6,44,17,36,14,138
2100322,3,22,7,5,0,38,5,10,23,7,15,0,58,0,0,3,0,0,0,4,0,0,0,0,3,0,5,0,0,6,4,0,0,14,13,15,80,30,80,7,231
2100323,0,4,0,0,0,15,3,4,10,3,4,0,24,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,11,9,29,19,45,0,110
2100324,0,7,3,8,0,18,3,5,3,4,3,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,3,8,6,30,21,45,7,107
2100325,4,10,0,3,0,24,0,3,10,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,6,35,12,31,0,95
2100326,10,21,0,3,0,48,12,3,34,14,11,0,68,0,0,3,3,0,0,3,0,0,0,0,6,0,6,0,0,3,0,3,0,4,21,22,114,48,102,3,318
2100327,0,22,0,5,3,34,8,5,18,12,10,0,57,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,3,3,0,10,25,14,69,46,87,12,251
2100328,4,18,0,0,0,33,0,0,16,4,9,0,31,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,3,0,7,16,9,43,21,56,9,153
2100329,0,21,0,3,0,43,0,5,18,12,5,0,43,0,0,0,0,0,0,4,0,0,0,0,3,0,7,0,0,0,0,0,0,0,19,15,64,35,52,9,196
2100330,7,16,4,0,0,35,5,10,17,0,5,0,37,0,0,3,0,0,0,5,0,0,0,3,0,0,3,0,0,0,0,0,0,3,30,21,69,31,55,3,199
2100331,6,8,3,0,0,29,7,8,8,3,0,3,26,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,5,20,19,58,20,39,8,156
2100332,7,21,4,6,0,40,4,4,13,3,6,0,33,0,0,0,0,0,0,0,0,0,0,4,3,0,6,0,0,0,0,0,0,0,22,17,86,27,49,0,201
2100333,3,10,4,10,0,29,3,4,15,11,10,3,39,0,0,4,0,0,0,4,0,0,0,4,13,0,21,0,0,0,0,3,4,8,8,17,40,41,128,9,246
2100334,4,9,0,0,0,13,0,3,5,3,10,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,15,4,30,17,61,8,140
2100335,4,11,0,0,0,22,8,3,8,6,4,0,28,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,14,10,35,23,55,4,149
2100336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100337,3,6,3,4,0,19,4,3,23,6,0,0,44,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,3,11,10,51,25,44,11,147
2100338,0,0,0,0,0,0,0,0,3,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3,24,0,40
2100339,10,4,0,3,0,18,3,0,4,4,0,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,14,8,25,14,23,4,87
2100340,3,8,4,3,0,26,3,0,7,12,7,0,31,0,0,0,0,0,0,4,0,0,0,0,5,0,4,0,0,0,0,4,0,3,11,8,28,28,59,3,139
2100341,3,5,0,0,0,17,0,5,10,3,4,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,4,7,10,39,14,45,4,111
2100342,7,25,3,0,0,42,3,8,19,6,5,3,44,0,0,0,3,0,0,7,0,0,3,0,9,0,19,0,0,0,3,3,0,7,7,18,84,46,109,13,275
2100343,0,3,3,0,0,11,3,0,3,6,3,0,17,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,22,21,49,6,106
2100344,0,4,0,0,0,3,3,3,4,3,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,18,14,19,3,57
2100345,8,8,3,0,0,22,0,4,5,7,0,0,19,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,8,13,25,17,43,3,100
2100346,0,3,3,5,0,14,0,0,9,4,8,0,31,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,3,9,33,24,51,7,121
2100347,3,7,4,3,0,19,10,3,15,5,0,3,32,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,3,5,18,11,55,29,42,6,152
2100348,0,11,0,4,0,10,0,3,3,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,16,8,29,3,67
2100349,5,10,0,6,0,24,0,3,15,4,8,0,25,0,0,0,3,3,0,4,0,0,0,0,4,0,4,0,0,0,0,0,0,4,15,10,42,19,50,3,142
2100350,0,3,3,0,0,13,0,0,11,3,3,0,20,0,0,0,0,0,0,3,0,0,0,0,5,0,6,0,0,0,0,0,0,0,8,7,26,12,56,3,108
2100351,0,4,0,0,0,5,0,0,0,3,3,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,22,7,31,5,80
2100401,0,0,3,8,0,13,0,4,6,0,9,0,22,0,0,0,0,3,0,3,0,0,0,0,4,0,4,0,0,0,3,3,0,6,3,4,23,14,89,4,138
2100402,0,0,0,5,0,5,0,0,5,3,6,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,10,17,58,7,100
2100404,0,8,0,3,0,13,0,0,4,3,12,0,23,0,0,0,0,3,0,3,0,0,0,0,3,0,3,0,0,0,0,4,0,4,6,4,31,15,43,9,103
2100405,7,3,7,0,0,18,0,0,5,6,4,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,7,3,11,30,24,62,6,123
2100406,0,9,0,4,0,17,0,3,3,3,3,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,10,5,26,11,33,7,90
2100407,3,5,0,3,0,17,4,3,17,10,6,0,35,0,0,0,0,0,0,3,0,0,0,0,4,0,6,0,0,3,0,0,0,6,15,14,54,19,52,3,143
2100408,5,8,8,0,0,31,3,3,16,8,13,0,39,0,0,0,0,0,0,4,0,0,0,0,4,0,4,0,0,3,0,0,0,3,20,16,45,31,61,4,171
2100409,3,4,0,8,0,15,0,0,8,0,9,0,19,0,0,3,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,3,0,3,6,6,30,12,54,4,111
2100410,4,3,3,3,0,17,3,0,7,9,4,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,13,13,27,26,42,3,113
2100411,7,7,7,0,0,27,0,0,12,4,7,0,25,0,0,3,0,0,0,3,0,0,0,0,5,0,5,0,0,0,0,4,3,3,14,9,39,33,58,5,159
2100412,8,22,3,3,0,39,3,3,16,14,13,3,47,0,0,0,0,0,0,7,0,0,3,0,4,3,11,0,0,0,0,9,0,9,15,17,77,37,83,12,238
2100413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100414,0,10,0,0,0,18,4,4,5,3,3,0,19,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,0,0,0,6,0,7,8,12,31,18,60,7,131
2100415,0,6,0,3,0,15,0,0,5,3,3,0,18,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,4,0,0,3,4,3,30,8,38,0,90
2100416,7,16,5,11,0,33,0,0,9,8,11,0,24,0,0,3,0,0,0,3,0,0,0,0,7,0,8,0,0,0,0,4,4,11,9,9,39,28,79,4,164
2100417,9,13,7,3,0,31,4,5,8,4,9,0,29,0,0,0,3,0,0,4,0,0,3,0,3,0,7,0,0,0,0,5,0,5,15,15,55,23,62,6,171
2100418,0,0,0,0,0,4,0,0,9,3,7,0,19,0,0,0,0,0,0,4,0,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,18,16,34,4,74
2100419,0,3,3,5,0,25,0,0,16,9,7,0,33,0,0,3,0,0,0,3,0,0,3,0,3,0,9,0,0,0,0,3,0,3,19,6,46,22,58,6,158
2100420,6,17,4,3,0,31,8,4,12,5,7,0,29,0,0,0,0,3,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,3,18,13,45,26,58,3,160
2100421,4,13,0,3,0,20,0,6,14,4,5,0,26,0,0,3,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,0,9,10,44,17,55,3,135
2100422,9,14,3,7,0,37,5,3,16,5,18,0,57,0,0,0,0,3,0,3,0,0,0,0,4,0,11,0,0,0,0,3,0,7,28,11,60,49,95,7,247
2100423,0,10,0,3,0,13,0,0,6,9,3,0,22,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,27,21,30,0,89
2100424,3,6,0,3,0,15,0,0,7,4,6,0,21,0,0,3,0,0,0,3,0,0,0,0,4,0,5,0,0,0,0,0,0,3,5,4,34,24,44,4,121
2100425,0,9,3,0,0,12,0,0,6,3,17,0,32,0,0,0,0,4,0,4,0,0,0,0,8,0,4,0,0,0,0,0,0,3,6,3,29,25,66,6,133
2100426,0,7,4,3,0,11,0,0,13,8,5,0,26,0,0,0,0,0,0,3,0,0,0,0,5,0,4,0,0,0,0,0,0,3,3,3,42,22,53,4,126
2100427,4,3,0,3,0,19,6,0,9,7,3,0,26,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,0,4,14,5,23,14,36,0,98
2100428,0,10,4,0,0,13,3,0,7,5,4,0,14,0,0,3,0,0,0,6,0,0,0,0,4,0,3,0,0,0,0,0,3,3,5,0,18,18,45,3,94
2100429,0,11,0,3,0,9,0,5,7,4,6,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,3,6,27,15,46,0,102
2100430,0,7,0,3,3,22,3,6,7,4,4,0,25,0,0,0,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,3,4,8,31,17,57,4,121
2100431,4,0,5,0,0,8,0,0,9,3,9,0,17,0,0,0,0,0,0,3,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,3,8,20,52,0,91
2100432,0,3,0,0,0,4,0,3,3,10,3,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,4,0,3,0,3,18,20,46,3,89
2100433,3,0,0,3,0,3,3,0,3,0,8,0,18,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,3,3,8,4,17,9,46,8,83
2100434,0,6,0,3,0,19,0,0,8,8,8,3,20,0,0,0,0,0,0,3,0,0,0,0,3,0,6,0,0,0,0,3,0,3,3,3,23,17,63,7,110
2100435,0,0,0,0,0,0,0,0,0,3,3,0,10,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,14,27,7,45
2100436,5,6,3,4,0,15,0,0,17,8,12,0,36,0,0,0,0,3,0,3,0,0,0,0,6,0,12,0,0,0,0,0,0,3,0,6,34,30,66,3,136
2100437,0,0,0,0,0,0,0,0,3,4,7,0,19,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,9,14,43,0,72
2100438,0,8,0,0,0,11,0,0,7,5,10,3,25,0,0,0,0,4,0,4,0,0,0,0,9,0,9,0,0,0,0,0,0,0,3,3,20,17,69,7,119
2100439,0,0,7,3,0,14,5,0,3,8,14,3,35,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,0,0,5,0,5,5,5,15,29,87,11,153
2100440,0,8,0,0,0,11,0,0,4,5,14,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,3,0,3,16,13,54,3,95
2100441,0,3,4,3,0,11,0,0,7,3,11,0,27,0,0,0,0,0,0,0,0,0,0,3,3,0,8,0,0,0,0,3,0,8,5,3,23,16,70,4,127
2100442,4,8,0,0,0,11,0,3,8,4,8,0,21,3,0,4,0,0,0,12,0,0,0,0,3,0,4,0,0,0,0,0,0,4,12,10,39,21,31,5,124
2100443,0,0,0,3,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,8,0,24
2100444,3,3,4,3,0,15,0,0,3,7,6,0,17,0,0,4,0,3,0,8,0,0,0,0,4,0,3,0,0,0,0,0,0,3,10,5,26,22,43,8,111
2100445,0,7,0,0,0,15,0,0,9,4,12,3,24,0,0,0,0,0,0,0,0,0,0,0,4,0,8,0,0,0,0,0,0,0,4,3,26,15,63,6,108
