SA1_7DIGITCODE_2016,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_more_15_19_yrs,P_3000_more_20_24_yrs,P_3000_more_25_34_yrs,P_3000_more_35_44_yrs,P_3000_more_45_54_yrs,P_3000_more_55_64_yrs,P_3000_more_65_74_yrs,P_3000_more_75_84_yrs,P_3000_more_85ov,P_3000_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
2100101,0,5,3,3,12,3,3,0,0,31,0,3,8,3,3,0,0,0,0,21,0,0,0,5,0,3,4,0,0,17,0,0,0,0,5,3,0,0,0,6,0,0,0,3,3,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,4,4,0,15,30,30,46,37,53,53,50,20,14,345
2100102,0,0,4,0,3,3,0,0,0,15,0,0,3,3,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,4,3,0,19,11,6,21,15,19,52,49,17,6,197
2100105,0,3,5,3,9,0,0,0,0,25,0,0,8,0,8,6,0,0,0,19,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,4,8,3,0,3,3,31,26,25,50,30,37,44,22,16,8,266
2100106,0,0,8,13,4,10,3,0,0,42,0,0,9,7,12,3,0,0,0,25,0,0,3,3,7,3,0,0,0,20,0,0,3,6,5,3,0,0,0,12,0,0,0,0,6,4,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,10,3,4,9,10,3,3,48,48,30,67,61,71,68,67,29,6,452
2100107,0,3,5,3,6,3,0,0,0,27,0,0,0,0,6,0,0,0,0,9,0,0,4,3,0,4,0,0,0,14,0,0,4,0,0,3,0,0,0,10,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,4,11,0,6,7,0,5,4,37,27,30,49,45,48,44,33,34,20,319
2100108,0,3,18,18,12,16,0,0,0,66,0,0,7,12,6,0,0,0,0,29,0,0,12,12,5,6,0,0,0,32,0,0,0,5,8,0,0,0,0,17,0,0,4,3,10,0,0,0,0,16,0,0,0,0,0,5,0,0,0,4,3,4,3,4,6,4,3,3,0,29,63,53,84,100,85,65,25,31,16,525
2100109,0,6,5,3,16,7,5,0,0,44,0,0,11,3,0,3,0,0,0,22,0,0,0,6,0,3,0,0,0,15,0,0,0,3,4,6,0,0,0,11,0,0,0,0,4,3,0,0,0,13,0,0,0,0,3,0,0,0,0,3,0,0,3,13,8,6,4,3,0,34,36,29,79,83,77,48,51,33,15,454
2100110,0,0,0,5,9,7,3,0,0,24,0,0,0,6,9,7,4,0,0,21,0,0,3,3,9,9,0,0,0,26,0,0,0,6,14,3,0,0,0,22,0,0,0,3,9,6,0,0,0,21,0,0,3,3,5,3,3,0,0,18,3,0,0,4,0,0,3,0,0,17,49,28,17,56,97,68,48,11,0,389
2100111,0,0,0,6,8,8,0,0,0,21,0,0,0,3,7,0,0,0,0,19,0,0,4,3,12,0,0,0,0,19,0,0,0,3,6,4,0,0,0,17,0,0,0,4,9,3,0,0,0,23,0,0,0,0,3,0,0,0,0,6,0,0,0,9,4,0,0,0,0,13,35,27,20,40,90,29,26,15,0,286
2100112,0,0,3,10,11,13,3,3,0,45,0,3,4,7,7,7,0,0,0,35,0,0,3,4,9,3,0,0,0,18,0,0,0,4,11,3,0,0,0,13,0,0,0,3,3,10,3,0,0,19,0,0,0,0,0,5,0,0,0,9,4,0,0,3,3,4,0,0,0,14,41,22,31,49,72,97,37,25,3,380
2100113,0,3,0,9,13,4,0,0,0,31,0,0,3,5,4,0,4,0,0,14,0,0,0,3,6,4,0,0,0,12,0,0,3,3,4,0,0,0,0,16,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,0,0,4,0,3,3,0,0,12,27,18,22,59,59,40,39,13,0,279
2100114,0,0,9,3,10,5,3,0,0,34,0,0,10,3,3,4,0,0,0,24,0,3,6,4,7,3,0,0,0,28,0,0,0,5,0,3,0,0,0,11,0,0,0,0,8,6,0,0,0,17,0,0,0,3,3,3,3,0,0,9,0,0,3,0,4,0,4,5,0,22,48,45,66,53,69,64,60,36,13,453
2100115,0,0,16,16,6,5,0,0,0,47,0,0,12,9,8,4,0,0,0,34,0,0,3,3,8,4,0,0,0,18,0,0,3,7,3,0,0,0,0,13,0,0,3,9,4,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,7,3,0,3,5,5,4,5,0,34,41,20,73,86,72,70,40,16,10,404
2100117,0,0,9,11,20,8,3,3,0,60,0,0,13,13,10,10,3,0,0,53,0,0,9,6,13,3,5,0,0,40,0,0,3,10,15,9,0,0,0,31,0,0,16,20,21,12,0,0,0,68,0,0,3,14,15,4,0,0,0,44,0,3,5,9,5,4,5,3,0,34,64,46,89,114,139,118,66,30,4,666
2100118,0,0,7,7,6,3,6,0,0,25,0,0,0,11,11,0,0,0,0,15,0,0,3,4,6,4,0,0,0,14,0,0,0,11,3,0,0,0,0,15,0,0,0,10,9,0,0,0,0,18,0,0,0,0,3,0,0,0,0,8,0,0,0,0,4,0,0,0,0,7,34,14,17,63,54,20,18,6,0,234
2100119,0,4,8,13,15,5,0,0,0,47,0,0,0,3,8,3,0,0,0,22,0,0,3,8,10,4,0,0,0,26,0,0,7,5,3,3,0,0,0,18,0,0,0,9,9,5,0,0,0,33,0,0,0,7,0,3,0,0,0,8,0,0,0,0,4,4,0,0,0,14,55,34,26,85,91,63,27,11,0,388
2100120,0,0,16,21,10,3,0,0,0,42,0,0,7,7,5,0,0,0,0,24,0,0,4,6,3,0,0,0,0,14,0,0,7,6,3,0,0,0,0,17,0,0,3,3,0,0,0,0,0,13,0,0,3,5,3,3,0,0,0,9,0,0,8,7,7,3,3,0,0,28,48,47,136,87,51,29,18,10,0,429
2100121,0,0,3,21,15,3,0,0,0,48,0,0,6,15,14,7,0,0,0,45,0,0,10,9,4,3,0,0,0,30,0,0,0,7,8,0,0,0,0,16,0,0,0,26,4,8,0,0,0,34,0,0,0,4,5,4,0,0,0,10,6,0,3,0,4,4,3,0,0,19,53,24,71,132,99,53,42,11,0,490
