SA1_7DIGITCODE_2016,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
2100101,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,12,21,5,4,10,4,0,56,0,0,0,0,0,0,0,0,14,27,10,8,12,4,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,7,3,6,0,0,29,0,0,0,0,0,0,0,0,4,7,7,3,10,0,0,27,17,30,16,14,20,5,0,98
2100102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,0,4,0,0,18,0,0,0,0,0,0,0,0,7,5,3,0,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,3,0,3,3,4,25
2100105,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,4,0,4,3,0,0,15,0,0,0,0,0,0,0,0,10,6,0,5,3,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,17,0,0,0,0,0,0,0,0,6,0,3,0,3,0,0,17,11,10,7,7,6,4,0,44
2100106,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,5,20,16,11,9,14,9,0,75,0,0,0,0,0,0,0,0,18,16,14,8,16,9,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,18,7,3,8,3,0,42,0,0,0,0,0,0,0,0,8,14,10,4,8,3,0,46,28,37,20,14,24,7,0,128
2100107,0,0,4,0,3,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,11,5,3,0,7,0,0,23,0,0,0,0,0,0,0,0,11,11,3,4,8,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,4,6,4,0,26,0,0,0,0,0,0,0,0,0,5,8,4,12,4,0,33,12,17,11,7,19,4,0,70
2100108,7,9,4,5,3,0,0,22,7,3,0,0,3,0,0,12,0,3,0,0,0,0,0,6,29,28,11,7,17,8,4,108,0,0,0,0,0,0,0,0,37,41,22,10,30,8,4,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,13,11,10,6,0,50,0,0,0,0,0,0,0,0,7,11,13,13,9,6,0,55,46,54,32,24,38,12,3,202
2100109,3,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,5,25,24,17,8,10,3,0,75,0,0,0,0,0,0,0,0,28,32,14,8,10,3,0,94,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,9,4,9,10,0,0,33,0,0,0,0,0,0,0,0,10,13,8,10,6,0,0,48,38,44,17,13,15,9,4,139
2100110,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,12,0,0,0,0,0,0,0,3,18,28,20,14,24,11,3,122,0,0,0,0,0,0,0,0,21,29,20,16,27,16,3,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,0,0,13,0,0,0,0,0,0,0,0,0,4,3,4,3,0,0,11,27,36,22,20,29,16,3,154
2100111,0,3,0,0,0,0,0,7,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,17,22,18,12,12,7,3,86,0,0,0,0,0,0,0,0,18,24,19,12,16,7,3,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,5,4,0,21,0,0,0,0,0,0,0,0,4,4,4,0,5,4,0,23,22,27,17,9,17,11,3,119
2100112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,5,13,17,16,3,12,3,0,73,0,0,0,0,0,0,0,3,14,16,16,8,19,6,0,82,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,5,0,3,0,0,22,0,0,0,0,0,0,0,0,0,3,5,0,10,0,0,27,13,22,28,12,25,8,0,108
2100113,0,3,3,0,0,0,0,9,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,8,27,13,13,10,4,3,76,0,0,0,0,0,0,0,0,15,30,19,14,18,7,3,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,11,16,30,23,13,18,5,3,107
2100114,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,3,3,0,0,3,0,0,15,18,21,12,9,10,0,3,74,0,0,0,0,0,0,0,0,21,28,15,10,14,4,3,92,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,8,9,3,3,0,22,0,0,0,0,0,0,0,0,0,5,8,9,7,3,0,31,24,33,19,14,21,11,3,122
2100115,0,0,3,0,3,0,0,6,5,3,0,0,0,0,0,11,0,0,3,4,0,0,0,7,29,42,25,23,15,0,0,138,0,0,0,0,0,0,0,0,37,45,33,28,19,3,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,8,0,3,3,0,26,0,0,0,0,0,0,0,0,7,4,8,0,3,3,0,26,40,52,38,28,21,5,0,188
