author_name,author_links,nationality
Charles Dickens,https://en.wikipedia.org/wiki/Charles_Dickens,English
Antoine de Saint-Exupéry,https://en.wikipedia.org/wiki/Antoine_de_Saint-Exup%C3%A9ry,French
Paulo Coelho,https://en.wikipedia.org/wiki/Paulo_Coelho,Brazilian
J. K. Rowling,https://en.wikipedia.org/wiki/J._K._Rowling,British
Agatha Christie,https://en.wikipedia.org/wiki/Agatha_Christie,English
Cao Xueqin,https://en.wikipedia.org/wiki/Cao_Xueqin,Chinese
J. R. R. Tolkien,https://en.wikipedia.org/wiki/J._R._R._Tolkien,English
Lewis Carroll,https://en.wikipedia.org/wiki/Lewis_Carroll,English
H. Rider Haggard,https://en.wikipedia.org/wiki/H._Rider_Haggard,British
Dan Brown,https://en.wikipedia.org/wiki/Dan_Brown,American
J. K. Rowling,https://en.wikipedia.org/wiki/J._K._Rowling,British
J. D. Salinger,https://en.wikipedia.org/wiki/J._D._Salinger,American
Robert James Waller,https://en.wikipedia.org/wiki/Robert_James_Waller,American
Gabriel García Márquez,https://en.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez,Colombian
Vladimir Nabokov,https://en.wikipedia.org/wiki/Vladimir_Nabokov,Russian
Johanna Spyri,https://en.wikipedia.org/wiki/Johanna_Spyri,Swiss
Benjamin Spock,https://en.wikipedia.org/wiki/Benjamin_Spock,American
Lucy Maud Montgomery,https://en.wikipedia.org/wiki/Lucy_Maud_Montgomery,Canadian
Anna Sewell,https://en.wikipedia.org/wiki/Anna_Sewell,English
Umberto Eco,https://en.wikipedia.org/wiki/Umberto_Eco,English
Jack Higgins,https://en.wikipedia.org/wiki/Jack_Higgins,British
Richard Adams,https://en.wikipedia.org/wiki/Richard_Adams,British
Shere Hite,https://en.wikipedia.org/wiki/Shere_Hite,German
E. B. White,https://en.wikipedia.org/wiki/E._B._White,American
J. P. Donleavy,https://en.wikipedia.org/wiki/J._P._Donleavy,Irish
Rick Warren,https://en.wikipedia.org/wiki/Rick_Warren,No nationality matched
Beatrix Potter,https://en.wikipedia.org/wiki/Beatrix_Potter,English
Richard Bach,https://en.wikipedia.org/wiki/Richard_Bach,American
Eric Carle,https://en.wikipedia.org/wiki/Eric_Carle,American
Elbert Hubbard,https://en.wikipedia.org/wiki/Elbert_Hubbard,American
Harper Lee,https://en.wikipedia.org/wiki/Harper_Lee,American
V. C. Andrews,https://en.wikipedia.org/wiki/V._C._Andrews,American
Carl Sagan,https://en.wikipedia.org/wiki/Carl_Sagan,American
Jostein Gaarder,https://en.wikipedia.org/wiki/Jostein_Gaarder,Norwegian
Dan Brown,https://en.wikipedia.org/wiki/Dan_Brown,American
William Griffith Wilson,https://en.wikipedia.org/wiki/Bill_W.,No nationality matched
Jeffrey Archer,https://en.wikipedia.org/wiki/Jeffrey_Archer,English
Nikolai Ostrovsky,https://en.wikipedia.org/wiki/Nikolai_Ostrovsky,Ukrainian
Leo Tolstoy,https://en.wikipedia.org/wiki/Leo_Tolstoy,Russian
Carlo Collodi,https://en.wikipedia.org/wiki/Carlo_Collodi,Italian
Anne Frank,https://en.wikipedia.org/wiki/Anne_Frank,German
Wayne Dyer,https://en.wikipedia.org/wiki/Wayne_Dyer,American
Colleen McCullough,https://en.wikipedia.org/wiki/Colleen_McCullough,Australian
Khaled Hosseini,https://en.wikipedia.org/wiki/Khaled_Hosseini,Afghan
Jacqueline Susann,https://en.wikipedia.org/wiki/Jacqueline_Susann,American
Dale Carnegie,https://en.wikipedia.org/wiki/Dale_Carnegie,American
F. Scott Fitzgerald,https://en.wikipedia.org/wiki/F._Scott_Fitzgerald,No nationality matched
Margaret Mitchell,https://en.wikipedia.org/wiki/Margaret_Mitchell,American
Daphne du Maurier,https://en.wikipedia.org/wiki/Daphne_du_Maurier,English
William Bradford Huie,https://en.wikipedia.org/wiki/William_Bradford_Huie,American
Stieg Larsson,https://en.wikipedia.org/wiki/Stieg_Larsson,Swedish
Dan Brown,https://en.wikipedia.org/wiki/Dan_Brown,American
Suzanne Collins,https://en.wikipedia.org/wiki/Suzanne_Collins,American
Roald Dahl,https://en.wikipedia.org/wiki/Roald_Dahl,British
Alexander Alexandrovich Fadeyev,https://en.wikipedia.org/wiki/Alexander_Alexandrovich_Fadeyev,Russian
Spencer Johnson,https://en.wikipedia.org/wiki/Spencer_Johnson_(writer),American
Stephen Hawking,https://en.wikipedia.org/wiki/Stephen_Hawking,English
Jacques-Henri Bernardin de Saint-Pierre,https://en.wikipedia.org/wiki/Jacques-Henri_Bernardin_de_Saint-Pierre,French
Irving Stone,https://en.wikipedia.org/wiki/Irving_Stone,American
Kenneth Grahame,https://en.wikipedia.org/wiki/Kenneth_Grahame,British
Stephen R. Covey,https://en.wikipedia.org/wiki/Stephen_R._Covey,American
Tetsuko Kuroyanagi,https://en.wikipedia.org/wiki/Tetsuko_Kuroyanagi,Japanese
Mikhail Sholokhov,https://en.wikipedia.org/wiki/Mikhail_Sholokhov,Soviet
James Redfield,https://en.wikipedia.org/wiki/James_Redfield,American
John Green,https://en.wikipedia.org/wiki/John_Green,No nationality matched
