SA1_CODE_2021,P_650_799_15_19_yrs,P_650_799_20_24_yrs,P_650_799_25_34_yrs,P_650_799_35_44_yrs,P_650_799_45_54_yrs,P_650_799_55_64_yrs,P_650_799_65_74_yrs,P_650_799_75_84_yrs,P_650_799_85ov,P_650_799_Tot,P_800_999_15_19_yrs,P_800_999_20_24_yrs,P_800_999_25_34_yrs,P_800_999_35_44_yrs,P_800_999_45_54_yrs,P_800_999_55_64_yrs,P_800_999_65_74_yrs,P_800_999_75_84_yrs,P_800_999_85ov,P_800_999_Tot,P_1000_1249_15_19_yrs,P_1000_1249_20_24_yrs,P_1000_1249_25_34_yrs,P_1000_1249_35_44_yrs,P_1000_1249_45_54_yrs,P_1000_1249_55_64_yrs,P_1000_1249_65_74_yrs,P_1000_1249_75_84_yrs,P_1000_1249_85ov,P_1000_1249_Tot,P_1250_1499_15_19_yrs,P_1250_1499_20_24_yrs,P_1250_1499_25_34_yrs,P_1250_1499_35_44_yrs,P_1250_1499_45_54_yrs,P_1250_1499_55_64_yrs,P_1250_1499_65_74_yrs,P_1250_1499_75_84_yrs,P_1250_1499_85ov,P_1250_1499_Tot,P_1500_1749_15_19_yrs,P_1500_1749_20_24_yrs,P_1500_1749_25_34_yrs,P_1500_1749_35_44_yrs,P_1500_1749_45_54_yrs,P_1500_1749_55_64_yrs,P_1500_1749_65_74_yrs,P_1500_1749_75_84_yrs,P_1500_1749_85ov,P_1500_1749_Tot,P_1750_1999_15_19_yrs,P_1750_1999_20_24_yrs,P_1750_1999_25_34_yrs,P_1750_1999_35_44_yrs,P_1750_1999_45_54_yrs,P_1750_1999_55_64_yrs,P_1750_1999_65_74_yrs,P_1750_1999_75_84_yrs,P_1750_1999_85ov,P_1750_1999_Tot,P_2000_2999_15_19_yrs,P_2000_2999_20_24_yrs,P_2000_2999_25_34_yrs,P_2000_2999_35_44_yrs,P_2000_2999_45_54_yrs,P_2000_2999_55_64_yrs,P_2000_2999_65_74_yrs,P_2000_2999_75_84_yrs,P_2000_2999_85ov,P_2000_2999_Tot,P_3000_3499_15_19_yrs,P_3000_3499_20_24_yrs,P_3000_3499_25_34_yrs,P_3000_3499_35_44_yrs,P_3000_3499_45_54_yrs,P_3000_3499_55_64_yrs,P_3000_3499_65_74_yrs,P_3000_3499_75_84_yrs,P_3000_3499_85ov,P_3000_3499_Tot,P_3500_more_15_19_yrs,P_3500_more_20_24_yrs,P_3500_more_25_34_yrs,P_3500_more_35_44_yrs,P_3500_more_45_54_yrs,P_3500_more_55_64_yrs,P_3500_more_65_74_yrs,P_3500_more_75_84_yrs,P_3500_more_85ov,P_3500_more_Tot,P_PI_NS_15_19_yrs,P_PI_NS_ns_20_24_yrs,P_PI_NS_ns_25_34_yrs,P_PI_NS_ns_35_44_yrs,P_PI_NS_ns_45_54_yrs,P_PI_NS_ns_55_64_yrs,P_PI_NS_ns_65_74_yrs,P_PI_NS_ns_75_84_yrs,P_PI_NS_ns_85_yrs_ovr,P_PI_NS_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
20101100101,0,8,5,8,3,0,3,5,0,35,0,7,5,3,10,3,8,0,4,38,0,0,6,0,7,5,0,0,0,24,0,0,4,5,4,3,0,0,0,12,0,0,4,7,11,0,0,0,0,22,0,0,0,4,3,6,0,0,0,13,0,0,0,3,10,3,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,5,4,4,0,0,4,18,29,32,38,41,63,42,53,27,11,339
20101100102,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,4,0,0,0,14,0,0,0,0,0,4,5,0,0,12,0,0,4,0,0,0,3,0,0,9,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,4,9,4,10,15,25,18,30,28,15,5,153
20101100105,0,4,7,10,7,10,0,0,0,33,0,9,7,4,0,3,4,0,0,28,0,0,8,8,7,3,0,0,0,27,0,3,4,5,0,3,0,0,0,14,0,0,4,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,4,0,14,66,37,44,52,40,41,30,14,11,330
20101100106,4,3,3,16,9,4,0,3,0,40,0,4,4,9,6,13,0,0,0,44,0,7,3,6,7,11,0,0,0,37,0,0,3,8,3,3,0,0,0,23,0,0,4,9,5,6,0,0,0,23,0,0,0,0,7,3,0,0,0,20,0,0,0,3,13,4,0,0,0,21,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,4,6,5,3,5,0,0,0,29,42,30,49,76,78,88,53,33,12,464
20101100107,0,0,3,0,0,7,3,9,0,24,0,4,6,4,5,3,7,0,0,28,0,8,3,3,8,3,0,0,3,33,0,7,0,3,7,4,0,0,0,12,0,0,4,0,4,7,0,0,0,17,0,0,4,6,3,0,0,0,0,17,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,10,0,3,5,3,27,17,24,49,34,56,45,36,38,14,314
20101100108,4,7,7,6,9,3,5,0,0,43,0,4,7,7,9,3,8,6,0,51,0,4,8,13,13,13,0,0,0,54,0,3,16,15,11,4,0,0,0,47,0,0,20,15,12,0,4,0,0,42,0,0,3,8,12,0,0,0,0,23,0,3,6,13,19,8,0,0,0,52,0,0,0,0,0,0,0,0,0,7,0,0,0,5,6,4,0,0,0,7,4,0,3,6,4,7,5,6,0,35,62,44,87,110,104,73,63,34,12,594
20101100109,0,0,3,4,9,0,0,5,0,30,0,3,6,9,3,6,4,0,0,38,0,4,18,3,10,3,0,0,0,46,0,4,9,11,6,4,0,0,0,38,0,0,3,3,8,4,0,0,0,20,0,0,5,3,0,3,0,0,0,14,0,0,5,3,7,10,3,0,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,4,3,9,3,4,0,0,24,29,25,73,65,72,50,47,43,13,424
20101100110,0,0,0,6,3,9,8,6,0,34,0,0,6,0,8,9,3,6,0,26,0,0,0,5,8,10,8,0,0,33,0,0,0,0,10,0,4,0,0,22,0,0,5,7,13,8,6,3,0,42,0,0,0,3,14,4,3,0,0,27,0,0,6,5,18,13,0,0,0,36,0,0,0,0,0,3,0,0,0,3,0,0,0,3,13,0,3,0,0,19,0,0,0,0,0,3,0,0,8,11,61,25,20,43,90,79,59,24,9,413
20101100111,0,0,3,0,0,3,0,0,0,19,0,4,4,4,6,0,4,0,0,17,0,6,4,4,7,7,0,0,3,27,0,0,5,0,0,3,0,0,0,18,0,0,8,0,7,6,7,0,0,25,0,0,0,4,5,0,0,0,0,3,0,0,0,6,15,9,0,0,0,34,0,0,0,0,5,3,0,0,0,5,0,0,0,3,0,0,0,0,0,13,0,0,6,3,0,0,0,0,0,4,32,18,28,37,64,54,33,10,10,285
20101100112,0,3,0,0,0,3,9,0,0,20,0,3,9,0,6,5,5,0,0,33,0,0,0,6,6,8,8,0,0,32,0,0,0,10,8,4,0,0,0,24,0,0,0,4,4,4,9,0,0,18,0,0,9,8,4,4,3,0,0,22,0,0,0,7,6,10,3,0,0,25,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,3,0,0,0,9,28,12,30,48,50,67,74,19,11,338
20101100113,0,5,0,0,7,0,9,5,0,27,0,3,4,5,4,3,5,0,0,26,0,0,0,3,4,6,0,0,0,22,0,0,5,0,13,7,4,0,0,22,0,0,0,0,4,4,0,0,0,11,0,0,0,6,4,4,0,0,0,17,0,0,0,9,10,4,0,0,0,16,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,32,20,16,32,65,47,39,19,6,267
20101100114,0,0,7,11,8,7,6,6,0,53,0,4,4,3,5,0,7,0,0,33,0,0,9,8,6,11,4,0,0,39,0,0,5,0,9,6,0,0,0,25,0,0,3,8,4,8,0,0,0,22,0,0,0,5,6,0,0,0,0,11,0,0,3,5,13,3,4,0,0,28,0,0,0,5,0,0,0,0,0,8,0,0,0,3,3,0,0,3,0,13,3,3,4,5,0,4,4,0,0,19,36,42,60,61,64,52,62,46,11,437
