GCCSA_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
2RVIC,90136,107552,91588,72622,69811,59819,40101,76668,10291,618583
2GMEL,279601,528261,266855,216447,293226,205194,118891,170451,36574,2115493
29799,0,4,7,0,0,0,0,3,0,23
29499,178,405,297,277,182,134,200,307,57,2033
