GCCSA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
2RVIC,43,1300,576,231,1418,0.8,1124,2.4
2GMEL,36,1800,673,350,1826,0.9,1542,2.7
29799,49,0,3000,0,0,0,0,0
29499,34,0,398,0,0,0,0,0
