GCCSA_CODE_2016,M_15_19_Prvided_unpaid_assist,M_15_19_No_unpad_asst_prvided,M_15_19_Unpaid_assist_ns,M_15_19_Tot,M_20_24_Prvided_unpaid_assist,M_20_24_No_unpad_asst_prvided,M_20_24_Unpaid_assist_ns,M_20_24_Tot,M_25_34_Prvided_unpaid_assist,M_25_34_No_unpad_asst_prvided,M_25_34_Unpaid_assist_ns,M_25_34_Tot,M_35_44_Prvided_unpaid_assist,M_35_44_No_unpad_asst_prvided,M_35_44_Unpaid_assist_ns,M_35_44_Tot,M_45_54_Prvided_unpaid_assist,M_45_54_No_unpad_asst_prvided,M_45_54_Unpaid_assist_ns,M_45_54_Tot,M_55_64_Prvided_unpaid_assist,M_55_64_No_unpad_asst_prvided,M_55_64_Unpaid_assist_ns,M_55_64_Tot,M_65_74_Prvided_unpaid_assist,M_65_74_No_unpad_asst_prvided,M_65_74_Unpaid_assist_ns,M_65_74_Tot,M_75_84_Prvided_unpaid_assist,M_75_84_No_unpad_asst_prvided,M_75_84_Unpaid_assist_ns,M_75_84_Tot,M_85_ov_Prvided_unpaid_assist,M_85_ov_No_unpad_asst_prvided,M_85_ov_Unpaid_assist_ns,M_85_ov_Tot,M_Tot_prvided_unpaid_assist,M_Tot_No_unpaid_asst_prvided,M_Tot_Unpaid_assist_ns,M_Tot_Tot,F_15_19_Prvided_unpaid_assist,F_15_19_No_unpad_asst_prvided,F_15_19_Unpaid_assist_ns,F_15_19_Tot,F_20_24_Prvided_unpaid_assist,F_20_24_No_unpad_asst_prvided,F_20_24_Unpaid_assist_ns,F_20_24_Tot,F_25_34_Prvided_unpaid_assist,F_25_34_No_unpad_asst_prvided,F_25_34_Unpaid_assist_ns,F_25_34_Tot,F_35_44_Prvided_unpaid_assist,F_35_44_No_unpad_asst_prvided,F_35_44_Unpaid_assist_ns,F_35_44_Tot,F_45_54_Prvided_unpaid_assist,F_45_54_No_unpad_asst_prvided,F_45_54_Unpaid_assist_ns,F_45_54_Tot,F_55_64_Prvided_unpaid_assist,F_55_64_No_unpad_asst_prvided,F_55_64_Unpaid_assist_ns,F_55_64_Tot,F_65_74_Prvided_unpaid_assist,F_65_74_No_unpad_asst_prvided,F_65_74_Unpaid_assist_ns,F_65_74_Tot,F_75_84_Prvided_unpaid_assist,F_75_84_No_unpad_asst_prvided,F_75_84_Unpaid_assist_ns,F_75_84_Tot,F_85_ov_Prvided_unpaid_assist,F_85_ov_No_unpad_asst_prvided,F_85_ov_Unpaid_assist_ns,F_85_ov_Tot,F_Tot_prvided_unpaid_assist,F_Tot_No_unpaid_asst_prvided,F_Tot_Unpaid_assist_ns,F_Tot_Tot,P_15_19_Prvided_unpaid_assist,P_15_19_No_unpad_asst_prvided,P_15_19_Unpaid_assist_ns,P_15_19_Tot,P_20_24_Prvided_unpaid_assist,P_20_24_No_unpad_asst_prvided,P_20_24_Unpaid_assist_ns,P_20_24_Tot,P_25_34_Prvided_unpaid_assist,P_25_34_No_unpad_asst_prvided,P_25_34_Unpaid_assist_ns,P_25_34_Tot,P_35_44_Prvided_unpaid_assist,P_35_44_No_unpad_asst_prvided,P_35_44_Unpaid_assist_ns,P_35_44_Tot,P_45_54_Prvided_unpaid_assist,P_45_54_No_unpad_asst_prvided,P_45_54_Unpaid_assist_ns,P_45_54_Tot,P_55_64_Prvided_unpaid_assist,P_55_64_No_unpad_asst_prvided,P_55_64_Unpaid_assist_ns,P_55_64_Tot,P_65_74_Prvided_unpaid_assist,P_65_74_No_unpad_asst_prvided,P_65_74_Unpaid_assist_ns,P_65_74_Tot,P_75_84_Prvided_unpaid_assist,P_75_84_No_unpad_asst_prvided,P_75_84_Unpaid_assist_ns,P_75_84_Tot,P_85_ov_Prvided_unpaid_assist,P_85_ov_No_unpad_asst_prvided,P_85_ov_Unpaid_assist_ns,P_85_ov_Tot,P_Tot_prvided_unpaid_assist,P_Tot_No_unpaid_asst_prvided,P_Tot_Unpaid_assist_ns,P_Tot_Tot
2RVIC,1861,37634,5435,44925,2119,34936,3873,40923,5322,63784,7721,76820,8068,64507,7598,80170,11573,72505,8890,92963,13941,74402,9150,97495,9027,62644,9760,81432,4174,29962,7150,41289,1157,10022,3173,14351,57236,450389,62747,570369,2194,34960,4882,42043,2826,32603,3178,38606,9233,64806,6133,80178,13880,65132,6355,85363,20032,71447,7680,99158,22980,70482,8776,102238,12746,60719,9936,83397,4694,33852,9001,47547,927,18122,5399,24446,89514,452123,61335,602974,4052,72597,10317,86967,4943,67537,7050,79529,14555,128590,13856,157001,21949,129638,13950,165539,31598,143949,16569,192122,36917,144888,17921,199728,21774,123359,19697,164829,8870,63813,16147,88833,2084,28144,8578,38801,146750,902516,124080,1173346
2GMEL,5451,120125,11166,136742,7828,147727,12802,168363,20453,309929,28902,359284,27976,264527,22491,314991,35643,230378,19759,285775,33054,180287,16258,229601,19875,128823,14414,163110,10040,66773,11282,88091,2979,24769,5458,33202,163292,1473343,142533,1779168,6265,115694,10312,132275,9959,143449,11593,165007,31238,312688,27136,371061,45109,258671,20312,324092,58748,224149,18642,301538,55166,175507,16630,247299,29743,134825,16605,181172,11811,81264,14884,107963,2283,43648,10020,55950,250314,1489901,146132,1886350,11714,235820,21480,269015,17790,291183,24395,333367,51694,622614,56039,730345,73083,523203,42802,639084,94388,454525,38398,587317,88218,355793,32889,476902,49619,263653,31017,344283,21855,148038,26160,196050,5261,68415,15479,89151,413611,2963240,288662,3665515
29799,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,5,5,0,11,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,18,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,5,5,0,11,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,21,3,25
29499,8,124,42,180,20,301,122,447,48,695,306,1052,47,419,352,813,43,335,251,628,43,279,141,460,30,192,62,283,3,49,23,72,0,9,0,9,243,2405,1296,3942,7,131,41,178,22,323,107,453,57,538,201,795,54,272,152,479,40,216,93,347,52,227,78,352,26,141,36,204,4,29,9,49,0,19,11,28,265,1887,725,2883,18,254,84,357,41,627,229,898,101,1239,505,1848,101,691,500,1295,87,547,337,975,92,503,215,816,58,332,95,482,7,81,36,121,0,22,11,38,505,4294,2019,6825
