GCCSA_CODE_2016,A_0_4_y_Indigenous_M,A_0_4_y_Indigenous_F,A_0_4_y_Indigenous_P,A_0_4_y_Non_Indigenous_M,A_0_4_y_Non_Indigenous_F,A_0_4_y_Non_Indigenous_P,A_0_4_y_Indig_stat_ns_M,A_0_4_y_Indig_stat_ns_F,A_0_4_y_Indig_stat_ns_P,A_0_4_y_Tot_M,A_0_4_y_Tot_F,A_0_4_y_Tot_P,A_5_9_y_Indigenous_M,A_5_9_y_Indigenous_F,A_5_9_y_Indigenous_P,A_5_9_y_Non_Indigenous_M,A_5_9_y_Non_Indigenous_F,A_5_9_y_Non_Indigenous_P,A_5_9_y_Indig_stat_ns_M,A_5_9_y_Indig_stat_ns_F,A_5_9_y_Indig_stat_ns_P,A_5_9_y_Tot_M,A_5_9_y_Tot_F,A_5_9_y_Tot_P,A_10_14_y_Indigenous_M,A_10_14_y_Indigenous_F,A_10_14_y_Indigenous_P,A_10_14_y_Non_Indig_M,A_10_14_y_Non_Indig_F,A_10_14_y_Non_Indig_P,A_10_14_y_Indig_stat_ns_M,A_10_14_y_Indig_stat_ns_F,A_10_14_y_Indig_stat_ns_P,A_10_14_y_Tot_M,A_10_14_y_Tot_F,A_10_14_y_Tot_P,A_15_19_y_Indigenous_M,A_15_19_y_Indigenous_F,A_15_19_y_Indigenous_P,A_15_19_y_Non_Indig_M,A_15_19_y_Non_Indig_F,A_15_19_y_Non_Indig_P,A_15_19_y_Indig_stat_ns_M,A_15_19_y_Indig_stat_ns_F,A_15_19_y_Indig_stat_ns_P,A_15_19_y_Tot_M,A_15_19_y_Tot_F,A_15_19_y_Tot_P,A_20_24_y_Indigenous_M,A_20_24_y_Indigenous_F,A_20_24_y_Indigenous_P,A_20_24_y_Non_Indig_M,A_20_24_y_Non_Indig_F,A_20_24_y_Non_Indig_P,A_20_24_y_Indig_stat_ns_M,A_20_24_y_Indig_stat_ns_F,A_20_24_y_Indig_stat_ns_P,A_20_24_y_Tot_M,A_20_24_y_Tot_F,A_20_24_y_Tot_P,A_25_29_y_Indigenous_M,A_25_29_y_Indigenous_F,A_25_29_y_Indigenous_P,A_25_29_y_Non_Indig_M,A_25_29_y_Non_Indig_F,A_25_29_y_Non_Indig_P,A_25_29_y_Indig_stat_ns_M,A_25_29_y_Indig_stat_ns_F,A_25_29_y_Indig_stat_ns_P,A_25_29_y_Tot_M,A_25_29_y_Tot_F,A_25_29_y_Tot_P,A_30_34_y_Indigenous_M,A_30_34_y_Indigenous_F,A_30_34_y_Indigenous_P,A_30_34_y_Non_Indig_M,A_30_34_y_Non_Indig_F,A_30_34_y_Non_Indig_P,A_30_34_y_Indig_stat_ns_M,A_30_34_y_Indig_stat_ns_F,A_30_34_y_Indig_stat_ns_P,A_30_34_y_Tot_M,A_30_34_y_Tot_F,A_30_34_y_Tot_P,A_35_39_y_Indigenous_M,A_35_39_y_Indigenous_F,A_35_39_y_Indigenous_P,A_35_39_y_Non_Indig_M,A_35_39_y_Non_Indig_F,A_35_39_y_Non_Indig_P,A_35_39_y_Indig_stat_ns_M,A_35_39_y_Indig_stat_ns_F,A_35_39_y_Indig_stat_ns_P,A_35_39_y_Tot_M,A_35_39_y_Tot_F,A_35_39_y_Tot_P,A_40_44_y_Indigenous_M,A_40_44_y_Indigenous_F,A_40_44_y_Indigenous_P,A_40_44_y_Non_Indig_M,A_40_44_y_Non_Indig_F,A_40_44_y_Non_Indig_P,A_40_44_y_Indig_stat_ns_M,A_40_44_y_Indig_stat_ns_F,A_40_44_y_Indig_stat_ns_P,A_40_44_y_Tot_M,A_40_44_y_Tot_F,A_40_44_y_Tot_P,A_45_49_y_Indigenous_M,A_45_49_y_Indigenous_F,A_45_49_y_Indigenous_P,A_45_49_y_Non_Indig_M,A_45_49_y_Non_Indig_F,A_45_49_y_Non_Indig_P,A_45_49_y_Indig_stat_ns_M,A_45_49_y_Indig_stat_ns_F,A_45_49_y_Indig_stat_ns_P,A_45_49_y_Tot_M,A_45_49_y_Tot_F,A_45_49_y_Tot_P,A_50_54_y_Indigenous_M,A_50_54_y_Indigenous_F,A_50_54_y_Indigenous_P,A_50_54_y_Non_Indig_M,A_50_54_y_Non_Indig_F,A_50_54_y_Non_Indig_P,A_50_54_y_Indig_stat_ns_M,A_50_54_y_Indig_stat_ns_F,A_50_54_y_Indig_stat_ns_P,A_50_54_y_Tot_M,A_50_54_y_Tot_F,A_50_54_y_Tot_P,A_55_59_y_Indigenous_M,A_55_59_y_Indigenous_F,A_55_59_y_Indigenous_P,A_55_59_y_Non_Indig_M,A_55_59_y_Non_Indig_F,A_55_59_y_Non_Indig_P,A_55_59_y_Indig_stat_ns_M,A_55_59_y_Indig_stat_ns_F,A_55_59_y_Indig_stat_ns_P,A_55_59_y_Tot_M,A_55_59_y_Tot_F,A_55_59_y_Tot_P,A_60_64_y_Indigenous_M,A_60_64_y_Indigenous_F,A_60_64_y_Indigenous_P,A_60_64_y_Non_Indig_M,A_60_64_y_Non_Indig_F,A_60_64_y_Non_Indig_P,A_60_64_y_Indig_stat_ns_M,A_60_64_y_Indig_stat_ns_F,A_60_64_y_Indig_stat_ns_P,A_60_64_y_Tot_M,A_60_64_y_Tot_F,A_60_64_y_Tot_P,A_65_y_ov_Indigenous_M,A_65_y_ov_Indigenous_F,A_65_y_ov_Indigenous_P,A_65_y_ov_Non_Indig_M,A_65_y_ov_Non_Indig_F,A_65_y_ov_Non_Indig_P,A_65_y_ov_Indig_stat_ns_M,A_65_y_ov_Indig_stat_ns_F,A_65_y_ov_Indig_stat_ns_P,A_65_y_ov_Tot_M,A_65_y_ov_Tot_F,A_65_y_ov_Tot_P,Tot_Indigenous_M,Tot_Indigenous_F,Tot_Indigenous_P,Tot_Non_Indigenous_M,Tot_Non_Indigenous_F,Tot_Non_Indigenous_P,Tot_Indig_status_ns_M,Tot_Indig_status_ns_F,Tot_Indig_status_ns_P,Tot_Tot_M,Tot_Tot_F,Tot_Tot_P
2RVIC,1495,1456,2948,38789,36567,75360,2719,2643,5360,43001,40662,83665,1507,1399,2912,41875,39487,81366,2923,2734,5658,46312,43620,89935,1305,1335,2640,40279,38466,78748,2854,2637,5490,44445,42428,86873,1210,1216,2428,40931,38136,79066,2786,2691,5477,44925,42043,86967,1000,920,1917,37085,35035,72125,2837,2652,5490,40923,38606,79529,754,835,1584,35080,35893,70970,2696,2583,5282,38530,39310,77842,584,659,1244,35123,37565,72683,2583,2637,5225,38294,40864,79154,511,602,1117,34820,37196,72015,2395,2493,4887,37726,40290,78014,556,625,1182,39046,41684,80729,2845,2770,5612,42442,45080,87518,570,679,1247,41657,44732,86387,3244,3050,6296,45471,48463,93933,552,593,1143,43626,46811,90438,3308,3292,6597,47486,50695,98187,477,521,1000,45281,48149,93423,3467,3467,6937,49225,52136,101361,388,389,775,44362,46134,90497,3522,3573,7094,48271,50095,98363,613,690,1305,125038,141422,266463,11416,13284,24698,137073,155391,292463,11531,11912,23444,642997,667267,1310270,49596,50510,100103,704128,729694,1433818
2GMEL,1248,1261,2507,138629,131382,270013,7501,7155,14659,147382,139793,287178,1229,1257,2486,134650,128262,262908,6794,6316,13107,142674,135831,278506,1237,1125,2360,123302,116956,240259,5843,5559,11399,130382,123638,254017,1171,1172,2342,129162,124847,254010,6410,6249,12661,136742,132275,269015,1176,1163,2338,157749,154650,312400,9437,9192,18630,168363,165007,333367,1001,1024,2026,166386,171570,337950,11100,11354,22459,178485,183944,362435,842,781,1627,169012,175598,344607,10945,10733,21682,180801,187112,367913,687,718,1405,152039,154433,306475,9023,8418,17436,161748,163566,325319,736,733,1466,144237,151895,296133,8269,7896,16166,153241,160525,313768,748,720,1466,140373,150270,290643,7829,7642,15473,148946,158634,307580,533,634,1166,128800,135228,264029,7493,7042,14540,136829,142906,279728,446,459,903,116457,124814,241277,6794,6842,13641,123698,132121,255824,356,408,764,99552,108684,208232,5990,6090,12085,105899,115182,221078,526,685,1208,265578,321244,586819,18307,23154,41458,284403,345078,629487,11933,12136,24062,2065922,2149830,4215761,121739,123651,245390,2199597,2285616,4485211
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,6,0,6,0,0,0,5,0,5,0,0,0,3,0,3,0,0,0,4,0,4,0,0,0,5,0,5,0,0,0,4,0,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4,24,3,0,3,28,4,29
29499,16,6,25,175,138,312,24,13,39,215,163,379,0,8,8,72,87,157,15,11,24,88,105,195,7,7,9,69,73,145,13,16,25,88,88,176,15,13,28,141,146,288,20,16,39,180,178,357,10,6,23,371,385,753,65,62,121,447,453,898,21,4,22,439,386,821,85,60,143,542,450,994,20,13,28,411,279,691,76,51,134,513,345,856,25,6,32,352,205,555,64,42,108,441,253,693,16,17,38,296,176,471,58,30,95,372,229,601,16,6,23,286,144,427,51,25,73,349,170,524,11,5,20,223,146,364,47,25,66,277,177,451,12,4,12,196,158,355,35,27,58,237,188,425,4,3,12,188,137,324,33,26,55,219,169,390,0,6,6,316,238,556,47,36,80,365,279,643,160,117,279,3534,2688,6219,638,434,1069,4331,3238,7565
