GCCSA_CODE_2016,M_AgriForestFish_0,M_AgriForestFish_1_15,M_AgriForestFish_16_24,M_AgriForestFish_25_34,M_AgriForestFish_35_39,M_AgriForestFish_40,M_AgriForestFish_41_48,M_AgriForestFish_49over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_15,M_Min_16_24,M_Min_25_34,M_Min_35_39,M_Min_40,M_Min_41_48,M_Min_49over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_15,M_Mnfg_16_24,M_Mnfg_25_34,M_Mnfg_35_39,M_Mnfg_40,M_Mnfg_41_48,M_Mnfg_49over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_15,M_EGW_WS_16_24,M_EGW_WS_25_34,M_EGW_WS_35_39,M_EGW_WS_40,M_EGW_WS_41_48,M_EGW_WS_49over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_15,M_Cnstn_16_24,M_Cnstn_25_34,M_Cnstn_35_39,M_Cnstn_40,M_Cnstn_41_48,M_Cnstn_49over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_15,M_WTrade_16_24,M_WTrade_25_34,M_WTrade_35_39,M_WTrade_40,M_WTrade_41_48,M_WTrade_49over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_15,M_RTrade_16_24,M_RTrade_25_34,M_RTrade_35_39,M_RTrade_40,M_RTrade_41_48,M_RTrade_49over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_15,M_AccomFoodS_16_24,M_AccomFoodS_25_34,M_AccomFoodS_35_39,M_AccomFoodS_40,M_AccomFoodS_41_48,M_AccomFoodS_49over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_15,M_TransPostWhse_16_24,M_TransPostWhse_25_34,M_TransPostWhse_35_39,M_TransPostWhse_40,M_TransPostWhse_41_48,M_TransPostWhse_49over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_15,M_InfoMedTelecom_16_24,M_InfoMedTelecom_25_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40,M_InfoMedTelecom_41_48,M_InfoMedTelecom_49over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_15,M_FinInsurS_16_24,M_FinInsurS_25_34,M_FinInsurS_35_39,M_FinInsurS_40,M_FinInsurS_41_48,M_FinInsurS_49over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_15,M_RentHirREserv_16_24,M_RentHirREserv_25_34,M_RentHirREserv_35_39,M_RentHirREserv_40,M_RentHirREserv_41_48,M_RentHirREserv_49over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_15,M_ProScieTechServ_16_24,M_ProScieTechServ_25_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40,M_ProScieTechServ_41_48,M_ProScieTechServ_49over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_15,M_AdminSupServ_16_24,M_AdminSupServ_25_34,M_AdminSupServ_35_39,M_AdminSupServ_40,M_AdminSupServ_41_48,M_AdminSupServ_49over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_15,M_PubAdmiSafety_16_24,M_PubAdmiSafety_25_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40,M_PubAdmiSafety_41_48,M_PubAdmiSafety_49over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_15,M_EducTrain_16_24,M_EducTrain_25_34,M_EducTrain_35_39,M_EducTrain_40,M_EducTrain_41_48,M_EducTrain_49over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_15,M_HealthCareSocA_16_24,M_HealthCareSocA_25_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40,M_HealthCareSocA_41_48,M_HealthCareSocA_49over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_15,M_ArtRecServ_16_24,M_ArtRecServ_25_34,M_ArtRecServ_35_39,M_ArtRecServ_40,M_ArtRecServ_41_48,M_ArtRecServ_49over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_15,M_OthServ_16_24,M_OthServ_25_34,M_OthServ_35_39,M_OthServ_40,M_OthServ_41_48,M_OthServ_49over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot
2RVIC,1138,2088,1673,2449,3015,5443,2882,14228,645,33560,300,96,82,80,389,514,665,1936,53,4131,1130,1218,1233,1914,9188,9748,6482,6444,395,37742,363,197,207,309,2036,1953,1150,1332,82,7641,1594,1786,1909,3242,7566,15097,6331,10634,720,48881,285,495,446,515,1975,2371,1620,2228,80,10024,803,4889,2202,2501,5186,4099,2811,3977,363,26828,567,5348,1827,1738,1998,1686,1084,2724,291,17265,841,1089,1171,1428,2603,3522,2486,5940,353,19428,107,318,162,205,866,753,512,616,32,3567,124,164,154,221,943,1337,714,1021,38,4708,95,209,145,164,435,619,403,987,32,3098,348,951,738,1047,2067,3144,1673,2971,105,13046,275,1344,923,969,1421,1336,569,1026,124,7999,1068,745,655,950,4955,5412,2921,2624,176,19512,425,1571,1076,1356,3084,2692,1813,2936,149,15105,691,1291,1415,2481,3205,3291,1500,2119,166,16158,180,981,406,457,841,707,385,725,62,4749,324,892,606,839,2602,3239,1472,2454,145,12577,693,1172,801,942,2454,3030,1138,2440,3218,15896
2GMEL,248,668,673,723,1382,1763,770,1955,149,8327,204,93,66,68,331,705,431,1461,36,3394,2025,3333,3732,4764,32413,29779,16824,19989,1011,113873,300,324,365,486,3868,4373,2030,2871,135,14757,3366,4886,6352,9757,23179,48809,19439,33793,2169,151744,772,1776,1838,1967,10729,13228,6714,9396,319,46744,2033,16080,10074,8590,18241,16251,8981,14162,1075,95488,1371,16728,11338,6619,8507,7605,4737,9275,1064,67244,2226,3590,4878,6744,14934,18874,10687,17040,1214,80188,534,1401,1181,1388,6737,8535,3465,5085,232,28570,981,1076,1331,1847,9279,17348,6304,10802,363,49338,306,999,872,1021,2818,4172,2373,5558,169,18287,1806,5471,4557,5663,17073,34023,13525,24837,714,107676,837,4428,5005,4370,7662,7212,3095,4621,519,37747,1975,2331,2056,2683,14458,14642,7967,7128,481,53717,1093,8693,4206,4317,10717,10561,5651,9959,525,55715,1518,4089,4627,7143,11582,11245,5776,8447,574,54990,602,4784,2188,2356,3534,4293,1921,3530,260,23474,695,2755,2822,2974,8911,9914,4835,7367,496,40779,1522,4333,3920,3875,12223,13858,4753,8795,11620,64905
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
29499,3,0,3,9,8,10,3,7,0,45,3,0,0,0,0,0,0,7,0,7,8,3,5,8,23,26,7,14,8,107,0,3,4,0,3,7,0,4,0,17,5,12,10,13,22,58,20,41,3,182,0,0,3,3,11,8,3,0,0,35,3,5,6,11,15,18,3,10,0,70,3,15,17,14,22,19,12,13,3,116,7,4,0,6,18,25,16,25,4,111,0,0,0,0,4,0,3,0,0,20,0,3,0,0,3,8,0,10,0,26,0,0,0,0,3,4,0,6,0,13,3,3,3,3,10,21,7,15,3,71,3,7,10,4,7,4,5,6,0,52,3,3,3,3,15,20,17,20,0,78,4,7,9,6,3,5,3,6,0,44,4,5,10,11,6,8,3,6,0,51,0,10,4,4,3,12,3,12,0,41,0,10,3,0,7,12,8,14,0,54,9,3,8,4,19,10,5,8,27,94
