GCCSA_CODE_2016,M_Tot_0,M_Tot_1_15,M_Tot_16_24,M_Tot_25_34,M_Tot_35_39,M_Tot_40,M_Tot_41_48,M_Tot_49over,M_Tot_hours_NS,M_Tot_Tot,F_AgriForestFish_0,F_AgriForestFish_1_15,F_AgriForestFish_16_24,F_AgriForestFish_25_34,F_AgriForestFish_35_39,F_AgriForestFish_40,F_AgriForestFish_41_48,F_AgriForestFish_49over,F_AgriForestFish_hours_NS,F_AgriForestFish_Tot,F_Min_0,F_Min_1_15,F_Min_16_24,F_Min_25_34,F_Min_35_39,F_Min_40,F_Min_41_48,F_Min_49over,F_Min_hours_NS,F_Min_Tot,F_Mnfg_0,F_Mnfg_1_15,F_Mnfg_16_24,F_Mnfg_25_34,F_Mnfg_35_39,F_Mnfg_40,F_Mnfg_41_48,F_Mnfg_49over,F_Mnfg_hours_NS,F_Mnfg_Tot,F_EGW_WS_0,F_EGW_WS_1_15,F_EGW_WS_16_24,F_EGW_WS_25_34,F_EGW_WS_35_39,F_EGW_WS_40,F_EGW_WS_41_48,F_EGW_WS_49over,F_EGW_WS_hours_NS,F_EGW_WS_Tot,F_Cnstn_0,F_Cnstn_1_15,F_Cnstn_16_24,F_Cnstn_25_34,F_Cnstn_35_39,F_Cnstn_40,F_Cnstn_41_48,F_Cnstn_49over,F_Cnstn_hours_NS,F_Cnstn_Tot,F_WTrade_0,F_WTrade_1_15,F_WTrade_16_24,F_WTrade_25_34,F_WTrade_35_39,F_WTrade_40,F_WTrade_41_48,F_WTrade_49over,F_WTrade_hours_NS,F_WTrade_Tot,F_RTrade_0,F_RTrade_1_15,F_RTrade_16_24,F_RTrade_25_34,F_RTrade_35_39,F_RTrade_40,F_RTrade_41_48,F_RTrade_49over,F_RTrade_hours_NS,F_RTrade_Tot,F_AccomFoodS_0,F_AccomFoodS_1_15,F_AccomFoodS_16_24,F_AccomFoodS_25_34,F_AccomFoodS_35_39,F_AccomFoodS_40,F_AccomFoodS_41_48,F_AccomFoodS_49over,F_AccomFoodS_hours_NS,F_AccomFoodS_Tot,F_TransPostWhse_0,F_TransPostWhse_1_15,F_TransPostWhse_16_24,F_TransPostWhse_25_34,F_TransPostWhse_35_39,F_TransPostWhse_40,F_TransPostWhse_41_48,F_TransPostWhse_49over,F_TransPostWhse_hours_NS,F_TransPostWhse_Tot,F_InfoMedTelecom_0,F_InfoMedTelecom_1_15,F_InfoMedTelecom_16_24,F_InfoMedTelecom_25_34,F_InfoMedTelecom_35_39,F_InfoMedTelecom_40,F_InfoMedTelecom_41_48,F_InfoMedTelecom_49over,F_InfoMedTelecom_hours_NS,F_InfoMedTelecom_Tot,F_FinInsurS_0,F_FinInsurS_1_15,F_FinInsurS_16_24,F_FinInsurS_25_34,F_FinInsurS_35_39,F_FinInsurS_40,F_FinInsurS_41_48,F_FinInsurS_49over,F_FinInsurS_hours_NS,F_FinInsurS_Tot,F_RentHirREserv_0,F_RentHirREserv_1_15,F_RentHirREserv_16_24,F_RentHirREserv_25_34,F_RentHirREserv_35_39,F_RentHirREserv_40,F_RentHirREserv_41_48,F_RentHirREserv_49over,F_RentHirREserv_hours_NS,F_RentHirREserv_Tot,F_ProScieTechServ_0,F_ProScieTechServ_1_15,F_ProScieTechServ_16_24,F_ProScieTechServ_25_34,F_ProScieTechServ_35_39,F_ProScieTechServ_40,F_ProScieTechServ_41_48,F_ProScieTechServ_49over,F_ProScieTechServ_hours_NS,F_ProScieTechServ_Tot,F_AdminSupServ_0,F_AdminSupServ_1_15,F_AdminSupServ_16_24,F_AdminSupServ_25_34,F_AdminSupServ_35_39,F_AdminSupServ_40,F_AdminSupServ_41_48,F_AdminSupServ_49over,F_AdminSupServ_hours_NS,F_AdminSupServ_Tot,F_PubAdmiSafety_0,F_PubAdmiSafety_1_15,F_PubAdmiSafety_16_24,F_PubAdmiSafety_25_34,F_PubAdmiSafety_35_39,F_PubAdmiSafety_40,F_PubAdmiSafety_41_48,F_PubAdmiSafety_49over,F_PubAdmiSafety_hours_NS,F_PubAdmiSafety_Tot,F_EducTrain_0,F_EducTrain_1_15,F_EducTrain_16_24,F_EducTrain_25_34,F_EducTrain_35_39,F_EducTrain_40,F_EducTrain_41_48,F_EducTrain_49over,F_EducTrain_hours_NS,F_EducTrain_Tot,F_HealthCareSocA_0,F_HealthCareSocA_1_15,F_HealthCareSocA_16_24,F_HealthCareSocA_25_34,F_HealthCareSocA_35_39,F_HealthCareSocA_40,F_HealthCareSocA_41_48,F_HealthCareSocA_49over,F_HealthCareSocA_hours_NS,F_HealthCareSocA_Tot,F_ArtRecServ_0,F_ArtRecServ_1_15,F_ArtRecServ_16_24,F_ArtRecServ_25_34,F_ArtRecServ_35_39,F_ArtRecServ_40,F_ArtRecServ_41_48,F_ArtRecServ_49over,F_ArtRecServ_hours_NS,F_ArtRecServ_Tot,F_OthServ_0,F_OthServ_1_15,F_OthServ_16_24,F_OthServ_25_34,F_OthServ_35_39,F_OthServ_40,F_OthServ_41_48,F_OthServ_49over,F_OthServ_hours_NS,F_OthServ_Tot
2RVIC,11366,26842,17833,23821,56817,70002,38613,69363,7251,321909,626,2355,1701,1941,1304,1822,730,3149,301,13922,29,38,57,60,72,94,58,94,0,487,576,2039,1629,1647,2663,2132,961,834,125,12616,125,114,209,232,483,425,121,121,6,1834,226,1272,857,873,786,892,262,365,63,5601,153,563,506,543,780,602,292,248,27,3707,1770,10766,6604,6816,5593,3011,1735,1809,425,38536,1099,9996,4146,3665,2363,1501,980,2063,450,26265,239,833,699,820,876,639,357,460,56,4980,130,508,358,348,623,356,206,156,12,2703,476,506,1045,1139,1754,1175,480,429,46,7045,132,458,469,439,941,572,299,350,23,3688,497,2151,1894,2145,2518,1776,850,989,99,12926,383,2775,1639,1494,1460,862,360,456,159,9596,1403,1802,2545,2753,4353,3002,1311,1177,159,18508,1750,5391,6217,6441,6296,4157,3118,4708,330,38407,4820,8212,14885,18152,11333,8167,2929,3346,702,72544,250,1359,677,690,505,350,209,337,71,4444,377,2283,1564,1723,1697,991,523,575,131,9863
2GMEL,24418,87843,72092,77347,218577,277207,130291,206069,23117,1116953,211,824,754,792,883,746,330,432,60,5043,63,48,98,102,142,301,125,224,3,1110,1457,5531,5227,5615,13074,9757,3944,3357,390,48359,341,264,527,674,2036,1615,576,506,36,6565,604,3407,3138,3024,3671,4435,1454,1750,239,21721,949,2403,3045,3264,7186,6140,2339,2308,173,27799,4072,31867,20413,18066,18940,11824,5995,6162,1317,118649,2001,24535,12924,9372,7250,5217,3237,4199,1073,69810,1136,2059,2817,3641,6333,5094,2082,1931,247,25339,701,1698,1737,1869,3696,3893,1713,1884,142,17330,2422,2069,4619,5210,10274,12350,3948,4327,306,45526,603,1932,2001,1916,3775,3905,1735,1894,155,17920,3194,9602,10042,10579,15279,17754,7395,9242,531,83612,1268,7308,6561,5374,7004,5419,2166,2380,413,37883,3367,3715,6289,7253,13900,9130,4737,3723,350,52464,4743,20005,19020,18587,21823,16096,10210,15512,931,126931,9704,23632,35392,43227,37018,26701,9642,10883,1904,198110,752,5720,2856,2733,2496,2433,1223,1619,206,20035,1097,7161,5453,5493,6846,4286,2119,2135,367,34955
29799,0,0,0,0,0,0,0,17,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,64,96,107,108,210,272,113,215,53,1242,0,0,6,3,3,3,0,0,0,18,0,0,0,0,0,0,0,0,0,6,0,0,3,0,7,7,10,3,0,24,0,0,0,0,0,3,0,0,0,4,0,3,0,3,4,3,0,4,0,20,0,0,0,0,5,7,0,0,0,12,0,14,8,14,13,9,3,4,0,62,6,22,18,28,18,8,9,15,4,130,0,3,3,3,3,3,0,3,0,23,0,3,0,0,0,0,6,4,0,9,4,3,0,0,9,5,0,0,0,22,0,0,0,0,4,3,0,0,0,13,0,5,6,3,10,15,4,7,0,59,0,8,3,3,6,3,0,6,0,37,8,0,3,3,7,8,4,0,0,36,3,16,9,13,11,9,0,6,6,70,10,11,20,31,13,20,16,8,0,139,0,3,0,6,0,4,0,8,0,28,0,6,6,3,7,6,0,0,0,38
