GCCSA_CODE_2016,F_Tot_LF_15_19,F_Tot_LF_20_24,F_Tot_LF_25_34,F_Tot_LF_35_44,F_Tot_LF_45_54,F_Tot_LF_55_64,F_Tot_LF_65_74,F_Tot_LF_75_84,F_Tot_LF_85ov,F_Tot_LF_Tot,F_Not_in_LF_15_19,F_Not_in_LF_20_24,F_Not_in_LF_25_34,F_Not_in_LF_35_44,F_Not_in_LF_45_54,F_Not_in_LF_55_64,F_Not_in_LF_65_74,F_Not_in_LF_75_84,F_Not_in_LF_85ov,F_Not_in_LF_Tot,F_LFS_NS_15_19,F_LFS_NS_20_24,F_LFS_NS_25_34,F_LFS_NS_35_44,F_LFS_NS_45_54,F_LFS_NS_55_64,F_LFS_NS_65_74,F_LFS_NS_75_84,F_LFS_NS_85ov,F_LFS_NS_Tot,F_Tot_15_19,F_Tot_20_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Emp_FullT_15_19,P_Emp_FullT_20_24,P_Emp_FullT_25_34,P_Emp_FullT_35_44,P_Emp_FullT_45_54,P_Emp_FullT_55_64,P_Emp_FullT_65_74,P_Emp_FullT_75_84,P_Emp_FullT_85ov,P_Emp_FullT_Tot,P_Emp_PartT_15_19,P_Emp_PartT_20_24,P_Emp_PartT_25_34,P_Emp_PartT_35_44,P_Emp_PartT_45_54,P_Emp_PartT_55_64,P_Emp_PartT_65_74,P_Emp_PartT_75_84,P_Emp_PartT_85ov,P_Emp_PartT_Tot,P_Emp_awy_f_wrk_15_19,P_Emp_awy_f_wrk_20_24,P_Emp_awy_f_wrk_25_34,P_Emp_awy_f_wrk_35_44,P_Emp_awy_f_wrk_45_54,P_Emp_awy_f_wrk_55_64,P_Emp_awy_f_wrk_65_74,P_Emp_awy_f_wrk_75_84,P_Emp_awy_f_wrk_85ov,P_Emp_awy_f_wrk_Tot,P_Hours_wkd_NS_15_19,P_Hours_wkd_NS_20_24,P_Hours_wkd_NS_25_34,P_Hours_wkd_NS_35_44,P_Hours_wkd_NS_45_54,P_Hours_wkd_NS_55_64,P_Hours_wkd_NS_65_74,P_Hours_wkd_NS_75_84,P_Hours_wkd_NS_85ov,P_Hours_wkd_NS_Tot,P_Tot_Emp_15_19,P_Tot_Emp_20_24,P_Tot_Emp_25_34,P_Tot_Emp_35_44,P_Tot_Emp_45_54,P_Tot_Emp_55_64,P_Tot_Emp_65_74,P_Tot_Emp_75_84,P_Tot_Emp_85ov,P_Tot_Emp_Tot,P_Unem_look_FTW_15_19,P_Unem_look_FTW_20_24,P_Unem_look_FTW_25_34,P_Unem_look_FTW_35_44,P_Unem_look_FTW_45_54,P_Unem_look_FTW_55_64,P_Unem_look_FTW_65_74,P_Unem_look_FTW_75_84,P_Unem_look_FTW_85ov,P_Unem_look_FTW_Tot,P_Unem_look_PTW_15_19,P_Unem_look_PTW_20_24,P_Unem_look_PTW_25_34,P_Unem_look_PTW_35_44,P_Unem_look_PTW_45_54,P_Unem_look_PTW_55_64,P_Unem_look_PTW_65_74,P_Unem_look_PTW_75_84,P_Unem_look_PTW_85ov,P_Unem_look_PTW_Tot,P_Tot_Unemp_15_19,P_Tot_Unemp_20_24,P_Tot_Unemp_25_34,P_Tot_Unemp_35_44,P_Tot_Unemp_45_54,P_Tot_Unemp_55_64,P_Tot_Unemp_65_74,P_Tot_Unemp_75_84,P_Tot_Unemp_85ov,P_Tot_Unemp_Tot,P_Tot_LF_15_19,P_Tot_LF_20_24,P_Tot_LF_25_34,P_Tot_LF_35_44,P_Tot_LF_45_54,P_Tot_LF_55_64,P_Tot_LF_65_74,P_Tot_LF_75_84,P_Tot_LF_85ov,P_Tot_LF_Tot,P_Not_in_LF_15_19,P_Not_in_LF_20_24,P_Not_in_LF_25_34,P_Not_in_LF_35_44,P_Not_in_LF_45_54,P_Not_in_LF_55_64,P_Not_in_LF_65_74,P_Not_in_LF_75_84,P_Not_in_LF_85ov,P_Not_in_LF_Tot,P_LFS_NS_15_19,P_LFS_NS_20_24,P_LFS_NS_25_34,P_LFS_NS_35_44,P_LFS_NS_45_54,P_LFS_NS_55_64,P_LFS_NS_65_74,P_LFS_NS_75_84,P_LFS_NS_85ov,P_LFS_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
2RVIC,21923,28055,56439,62482,74150,57355,12171,1505,339,314414,17678,7952,18607,17716,18746,37884,64430,40701,20426,244136,2445,2604,5128,5162,6268,6995,6800,5336,3684,44427,42043,38606,80178,85363,99158,102238,83397,47547,24446,602974,7596,29196,72991,75279,89656,64942,12032,1684,333,353709,26099,20853,31921,40429,44771,42932,15302,2359,387,225059,1426,1851,5736,4365,4864,6292,2083,313,69,27008,1296,1528,2120,2083,2318,2023,890,423,134,12812,36413,53437,112772,122157,141612,116189,30307,4785,919,618583,2238,4030,4786,3963,4298,3485,154,30,20,23008,4470,2375,2368,2237,2044,2237,431,39,10,16214,6709,6404,7163,6200,6336,5723,586,74,32,39226,43122,59836,119934,128359,147952,121912,30897,4853,948,657811,38864,14262,26669,26813,31310,63820,120367,74377,32219,428695,4977,5432,10402,10369,12857,14001,13569,9607,5633,86838,86967,79529,157001,165539,192122,199728,164829,88833,38801,1173346
2GMEL,59037,113178,271590,236598,223427,138171,28086,2404,463,1072952,67444,42539,76643,70830,63077,96013,141524,96161,48318,702548,5793,9289,22823,16666,15034,13121,11562,9398,7164,110852,132275,165007,371061,324092,301538,247299,181172,107963,55950,1886350,12287,89963,377966,327754,300981,176029,28330,1938,380,1315635,70517,102045,130369,133071,123208,94717,36075,4616,555,695178,2862,5088,19433,14342,9572,9633,3118,401,79,64518,2450,5378,10821,7846,7136,4384,1490,477,182,40164,88109,202474,538588,483008,440905,284768,69019,7429,1203,2115493,4492,12668,22538,15858,14242,9145,681,62,23,79707,20803,16868,12334,9160,7360,5872,1339,152,28,73917,25299,29532,34873,25018,21604,15019,2020,217,49,153625,113411,232006,573461,508030,462503,299779,71038,7645,1251,2269119,143833,82377,110896,96552,94195,151124,251351,171724,77098,1179140,11777,18980,45991,34507,30614,25999,21898,16684,10800,217251,269015,333367,730345,639084,587317,476902,344283,196050,89151,3665515
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,3,8,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,8,3,0,0,0,23,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,4,3,11,5,0,0,0,25
29499,52,191,377,169,132,102,19,0,0,1038,90,157,230,172,129,178,157,40,23,1175,38,102,182,144,89,73,32,7,5,669,178,453,795,479,347,352,204,49,28,2883,27,136,482,250,171,109,19,0,0,1194,32,136,187,94,91,86,17,3,0,641,3,5,35,21,22,20,3,3,0,111,6,12,22,20,16,3,0,0,0,84,64,289,726,386,300,215,42,7,0,2033,21,52,148,83,72,30,5,0,0,410,29,59,54,29,13,20,3,0,0,204,47,111,202,111,90,48,10,0,0,613,117,397,921,499,388,268,51,7,0,2647,165,284,449,311,262,338,355,95,28,2291,74,215,474,477,328,210,80,16,5,1886,357,898,1848,1295,975,816,482,121,38,6825
