GCCSA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
2RVIC,17362,8447,38801,233274,302762,150975,125102,237930,123306,1173346
2GMEL,42616,15248,89151,896253,928683,383944,291605,883168,281854,3665515
29799,0,0,0,7,3,3,0,11,3,25
29499,22,12,38,1281,954,324,278,1969,2020,6825
