CED_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
CED211,0,17,4071,4092,85,258,3766,4107,3654,1519,3841,9011,6772,922,2108,9799,5800,722,2154,8675,4708,447,1769,6926,4057,197,1116,5373,2369,60,735,3163,646,10,437,1098,28086,4155,20003,52246,5,36,3892,3928,172,400,3167,3741,4856,1549,3246,9650,6994,901,2459,10357,5837,726,2925,9485,4564,358,2838,7766,3747,158,2671,6578,1822,34,2289,4138,309,0,1379,1693,28315,4161,24857,57331,5,53,7966,8015,256,662,6929,7845,8512,3071,7085,18664,13772,1825,4565,20155,11634,1443,5080,18157,9274,810,4609,14693,7803,354,3790,11952,4191,92,3022,7305,959,6,1824,2791,56401,8311,44856,109579
CED212,0,23,3925,3951,50,368,3327,3747,2230,1897,3417,7541,4805,1343,2220,8369,5224,1092,2648,8962,4853,671,2219,7744,4252,353,1495,6105,2301,99,884,3291,593,21,463,1071,24306,5866,20603,50783,3,55,3860,3914,121,574,3007,3705,3041,2013,2980,8029,5228,1348,2586,9162,5400,1057,3325,9785,4829,616,3227,8665,3965,263,2970,7202,1700,67,2355,4121,270,13,1228,1516,24563,5999,25537,56099,3,77,7784,7866,173,937,6335,7446,5269,3913,6395,15574,10031,2692,4809,17534,10629,2147,5979,18751,9683,1283,5443,16409,8215,619,4467,13303,4007,167,3234,7407,862,33,1693,2589,48871,11867,46146,106883
CED213,0,29,4002,4027,63,363,2785,3213,2060,1579,2409,6048,4450,1336,1817,7599,5359,1290,2413,9067,5779,911,2296,8981,5754,510,1822,8089,3053,151,1159,4363,803,31,564,1401,27329,6185,19272,52790,0,48,3612,3663,130,583,2303,3019,2853,1719,2355,6933,4852,1389,2157,8391,5731,1320,2868,9911,5965,869,3006,9842,5410,398,3015,8824,2241,91,2273,4608,393,14,1334,1737,27578,6425,22923,56921,4,73,7613,7688,196,946,5090,6228,4915,3300,4766,12980,9304,2718,3969,15994,11092,2606,5277,18978,11743,1781,5303,18825,11164,905,4838,16913,5290,237,3438,8970,1202,42,1898,3137,54907,12614,42195,109716
CED214,3,20,3781,3812,136,295,5110,5533,4321,2561,7208,14093,6840,1954,3379,12174,5267,1343,3115,9723,4231,695,2565,7496,3090,254,1455,4792,1901,53,828,2786,567,3,425,993,26346,7183,27875,61398,14,29,3544,3583,448,496,3857,4809,5641,2685,5209,13539,6850,1936,3328,12111,5171,1238,3651,10066,4027,570,3195,7791,2789,174,2372,5332,1403,38,2134,3574,240,6,1237,1492,26587,7172,28530,62293,14,49,7326,7391,581,792,8968,10340,9961,5252,12418,27628,13686,3892,6709,24290,10436,2583,6772,19785,8264,1266,5763,15289,5876,423,3823,10129,3298,89,2965,6359,805,13,1667,2481,52933,14352,56405,123694
CED215,4,38,3681,3720,83,561,2488,3128,2208,1563,2542,6306,3506,1069,1863,6440,4388,993,2343,7723,5530,778,2496,8800,5116,429,1963,7511,2505,107,1017,3624,548,20,434,1002,23880,5545,18833,48264,3,102,3351,3458,156,807,2060,3022,2908,1625,2476,7012,3987,1082,2101,7171,4937,1032,2674,8642,5777,741,2827,9346,4564,302,2436,7301,1742,79,2138,3957,243,7,1129,1381,24323,5776,21185,51287,4,144,7028,7180,237,1365,4553,6157,5109,3185,5016,13316,7492,2151,3968,13614,9327,2023,5013,16361,11308,1518,5325,18149,9682,729,4402,14810,4247,180,3152,7582,792,24,1566,2379,48203,11329,40018,99547
CED216,0,9,4540,4552,32,159,3628,3813,2092,1243,3179,6516,5908,991,1408,8306,7455,965,1703,10124,5762,626,1622,8005,4194,315,1175,5686,1985,77,694,2760,740,23,507,1275,28170,4409,18455,51036,6,10,4117,4137,89,244,3283,3614,2941,1338,2802,7088,6717,1064,1957,9740,7880,950,2651,11482,5499,549,2649,8708,3723,210,2456,6391,1459,44,2119,3624,375,16,1806,2195,28684,4444,23848,56980,7,20,8662,8687,113,406,6908,7434,5036,2586,5981,13598,12624,2052,3366,18045,15337,1912,4354,21606,11264,1181,4270,16715,7914,530,3631,12078,3445,124,2814,6380,1117,42,2315,3473,56856,8857,42304,108014
CED217,3,28,6097,6128,179,390,5289,5854,5379,1976,5762,13113,9785,1451,3084,14326,7506,987,2516,11014,5955,550,1888,8392,4017,242,1113,5368,1289,40,473,1804,195,9,163,367,34298,5679,26378,66358,15,47,5776,5839,457,548,4708,5720,7527,2130,4850,14504,9837,1474,3709,15022,7169,904,3460,11529,5613,470,2972,9048,3098,169,2077,5343,738,26,1230,1990,97,3,498,600,34548,5771,29273,69593,15,76,11880,11968,633,939,9995,11571,12908,4101,10610,27617,19627,2926,6793,29341,14674,1890,5970,22539,11562,1022,4853,17436,7112,408,3189,10708,2022,69,1699,3797,293,14,662,965,68849,11445,55656,135948
CED218,4,28,3393,3423,63,556,4911,5528,3574,3612,6769,13956,5467,1418,2572,9456,5338,889,2088,8311,4267,534,1691,6489,3275,259,1229,4763,1867,78,683,2629,551,7,401,964,24404,7380,23737,55518,3,50,3459,3510,184,802,5566,6548,4530,3459,7033,15020,5728,1045,3066,9844,5558,710,2765,9032,4099,396,2783,7282,3042,181,2379,5599,1350,42,2023,3411,236,5,1290,1530,24737,6674,30362,61771,5,71,6846,6925,247,1355,10478,12075,8103,7063,13799,28974,11198,2466,5641,19301,10894,1597,4858,17350,8368,928,4475,13769,6316,439,3606,10361,3216,114,2703,6040,787,17,1689,2489,49135,14054,54095,117287
CED219,3,31,6539,6576,251,461,6087,6802,6438,2014,6065,14513,9939,1308,2995,14249,7952,999,2560,11512,6372,576,1976,8928,3801,212,1128,5137,1555,59,552,2167,308,10,234,549,36619,5680,28142,70442,31,52,5919,5996,717,699,4819,6233,8976,2141,4572,15688,9615,1262,2968,13843,7538,924,3319,11780,5738,493,3002,9241,2971,164,2232,5363,1037,27,1524,2585,131,7,680,821,36762,5784,29021,71565,34,88,12453,12569,966,1163,10910,13036,15411,4155,10640,30208,19559,2573,5964,28096,15490,1928,5878,23294,12113,1071,4985,18173,6772,371,3357,10501,2593,88,2077,4755,437,18,912,1375,73377,11460,57165,142001
CED220,5,19,4216,4230,104,219,4898,5226,3779,1251,5139,10173,6388,917,2457,9770,6054,750,2345,9152,4957,475,2052,7478,3878,194,1168,5247,2420,63,778,3252,739,11,513,1261,28327,3901,23563,55794,5,20,3984,4008,350,336,3823,4514,4961,1334,3928,10226,6841,904,2540,10279,6021,751,3069,9840,4673,388,2907,7970,3568,158,2386,6112,1758,31,2195,3986,336,7,1453,1792,28523,3930,26286,58737,12,34,8198,8241,453,563,8725,9740,8740,2588,9072,20400,13232,1824,5000,20054,12080,1503,5416,18993,9632,869,4954,15450,7451,347,3550,11350,4174,94,2973,7239,1078,14,1961,3051,56851,7832,49845,114524
