CED_CODE_2016,M_15_19_yr_Marrd_reg_marrge,M_15_19_yr_Married_de_facto,M_15_19_yr_Not_married,M_15_19_yr_Total,M_20_24_yr_Marrd_reg_marrge,M_20_24_yr_Married_de_facto,M_20_24_yr_Not_married,M_20_24_yr_Total,M_25_34_yr_Marrd_reg_marrge,M_25_34_yr_Married_de_facto,M_25_34_yr_Not_married,M_25_34_yr_Total,M_35_44_yr_Marrd_reg_marrge,M_35_44_yr_Married_de_facto,M_35_44_yr_Not_married,M_35_44_yr_Total,M_45_54_yr_Marrd_reg_marrge,M_45_54_yr_Married_de_facto,M_45_54_yr_Not_married,M_45_54_yr_Total,M_55_64_yr_Marrd_reg_marrge,M_55_64_yr_Married_de_facto,M_55_64_yr_Not_married,M_55_64_yr_Total,M_65_74_yr_Marrd_reg_marrge,M_65_74_yr_Married_de_facto,M_65_74_yr_Not_married,M_65_74_yr_Total,M_75_84_yr_Marrd_reg_marrge,M_75_84_yr_Married_de_facto,M_75_84_yr_Not_married,M_75_84_yr_Total,M_85ov_Marrd_reg_marrge,M_85ov_Married_de_facto,M_85ov_Not_married,M_85ov_Total,M_Tot_Marrd_reg_marrge,M_Tot_Married_de_facto,M_Tot_Not_married,M_Tot_Total,F_15_19_yr_Marrd_reg_marrge,F_15_19_yr_Married_de_facto,F_15_19_yr_Not_married,F_15_19_yr_Total,F_20_24_yr_Marrd_reg_marrge,F_20_24_yr_Married_de_facto,F_20_24_yr_Not_married,F_20_24_yr_Total,F_25_34_yr_Marrd_reg_marrge,F_25_34_yr_Married_de_facto,F_25_34_yr_Not_married,F_25_34_yr_Total,F_35_44_yr_Marrd_reg_marrge,F_35_44_yr_Married_de_facto,F_35_44_yr_Not_married,F_35_44_yr_Total,F_45_54_yr_Marrd_reg_marrge,F_45_54_yr_Married_de_facto,F_45_54_yr_Not_married,F_45_54_yr_Total,F_55_64_yr_Marrd_reg_marrge,F_55_64_yr_Married_de_facto,F_55_64_yr_Not_married,F_55_64_yr_Total,F_65_74_yr_Marrd_reg_marrge,F_65_74_yr_Married_de_facto,F_65_74_yr_Not_married,F_65_74_yr_Total,F_75_84_yr_Marrd_reg_marrge,F_75_84_yr_Married_de_facto,F_75_84_yr_Not_married,F_75_84_yr_Total,F_85ov_Marrd_reg_marrge,F_85ov_Married_de_facto,F_85ov_Not_married,F_85ov_Total,F_Tot_Marrd_reg_marrge,F_Tot_Married_de_facto,F_Tot_Not_married,F_Tot_Total,P_15_19_yr_Marrd_reg_marrge,P_15_19_yr_Married_de_facto,P_15_19_yr_Not_married,P_15_19_yr_Total,P_20_24_yr_Marrd_reg_marrge,P_20_24_yr_Married_de_facto,P_20_24_yr_Not_married,P_20_24_yr_Total,P_25_34_yr_Marrd_reg_marrge,P_25_34_yr_Married_de_facto,P_25_34_yr_Not_married,P_25_34_yr_Total,P_35_44_yr_Marrd_reg_marrge,P_35_44_yr_Married_de_facto,P_35_44_yr_Not_married,P_35_44_yr_Total,P_45_54_yr_Marrd_reg_marrge,P_45_54_yr_Married_de_facto,P_45_54_yr_Not_married,P_45_54_yr_Total,P_55_64_yr_Marrd_reg_marrge,P_55_64_yr_Married_de_facto,P_55_64_yr_Not_married,P_55_64_yr_Total,P_65_74_yr_Marrd_reg_marrge,P_65_74_yr_Married_de_facto,P_65_74_yr_Not_married,P_65_74_yr_Total,P_75_84_yr_Marrd_reg_marrge,P_75_84_yr_Married_de_facto,P_75_84_yr_Not_married,P_75_84_yr_Total,P_85ov_Marrd_reg_marrge,P_85ov_Married_de_facto,P_85ov_Not_married,P_85ov_Total,P_Tot_Marrd_reg_marrge,P_Tot_Married_de_facto,P_Tot_Not_married,P_Tot_Total
CED221,3,47,3637,3686,79,505,2226,2807,1965,1443,2227,5639,3898,1128,1649,6678,4904,1070,2279,8257,5578,801,2417,8794,4804,406,1848,7065,2313,122,883,3314,578,12,409,1001,24117,5540,17574,47236,9,109,3335,3452,162,677,1727,2567,2677,1541,2126,6341,4401,1158,2004,7564,5238,1070,2620,8925,5739,720,2780,9237,4336,316,2437,7083,1647,60,1993,3692,259,12,1165,1441,24464,5656,20186,50305,10,159,6972,7133,238,1179,3957,5377,4646,2983,4355,11983,8304,2285,3653,14239,10141,2134,4906,17185,11309,1526,5197,18034,9142,719,4287,14148,3958,182,2873,7008,833,26,1576,2439,48579,11196,37768,97546
CED222,3,20,4516,4536,103,308,4277,4691,3699,1798,4385,9881,6823,1363,2611,10792,6521,1052,2569,10140,5247,574,2019,7839,3614,251,1381,5251,1765,78,710,2549,462,22,365,854,28249,5452,22834,56531,8,40,4253,4302,317,439,3506,4263,4977,1954,3567,10500,7345,1416,2688,11452,6432,1018,3196,10650,4747,530,3028,8309,3151,175,2652,5970,1271,52,1932,3252,197,11,1123,1333,28447,5630,25940,60020,10,59,8773,8842,419,744,7781,8951,8679,3749,7954,20385,14170,2776,5296,22245,12957,2072,5760,20790,9996,1106,5048,16150,6767,420,4028,11221,3032,126,2642,5800,659,33,1486,2183,56691,11085,48776,116553
CED223,0,6,4059,4070,41,200,3728,3967,2551,1527,3701,7783,5949,1116,1784,8850,5932,862,1875,8668,5521,579,1694,7796,4223,257,1119,5598,1986,45,613,2642,544,10,359,919,26752,4611,18936,50298,5,19,3785,3807,110,319,3396,3833,3383,1621,3083,8089,6440,1217,2016,9677,6197,859,2651,9709,5465,490,2678,8630,3721,181,2197,6095,1474,33,1802,3310,260,3,1161,1429,27061,4748,22766,54574,3,28,7845,7873,154,518,7132,7798,5941,3153,6782,15873,12389,2336,3799,18526,12133,1723,4523,18376,10987,1066,4376,16432,7935,441,3314,11690,3461,82,2408,5958,802,17,1521,2342,53814,9356,41695,104866
CED224,3,19,4715,4734,50,311,5074,5437,2370,1851,4752,8976,5055,823,1532,7412,6609,648,1458,8713,5475,396,1204,7080,3886,212,880,4978,1984,77,573,2630,663,23,398,1084,26099,4367,20584,51046,4,13,4683,4699,103,460,4716,5276,3085,1834,4432,9346,5877,789,2213,8874,7108,607,2586,10305,5215,352,2310,7876,3476,157,2154,5787,1465,40,1866,3369,324,10,1353,1679,26652,4271,26293,57215,4,35,9395,9429,152,775,9786,10718,5456,3690,9182,18324,10934,1608,3742,16289,13720,1259,4036,19019,10689,750,3512,14952,7366,366,3039,10772,3449,114,2440,6001,985,37,1751,2766,52750,8633,46877,108261
CED225,3,25,5713,5734,73,288,4276,4641,3223,1602,3355,8172,7374,1319,1709,10410,7773,1216,1942,10927,5922,648,1588,8156,3696,250,945,4889,1590,65,521,2172,324,13,262,593,29970,5419,20303,55696,4,33,5152,5186,187,457,3726,4371,4433,1693,2670,8796,8123,1390,2052,11564,7645,1166,2570,11371,5468,575,2359,8403,3183,192,1778,5155,1056,38,1265,2355,145,7,680,832,30238,5545,22259,58044,8,57,10867,10929,254,748,8009,9011,7653,3291,6022,16973,15493,2709,3768,21972,15413,2375,4508,22298,11393,1224,3940,16559,6879,447,2726,10045,2644,103,1783,4531,470,19,940,1431,60206,10969,42565,113739
CED226,5,33,6463,6499,206,499,6025,6727,9477,2489,6996,18968,13383,1767,3244,18397,8583,1258,2735,12581,6091,675,1968,8730,3666,236,1107,5006,1381,58,467,1906,237,5,181,429,43034,7011,29196,79238,14,48,6123,6187,684,747,4957,6388,13058,2687,5441,21189,12129,1746,3766,17643,7895,1116,3764,12776,5584,533,3126,9240,2943,163,2184,5289,913,33,1325,2270,104,3,560,672,43317,7080,31249,81651,21,79,12589,12692,890,1243,10981,13113,22539,5176,12443,40154,25512,3514,7009,36038,16474,2376,6501,25351,11676,1205,5088,17969,6610,396,3291,10300,2291,90,1795,4175,343,7,741,1094,86349,14095,60443,160884
CED227,3,48,3898,3942,90,538,2473,3101,2189,1499,2661,6350,3650,870,1797,6316,4720,789,2423,7931,5475,582,2556,8614,4442,312,1838,6592,2515,90,1029,3630,695,12,502,1211,23793,4739,19166,47693,4,101,3477,3584,211,774,1984,2971,2854,1468,2411,6733,4140,913,1908,6959,5198,816,2430,8448,5447,509,2460,8411,4024,222,2327,6574,1859,57,2320,4236,358,7,1410,1773,24088,4872,20728,49686,6,143,7369,7524,305,1310,4454,6072,5045,2971,5067,13085,7791,1785,3701,13277,9918,1602,4851,16381,10922,1092,5008,17025,8463,533,4166,13161,4368,143,3350,7865,1055,25,1913,2986,47878,9608,39894,97373
CED228,5,12,4568,4582,160,300,5756,6217,4020,1794,6744,12554,5989,1014,3001,10000,6107,840,2872,9824,5232,518,2239,7993,4179,204,1319,5702,2502,72,775,3345,652,6,476,1139,28856,4754,27749,61354,20,23,4380,4426,416,438,4723,5573,5262,1854,5393,12507,6356,1042,3308,10709,6009,726,3521,10253,5194,426,3169,8784,3803,157,2427,6384,1758,37,2388,4182,269,10,1409,1685,29088,4707,30705,64500,25,37,8944,9007,577,741,10474,11787,9281,3642,12135,25067,12340,2052,6306,20707,12113,1563,6395,20068,10432,939,5411,16778,7980,361,3749,12088,4260,106,3156,7527,921,18,1884,2822,57940,9459,58453,125852
CED229,0,25,6419,6443,137,505,5114,5756,6335,2680,4726,13747,10000,1877,2432,14301,8561,1427,2560,12553,6646,836,2016,9498,4608,295,1230,6135,1746,67,584,2394,353,14,248,613,38384,7731,25326,71443,8,57,6015,6077,401,843,4369,5610,8320,2744,4163,15223,10106,1881,3168,15155,8406,1442,3498,13352,6353,698,2947,10007,3847,226,2297,6369,1129,35,1413,2584,171,9,663,838,38741,7937,28533,75212,7,84,12433,12526,541,1352,9479,11365,14657,5425,8891,28970,20104,3757,5598,29456,16965,2873,6061,25906,12998,1534,4960,19502,8457,521,3528,12508,2875,101,2001,4977,519,22,909,1454,77125,15665,53858,146654
CED230,0,33,4718,4755,130,645,3135,3908,3453,2115,3114,8679,5282,1329,2035,8649,5574,1164,2531,9273,5711,798,2449,8956,5282,351,1713,7347,2578,91,992,3657,619,11,420,1052,28634,6537,21103,56269,5,90,4313,4407,257,928,2817,4011,4526,2211,3047,9785,5587,1383,2469,9442,5825,1165,3141,10122,5790,690,3153,9632,4820,285,2827,7927,1799,61,2242,4103,286,6,1225,1513,28901,6808,25235,60943,8,124,9032,9159,392,1570,5954,7915,7984,4319,6157,18460,10871,2717,4506,18089,11394,2328,5674,19394,11501,1484,5606,18593,10107,638,4537,15277,4380,146,3232,7761,902,16,1642,2562,57537,13343,46332,117218
CED231,7,93,4238,4340,146,1286,11324,12756,5048,6560,15185,26791,5017,2653,4569,12241,3472,1338,3083,7896,2799,793,2229,5827,2091,318,1352,3764,956,67,635,1656,271,22,269,562,19807,13138,42890,75833,7,126,5235,5361,344,1755,13423,15525,6184,6585,15293,28057,4825,1974,4931,11737,3372,1006,3660,8034,2677,562,3145,6382,1759,178,2197,4138,670,44,1450,2161,106,3,667,777,19947,12233,49994,82174,13,213,9473,9704,492,3040,24749,28283,11238,13143,30474,54849,9846,4628,9497,23975,6839,2347,6743,15931,5473,1355,5377,12205,3851,498,3555,7901,1624,107,2083,3820,379,25,940,1343,39750,25365,92885,158007
CED232,4,27,2348,2371,120,649,4263,5034,3876,4905,8381,17165,5079,2375,3804,11260,3792,1359,2973,8124,3412,802,2296,6511,2807,393,1433,4642,1220,82,628,1928,388,24,328,745,20712,10612,26455,57780,9,43,2558,2608,250,965,4705,5928,5040,4981,8359,18387,4902,1862,4555,11327,3956,1114,3610,8677,3374,554,2970,6905,2372,238,2150,4757,852,41,1424,2312,188,8,840,1038,20948,9810,31180,61942,12,66,4902,4984,378,1619,8975,10964,8922,9887,16741,35551,9989,4236,8363,22583,7745,2476,6583,16800,6787,1358,5271,13412,5180,634,3586,9396,2074,120,2047,4238,576,37,1169,1784,41661,20421,57637,119719
CED233,0,3,4673,4682,31,137,4147,4310,2335,814,3772,6921,5324,572,1448,7346,6834,581,1556,8973,6182,387,1105,7677,4949,172,742,5865,3165,70,632,3871,756,22,342,1116,29578,2762,18421,50754,0,13,4172,4190,82,214,3580,3877,3126,872,3056,7055,6063,596,1713,8370,7283,588,2317,10186,6141,315,2073,8531,4751,152,1904,6814,2202,36,2025,4268,319,6,1094,1419,29969,2790,21946,54709,4,13,8850,8870,113,350,7725,8183,5459,1682,6835,13975,11389,1175,3159,15723,14115,1164,3875,19158,12320,701,3179,16204,9704,326,2646,12677,5367,108,2663,8139,1069,28,1436,2539,59549,5551,40369,105466
CED234,0,30,4282,4317,118,463,2582,3161,2359,1441,2551,6347,3953,977,1905,6832,4953,933,2504,8388,5575,677,2427,8684,4748,381,1913,7044,2661,106,1078,3845,668,27,454,1146,25036,5034,19694,49762,11,86,3769,3872,252,663,2008,2921,3027,1438,2380,6847,4414,1010,2072,7496,5392,935,2588,8913,5588,624,2597,8805,4346,274,2352,6968,1909,62,2221,4197,320,17,1191,1525,25268,5103,21178,51553,17,120,8058,8188,372,1124,4589,6082,5390,2885,4932,13198,8368,1984,3974,14326,10348,1863,5092,17303,11167,1302,5023,17488,9099,650,4262,14013,4568,169,3308,8045,994,42,1640,2673,50313,10135,40874,101320
CED235,3,9,5123,5139,133,227,5433,5790,5005,1328,5839,12181,7294,969,2581,10845,7022,813,2183,10019,6263,509,1543,8316,4640,175,908,5725,2236,54,543,2836,395,7,270,675,32992,4096,24425,61514,10,17,4754,4789,482,335,4631,5438,6657,1435,4280,12371,7356,984,2620,10963,7087,778,2972,10837,6086,423,2562,9072,3890,137,2026,6056,1502,35,1696,3231,160,4,709,876,33228,4151,26262,63636,13,28,9879,9922,608,563,10060,11230,11665,2762,10123,24550,14646,1954,5204,21804,14111,1594,5157,20858,12344,935,4111,17388,8529,312,2939,11781,3739,90,2233,6069,558,9,982,1554,66218,8248,50683,125152
CED236,3,36,3719,3753,69,475,2446,2988,1696,1380,2285,5364,3532,1008,1724,6263,4698,901,2293,7890,5404,685,2417,8503,4626,331,1814,6769,2324,80,1013,3414,546,17,453,1022,22896,4911,18169,45974,8,97,3275,3371,123,712,1837,2665,2386,1409,2043,5835,3982,960,1808,6747,5151,956,2506,8609,5387,620,2643,8652,4183,218,2397,6789,1671,55,2227,3951,269,10,1261,1539,23140,5029,19985,48154,4,131,6992,7125,186,1185,4283,5652,4082,2787,4333,11200,7513,1963,3532,13009,9844,1858,4802,16497,10794,1303,5059,17156,8807,548,4208,13562,3994,141,3232,7368,811,34,1718,2563,46039,9944,38154,94133
CED237,4,19,3607,3631,126,406,5361,5896,4600,3367,8603,16568,6758,2039,3377,12172,5155,1167,2736,9058,3547,588,2130,6266,2632,222,1230,4082,2309,64,822,3195,780,8,534,1325,25918,7870,28404,62191,13,36,3349,3400,449,611,5136,6202,5808,3547,7242,16600,6660,2004,3688,12359,5006,1077,3414,9500,3497,536,2990,7023,2574,135,2207,4913,1759,42,2604,4408,324,6,1530,1861,26091,8007,32164,66257,20,58,6952,7033,578,1018,10501,12096,10406,6912,15850,33171,13423,4041,7061,24527,10164,2240,6152,18554,7043,1125,5119,13284,5207,356,3438,8998,4067,106,3425,7604,1107,15,2060,3181,52012,15875,60564,128455
CED294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CED297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
