CED_CODE_2016,F_Mgnt_Com_35_44,F_Mgnt_Com_45_54,F_Mgnt_Com_55_64,F_Mgnt_Com_65_74,F_Mgnt_Com_75_84,F_Mgnt_Com_85ov,F_Mgnt_Com_Tot,F_Society_Cult_15_24,F_Society_Cult_25_34,F_Society_Cult_35_44,F_Society_Cult_45_54,F_Society_Cult_55_64,F_Society_Cult_65_74,F_Society_Cult_75_84,F_Society_Cult_85ov,F_Society_Cult_Tot,F_Creative_Arts_15_24,F_Creative_Arts_25_34,F_Creative_Arts_35_44,F_Creative_Arts_45_54,F_Creative_Arts_55_64,F_Creative_Arts_65_74,F_Creative_Arts_75_84,F_Creative_Arts_85ov,F_Creative_Arts_Tot,F_Fd_Hosp_Psnl_Svcs_15_24,F_Fd_Hosp_Psnl_Svcs_25_34,F_Fd_Hosp_Psnl_Svcs_35_44,F_Fd_Hosp_Psnl_Svcs_45_54,F_Fd_Hosp_Psnl_Svcs_55_64,F_Fd_Hosp_Psnl_Svcs_65_74,F_Fd_Hosp_Psnl_Svcs_75_84,F_Fd_Hosp_Psnl_Svcs_85ov,F_Fd_Hosp_Psnl_Svcs_Tot,F_MixFld_Prgm_15_24,F_MixFld_Prgm_25_34,F_MixFld_Prgm_35_44,F_MixFld_Prgm_45_54,F_MixFld_Prgm_55_64,F_MixFld_Prgm_65_74,F_MixFld_Prgm_75_84,F_MixFld_Prgm_85ov,F_MixFld_Prgm_Tot,F_FldStd_InadDes_15_24,F_FldStd_InadDes_25_34,F_FldStd_InadDes_35_44,F_FldStd_InadDes_45_54,F_FldStd_InadDes_55_64,F_FldStd_InadDes_65_74,F_FldStd_InadDes_75_84,F_FldStd_InadDes_85ov,F_FldStd_InadDes_Tot,F_FldStd_NS_15_24,F_FldStd_NS_25_34,F_FldStd_NS_35_44,F_FldStd_NS_45_54,F_FldStd_NS_55_64,F_FldStd_NS_65_74,F_FldStd_NS_75_84,F_FldStd_NS_85ov,F_FldStd_NS_Tot,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_NatPhyl_Scn_15_24,P_NatPhyl_Scn_25_34,P_NatPhyl_Scn_35_44,P_NatPhyl_Scn_45_54,P_NatPhyl_Scn_55_64,P_NatPhyl_Scn_65_74,P_NatPhyl_Scn_75_84,P_NatPhyl_Scn_85ov,P_NatPhyl_Scn_Tot,P_InfoTech_15_24,P_InfoTech_25_34,P_InfoTech_35_44,P_InfoTech_45_54,P_InfoTech_55_64,P_InfoTech_65_74,P_InfoTech_75_84,P_InfoTech_85ov,P_InfoTech_Tot,P_Eng_RelTec_15_24,P_Eng_RelTec_25_34,P_Eng_RelTec_35_44,P_Eng_RelTec_45_54,P_Eng_RelTec_55_64,P_Eng_RelTec_65_74,P_Eng_RelTec_75_84,P_Eng_RelTec_85ov,P_Eng_RelTec_Tot,P_ArchtBldng_15_24,P_ArchtBldng_25_34,P_ArchtBldng_35_44,P_ArchtBldng_45_54,P_ArchtBldng_55_64,P_ArchtBldng_65_74,P_ArchtBldng_75_84,P_ArchtBldng_85ov,P_ArchtBldng_Tot,P_Ag_Envir_Rltd_Sts_15_24,P_Ag_Envir_Rltd_Sts_25_34,P_Ag_Envir_Rltd_Sts_35_44,P_Ag_Envir_Rltd_Sts_45_54,P_Ag_Envir_Rltd_Sts_55_64,P_Ag_Envir_Rltd_Sts_65_74,P_Ag_Envir_Rltd_Sts_75_84,P_Ag_Envir_Rltd_Sts_85ov,P_Ag_Envir_Rltd_Sts_Tot,P_Health_15_24,P_Health_25_34,P_Health_35_44,P_Health_45_54,P_Health_55_64,P_Health_65_74,P_Health_75_84,P_Health_85ov,P_Health_Tot,P_Educ_15_24,P_Educ_25_34,P_Educ_35_44,P_Educ_45_54,P_Educ_55_64,P_Educ_65_74,P_Educ_75_84,P_Educ_85ov,P_Educ_Tot,P_Mgnt_Com_15_24,P_Mgnt_Com_25_34,P_Mgnt_Com_35_44,P_Mgnt_Com_45_54,P_Mgnt_Com_55_64,P_Mgnt_Com_65_74,P_Mgnt_Com_75_84,P_Mgnt_Com_85ov,P_Mgnt_Com_Tot,P_Society_Cult_15_24,P_Society_Cult_25_34,P_Society_Cult_35_44,P_Society_Cult_45_54,P_Society_Cult_55_64,P_Society_Cult_65_74,P_Society_Cult_75_84,P_Society_Cult_85ov,P_Society_Cult_Tot,P_Creative_Arts_15_24,P_Creative_Arts_25_34,P_Creative_Arts_35_44,P_Creative_Arts_45_54,P_Creative_Arts_55_64,P_Creative_Arts_65_74,P_Creative_Arts_75_84,P_Creative_Arts_85ov,P_Creative_Arts_Tot,P_Fd_Hosp_Psnl_Svcs_15_24,P_Fd_Hosp_Psnl_Svcs_25_34,P_Fd_Hosp_Psnl_Svcs_35_44,P_Fd_Hosp_Psnl_Svcs_45_54,P_Fd_Hosp_Psnl_Svcs_55_64,P_Fd_Hosp_Psnl_Svcs_65_74,P_Fd_Hosp_Psnl_Svcs_75_84,P_Fd_Hosp_Psnl_Svcs_85ov,P_Fd_Hosp_Psnl_Svcs_Tot,P_MixFld_Prgm_15_24,P_MixFld_Prgm_25_34,P_MixFld_Prgm_35_44,P_MixFld_Prgm_45_54,P_MixFld_Prgm_55_64,P_MixFld_Prgm_65_74,P_MixFld_Prgm_75_84,P_MixFld_Prgm_85ov,P_MixFld_Prgm_Tot,P_FldStd_InadDes_15_24,P_FldStd_InadDes_25_34,P_FldStd_InadDes_35_44,P_FldStd_InadDes_45_54,P_FldStd_InadDes_55_64,P_FldStd_InadDes_65_74,P_FldStd_InadDes_75_84,P_FldStd_InadDes_85ov,P_FldStd_InadDes_Tot,P_FldStd_NS_15_24,P_FldStd_NS_25_34,P_FldStd_NS_35_44,P_FldStd_NS_45_54,P_FldStd_NS_55_64,P_FldStd_NS_65_74,P_FldStd_NS_75_84,P_FldStd_NS_85ov,P_FldStd_NS_Tot,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54
CED201,2098,1643,1132,485,154,70,8123,482,1085,1120,1164,883,323,62,31,5144,205,390,267,142,98,55,17,10,1177,419,575,449,390,244,194,58,22,2348,14,6,3,5,7,26,15,4,80,28,77,106,88,60,24,12,13,404,344,440,411,428,461,431,468,397,3386,2823,7390,7110,6148,4757,2545,1238,680,32693,191,487,514,440,325,175,75,21,2239,173,879,1108,595,283,93,10,0,3142,460,1635,1997,2421,2176,1377,757,222,11042,408,1013,728,727,587,348,211,36,4062,96,227,180,130,112,44,25,4,811,496,1552,1198,1103,918,486,216,65,6032,207,953,888,934,974,579,248,64,4839,912,3304,3436,2811,2186,1019,336,119,14128,730,1496,1487,1510,1169,496,142,48,7075,382,695,467,241,181,89,32,22,2120,527,854,679,624,386,268,94,22,3447,25,10,11,15,15,33,16,6,134,46,146,187,198,134,76,36,17,837,790,901,882,910,920,804,773,558,6538,5444,14148,13768,12652
CED202,1594,1337,828,385,124,63,6269,598,1235,1382,1256,1132,522,86,13,6219,197,311,345,233,184,100,34,15,1424,453,731,460,397,243,150,55,16,2506,12,10,10,16,11,21,14,3,101,18,82,128,101,74,29,14,6,447,810,662,691,845,876,894,772,478,6021,3412,7164,7390,6911,5875,3710,1760,817,37039,105,263,352,272,231,174,42,7,1456,121,485,419,259,163,51,3,0,1507,573,1562,1629,2024,1826,1413,623,178,9829,586,1206,884,726,616,413,201,50,4680,144,402,419,427,280,174,83,26,1959,469,1586,1507,1665,1591,922,393,124,8260,282,1181,1338,1246,1526,1178,415,116,7276,781,2194,2518,2277,1546,786,255,86,10440,804,1614,1826,1677,1530,825,187,38,8495,414,544,555,411,331,214,66,20,2540,596,1069,770,627,429,271,97,31,3892,27,24,9,30,26,30,22,6,175,44,157,250,234,162,105,41,22,1011,1700,1357,1407,1686,1694,1749,1329,735,11659,6639,13639,13898,13559
CED203,2234,1429,689,242,74,40,8215,619,2362,2218,1593,999,384,57,21,8252,404,1525,1058,568,175,60,17,15,3822,292,640,441,356,137,99,32,20,2004,24,22,10,22,11,22,23,14,140,80,290,266,190,100,35,13,4,982,811,1299,912,835,659,653,646,589,6399,4018,13485,10728,7704,4495,2214,1192,815,44649,368,1138,977,672,379,163,40,13,3760,252,1452,1061,563,204,42,5,3,3582,545,2162,1726,1523,1155,749,475,179,8519,301,1147,912,674,389,212,156,40,3816,78,332,313,200,123,40,15,9,1108,572,2448,1740,1285,821,316,135,55,7379,233,1375,1295,1270,1085,519,181,46,6007,1348,5126,3983,2602,1289,468,137,67,15019,922,3468,3194,2327,1547,649,117,37,12270,706,2750,1907,965,366,128,38,18,6885,445,1231,803,570,261,163,63,28,3561,52,43,14,29,25,32,37,18,251,128,493,460,331,181,79,28,16,1723,1657,2675,2003,1659,1293,1190,1164,880,12515,7607,25850,20393,14674
CED204,1261,1083,776,429,140,68,5319,555,1158,1313,1250,1157,602,119,36,6186,111,295,333,285,198,121,47,14,1404,459,679,442,365,223,167,60,18,2404,13,10,13,7,15,24,15,0,95,18,67,139,87,96,56,19,0,477,827,683,763,837,926,898,855,651,6438,3149,6580,7113,6735,6311,4119,1950,1039,36990,69,225,374,299,277,192,63,15,1526,125,360,319,251,172,71,15,0,1317,558,1526,1558,1896,1902,1528,708,214,9896,468,1015,818,823,735,473,226,52,4614,142,369,526,496,395,203,78,26,2234,531,1576,1547,1707,1784,988,417,133,8687,276,1030,1287,1252,1596,1311,456,130,7342,588,1818,2068,1832,1431,857,265,101,8971,764,1498,1759,1733,1635,965,248,59,8661,210,484,577,450,365,237,74,24,2428,587,987,690,603,410,270,107,37,3690,29,21,20,16,21,42,23,4,169,38,121,258,200,189,118,58,12,1000,1774,1632,1637,1849,1938,1822,1495,973,13117,6163,12665,13442,13395
CED205,2282,1583,978,561,230,94,9134,428,1245,1164,1061,765,390,117,28,5210,167,350,221,157,93,59,33,18,1090,242,658,418,342,192,151,50,22,2076,27,18,10,22,20,28,19,17,148,51,136,133,88,74,61,16,7,560,634,793,598,603,600,581,596,544,4948,3096,8969,7485,6148,4575,3060,1746,907,35986,323,697,649,621,444,283,128,46,3187,304,1502,1529,782,347,94,11,0,4571,549,2177,2032,2183,1919,1517,950,263,11586,317,609,524,479,356,296,206,49,2836,44,154,150,128,92,54,24,13,658,448,1655,1144,948,812,585,315,81,5988,178,674,762,831,867,726,394,89,4522,1455,4941,3892,2826,1886,1151,526,156,16825,715,1821,1605,1492,1144,595,212,57,7649,317,630,400,278,183,115,62,22,1999,409,1235,676,556,311,222,94,26,3517,64,50,24,41,35,36,32,15,294,91,252,257,182,154,120,61,29,1144,1395,1733,1370,1298,1199,1137,1097,789,10023,6601,18123,15025,12637
CED206,1634,1331,792,286,56,22,6641,692,1451,1322,1195,615,197,24,9,5490,192,340,206,118,46,18,4,4,934,374,704,525,466,264,131,23,9,2496,16,17,21,17,17,16,10,0,116,58,130,105,97,70,25,6,0,482,868,909,799,825,703,642,439,217,5399,3827,7974,6728,5864,3678,1846,773,307,30993,294,469,366,345,207,77,21,3,1782,226,879,801,384,143,26,7,0,2462,701,1858,1868,2395,2076,1172,444,108,10633,559,1012,653,664,389,232,93,20,3630,61,127,125,101,85,28,11,6,536,478,1141,826,743,569,251,99,31,4143,359,954,904,934,666,351,108,16,4293,1227,3333,2754,2277,1472,544,110,41,11757,1063,2036,1687,1580,865,296,51,11,7601,351,585,304,207,86,45,18,9,1610,488,1124,782,703,386,214,58,14,3771,39,32,25,37,30,35,23,3,222,96,242,205,209,150,69,34,4,998,1907,1986,1660,1721,1414,1233,796,344,11053,7847,15778,12964,12317
CED207,1580,1311,939,487,151,56,6470,523,1199,1325,1256,1054,454,87,32,5920,183,352,314,227,120,88,30,8,1323,439,803,522,414,254,196,58,22,2699,6,6,3,5,16,14,20,3,78,15,71,100,98,59,42,9,3,404,554,511,545,613,596,582,469,336,4204,2887,7162,6908,6314,5140,3252,1280,583,33534,121,335,360,302,234,175,55,12,1590,95,361,414,263,179,61,11,3,1390,518,1884,1971,2377,2093,1557,656,185,11245,683,1584,1089,1123,825,543,234,53,6134,165,470,537,406,253,107,47,9,2001,450,1388,1202,1304,1153,637,261,76,6470,195,1105,1089,980,1169,929,268,62,5799,650,2205,2467,2074,1601,945,300,84,10332,722,1572,1680,1615,1381,706,174,50,7898,343,605,518,356,238,181,50,12,2304,530,1034,777,640,413,284,98,24,3806,13,11,10,15,24,26,26,4,126,40,140,196,194,142,104,26,9,857,1161,1053,1127,1281,1184,1144,832,509,8286,5693,13757,13436,12930
CED208,2765,1977,1028,503,254,175,11880,605,1373,1296,1223,948,496,191,68,6196,387,659,436,298,186,96,51,19,2136,237,451,341,321,184,124,64,23,1748,73,12,12,11,22,24,16,6,189,116,180,172,157,98,51,30,15,813,734,780,531,514,479,500,606,595,4732,5000,11105,8847,7721,5359,3284,2195,1227,44739,526,915,808,803,523,349,159,68,4150,519,1989,1840,906,460,108,14,3,5837,764,2255,1744,2015,1544,1111,835,376,10638,282,677,563,619,404,248,260,79,3131,92,187,153,150,106,83,30,5,813,637,2235,1473,1464,1147,683,505,157,8298,270,991,934,1272,1226,867,536,176,6263,2829,6753,4864,3678,2072,1060,557,298,22100,902,2058,1895,1827,1449,809,337,109,9383,726,1203,741,483,320,162,81,34,3752,401,926,591,534,304,188,111,37,3092,159,35,26,27,32,31,32,11,342,188,293,270,237,175,109,61,39,1377,1565,1633,1134,1082,931,888,1045,896,9170,9843,22148,17028,15106
CED209,1686,1301,910,532,166,110,6448,501,1108,1371,1372,1093,600,124,37,6216,139,419,382,287,168,131,57,27,1606,343,657,509,408,253,219,51,15,2459,10,11,0,12,6,9,17,0,70,27,77,135,107,69,35,23,16,488,641,487,586,642,679,729,656,510,4941,2923,7252,7954,7077,6277,4289,1946,1019,38724,258,424,543,368,337,277,80,26,2314,121,322,360,241,154,79,3,0,1275,631,1663,1838,2015,1976,1589,718,260,10695,490,1431,1257,984,825,467,229,71,5755,150,456,574,481,366,237,115,24,2403,498,1869,1846,1728,1766,999,471,172,9351,222,1273,1408,1353,1926,1496,547,155,8381,606,2083,2788,2265,1772,1155,370,170,11214,760,1486,1810,1818,1519,971,253,67,8673,285,677,627,421,326,211,76,31,2647,477,993,809,659,399,320,92,22,3784,22,13,15,16,18,13,25,3,124,59,145,276,227,173,97,57,29,1058,1350,1082,1254,1360,1369,1435,1163,773,9792,5927,13909,15409,13938
CED210,1447,1104,831,396,155,61,6027,659,1285,1269,1285,989,460,88,11,6037,196,399,281,211,148,70,32,13,1355,450,769,493,428,259,219,70,22,2696,21,9,10,5,20,22,17,8,113,24,72,82,88,59,41,12,3,375,783,685,606,770,830,912,859,593,6049,3485,7500,6681,6169,5349,3456,1815,885,35349,129,318,369,296,261,134,53,14,1579,142,428,349,204,150,47,0,4,1324,507,1575,1655,1988,1972,1597,807,274,10380,593,1321,888,746,624,433,234,81,4927,112,235,310,241,171,121,56,20,1263,528,1695,1389,1407,1334,748,315,115,7534,214,943,1025,939,1191,900,350,73,5632,781,2393,2263,1866,1507,767,280,94,9953,928,1749,1670,1687,1329,665,155,32,8214,341,659,465,328,236,132,54,18,2231,612,1161,757,657,420,322,134,37,4098,32,17,15,20,32,35,31,17,190,55,160,195,196,160,88,36,17,898,1713,1800,1615,1751,1700,1734,1478,911,12704,6697,14458,12950,12321
