CED_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
CED211,560,956,406,505,601,280,102,163,42,3610,710,942,589,943,834,439,133,212,46,4857,1217,601,4101,1389,1161,698,525,842,128,10659,41,41,63,87,138,85,37,54,4,549,124,121,117,233,260,126,50,100,9,1139,65,159,64,58,81,37,19,33,15,524,81,171,108,148,130,103,54,107,114,1020,7181,18349,6664,5066,6545,3058,1202,2037,652,50746
CED212,558,872,364,570,561,256,90,139,45,3454,827,865,539,1206,907,484,103,239,62,5231,1705,691,6669,2015,1584,1048,977,1362,203,16247,71,43,78,142,157,118,55,87,9,762,165,104,138,345,297,172,74,120,23,1432,64,86,49,60,74,43,32,39,16,454,145,191,197,213,189,141,117,178,141,1503,5972,11620,8562,5659,5146,2971,1596,2462,637,44631
CED213,643,812,374,487,517,271,58,147,45,3351,718,752,541,1133,772,394,108,243,52,4712,2165,702,7738,2016,1434,1098,1082,1689,233,18153,78,45,99,168,186,147,39,123,8,894,171,98,146,371,278,191,84,160,16,1517,52,82,67,53,82,42,19,43,8,450,191,191,258,264,194,198,106,213,146,1766,6080,9647,9672,5467,4415,2860,1579,2868,613,43198
CED214,563,828,473,460,529,269,148,210,41,3521,769,888,717,1014,932,440,214,327,79,5386,1112,600,3963,1299,1125,647,886,960,181,10767,52,40,41,95,114,80,60,91,9,591,141,134,117,240,242,134,108,112,18,1257,75,140,58,75,82,53,43,59,9,604,105,188,161,151,135,85,115,183,154,1277,8312,19045,6826,5336,6695,3247,2130,3104,882,55569
CED215,422,589,227,378,290,93,51,91,20,2155,571,709,399,970,637,227,87,179,54,3838,1898,577,6082,1981,1471,919,1413,1689,237,16273,99,43,77,168,176,146,46,143,15,916,148,62,121,274,188,133,83,157,15,1181,54,52,49,40,38,21,21,55,9,348,232,161,176,239,142,147,155,294,140,1687,4860,8320,7468,4864,3686,1910,1937,2814,572,36441
CED216,865,1205,331,392,642,336,51,99,51,3966,872,855,406,631,784,421,66,120,46,4201,1060,460,2338,831,707,550,219,411,88,6675,62,35,24,81,101,53,14,29,3,404,178,166,72,196,258,143,31,43,11,1095,125,219,49,48,86,63,5,18,18,640,145,231,93,84,156,109,27,34,112,996,11988,22449,4219,3896,6168,3431,604,1182,755,54685
CED217,534,544,440,539,658,279,254,228,42,3514,761,758,716,1379,1195,488,396,350,92,6132,1366,584,6250,2177,1875,1008,1915,1759,288,17215,74,37,79,141,209,163,128,134,15,965,154,102,153,420,352,197,229,216,40,1864,56,106,79,69,96,45,77,53,15,612,124,166,242,242,224,191,273,255,205,1915,5384,11015,8956,6495,7539,3463,4018,3661,934,51469
CED218,798,1100,310,380,585,398,52,82,39,3746,746,933,501,660,766,454,52,132,59,4306,931,517,2027,775,698,555,151,333,93,6086,57,48,27,65,80,72,10,30,3,385,157,145,62,171,246,150,20,58,11,1013,139,254,45,44,91,61,10,30,22,693,135,257,82,102,118,94,27,64,131,1004,12451,29590,4353,4219,7410,4288,574,1459,1008,65352
CED219,554,702,677,580,685,298,365,348,44,4258,819,867,919,1792,1173,561,505,504,77,7210,1405,682,7175,2571,1871,1183,1995,2045,294,19222,91,53,96,178,220,172,131,161,14,1105,150,71,164,399,323,185,235,215,25,1771,80,123,95,86,122,66,98,82,20,772,130,182,284,252,238,159,248,335,241,2073,5302,10946,10574,7735,7272,3816,4408,4635,953,55642
CED220,539,749,448,434,569,276,161,200,33,3408,664,719,720,847,903,460,237,292,59,4913,908,458,3883,1215,953,660,609,843,131,9660,41,41,55,97,116,81,35,78,9,552,139,90,111,230,246,137,83,108,6,1141,72,139,82,64,106,61,49,45,11,631,86,165,172,155,168,125,102,178,141,1284,6298,14514,6674,4667,6064,3304,1766,2573,686,46539
