CED_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
CED201,1498,1033,683,254,58,21,5276,60,445,617,508,491,196,61,11,2390,1473,5130,4570,3066,2296,1056,347,98,18031,861,2262,2391,2474,1917,1071,378,139,11500,1761,3307,3174,3835,3094,1762,922,227,18090,215,169,182,170,135,95,14,5,986,157,225,310,421,452,291,162,47,2068,2133,3691,3668,4427,3687,2156,1101,280,21146,53,104,140,173,180,146,96,43,935,790,857,885,966,1097,1022,927,639,7181,5444,14148,13768,12652,10361,5894,2965,1221,66456
CED202,903,900,815,448,128,14,3975,36,494,762,790,779,378,83,8,3323,962,3677,3670,2633,2179,1394,431,120,15066,636,1825,2151,2367,2032,1358,500,130,11002,2649,4907,4284,4409,3504,2135,875,249,23011,378,327,262,226,202,91,15,6,1514,172,316,370,382,382,288,120,39,2078,3202,5551,4918,5023,4092,2512,1011,294,26606,42,80,90,119,145,146,73,33,731,1674,1333,1408,1730,1900,2060,1536,841,12477,6639,13639,13898,13559,11950,8297,3757,1436,73174
CED203,3334,2058,1217,437,82,13,11601,82,1154,1387,1201,779,263,34,14,4900,2648,10722,7693,4374,2216,932,262,89,28933,1049,3337,2757,2187,1282,529,195,73,11403,1471,3093,2551,2480,1748,989,601,210,13142,217,200,179,161,99,44,9,3,917,130,309,330,380,275,156,62,29,1674,1815,3600,3066,3018,2122,1187,674,242,15729,93,237,193,151,122,85,41,28,944,1661,2607,1955,1691,1381,1323,1308,945,12870,7607,25850,20393,14674,9118,4755,2593,1404,86390
CED204,838,856,748,535,127,25,3795,49,467,832,822,833,435,84,12,3532,835,3360,3638,2665,2395,1509,523,127,15057,470,1462,1866,2133,2150,1572,580,181,10424,2446,4474,3956,4289,3779,2246,997,264,22444,311,316,261,245,220,103,16,7,1476,167,316,351,397,453,337,124,55,2192,2921,5100,4568,4930,4447,2684,1138,329,26121,46,103,97,104,156,164,89,47,800,1756,1611,1611,1885,2122,2177,1699,1071,13930,6163,12665,13442,13395,12867,9078,4241,1789,73657
CED205,2529,1602,966,500,189,36,8759,42,455,502,547,465,267,78,10,2371,2099,7041,5168,3611,2554,1449,619,154,22701,1048,2939,2401,2198,1718,1206,620,177,12298,1389,2469,2342,2531,1976,1521,986,238,13444,188,183,184,178,134,93,30,7,1003,146,276,317,408,383,312,169,62,2084,1723,2931,2843,3119,2491,1929,1184,311,16531,117,279,215,221,209,159,120,39,1365,1397,1707,1360,1336,1341,1408,1307,911,10775,6601,18123,15025,12637,9746,6923,4112,1633,74803
CED206,1011,568,332,110,16,4,3457,90,389,376,373,242,83,16,6,1565,1766,4556,3306,2327,1498,585,143,37,14216,1200,2839,2472,2348,1406,581,176,33,11062,2170,3816,3325,3930,2764,1447,516,118,18089,299,288,250,264,161,59,8,0,1329,234,393,443,529,379,193,52,13,2236,2698,4494,4018,4722,3308,1699,580,127,21654,76,243,159,175,167,106,39,14,980,1876,1978,1626,1803,1582,1412,892,391,11558,7847,15778,12964,12317,8530,4576,1857,617,64490
CED207,688,564,465,291,91,14,2804,52,461,600,529,533,297,59,9,2530,805,3247,3211,2193,1895,1183,352,84,12969,830,2332,2419,2460,1992,1319,424,125,11899,2353,5426,4652,5045,3879,2246,887,225,24725,247,245,252,222,175,108,33,13,1286,136,285,393,435,462,366,108,26,2214,2737,5956,5301,5705,4509,2720,1022,266,28219,48,79,103,120,134,167,71,36,752,1164,1041,1118,1357,1361,1435,1015,570,9053,5693,13757,13436,12930,10885,7404,3027,1106,68231
CED208,3582,2232,1351,674,243,63,13466,100,688,940,1040,823,364,133,39,4129,4124,9950,6928,5287,3326,1771,917,296,32597,1831,2590,2210,2434,1888,1284,765,301,13303,1320,1813,1641,2310,1652,1052,879,376,11043,188,140,133,135,100,62,29,11,797,161,196,276,385,322,244,183,94,1857,1668,2147,2051,2828,2071,1363,1086,484,13690,149,228,192,192,172,140,129,72,1263,1630,1573,1122,1109,1048,1099,1297,1028,9900,9843,22148,17028,15106,10688,6691,4567,2287,88351
CED209,1199,939,836,565,140,26,4731,51,572,770,744,767,431,101,25,3460,1169,4419,4701,3224,2870,1906,616,188,19107,630,1978,2504,2518,2457,1878,735,273,12976,2181,4369,4336,4392,3633,2144,937,299,22293,271,208,211,193,188,120,27,7,1227,147,264,344,395,430,378,132,77,2175,2600,4838,4895,4984,4253,2639,1097,384,25689,44,88,112,111,130,147,104,53,786,1353,1087,1225,1419,1610,1771,1397,856,10714,5927,13909,15409,13938,12928,9347,4200,1800,77456
CED210,816,611,508,294,74,20,3164,57,465,546,523,517,248,53,8,2413,1000,3847,3209,2204,1911,1113,383,90,13762,755,2016,2146,2146,1978,1236,462,150,10891,2578,4827,3937,4325,3547,2326,1068,326,22929,297,317,241,227,175,97,26,7,1386,195,327,365,388,416,291,144,38,2166,3072,5469,4544,4941,4140,2711,1235,374,26477,45,118,111,107,147,132,92,32,784,1713,1765,1578,1792,1880,2006,1685,1018,13435,6697,14458,12950,12321,11080,7735,3989,1696,70919
CED211,2614,1447,903,539,178,40,8259,56,702,1016,924,739,422,125,23,4012,1546,6625,6699,4121,2683,1653,743,230,24307,799,2226,2612,2468,1914,1550,794,279,12652,1405,2758,2729,3157,2258,1591,983,371,15255,167,157,159,156,109,91,30,9,879,112,228,297,402,369,339,206,115,2066,1684,3146,3183,3719,2735,2018,1218,488,18192,36,146,164,157,162,186,118,49,1010,796,1019,1008,965,911,1096,1210,936,7940,5030,16294,17293,13803,10053,7466,4387,2050,76366
CED212,836,750,591,356,142,26,3313,61,439,610,591,559,337,79,19,2699,754,3195,3706,2696,2008,1450,643,199,14653,815,2234,2597,2610,2088,1487,640,202,12675,2036,4613,4298,4502,3600,2296,1190,347,22885,266,224,246,219,164,128,37,3,1289,195,288,374,457,481,370,184,77,2421,2493,5128,4910,5180,4242,2801,1408,433,26593,43,88,124,142,156,203,130,45,932,1344,1343,1414,1617,1643,1794,1504,822,11484,5549,12997,14196,13583,11298,8420,4544,1756,72348
CED213,470,545,570,490,154,33,2608,44,302,506,547,624,429,107,15,2573,503,2160,2702,2250,2216,1930,747,195,12709,622,1717,2333,2486,2439,2006,809,268,12685,2233,4653,4511,5312,4440,2970,1481,434,26045,275,236,234,270,212,148,44,17,1425,167,263,407,504,516,515,171,86,2630,2674,5155,5154,6081,5170,3634,1701,530,30100,30,74,124,144,172,254,140,56,993,1364,1101,1416,1727,2012,2483,2048,1182,13334,5269,10823,12700,13792,13213,11220,5704,2275,75003
CED214,2734,1544,846,300,43,14,8789,62,1017,1203,945,632,183,33,4,4085,2088,9396,7572,3841,2063,809,248,63,26090,1032,3311,2930,2274,1411,660,214,68,11896,1540,3467,3018,3033,2322,1203,603,270,15460,195,235,186,196,140,56,18,3,1030,152,372,428,431,303,187,62,36,1978,1886,4073,3636,3668,2759,1441,690,307,18463,75,243,212,128,120,101,42,16,937,1544,2336,1957,1645,1512,1365,1211,794,12368,6892,23504,20253,14042,9338,4858,2484,1270,82637
CED215,381,349,399,244,58,20,1807,38,333,386,463,476,272,50,9,2025,547,2237,2027,1543,1833,1145,358,83,9777,440,1463,1602,1809,1910,1432,522,150,9328,2273,4607,4036,4768,4411,2938,1206,332,24566,318,338,264,230,257,128,30,11,1573,157,299,339,377,470,337,125,48,2158,2751,5249,4637,5379,5138,3405,1360,386,28292,41,90,95,116,129,172,91,30,753,1911,1752,1732,2084,2491,2680,1991,981,15630,5756,11443,10855,11740,12376,9357,4429,1663,67620
CED216,2808,2995,1841,969,262,89,11175,37,474,977,1373,1094,527,143,41,4674,1866,5768,7647,7406,4922,2649,1048,425,31732,566,1567,2201,2850,2346,1802,850,380,12564,750,1484,1422,2152,1707,1114,629,368,9638,115,67,122,125,111,86,36,11,663,101,157,242,433,408,385,167,137,2028,962,1710,1787,2710,2221,1594,837,515,12327,45,118,176,220,195,189,117,89,1134,928,984,1117,1353,1245,1195,981,905,8696,4541,12686,16712,18908,13864,8920,4235,2434,82298
CED217,1601,583,300,121,25,0,4099,82,502,632,352,208,62,14,3,1868,1439,6050,5675,2560,1391,573,110,23,17819,1259,3784,3688,2279,1332,526,140,35,13031,2670,5972,5600,4325,2974,1550,462,96,23649,339,405,381,254,171,68,13,0,1636,286,546,757,570,431,229,55,14,2886,3291,6922,6742,5155,3580,1845,526,111,28174,72,230,241,171,139,98,27,13,1000,2277,2670,2519,2051,1807,1521,692,212,13741,8528,21515,21108,13144,8757,4739,1541,390,79729
CED218,3684,2628,1779,1072,341,92,15259,83,1151,1056,1176,963,494,126,29,5072,4062,13916,8374,6204,4369,2643,1131,413,41120,995,2678,2088,2114,1784,1409,745,274,12084,956,2234,1334,1422,1074,674,438,201,8327,118,122,93,107,65,63,17,10,593,120,269,228,314,318,277,151,83,1760,1192,2623,1650,1840,1455,1016,607,296,10679,102,259,185,164,140,166,100,38,1159,1382,2775,1534,1286,1184,1150,1029,610,10948,8182,28709,18574,15408,11662,7948,4086,1755,96317
