CED_CODE_2016,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
CED201,955,83,11,0,0,1051,402,29,6,0,0,440,367,33,9,0,0,408,623,59,3,3,0,689,860,93,7,3,0,963,2553,240,48,3,3,2845,2738,362,64,3,4,3180,4191,425,48,16,3,4680,2085,165,10,4,0,2270,1561,81,6,3,0,1659,728,50,5,3,0,780,809,60,13,4,0,887,17878,1681,224,51,19,19851
CED202,833,38,10,11,3,896,585,38,3,6,3,629,540,33,5,10,0,585,1017,69,9,20,3,1119,1612,104,3,9,12,1741,4410,280,24,33,26,4774,4111,191,14,18,13,4351,3358,125,7,29,16,3532,1104,49,0,3,0,1154,712,23,0,10,0,750,376,11,0,3,0,390,855,26,0,7,8,905,19513,988,88,158,79,20822
CED203,656,203,44,5,0,910,260,76,26,0,0,355,209,61,24,0,0,290,309,133,41,3,0,488,446,162,75,0,0,678,1287,538,287,6,6,2135,1319,711,345,3,3,2386,2168,936,360,15,6,3492,1207,509,127,10,6,1855,1388,464,103,7,6,1966,1010,320,47,3,4,1378,538,143,56,4,3,749,10804,4251,1534,59,41,16686
CED204,1013,19,4,8,10,1058,657,12,5,3,8,683,586,10,3,3,0,609,1099,26,9,0,0,1135,1520,34,3,6,6,1582,4346,95,26,6,18,4489,4130,53,10,4,15,4210,3278,38,6,7,13,3349,1051,3,0,0,7,1064,754,9,0,3,4,770,429,7,0,4,3,441,881,9,0,4,3,895,19747,322,77,51,90,20283
CED205,979,119,57,3,0,1163,312,32,25,0,0,373,294,25,19,0,0,343,391,67,39,0,0,498,550,80,62,0,0,704,1589,305,216,17,3,2134,1802,368,209,12,3,2383,2422,421,177,12,5,3041,1105,196,65,0,0,1375,1251,146,46,0,3,1443,893,97,17,0,0,1007,579,73,18,5,0,675,12168,1931,963,55,17,15134
CED206,916,93,9,4,0,1022,464,40,6,4,0,515,387,28,3,0,3,423,642,74,6,0,0,722,918,127,9,4,0,1061,2981,408,46,13,5,3455,3648,503,62,10,4,4233,3942,349,28,3,3,4324,1397,71,5,7,3,1485,957,75,4,3,0,1037,556,32,5,3,0,604,984,92,5,0,0,1081,17791,1892,201,43,22,19959
CED207,995,34,0,3,3,1044,521,12,0,0,0,529,504,22,0,0,0,521,811,23,0,4,0,839,1180,27,6,3,4,1217,3461,123,14,3,5,3600,4060,190,18,3,5,4272,5575,194,10,0,13,5792,2330,48,0,3,0,2387,1428,25,0,0,4,1457,617,8,0,0,0,629,1112,23,3,3,4,1139,22592,723,49,26,45,23438
CED208,856,200,114,0,3,1172,258,52,29,0,0,337,238,55,30,0,0,320,308,89,41,0,0,437,424,116,69,0,3,611,1170,343,223,3,6,1748,1197,409,311,0,7,1922,1963,716,389,3,11,3083,1280,393,192,4,7,1873,1715,402,177,0,9,2300,1439,196,75,0,0,1709,529,89,49,0,0,672,11371,3055,1693,13,48,16179
CED209,912,39,3,0,5,955,514,16,0,0,4,534,450,24,3,0,0,486,811,46,0,4,0,861,1154,61,7,7,0,1222,3346,149,9,21,8,3535,3850,159,6,15,6,4034,4335,111,8,18,13,4489,1663,41,5,3,5,1715,1218,17,0,7,0,1248,615,15,5,4,3,633,895,28,4,8,3,936,19745,708,63,88,49,20655
CED210,885,51,11,0,0,947,493,40,11,0,4,542,445,28,3,0,3,484,905,49,19,0,0,979,1234,98,33,0,0,1368,3468,230,79,9,4,3789,3521,161,39,3,8,3730,3199,137,31,5,9,3378,1048,46,5,0,3,1109,751,27,6,0,0,790,440,16,0,3,4,465,807,47,15,3,0,872,17187,937,270,21,35,18449
CED211,1011,136,11,0,4,1163,399,78,8,0,0,482,348,52,6,0,0,407,524,64,15,0,0,604,692,110,23,0,0,826,2065,336,88,0,3,2485,2265,423,114,3,4,2801,3712,579,94,0,7,4392,2080,284,31,0,0,2399,1949,173,17,0,7,2147,955,67,12,0,4,1039,661,65,6,0,0,733,16646,2365,421,12,33,19479
CED212,911,74,48,3,0,1033,402,53,14,0,0,474,393,40,14,0,0,449,662,86,34,0,0,782,938,119,33,0,0,1080,2709,371,154,7,0,3239,3409,381,101,4,3,3901,4207,239,101,0,0,4547,1841,63,28,0,3,1940,1445,56,14,0,4,1518,779,14,4,0,0,794,915,52,20,0,0,985,18605,1554,565,20,22,20760
