CED_CODE_2016,M_Afghanistan_0_4,M_Afghanistan_5_14,M_Afghanistan_15_24,M_Afghanistan_25_44,M_Afghanistan_45_54,M_Afghanistan_55_64,M_Afghanistan_65_74,M_Afghanistan_75_84,M_Afghanistan_85ov,M_Afghanistan_Tot,M_Australia_0_4,M_Australia_5_14,M_Australia_15_24,M_Australia_25_44,M_Australia_45_54,M_Australia_55_64,M_Australia_65_74,M_Australia_75_84,M_Australia_85ov,M_Australia_Tot,M_Bangladesh_0_4,M_Bangladesh_5_14,M_Bangladesh_15_24,M_Bangladesh_25_44,M_Bangladesh_45_54,M_Bangladesh_55_64,M_Bangladesh_65_74,M_Bangladesh_75_84,M_Bangladesh_85ov,M_Bangladesh_Tot,M_Bosnia_Herzegov_0_4,M_Bosnia_Herzegov_5_14,M_Bosnia_Herzegov_15_24,M_Bosnia_Herzegov_25_44,M_Bosnia_Herzegov_45_54,M_Bosnia_Herzegov_55_64,M_Bosnia_Herzegov_65_74,M_Bosnia_Herzegov_75_84,M_Bosnia_Herzegov_85ov,M_Bosnia_Herzegov_Tot,M_Cambodia_0_4,M_Cambodia_5_14,M_Cambodia_15_24,M_Cambodia_25_44,M_Cambodia_45_54,M_Cambodia_55_64,M_Cambodia_65_74,M_Cambodia_75_84,M_Cambodia_85ov,M_Cambodia_Tot,M_Canada_0_4,M_Canada_5_14,M_Canada_15_24,M_Canada_25_44,M_Canada_45_54,M_Canada_55_64,M_Canada_65_74,M_Canada_75_84,M_Canada_85ov,M_Canada_Tot,M_Chile_0_4,M_Chile_5_14,M_Chile_15_24,M_Chile_25_44,M_Chile_45_54,M_Chile_55_64,M_Chile_65_74,M_Chile_75_84,M_Chile_85ov,M_Chile_Tot,M_China_0_4,M_China_5_14,M_China_15_24,M_China_25_44,M_China_45_54,M_China_55_64,M_China_65_74,M_China_75_84,M_China_85ov,M_China_Tot,M_Croatia_0_4,M_Croatia_5_14,M_Croatia_15_24,M_Croatia_25_44,M_Croatia_45_54,M_Croatia_55_64,M_Croatia_65_74,M_Croatia_75_84,M_Croatia_85ov,M_Croatia_Tot,M_Egypt_0_4,M_Egypt_5_14,M_Egypt_15_24,M_Egypt_25_44,M_Egypt_45_54,M_Egypt_55_64,M_Egypt_65_74,M_Egypt_75_84,M_Egypt_85ov,M_Egypt_Tot,M_England_0_4,M_England_5_14,M_England_15_24,M_England_25_44,M_England_45_54,M_England_55_64,M_England_65_74,M_England_75_84,M_England_85ov,M_England_Tot,M_Fiji_0_4,M_Fiji_5_14,M_Fiji_15_24,M_Fiji_25_44,M_Fiji_45_54,M_Fiji_55_64,M_Fiji_65_74,M_Fiji_75_84,M_Fiji_85ov,M_Fiji_Tot,M_France_0_4,M_France_5_14,M_France_15_24,M_France_25_44,M_France_45_54,M_France_55_64,M_France_65_74,M_France_75_84,M_France_85ov,M_France_Tot,M_Germany_0_4,M_Germany_5_14,M_Germany_15_24,M_Germany_25_44,M_Germany_45_54,M_Germany_55_64,M_Germany_65_74,M_Germany_75_84,M_Germany_85ov,M_Germany_Tot,M_Greece_0_4,M_Greece_5_14,M_Greece_15_24,M_Greece_25_44,M_Greece_45_54,M_Greece_55_64,M_Greece_65_74,M_Greece_75_84,M_Greece_85ov,M_Greece_Tot,M_Hong_Kong_0_4,M_Hong_Kong_5_14,M_Hong_Kong_15_24,M_Hong_Kong_25_44,M_Hong_Kong_45_54,M_Hong_Kong_55_64,M_Hong_Kong_65_74,M_Hong_Kong_75_84,M_Hong_Kong_85ov,M_Hong_Kong_Tot,M_India_0_4,M_India_5_14,M_India_15_24,M_India_25_44,M_India_45_54,M_India_55_64,M_India_65_74,M_India_75_84,M_India_85ov,M_India_Tot,M_Indonesia_0_4,M_Indonesia_5_14,M_Indonesia_15_24,M_Indonesia_25_44,M_Indonesia_45_54,M_Indonesia_55_64,M_Indonesia_65_74,M_Indonesia_75_84,M_Indonesia_85ov,M_Indonesia_Tot,M_Iran_0_4,M_Iran_5_14,M_Iran_15_24,M_Iran_25_44,M_Iran_45_54,M_Iran_55_64,M_Iran_65_74,M_Iran_75_84,M_Iran_85ov,M_Iran_Tot,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot
CED214,0,8,54,151,26,0,0,0,0,247,5276,7211,6745,14655,5928,4084,1919,847,431,47101,13,11,37,408,21,4,3,0,0,500,0,0,3,37,27,26,24,24,0,138,0,0,3,25,26,20,9,6,0,87,3,4,9,81,24,15,5,3,0,137,0,0,0,57,30,21,34,5,0,156,7,37,220,470,138,105,51,46,19,1088,3,0,3,40,61,82,115,113,19,426,0,9,10,25,17,20,37,18,12,147,27,100,86,769,488,372,265,129,48,2287,0,3,4,58,27,14,9,4,3,119,0,0,9,61,20,3,13,6,4,114,3,14,13,88,39,23,133,41,13,369,0,5,9,54,101,163,264,365,103,1063,0,9,23,105,24,21,9,3,0,188,66,119,541,2062,113,80,55,17,12,3056,0,22,23,137,22,14,12,0,0,235,7,25,35,242,21,12,0,0,0,344,0,0,5,56,14,3,0,0,0,85
CED215,0,0,0,3,0,0,0,0,0,4,3849,7810,7015,12488,7202,7931,6303,2801,864,56269,0,0,0,18,9,4,0,0,0,29,0,0,0,3,0,0,3,0,0,7,0,0,0,6,0,0,0,0,0,8,3,8,3,20,12,10,15,0,0,73,0,0,0,3,7,3,8,0,0,22,7,5,43,73,16,20,7,5,0,174,0,0,0,6,11,15,23,17,3,72,0,4,0,9,3,8,15,10,0,47,3,27,35,154,316,389,634,361,108,2033,0,0,4,14,3,12,3,3,0,41,0,3,12,0,3,3,4,0,0,26,0,3,0,10,27,48,156,98,29,373,0,0,0,0,5,20,28,23,9,79,0,0,7,20,3,7,3,0,0,35,5,27,12,229,17,12,19,12,0,332,0,0,0,10,3,4,3,5,3,23,0,5,0,11,3,0,0,0,0,21,0,0,0,9,3,0,0,0,0,14
CED216,0,0,0,5,0,0,0,0,0,7,3531,8171,6806,9467,6785,5484,3548,1630,956,46373,0,0,4,19,4,0,0,0,0,27,0,0,3,7,5,3,0,3,0,27,0,0,0,12,9,0,0,3,0,27,8,34,20,58,58,25,15,3,0,218,0,0,3,18,11,9,9,0,0,55,19,142,388,591,279,200,74,48,16,1766,0,0,0,10,15,19,23,23,7,92,0,4,0,11,21,34,42,25,10,152,54,377,277,843,847,579,532,259,118,3896,0,0,0,9,20,10,3,0,0,41,4,38,30,79,46,21,27,5,0,257,3,23,23,72,80,49,132,70,20,478,0,3,3,21,63,124,147,180,56,592,5,36,31,47,20,27,6,10,5,182,37,114,162,961,142,94,56,32,15,1631,0,0,12,37,7,8,6,3,3,88,0,0,3,37,16,8,9,5,0,75,0,0,0,4,3,4,4,0,0,18
CED217,0,6,35,72,28,6,3,3,0,153,7420,12326,9057,15898,5139,3464,1796,566,168,55827,4,14,13,107,24,17,5,0,0,181,0,0,43,221,127,72,31,11,3,510,0,0,3,13,13,12,7,3,0,54,0,9,5,20,15,6,0,0,0,57,0,5,14,111,93,69,83,11,0,390,6,36,64,312,109,90,46,26,7,692,0,4,17,94,126,150,118,88,3,605,7,79,41,170,77,78,64,26,8,534,11,82,58,250,307,309,309,158,38,1513,0,12,29,165,70,42,19,5,0,347,0,0,3,17,8,9,3,0,0,40,0,0,29,39,38,40,141,39,11,339,0,5,3,35,78,101,107,57,7,398,4,3,17,94,13,16,13,0,0,159,51,222,444,2479,423,226,116,43,4,4017,5,11,25,109,25,11,3,3,0,186,0,9,23,85,24,10,3,3,0,161,9,34,49,125,45,18,9,0,3,297
CED218,0,0,4,19,0,3,0,0,0,22,3313,6173,6461,13652,6037,4481,3000,1442,607,45167,0,0,11,52,3,4,3,0,0,75,0,0,4,19,6,12,8,5,3,53,0,3,7,14,7,8,3,0,0,45,4,12,18,108,35,24,8,11,0,216,3,0,0,42,17,3,3,3,0,67,35,95,1046,1306,300,237,97,58,15,3188,0,0,3,13,12,17,14,11,3,69,4,6,5,22,13,20,31,25,7,131,26,104,183,1019,465,357,364,152,61,2734,0,0,3,37,8,4,3,0,0,60,3,14,33,178,29,16,19,10,3,308,3,3,14,99,45,22,79,45,25,347,0,11,7,63,80,143,216,415,121,1056,14,38,89,147,44,45,32,16,0,432,92,157,294,2049,119,98,69,27,9,2912,3,4,125,164,17,20,10,7,0,345,0,8,15,139,19,15,3,0,3,208,0,0,0,12,10,3,0,0,0,25
CED219,40,318,1113,2052,449,197,80,11,9,4272,7758,11037,8650,12368,4782,3508,1823,763,277,50968,0,5,12,88,23,12,0,0,0,133,0,10,34,200,106,99,37,20,4,505,6,18,57,278,146,100,37,13,3,651,0,14,9,33,4,7,4,0,0,77,0,3,10,101,91,70,75,18,3,374,14,54,97,486,224,178,75,37,10,1183,0,3,22,110,98,116,108,57,5,526,5,46,36,91,58,68,60,29,9,400,13,78,56,375,457,469,438,242,69,2206,0,21,75,291,183,123,39,15,0,760,0,3,0,16,7,9,13,3,0,54,0,9,17,45,40,42,83,63,16,316,0,5,6,38,50,70,76,60,13,311,3,11,19,72,26,20,11,0,0,159,91,551,736,4343,961,550,252,100,19,7597,11,16,16,128,41,23,22,9,0,262,3,71,86,125,36,12,10,0,0,347,6,50,42,96,60,40,13,3,0,304
CED220,0,0,29,48,6,3,0,3,0,89,4246,7445,6384,9201,4769,3377,2013,1132,661,39226,3,4,11,56,13,19,3,0,0,112,0,0,3,34,21,19,8,6,0,85,7,61,213,738,416,331,171,50,24,2013,5,7,6,26,22,9,7,0,4,82,0,4,3,38,35,22,42,16,3,161,24,91,653,1229,320,324,123,105,45,2919,0,0,0,13,19,25,46,55,9,168,8,10,8,25,15,49,68,23,12,217,14,91,77,359,283,278,282,156,67,1612,0,0,11,37,30,22,17,3,0,129,3,4,12,36,17,13,13,8,0,108,0,9,17,49,22,23,75,54,25,267,3,51,52,137,196,291,547,560,151,1983,3,12,49,131,21,36,18,6,0,284,64,227,716,2518,385,288,173,95,27,4499,4,17,33,140,29,16,14,6,3,262,0,3,11,70,20,7,7,0,0,105,0,7,4,27,9,8,5,4,0,68
CED221,0,0,0,6,0,0,0,0,0,10,3636,8120,7124,12039,7691,8140,6135,2782,961,56617,0,4,0,6,3,0,0,0,0,11,0,0,0,0,4,0,4,7,0,20,0,3,5,3,0,3,0,0,0,9,0,8,3,28,17,13,4,4,0,75,0,0,0,3,0,0,4,0,0,12,0,6,17,33,10,6,5,6,0,84,0,0,0,0,15,13,27,32,3,87,0,0,0,3,0,3,6,4,0,21,4,26,41,167,325,355,514,236,66,1739,0,0,3,16,9,6,3,3,0,37,0,3,5,15,5,11,13,0,0,53,0,0,8,14,29,82,188,75,26,440,0,0,0,6,3,15,24,7,3,56,0,4,3,11,8,0,4,0,0,22,6,26,5,191,19,16,16,8,0,282,0,0,3,0,0,3,0,0,0,14,0,0,0,14,3,3,0,0,0,23,0,0,3,3,0,0,0,0,0,8
CED222,6,50,280,559,112,36,11,0,0,1065,4955,8409,7056,12297,5822,4442,2766,1316,589,47672,0,11,6,62,22,8,3,0,0,121,0,0,17,114,49,53,25,12,0,277,6,30,144,477,264,148,80,21,4,1183,3,8,4,36,20,7,4,3,0,97,0,3,3,49,42,23,32,8,0,164,25,70,271,506,221,154,89,50,15,1398,0,0,10,38,37,33,55,27,3,204,0,10,3,19,15,42,34,29,6,164,39,186,159,649,642,478,503,281,107,3040,0,4,28,69,62,49,9,3,4,227,0,3,5,44,17,8,17,0,0,96,0,7,19,70,53,44,103,45,19,364,0,14,6,33,71,107,139,105,34,508,3,11,11,65,15,23,11,3,0,145,21,118,374,1432,339,262,169,71,23,2812,0,7,14,50,9,11,13,0,0,98,0,27,30,74,15,7,0,0,0,153,0,0,5,27,9,13,0,3,0,56
CED223,0,0,7,7,3,0,0,0,0,13,4150,7862,7253,12493,6732,5906,3820,1704,659,50571,0,0,6,21,3,0,0,0,0,33,0,0,0,16,9,13,3,4,0,39,0,0,0,8,3,0,0,0,0,8,3,5,15,38,31,20,12,3,0,124,0,0,0,10,0,5,6,0,0,26,12,85,228,615,206,154,78,37,9,1420,0,0,0,12,40,44,39,42,4,182,0,5,4,16,13,26,28,6,3,102,13,123,133,515,493,411,386,193,71,2337,0,0,4,20,8,13,6,3,3,44,0,3,3,32,16,14,8,3,6,86,3,8,12,47,37,30,101,53,16,312,0,5,3,27,54,130,128,113,30,501,0,8,9,88,23,37,14,13,4,196,16,45,117,657,90,70,50,16,5,1057,4,9,12,35,10,16,10,3,0,86,3,11,14,202,31,13,8,0,3,296,0,4,0,22,4,7,0,0,0,39
