CED_CODE_2016,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
CED201,306,82,103,3,497,125,27,54,6,210,99,50,127,11,281,59,31,132,6,226,485,121,223,12,845,334,199,447,23,999,1467,365,501,36,2367,934,594,611,57,2192,1208,1081,623,53,2963,1056,1360,508,55,2980,757,1376,411,42,2584,739,1503,307,39,2589,1585,3195,448,69,5299,995,2452,189,33,3671,556,1554,97,23,2229,307,1071,55,6,1436,426,2063,82,7,2585,699,2138,520,19,3371,254,181,115,10,562,12383,19445,5562,510,37889
CED202,197,50,94,5,341,126,29,36,12,194,111,49,173,6,342,63,22,263,4,350,671,106,536,34,1346,420,183,814,33,1449,2308,373,909,61,3649,1318,686,812,59,2873,1589,1187,734,63,3575,1474,1436,521,64,3495,918,1474,379,40,2807,921,1396,269,23,2611,1847,2706,287,45,4886,1005,1821,100,14,2945,501,1144,41,9,1699,292,637,49,3,976,527,1269,49,5,1849,925,1915,624,28,3496,347,160,166,14,687,15549,16645,6857,520,39577
CED203,316,105,124,34,579,159,36,69,20,281,117,76,186,38,411,55,44,190,12,307,748,166,294,43,1249,297,282,491,51,1121,1765,423,567,103,2855,823,700,642,106,2275,1032,1052,680,125,2884,1058,1194,505,115,2870,751,1141,367,61,2317,819,1100,319,75,2309,1803,2349,415,116,4681,1370,1856,169,58,3448,858,1335,81,30,2310,568,1029,127,16,1740,1042,2720,80,26,3866,980,1761,555,38,3335,293,193,150,25,656,14843,17557,6009,1085,39494
CED204,142,39,71,5,264,145,16,56,10,231,93,32,185,7,321,50,15,281,5,357,694,137,427,26,1285,393,152,810,30,1381,2305,355,854,76,3592,1398,674,823,76,2969,1788,1135,742,87,3750,1615,1432,537,62,3646,948,1389,364,39,2743,931,1348,234,38,2546,1749,2477,294,39,4550,949,1761,87,15,2821,546,1015,32,5,1589,271,660,46,0,975,557,1103,48,11,1718,984,1827,669,36,3518,365,143,138,14,655,15913,15712,6690,589,38905
CED205,516,238,315,53,1113,191,84,109,21,401,166,116,216,30,531,113,118,226,14,473,826,326,370,44,1571,415,424,502,44,1386,1983,729,623,81,3419,1168,1087,632,104,2985,1374,1594,736,130,3834,1179,1529,513,99,3318,694,1475,395,70,2635,690,1400,301,46,2441,1234,2789,428,89,4539,754,1923,177,34,2889,395,1247,77,23,1745,252,898,69,3,1221,468,1947,103,14,2532,818,2253,610,45,3734,281,182,118,26,615,13520,20366,6524,978,41392
CED206,332,238,177,18,769,156,83,91,17,345,125,172,274,24,588,69,119,300,3,488,759,551,450,28,1790,384,645,635,42,1706,1802,989,731,56,3579,897,1423,816,80,3219,983,2031,855,95,3971,904,1919,631,66,3523,580,1743,442,45,2812,638,1666,368,50,2723,1167,3095,477,62,4805,633,2076,235,37,2982,303,1300,87,16,1700,175,892,61,3,1124,232,1490,88,9,1819,669,2641,769,32,4109,333,328,187,20,862,11143,23394,7677,698,42909
CED207,177,41,81,0,306,112,29,31,6,173,105,42,153,8,303,59,32,182,0,277,500,76,319,9,905,369,144,566,14,1096,1677,280,574,38,2571,1168,575,713,51,2513,1376,1126,695,47,3246,1237,1478,551,54,3323,821,1568,434,29,2851,922,1584,321,27,2858,1971,3132,441,65,5614,1104,2337,170,34,3638,597,1271,59,7,1932,284,818,40,6,1150,421,1465,59,8,1953,785,2200,663,31,3680,351,245,134,9,744,14033,18451,6185,451,39117
CED208,623,170,325,93,1217,196,53,108,30,388,159,92,194,33,479,101,61,165,13,347,717,157,274,35,1183,382,260,427,43,1106,1573,415,444,61,2490,969,671,490,98,2227,1333,1055,599,117,3099,1133,1085,454,92,2763,667,1059,390,78,2195,696,1165,335,65,2266,1511,2598,529,90,4721,995,2092,224,53,3358,648,1543,88,28,2314,428,1313,114,23,1870,849,3449,134,26,4459,912,2119,536,40,3606,227,132,93,15,461,14117,19499,5912,1017,40547
CED209,188,51,63,10,307,121,36,45,3,212,111,36,117,15,279,58,23,163,6,248,601,87,305,16,1013,402,143,558,16,1115,1943,302,569,35,2854,1351,503,585,60,2501,1761,1028,643,54,3484,1555,1337,439,66,3393,904,1420,334,29,2694,1010,1572,233,38,2858,1997,3065,303,35,5403,1173,2239,97,20,3525,610,1392,41,11,2052,327,838,49,3,1223,699,1659,50,12,2412,1019,2228,557,21,3822,309,171,106,12,605,16135,18139,5256,463,39990
CED210,198,53,110,12,373,119,31,70,9,224,99,55,237,8,403,69,33,294,13,399,837,141,543,27,1554,389,209,879,25,1507,2303,414,865,63,3636,1317,627,858,74,2876,1524,1070,832,84,3508,1370,1290,604,75,3334,771,1311,391,39,2516,884,1307,297,35,2521,1634,2465,381,64,4538,972,1655,125,21,2773,485,1018,45,14,1555,267,616,56,4,946,542,1255,61,9,1864,958,1816,609,32,3422,410,200,201,17,828,15154,15559,7458,617,38781
