CED_CODE_2016,Separate_house_NofB_0_i_b,Separate_house_NofB_1,Separate_house_NofB_2,Separate_house_NofB_3,Separate_house_NofB_4,Separate_house_NofB_5,Separate_house_NofB_6_or_m,Separate_house_NofB_NS,Separate_house_Total,Se_d_r_or_t_h_t_1_s_NofB_0_ib,Se_d_r_or_t_h_t_1_st_NofB_1,Se_d_r_or_t_h_t_1_st_NofB_2,Se_d_r_or_t_h_t_1_st_NofB_3,Se_d_r_or_t_h_t_1_st_NofB_4,Se_d_r_or_t_h_t_1_st_NofB_5,Se_d_r_or_t_h_t_1_st_NofB_6_m,Se_d_r_or_t_h_t_1_st_NofB_NS,Se_d_r_or_t_h_t_1_st_Total,Se_d_r_or_t_h_t_2_s_NofB_0_ib,Se_d_r_or_t_h_t_2_sts_NofB_1,Se_d_r_or_t_h_t_2_sts_NofB_2,Se_d_r_or_t_h_t_2_sts_NofB_3,Se_d_r_or_t_h_t_2_sts_NofB_4,Se_d_r_or_t_h_t_2_sts_NofB_5,Se_d_r_or_t_h_t_2_st_NofB_6_m,Se_d_r_or_t_h_t_2_sts_NofB_NS,Se_d_r_or_t_h_t_2_sts_Total,Se_d_r_or_t_h_t_Tot_NofB_0_ib,Se_d_r_or_t_h_t_Tot_NofB_1,Se_d_r_or_t_h_t_Tot_NofB_2,Se_d_r_or_t_h_t_Tot_NofB_3,Se_d_r_or_t_h_t_Tot_NofB_4,Se_d_r_or_t_h_t_Tot_NofB_5,Se_d_r_or_t_h_t_Tot_NofB_6_m,Se_d_r_or_t_h_t_Tot_NofB_NS,Se_d_r_or_t_h_t_Tot_Total,Flt_at_1_or2_st_bl_NofB_0_ib,Flt_at_In_1_or2_s_b_NofB_1,Flt_at_In_1_or2_s_b_NofB_2,Flt_at_In_1_or2_s_b_NofB_3,Flt_at_In_1_or2_s_b_NofB_4,Flt_at_In_1_or2_s_b_NofB_5,Flt_at_In_1_or2_s_b_NoB_6_m,Flt_at_In_1_or2_s_b_NoB_NS,Flt_at_In_1_or2_s_b_Total,Flt_apt_3_st_bl_NoB_0_ib,Flt_apt_In_3_st_bl_NofB_1,Flt_apt_In_3_st_bl_NofB_2,Flt_apt_In_3_st_bl_NofB_3,Flt_apt_In_3_st_bl_NofB_4,Flt_apt_In_3_st_bl_NofB_5,Flt_apt_In_3_s_bl_NofB_6_m,Flt_apt_In_3_st_bl_NofB_NS,Flt_apt_In_3_st_bl_Total,Flt_apt_4_or_m_s_b_NofB_0_ib,Flt_apt_4_or_m_s_b_NofB_1,Flt_apt_4_or_m_s_b_NofB_2,Flt_apt_4_or_m_s_b_NofB_3,Flt_apt_4_or_m_s_b_NofB_4,Flt_apt_4_or_m_s_b_NofB_5,Flt_apt_4_or_m_s_b_NofB_6_m,Flt_apt_4_or_m_s_b_NofB_NS,Flt_apt_4_or_m_s_b_Total,Flt_apt_At_to_a_h_NofB_0_ib,Flt_apt_At_to_a_hse_NofB_1,Flt_apt_At_to_a_hse_NofB_2,Flt_apt_At_to_a_hse_NofB_3,Flt_apt_At_to_a_hse_NofB_4,Flt_apt_At_to_a_hse_NofB_5,Flt_apt_At_to_a_hs_NofB_6_m,Flt_apt_At_to_a_hs_NofB_NS,Flt_apt_At_to_a_hse_Total,Flt_apart_Tot_NofB_0_i_b,Flt_apart_Tot_NofB_1,Flt_apart_Tot_NofB_2,Flt_apart_Tot_NofB_3,Flt_apart_Tot_NofB_4,Flt_apart_Tot_NofB_5,Flt_apart_Tot_NofB_6_or_m,Flt_apart_Tot_NofB_NS,Flt_apart_Tot_Total,Other_dwelling_NofB_0_i_b,Other_dwelling_NofB_1,Other_dwelling_NofB_2,Other_dwelling_NofB_3,Other_dwelling_NofB_4,Other_dwelling_NofB_5,Other_dwelling_NofB_6_or_m,Other_dwelling_NofB_NS,Other_dwelling_Total,Dweling_structu_NS_NofB_0_i_b,Dweling_structur_NS_NofB_1,Dweling_structur_NS_NofB_2,Dweling_structur_NS_NofB_3,Dweling_structur_NS_NofB_4,Dweling_structur_NS_NofB_5,Dwelig_struct_NS_NofB_6_or_m,Dweling_structur_NS_NofB_NS,Dweling_structur_NS_Total,Total_NofB_0_i_b,Total_NofB_1,Total_NofB_2,Total_NofB_3,Total_NofB_4,Total_NofB_5,Total_NofB_6_or_m,Total_NofB_NS,Total_Total
CED201,34,170,1919,19229,14303,2827,479,613,39570,8,279,2069,1253,280,49,4,143,4087,0,26,558,970,161,37,8,32,1786,7,301,2625,2219,447,88,15,177,5869,16,126,398,185,5,0,0,37,770,3,72,152,9,0,0,0,4,234,0,59,74,4,0,0,0,3,149,0,4,0,0,0,0,0,0,6,19,259,620,199,5,3,4,52,1159,8,57,58,67,48,8,0,15,261,4,15,20,20,17,0,4,11,85,68,801,5239,21737,14816,2922,496,863,46946
CED202,58,599,5857,25526,13681,1847,356,1027,48951,15,809,2298,1740,505,38,17,216,5628,0,26,183,251,104,9,3,14,594,15,833,2479,1994,606,42,18,227,6218,17,398,616,184,18,3,9,60,1298,0,17,31,12,0,0,0,5,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17,413,652,198,16,4,9,64,1370,20,85,101,228,93,17,3,23,574,5,40,60,108,48,6,3,58,322,112,1969,9145,28056,14447,1918,395,1408,57439
CED203,48,420,6408,18752,6898,1259,306,905,34998,19,1008,5465,2381,300,36,14,258,9471,25,681,2690,2653,441,48,16,153,6697,47,1691,8148,5030,737,79,30,410,16172,30,2053,2488,349,36,6,5,169,5141,68,620,768,179,9,0,0,49,1689,34,605,1127,78,3,0,0,52,1901,0,0,0,0,0,0,0,0,5,133,3276,4384,605,48,6,5,269,8733,0,45,158,78,18,6,0,9,318,3,25,69,54,16,9,0,30,212,230,5464,19166,24521,7722,1365,347,1616,60427
CED204,76,774,6909,26338,13740,1897,373,1144,51243,23,519,1913,613,53,9,0,166,3295,0,32,129,199,22,3,0,26,405,22,554,2045,809,75,11,4,191,3701,10,121,337,108,12,0,0,36,619,0,24,17,3,3,0,0,8,56,0,14,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,3,10,163,354,112,17,3,0,43,699,45,125,83,48,18,0,3,33,353,3,22,66,90,54,8,3,36,289,157,1636,9450,27398,13898,1918,385,1452,56291
CED205,69,226,2747,19294,12432,2800,538,879,38983,15,427,2820,1477,330,63,19,240,5381,4,9,478,1432,416,39,3,63,2451,21,433,3303,2906,742,95,25,301,7833,13,565,2335,904,133,12,7,145,4115,3,129,473,65,8,3,3,31,714,18,254,306,11,8,0,0,4,594,0,0,3,0,0,0,0,3,14,31,950,3116,978,150,18,14,178,5434,13,70,36,95,33,3,3,25,283,0,26,33,25,9,3,0,33,129,132,1706,9229,23297,13372,2919,579,1415,52659
CED206,76,161,1308,22894,14039,2234,364,1048,42128,6,191,1479,2081,332,22,8,129,4250,3,22,462,1256,261,39,8,63,2117,14,217,1941,3334,596,58,9,197,6369,21,122,364,427,32,8,0,53,1028,0,10,40,0,0,0,0,0,51,5,29,31,25,3,0,0,5,101,0,3,3,0,0,0,0,0,4,33,166,441,449,29,8,0,65,1185,15,110,56,120,37,4,5,31,371,0,12,18,44,15,4,3,34,128,131,664,3766,26847,14708,2308,377,1372,50179
CED207,52,606,4218,23487,13406,2720,592,835,45916,11,443,1278,593,46,5,0,100,2486,3,34,267,378,28,0,0,9,720,15,475,1541,974,82,5,0,115,3208,3,32,69,42,4,0,3,3,153,0,0,24,25,0,0,0,5,49,0,0,0,4,0,0,0,0,3,0,0,0,3,0,0,0,0,8,3,31,89,73,6,3,3,6,213,26,119,62,23,12,0,0,14,259,0,17,30,63,35,7,3,23,184,90,1249,5943,24628,13533,2739,597,987,49773
CED208,37,225,3320,17781,10588,2579,622,728,35877,13,445,3867,2562,390,54,16,172,7518,13,67,863,2635,1091,163,53,107,4981,22,514,4724,5196,1480,215,67,274,12501,140,559,2666,2079,417,37,18,161,6068,72,575,860,75,3,4,0,46,1629,46,728,506,20,0,0,3,45,1348,0,0,0,3,0,0,0,0,9,253,1866,4036,2173,418,37,21,246,9055,0,4,25,15,11,0,0,0,56,5,29,39,66,37,12,4,35,225,314,2632,12151,25225,12537,2843,720,1291,57713
CED209,57,503,4634,24635,15548,2223,482,887,48963,18,514,2139,774,121,17,6,118,3707,0,65,251,469,97,12,4,13,919,18,584,2398,1246,217,27,10,136,4631,7,157,163,64,7,6,3,31,439,0,13,17,9,0,0,0,0,36,0,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,3,7,169,181,76,7,6,3,32,486,23,126,119,80,59,13,6,34,460,0,16,39,90,33,7,6,13,207,105,1397,7369,26121,15869,2272,511,1099,54750
CED210,72,537,6141,27381,11143,1504,304,1116,48196,25,1083,2427,1072,118,14,4,189,4931,4,98,390,545,99,4,3,25,1175,31,1173,2818,1620,223,20,8,213,6102,17,515,968,294,19,6,0,80,1906,3,33,68,3,0,0,0,5,107,0,46,93,32,7,3,3,8,186,0,0,3,0,0,0,0,0,3,26,591,1128,335,23,9,4,91,2207,14,70,75,53,28,5,0,15,255,0,9,45,73,33,4,0,18,185,137,2381,10206,29458,11444,1544,319,1458,56949
