CED_CODE_2016,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
CED201,2012,883,988,1869,890,887,1771,898,982,1877,862,930,1787,4521,4808,9325,818,930,1742,811,919,1728,808,857,1667,744,819,1566,772,831,1599,3951,4353,8303,722,785,1505,697,722,1420,662,727,1384,642,691,1330,657,708,1367,3374,3637,7012,485,548,1035,497,537,1037,460,518,977,400,492,892,399,511,906,2240,2605,4849,408,455,860,361,432,792,335,351,689,332,402,736,291,340,630,1726,1977,3702,1048,1383,2433,638,980,1622,237,526,762,53,147,205,3,14,20,66363,69652,136018
CED202,2168,899,1024,1921,960,1113,2069,968,1039,2012,967,1025,1997,4829,5341,10168,902,1056,1961,934,975,1909,910,998,1907,937,982,1919,923,1007,1931,4615,5014,9623,876,988,1865,877,902,1777,884,925,1805,857,914,1771,888,974,1853,4383,4697,9076,746,775,1524,660,729,1390,618,716,1337,552,653,1201,614,583,1198,3190,3458,6647,492,571,1058,439,546,984,435,499,932,380,458,839,379,434,807,2116,2501,4615,1417,1858,3274,776,1379,2154,315,683,998,57,166,224,6,22,30,74900,79575,154483
CED203,1839,817,917,1737,860,813,1673,768,849,1615,797,827,1626,4120,4370,8489,731,763,1495,697,764,1457,616,732,1343,659,708,1376,594,654,1244,3294,3625,6912,579,637,1213,586,602,1194,538,649,1192,527,657,1185,545,651,1203,2778,3199,5979,490,591,1080,449,531,978,460,529,984,397,495,892,405,507,908,2194,2652,4840,443,533,982,399,556,955,411,485,899,381,494,876,371,509,873,2005,2582,4591,1703,2142,3847,1013,1572,2586,379,703,1085,85,178,262,8,22,30,78431,83533,161964
CED204,2171,1012,1067,2084,1008,1074,2083,1001,1095,2095,943,1050,1992,5012,5414,10422,968,997,1969,933,1008,1941,979,1048,2023,989,1058,2042,997,1017,2007,4857,5125,9984,917,1017,1935,949,990,1938,847,886,1734,852,888,1737,975,1030,2007,4538,4806,9342,721,735,1456,734,765,1496,662,703,1359,589,637,1228,626,630,1258,3330,3472,6797,581,582,1165,489,568,1059,457,519,979,427,547,970,429,447,880,2387,2666,5052,1560,1890,3454,957,1427,2384,348,729,1079,56,191,250,4,36,43,73379,77047,150431
CED205,1717,863,994,1851,853,910,1762,922,973,1897,806,877,1681,4290,4625,8916,832,880,1714,813,845,1659,801,822,1622,742,862,1601,718,872,1592,3907,4276,8181,733,850,1579,721,772,1494,699,821,1518,687,800,1489,781,893,1671,3616,4136,7755,656,769,1431,684,675,1354,602,673,1278,548,615,1164,580,671,1252,3077,3400,6480,554,607,1163,549,611,1152,541,577,1121,481,542,1025,441,466,906,2563,2806,5369,1741,2110,3846,1002,1450,2452,371,732,1100,54,172,231,9,21,34,79055,77956,157011
CED206,2257,1055,1106,2164,986,1036,2020,898,943,1840,940,978,1917,4978,5222,10196,923,875,1800,916,946,1861,799,828,1627,769,844,1615,748,756,1499,4152,4245,8397,665,796,1457,640,744,1380,719,716,1436,647,789,1441,690,706,1398,3367,3748,7110,578,588,1162,572,498,1064,541,526,1072,440,437,874,438,426,868,2567,2476,5039,412,378,794,373,396,765,328,348,678,291,342,632,299,322,629,1706,1784,3491,1004,1308,2309,533,795,1325,167,292,461,21,62,86,3,14,15,82569,82835,165406
CED207,2059,927,982,1911,912,944,1857,894,965,1863,958,947,1911,4700,4895,9596,873,918,1793,793,907,1701,813,852,1667,786,907,1689,756,860,1619,4025,4432,8463,807,872,1680,748,874,1623,729,757,1486,697,787,1486,797,836,1634,3785,4128,7912,684,728,1409,603,619,1221,554,635,1187,527,521,1052,498,472,974,2866,2977,5848,421,460,884,397,423,821,356,407,762,317,394,708,305,320,632,1797,2001,3801,1128,1405,2528,677,995,1674,245,449,694,35,126,161,3,14,21,70203,72559,142766
CED208,1769,871,938,1810,804,851,1649,823,865,1688,734,899,1638,4048,4508,8556,722,842,1564,717,821,1544,692,788,1481,638,786,1425,672,726,1401,3449,3964,7414,568,725,1294,599,711,1308,571,725,1293,582,681,1260,634,742,1382,2951,3580,6533,543,613,1155,460,612,1071,489,666,1153,436,549,982,490,614,1102,2413,3049,5462,433,611,1044,452,584,1037,462,569,1036,432,614,1043,414,600,1012,2198,2974,5171,1915,2465,4382,1261,1862,3121,495,878,1369,84,190,275,8,19,24,79930,84500,164433
CED209,2001,961,1009,1975,986,1040,2025,932,1039,1974,940,1031,1968,4791,5150,9940,987,1029,2013,973,1027,2008,949,1012,1963,898,977,1872,933,936,1867,4743,4976,9724,914,964,1883,890,1034,1921,850,911,1766,871,911,1783,925,939,1865,4455,4755,9212,751,779,1525,696,737,1428,679,751,1422,614,614,1222,586,640,1228,3315,3512,6828,494,565,1060,473,527,994,458,482,940,412,492,906,409,440,852,2239,2508,4750,1484,1975,3460,921,1520,2437,396,831,1225,70,202,270,10,32,48,74915,77827,152740
CED210,1951,945,1090,2036,929,1007,1934,901,1006,1909,941,1008,1951,4623,5159,9783,919,1010,1923,876,943,1820,877,987,1863,868,977,1841,887,951,1830,4415,4864,9279,809,943,1756,889,871,1757,787,983,1770,749,886,1639,889,981,1868,4128,4661,8783,711,820,1528,645,728,1377,638,663,1307,588,643,1238,561,608,1172,3148,3465,6618,518,635,1153,450,590,1043,495,527,1019,455,512,968,422,541,964,2344,2801,5144,1591,2086,3676,1047,1512,2559,367,748,1113,78,188,263,6,22,25,72793,77125,149914
