CED_CODE_2016,Count_home_Census_Nt_0_14_yr,Count_hom_Census_Nt_15_24_yr,Count_hom_Census_Nt_25_34_yr,Count_hom_Census_Nt_35_44_yr,Count_hom_Census_Nt_45_54_yr,Count_hom_Census_Nt_55_64_yr,Count_hom_Census_Nt_65_74_yr,Count_hom_Census_Nt_75_84_yr,Count_hom_Census_Nt_85ov,Counted_home_Census_Night_Tot,VisSame_SA2_0_14_yr,VisSame_SA2_15_24_yr,VisSame_SA2_25_34_yr,VisSame_SA2_35_44_yr,VisSame_SA2_45_54_yr,VisSame_SA2_55_64_yr,VisSame_SA2_65_74_yr,VisSame_SA2_75_84_yr,VisSame_SA2_85ov,VisSame_SA2_Total,VisDiff_SA2_NSW_0_14_yr,VisDiff_SA2_NSW_15_24_yr,VisDiff_SA2_NSW_25_34_yr,VisDiff_SA2_NSW_35_44_yr,VisDiff_SA2_NSW_45_54_yr,VisDiff_SA2_NSW_55_64_yr,VisDiff_SA2_NSW_65_74_yr,VisDiff_SA2_NSW_75_84_yr,VisDiff_SA2_NSW_85ov,VisDiff_SA2_NSW_Total,VisDiff_SA2_VIC_0_14_yr,VisDiff_SA2_VIC_15_24_yr,VisDiff_SA2_VIC_25_34_yr,VisDiff_SA2_VIC_35_44_yr,VisDiff_SA2_VIC_45_54_yr,VisDiff_SA2_VIC_55_64_yr,VisDiff_SA2_VIC_65_74_yr,VisDiff_SA2_VIC_75_84_yr,VisDiff_SA2_VIC_85ov,VisDiff_SA2_VIC_Total,VisDiff_SA2_QLD_0_14_yr,VisDiff_SA2_QLD_15_24_yr,VisDiff_SA2_QLD_25_34_yr,VisDiff_SA2_QLD_35_44_yr,VisDiff_SA2_QLD_45_54_yr,VisDiff_SA2_QLD_55_64_yr,VisDiff_SA2_QLD_65_74_yr,VisDiff_SA2_QLD_75_84_yr,VisDiff_SA2_QLD_85ov,VisDiff_SA2_QLD_Total,VisDiff_SA2_SA_0_14_yr,VisDiff_SA2_SA_15_24_yr,VisDiff_SA2_SA_25_34_yr,VisDiff_SA2_SA_35_44_yr,VisDiff_SA2_SA_45_54_yr,VisDiff_SA2_SA_55_64_yr,VisDiff_SA2_SA_65_74_yr,VisDiff_SA2_SA_75_84_yr,VisDiff_SA2_SA_85ov,VisDiff_SA2_SA_Total,VisDiff_SA2_WA_0_14_yr,VisDiff_SA2_WA_15_24_yr,VisDiff_SA2_WA_25_34_yr,VisDiff_SA2_WA_35_44_yr,VisDiff_SA2_WA_45_54_yr,VisDiff_SA2_WA_55_64_yr,VisDiff_SA2_WA_65_74_yr,VisDiff_SA2_WA_75_84_yr,VisDiff_SA2_WA_85ov,VisDiff_SA2_WA_Total,VisDiff_SA2_TAS_0_14_yr,VisDiff_SA2_TAS_15_24_yr,VisDiff_SA2_TAS_25_34_yr,VisDiff_SA2_TAS_35_44_yr,VisDiff_SA2_TAS_45_54_yr,VisDiff_SA2_TAS_55_64_yr,VisDiff_SA2_TAS_65_74_yr,VisDiff_SA2_TAS_75_84_yr,VisDiff_SA2_TAS_85ov,VisDiff_SA2_TAS_Total,VisDiff_SA2_NT_0_14_yr,VisDiff_SA2_NT_15_24_yr,VisDiff_SA2_NT_25_34_yr,VisDiff_SA2_NT_35_44_yr,VisDiff_SA2_NT_45_54_yr,VisDiff_SA2_NT_55_64_yr,VisDiff_SA2_NT_65_74_yr,VisDiff_SA2_NT_75_84_yr,VisDiff_SA2_NT_85ov,VisDiff_SA2_NT_Total,VisDiff_SA2_ACT_0_14_yr,VisDiff_SA2_ACT_15_24_yr,VisDiff_SA2_ACT_25_34_yr,VisDiff_SA2_ACT_35_44_yr,VisDiff_SA2_ACT_45_54_yr,VisDiff_SA2_ACT_55_64_yr,VisDiff_SA2_ACT_65_74_yr,VisDiff_SA2_ACT_75_84_yr,VisDiff_SA2_ACT_85ov,VisDiff_SA2_ACT_Total,VisDiff_SA2_OT_0_14_yr,VisDiff_SA2_OT_15_24_yr,VisDiff_SA2_OT_25_34_yr,VisDiff_SA2_OT_35_44_yr,VisDiff_SA2_OT_45_54_yr,VisDiff_SA2_OT_55_64_yr,VisDiff_SA2_OT_65_74_yr,VisDiff_SA2_OT_75_84_yr,VisDiff_SA2_OT_85ov,VisDiff_SA2_OT_Total,VisDiff_SA2_Tot_0_14_yr,VisDiff_SA2_Tot_15_24_yr,VisDiff_SA2_Tot_25_34_yr,VisDiff_SA2_Tot_35_44_yr,VisDiff_SA2_Tot_45_54_yr,VisDiff_SA2_Tot_55_64_yr,VisDiff_SA2_Tot_65_74_yr,VisDiff_SA2_Tot_75_84_yr,VisDiff_SA2_Tot_85ov,VisDiff_SA2_Tot_Total,Vis_Tot_Visitrs_0_14_yr,Vis_Tot_Visitrs_15_24_yr,Vis_Tot_Visitrs_25_34_yr,Vis_Tot_Visitrs_35_44_yr,Vis_Tot_Visitrs_45_54_yr,Vis_Tot_Visitrs_55_64_yr,Vis_Tot_Visitrs_65_74_yr,Vis_Tot_Visitrs_75_84_yr,Vis_Tot_Visitrs_85ov,Vis_Tot_Visitrs_Total,Total_0_14_yr,Total_15_24_yr,Total_25_34_yr,Total_35_44_yr,Total_45_54_yr,Total_55_64_yr,Total_65_74_yr,Total_75_84_yr,Total_85ov,Total_Total
CED201,23411,17588,17298,17745,19011,16918,11082,5695,2478,131214,12,16,12,9,11,6,12,8,3,81,19,13,26,16,12,24,24,18,3,149,344,458,520,304,253,211,235,245,164,2732,15,7,25,16,8,16,18,0,0,108,0,3,0,13,3,0,8,9,0,44,3,3,9,7,6,4,6,0,3,41,0,0,3,3,0,0,5,7,0,25,0,0,0,0,0,0,0,0,0,3,3,3,4,3,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,381,486,587,368,289,266,292,276,166,3107,386,499,592,378,300,274,302,283,167,3191,23797,18087,17891,18121,19307,17185,11386,5976,2645,134406
CED202,28657,18676,17198,18369,19905,18424,14241,7205,3166,145843,14,40,20,22,22,15,21,13,11,181,7,31,23,26,25,39,37,14,0,222,639,1223,873,579,544,611,481,298,170,5425,6,12,16,20,26,36,31,3,0,155,3,11,11,4,13,17,14,8,3,88,4,4,4,8,13,7,11,4,0,54,7,0,3,9,19,17,15,4,0,66,9,7,8,8,4,8,3,0,0,50,0,0,3,0,9,3,3,3,0,15,0,0,0,0,0,0,0,0,0,0,683,1296,946,652,655,743,591,334,179,6079,694,1335,969,677,679,766,613,351,194,6264,29354,20010,18164,19039,20582,19185,14857,7557,3359,152109
CED203,25046,19309,30017,24181,20310,14827,10314,7996,3704,155700,7,46,22,11,20,27,17,14,10,175,7,60,36,26,17,28,30,10,3,209,338,829,870,514,451,369,287,223,121,4010,9,16,24,14,18,17,17,0,3,120,0,9,12,0,10,3,6,8,0,51,3,11,11,8,3,17,9,3,0,64,0,22,5,3,10,3,4,0,0,48,0,8,0,4,0,0,0,0,0,12,0,5,7,3,0,0,6,0,0,26,0,0,0,0,0,0,0,0,0,0,356,960,975,568,504,451,365,244,125,4546,369,1004,999,582,517,476,384,260,136,4722,25414,20309,31017,24761,20827,15296,10700,8256,3839,160418
CED204,27280,17251,15917,17248,19273,19053,14696,7861,3529,142107,30,20,18,14,21,19,17,8,8,161,16,54,48,31,45,63,54,26,9,325,524,1167,798,529,496,561,478,260,178,4996,13,15,13,11,23,27,34,7,3,149,7,18,16,13,11,34,18,8,3,131,0,5,9,6,21,25,9,11,0,94,3,4,9,5,7,11,16,7,0,60,3,4,3,0,3,7,7,0,0,28,0,3,8,3,6,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,567,1264,904,601,618,718,618,314,200,5809,593,1288,925,619,638,738,636,324,210,5967,27872,18543,16841,17864,19915,19784,15332,8184,3740,148072
CED205,26064,21053,23360,20158,19013,16541,13405,8690,3621,151911,9,27,25,25,21,13,17,13,9,149,8,30,51,35,51,38,12,3,0,236,382,589,775,470,418,329,280,263,194,3700,14,16,28,32,43,26,14,0,0,181,4,6,6,6,16,9,3,0,0,61,8,21,23,18,16,11,11,0,0,110,0,4,0,3,3,8,3,3,0,24,3,9,0,0,5,0,0,0,0,12,0,11,4,3,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,419,689,893,574,552,424,327,278,199,4351,431,715,919,600,573,431,341,292,206,4506,26496,21764,24277,20759,19590,16977,13749,8985,3821,156414
CED206,32887,24509,22677,20651,22927,18023,11602,5485,1801,160561,43,40,47,36,29,23,22,6,0,262,10,25,70,57,59,64,33,16,0,336,520,469,747,468,393,351,321,235,114,3620,11,21,40,35,48,49,21,0,0,221,0,4,19,9,22,31,8,0,0,97,0,5,13,16,24,18,9,0,0,89,3,11,11,20,17,9,20,5,0,93,0,0,3,8,6,0,3,0,0,18,3,0,4,0,5,3,9,0,0,28,0,0,0,0,0,0,0,0,0,0,551,538,903,617,570,525,421,264,110,4502,597,581,950,656,595,553,448,271,115,4763,33482,25089,23631,21301,23525,18577,12047,5755,1912,165320
CED207,26667,16954,17268,17954,19430,17069,12534,5808,2365,136044,14,16,21,14,13,15,21,15,9,144,6,14,22,15,25,29,17,13,0,135,452,669,587,362,323,293,261,135,64,3151,7,9,19,18,23,27,24,5,0,135,0,10,0,6,7,13,10,4,0,48,7,9,9,10,15,8,3,0,0,63,3,6,9,3,6,9,11,0,0,45,0,0,4,0,0,4,0,0,0,7,0,0,3,0,3,3,5,0,0,13,0,0,0,0,0,0,0,0,0,0,477,707,653,420,401,386,330,159,68,3603,489,727,674,437,420,396,345,173,78,3745,27160,17680,17943,18387,19844,17466,12884,5980,2441,139793
CED208,24627,29049,25518,19823,19618,15304,11314,8901,4489,158637,14,39,23,14,16,10,9,17,7,140,17,57,33,32,43,41,15,7,0,251,453,927,791,484,399,402,377,365,276,4475,5,28,21,15,24,22,19,5,3,147,3,15,9,5,13,15,16,7,0,79,4,17,13,4,3,9,12,3,0,64,3,39,10,9,6,8,7,4,0,83,0,12,0,0,3,3,3,0,0,32,0,9,13,4,0,3,0,0,0,31,0,0,0,0,0,0,0,0,0,6,481,1106,884,552,496,504,451,396,279,5152,487,1146,904,574,510,509,455,410,288,5293,25115,30193,26424,20392,20131,15816,11766,9319,4776,163931
CED209,28954,16976,16247,18900,18930,18018,13912,7383,3713,143032,25,28,14,11,10,17,16,13,9,138,17,50,42,20,27,33,33,10,0,241,508,954,720,508,488,596,486,220,136,4617,25,30,31,35,23,49,42,6,0,244,11,17,26,12,18,22,34,17,0,156,8,17,14,12,15,16,18,4,0,91,5,16,3,5,10,9,18,3,0,70,0,0,3,0,3,0,0,0,0,12,3,0,6,0,0,7,3,0,0,21,0,0,0,0,0,0,0,0,0,0,580,1084,849,594,583,737,624,264,137,5448,602,1117,865,606,585,757,640,275,151,5592,29550,18091,17111,19501,19519,18768,14552,7664,3856,148620
CED210,25509,17913,18294,17618,18939,17916,14036,8227,3738,142198,25,36,22,15,17,13,20,9,16,168,13,29,17,20,26,18,19,4,0,160,547,890,785,512,505,503,418,272,189,4615,4,12,16,25,28,34,25,5,3,153,3,4,8,6,19,13,11,0,0,66,3,3,7,5,8,18,11,0,0,61,0,0,3,8,5,12,4,0,0,42,3,3,0,5,3,3,0,0,0,13,0,0,9,4,5,7,0,0,0,28,0,0,0,0,0,0,0,0,0,0,578,951,841,582,600,602,499,285,189,5126,600,984,864,595,614,619,524,289,205,5292,26110,18897,19159,18219,19552,18530,14561,8517,3937,147490
