CED_CODE_2016,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot
CED201,..,48,3054,5705,6185,6114,4104,1857,422,27487,..,251,1277,763,714,408,132,33,4,3572,..,13,54,148,338,239,98,53,26,958,11782,..,..,..,..,..,..,..,..,11782,..,4637,..,..,..,..,..,..,..,4637,..,2950,2354,667,334,95,9,0,0,6418,..,357,331,109,120,127,95,69,39,1246,..,201,293,116,92,41,37,4,3,794,..,225,447,189,165,147,84,39,10,1312,..,128,485,602,792,708,541,360,177,3803,138,200,192,115,98,76,75,37,15,954,11920,9010,8487,8412,8843,7959,5175,2455,687,62945,..,137,3977,6186,6578,5849,3484,1279,207,27700,..,405,1293,789,679,333,104,20,5,3620,..,92,437,1000,1576,823,337,219,118,4598,11078,..,..,..,..,..,..,..,..,11078,..,4617,..,..,..,..,..,..,..,4617,..,2319,1663,327,168,95,22,0,0,4598,..,320,214,86,113,302,299,249,138,1727,..,201,204,56,36,23,11,3,3,532
CED202,..,79,2668,4902,5357,5394,4419,2046,467,25340,..,587,1929,1296,1124,680,304,77,15,6010,..,17,81,258,403,235,98,59,45,1190,14019,..,..,..,..,..,..,..,..,14019,..,3349,..,..,..,..,..,..,..,3349,..,2858,1212,489,361,138,23,3,0,5085,..,327,195,108,105,138,88,62,26,1051,..,225,190,80,85,53,12,5,0,660,..,987,734,219,234,222,156,55,13,2611,..,307,841,893,1239,1427,1251,625,293,6885,268,398,337,223,213,170,142,51,16,1814,14284,9136,8190,8459,9126,8463,6493,2983,869,68003,..,168,3423,5330,5650,5357,4010,1450,231,25629,..,886,1935,1300,1123,603,220,39,3,6111,..,264,934,1490,1594,679,292,242,176,5671,13352,..,..,..,..,..,..,..,..,13352,..,3426,..,..,..,..,..,..,..,3426,..,1864,694,214,168,105,26,0,0,3068,..,255,120,38,111,235,186,131,93,1169,..,231,113,33,35,21,16,3,3,452
CED203,..,87,3780,5937,5088,3733,2863,2337,604,24429,..,324,2702,1883,1122,640,199,33,10,6911,..,9,50,150,308,248,123,114,90,1076,12162,..,..,..,..,..,..,..,..,12162,..,3362,..,..,..,..,..,..,..,3362,..,1724,1642,734,635,301,29,0,0,5067,..,597,587,159,175,178,109,81,49,1938,..,438,681,139,93,51,19,3,3,1431,..,1852,3020,734,406,297,146,57,14,6527,..,272,1194,1230,1344,1234,924,606,324,7121,149,233,404,223,193,130,81,60,36,1516,12317,8905,14049,11192,9357,6817,4492,3293,1123,71544,..,319,4811,6029,5138,3635,2788,1620,258,24591,..,570,2914,2033,1204,546,140,27,4,7449,..,69,392,1003,1402,873,425,493,279,4933,11696,..,..,..,..,..,..,..,..,11696,..,3372,..,..,..,..,..,..,..,3372,..,1232,1250,433,396,179,33,0,0,3529,..,506,486,124,197,283,238,261,167,2259,..,463,499,85,55,42,15,3,0,1166
CED204,..,118,2416,4467,5061,5445,4587,2321,545,24946,..,623,1692,1174,1090,730,323,78,13,5718,..,26,78,213,433,273,90,58,45,1202,13308,..,..,..,..,..,..,..,..,13308,..,3205,..,..,..,..,..,..,..,3205,..,2554,1108,499,339,128,24,0,0,4652,..,307,175,76,97,128,99,55,39,980,..,234,191,96,74,52,39,5,7,695,..,778,631,227,242,266,177,67,16,2409,..,264,735,853,1237,1582,1336,732,322,7056,218,338,306,210,167,183,155,64,18,1653,13525,8432,7327,7816,8732,8795,6812,3383,1003,65833,..,193,3154,4915,5498,5424,4100,1705,287,25278,..,913,1769,1254,1051,619,265,50,9,5932,..,264,859,1421,1491,750,292,249,156,5484,12568,..,..,..,..,..,..,..,..,12568,..,3281,..,..,..,..,..,..,..,3281,..,1609,649,206,161,109,25,0,0,2760,..,326,131,39,105,203,218,168,89,1282,..,224,105,47,36,17,7,4,0,443
CED205,..,180,4228,6393,6034,5474,4673,2948,681,30605,..,208,839,462,427,280,124,47,5,2387,..,14,56,161,332,286,122,73,50,1093,12963,..,..,..,..,..,..,..,..,12963,..,5141,..,..,..,..,..,..,..,5141,..,2270,2546,865,588,181,26,0,0,6483,..,843,771,236,205,167,173,83,47,2524,..,617,780,245,153,88,25,9,3,1926,..,1417,1789,671,396,206,121,36,15,4648,..,220,627,700,806,817,735,519,274,4691,131,200,299,215,148,99,95,64,21,1269,13098,11099,11938,9945,9082,7596,6099,3778,1091,73722,..,521,5711,6596,6024,5370,4336,2005,280,30842,..,302,898,450,394,244,98,26,0,2411,..,101,533,1250,1565,893,485,407,198,5435,12095,..,..,..,..,..,..,..,..,12095,..,4823,..,..,..,..,..,..,..,4823,..,1595,1703,471,289,148,29,0,0,4234,..,589,430,121,210,475,420,373,231,2844,..,466,385,101,58,39,13,3,7,1079
CED206,..,179,3998,6421,7664,6461,4306,1819,326,31173,..,183,834,612,583,314,109,30,9,2667,..,16,77,194,447,345,129,93,44,1334,16121,..,..,..,..,..,..,..,..,16121,..,5897,..,..,..,..,..,..,..,5897,..,4423,3822,1105,546,174,12,0,0,10087,..,623,594,205,205,199,138,99,32,2090,..,233,297,135,110,71,22,7,3,885,..,435,743,241,188,156,91,23,9,1890,..,176,533,654,908,716,552,306,128,3983,201,231,348,237,180,120,95,63,13,1475,16323,12391,11244,9798,10835,8561,5451,2439,557,77611,..,664,5402,6911,7747,5905,3486,1080,126,31319,..,264,906,620,533,267,86,8,0,2681,..,160,778,1445,1885,1059,525,336,153,6338,15305,..,..,..,..,..,..,..,..,15305,..,6452,..,..,..,..,..,..,..,6452,..,2970,2496,530,307,132,21,0,0,6448,..,447,344,124,214,405,421,354,168,2478,..,188,174,70,49,47,14,4,8,556
CED207,..,78,3025,5276,5721,5577,4340,1816,396,26227,..,361,1854,1240,1070,622,251,53,5,5463,..,6,56,230,452,278,113,53,37,1229,13266,..,..,..,..,..,..,..,..,13266,..,3668,..,..,..,..,..,..,..,3668,..,3492,1873,584,306,120,9,0,0,6382,..,323,273,98,110,114,110,73,42,1136,..,212,210,99,101,68,30,15,3,743,..,157,292,169,200,192,126,33,6,1170,..,145,502,667,993,966,799,425,210,4714,222,278,266,174,159,105,97,55,24,1371,13489,8719,8344,8527,9115,8051,5873,2516,727,65361,..,163,3977,5559,6055,5412,3832,1244,183,26436,..,577,1902,1288,1059,539,187,36,3,5594,..,136,565,1215,1544,842,312,215,126,4954,12504,..,..,..,..,..,..,..,..,12504,..,3990,..,..,..,..,..,..,..,3990,..,2329,1223,259,158,82,19,0,0,4079,..,258,129,60,94,205,221,211,124,1312,..,237,136,50,54,45,18,9,0,556
CED208,..,123,4124,6378,6274,4787,3588,2754,890,28917,..,427,1502,660,534,378,145,38,6,3692,..,12,28,130,344,253,112,83,83,1045,12148,..,..,..,..,..,..,..,..,12148,..,4601,..,..,..,..,..,..,..,4601,..,1749,1830,595,476,243,21,0,0,4919,..,736,571,133,111,144,126,63,44,1923,..,917,804,138,75,49,23,7,4,2018,..,3941,2628,461,268,179,125,48,13,7667,..,606,851,641,860,830,660,541,416,5403,134,254,250,143,120,86,64,58,24,1123,12275,13364,12590,9283,9065,6941,4858,3598,1479,73446,..,263,5095,6856,6389,4587,3454,2129,440,29206,..,560,1491,662,555,312,112,19,3,3709,..,35,262,981,1570,1002,385,379,252,4869,11600,..,..,..,..,..,..,..,..,11600,..,4649,..,..,..,..,..,..,..,4649,..,1364,1433,359,330,173,21,0,0,3683,..,617,442,107,186,385,331,281,147,2500,..,876,615,104,55,29,19,7,3,1714
CED209,..,62,2740,5783,5758,5766,4824,2290,582,27802,..,427,1764,1241,938,686,262,67,10,5392,..,13,42,210,325,229,95,42,44,994,14514,..,..,..,..,..,..,..,..,14514,..,3594,..,..,..,..,..,..,..,3594,..,2413,1145,414,234,114,15,0,0,4330,..,312,180,55,75,78,68,43,34,857,..,212,192,70,54,44,15,5,5,605,..,1044,815,228,177,169,109,34,13,2583,..,244,625,714,1034,1246,994,541,308,5714,177,333,288,184,153,202,137,65,21,1554,14690,8653,7791,8900,8736,8530,6517,3089,1014,67933,..,134,3650,6238,6097,5715,4349,1744,288,28215,..,649,1879,1225,991,571,199,47,4,5560,..,98,499,1141,1351,611,193,218,142,4262,13405,..,..,..,..,..,..,..,..,13405,..,3571,..,..,..,..,..,..,..,3571,..,1503,723,180,133,95,20,3,0,2662,..,222,120,39,74,172,156,107,76,976,..,204,127,35,38,26,6,6,3,436
CED210,..,108,2695,4500,4857,5099,4358,2315,619,24545,..,569,1788,1136,880,580,256,77,10,5300,..,14,73,221,418,242,110,79,48,1216,12393,..,..,..,..,..,..,..,..,12393,..,3340,..,..,..,..,..,..,..,3340,..,2673,1450,657,428,172,34,0,0,5410,..,392,245,103,129,112,83,76,24,1169,..,235,237,103,93,43,18,3,4,743,..,678,783,252,242,194,156,54,8,2372,..,270,849,941,1410,1563,1189,715,372,7304,245,329,331,214,182,156,113,70,27,1667,12639,8603,8452,8128,8636,8171,6323,3387,1109,65456,..,218,3477,4790,5143,5112,4020,1784,283,24824,..,781,1897,1095,893,532,193,36,8,5442,..,292,998,1566,1698,834,365,284,203,6239,11901,..,..,..,..,..,..,..,..,11901,..,3466,..,..,..,..,..,..,..,3466,..,1840,929,291,190,117,20,0,0,3383,..,319,167,66,132,249,221,160,98,1423,..,216,119,32,43,27,15,6,3,457
