CED_CODE_2016,Buddhism_M,Buddhism_F,Buddhism_P,Christianity_Anglican_M,Christianity_Anglican_F,Christianity_Anglican_P,Christianity_Asyrin_Apstlic_M,Christianity_Asyrin_Apstlic_F,Christianity_Asyrin_Apstlic_P,Christianity_Baptist_M,Christianity_Baptist_F,Christianity_Baptist_P,Christianity_Brethren_M,Christianity_Brethren_F,Christianity_Brethren_P,Christianity_Catholic_M,Christianity_Catholic_F,Christianity_Catholic_P,Christianity_Church_Christ_M,Christianity_Church_Christ_F,Christianity_Church_Christ_P,Christianity_Eastrn_Orthdox_M,Christianity_Eastrn_Orthdox_F,Christianity_Eastrn_Orthdox_P,Christinty_Jehvahs_Witnses_M,Christinty_Jehvahs_Witnses_F,Christinty_Jehvahs_Witnses_P,Christianity_Lattr_day_Snts_M,Christianity_Lattr_day_Snts_F,Christianity_Lattr_day_Snts_P,Christianity_Lutheran_M,Christianity_Lutheran_F,Christianity_Lutheran_P,Christianity_Orintal_Orthdx_M,Christianity_Orintal_Orthdx_F,Christianity_Orintal_Orthdx_P,Christianity_Othr_Protestnt_M,Christianity_Othr_Protestnt_F,Christianity_Othr_Protestnt_P,Christianity_Pentecostal_M,Christianity_Pentecostal_F,Christianity_Pentecostal_P,Christinty_Prsbytrin_Refrmd_M,Christinty_Prsbytrin_Refrmd_F,Christinty_Prsbytrin_Refrmd_P,Christianity_Salvation_Army_M,Christianity_Salvation_Army_F,Christianity_Salvation_Army_P,Christnty_Sevnth_dy_Advntst_M,Christnty_Sevnth_dy_Advntst_F,Christnty_Sevnth_dy_Advntst_P,Christianity_Uniting_Church_M,Christianity_Uniting_Church_F,Christianity_Uniting_Church_P,Christianity_Christian_nfd_M,Christianity_Christian_nfd_F,Christianity_Christian_nfd_P,Christianity_Othr_Christian_M,Christianity_Othr_Christian_F,Christianity_Othr_Christian_P,Christianity_Tot_M,Christianity_Tot_F,Christianity_Tot_P,Hinduism_M,Hinduism_F,Hinduism_P,Islam_M,Islam_F,Islam_P,Judaism_M,Judaism_F,Judaism_P,Othr_Rel_Aust_Abor_Trad_Rel_M,Othr_Rel_Aust_Abor_Trad_Rel_F,Othr_Rel_Aust_Abor_Trad_Rel_P,Othr_Rel_Sikhism_M,Othr_Rel_Sikhism_F,Othr_Rel_Sikhism_P,Othr_Reln_Other_reln_groups_M,Othr_Reln_Other_reln_groups_F,Othr_Reln_Other_reln_groups_P,Other_Religions_Tot_M,Other_Religions_Tot_F,Other_Religions_Tot_P,SB_OSB_NRA_NR_M,SB_OSB_NRA_NR_F,SB_OSB_NRA_NR_P,SB_OSB_NRA_SB_M,SB_OSB_NRA_SB_F,SB_OSB_NRA_SB_P,SB_OSB_NRA_OSB_M,SB_OSB_NRA_OSB_F,SB_OSB_NRA_OSB_P,SB_OSB_NRA_Tot_M,SB_OSB_NRA_Tot_F,SB_OSB_NRA_Tot_P,Religious_affiliation_ns_M,Religious_affiliation_ns_F,Religious_affiliation_ns_P,Tot_M,Tot_F,Tot_P
CED201,2587,3030,5614,5576,6891,12469,3,4,9,1480,1760,3235,84,82,167,13987,15763,29747,190,232,421,1803,1793,3600,120,147,267,238,254,488,310,402,717,360,355,714,396,462,851,1262,1383,2644,1414,1621,3032,153,191,351,177,195,377,1904,2496,4394,2144,2565,4711,152,173,320,31758,36770,68528,1976,1905,3882,830,849,1676,63,83,147,3,0,3,416,381,797,297,348,643,712,726,1444,23127,21096,44226,178,153,336,82,106,188,23393,21360,44751,5052,4923,9981,66363,69652,136018
CED202,475,710,1192,7622,9447,17071,0,0,0,638,748,1381,108,92,200,17855,20079,37939,445,617,1067,441,386,820,171,230,400,84,100,182,358,471,826,27,22,46,167,200,368,434,498,932,1880,2204,4090,219,273,490,109,172,279,4116,5403,9517,1326,1529,2853,35,44,80,36032,42518,78553,429,357,783,299,209,512,45,39,85,19,18,34,176,153,327,213,315,528,410,477,889,29522,27592,57117,257,229,487,101,178,275,29879,27999,57879,7333,7265,14596,74900,79575,154483
CED203,2018,2582,4606,2660,3573,6229,34,41,74,357,453,817,3,3,4,17686,20653,38344,50,101,153,7073,7556,14625,109,186,293,54,39,92,118,179,298,117,121,244,180,203,384,279,355,632,573,689,1257,77,111,193,34,47,77,798,1145,1944,1437,1722,3164,32,40,80,31691,37219,68905,2472,1832,4304,3748,3247,6990,132,154,283,10,19,26,723,520,1247,229,291,523,960,832,1795,28762,28968,57730,395,340,740,127,218,353,29290,29531,58820,8131,8135,16264,78431,83533,161964
CED204,638,806,1440,8643,10561,19203,0,0,0,1308,1458,2765,171,160,336,14838,16476,31318,137,164,306,302,268,574,140,184,324,92,111,203,252,296,554,46,46,93,139,148,290,549,675,1218,1543,1816,3363,128,196,321,103,126,223,4082,5470,9557,1485,1682,3167,31,35,73,34006,39873,73880,289,288,583,261,243,499,30,55,92,5,12,21,127,100,225,170,308,485,305,421,726,29234,27356,56586,251,223,472,113,176,290,29591,27753,57341,8256,7609,15867,73379,77047,150431
CED205,6230,6992,13218,3599,4448,8046,6,9,10,1161,1386,2546,14,13,27,14580,15813,30397,157,172,331,4619,4837,9456,127,183,312,153,176,329,186,230,414,541,593,1135,399,461,865,902,1085,1988,1204,1389,2588,86,114,199,176,188,363,1544,2168,3716,2229,2446,4672,59,49,105,31731,35759,67493,5122,4443,9560,7083,5462,12540,122,118,246,0,4,8,2087,1471,3556,367,387,755,2460,1866,4321,19184,16711,35895,177,129,306,88,85,174,19444,16926,36374,6860,6397,13253,79055,77956,157011
CED206,2089,2394,4484,3147,3866,7007,856,903,1755,438,479,912,5,6,11,27445,28778,56225,48,64,105,4418,4435,8851,227,245,474,228,273,505,122,151,269,612,607,1221,288,312,607,650,687,1335,681,786,1461,86,123,216,99,113,205,952,1234,2184,2257,2344,4596,39,51,93,42592,45445,88041,1899,1739,3638,14881,14439,29320,11,12,27,8,6,13,1499,1201,2698,183,208,394,1689,1410,3104,11984,10343,22326,115,95,212,54,62,118,12154,10504,22659,7245,6892,14137,82569,82835,165406
CED207,594,885,1477,7209,8738,15952,0,0,0,1772,1985,3759,129,125,251,12856,14281,27140,253,291,542,545,555,1104,202,247,447,179,198,378,402,478,883,21,25,50,255,301,558,770,915,1680,1513,1887,3399,165,207,368,418,488,914,2143,2934,5079,2626,2997,5628,155,187,344,31617,36857,68474,327,324,651,185,155,342,60,43,106,9,4,13,127,113,243,231,370,602,361,496,856,30516,27289,57807,313,243,557,108,210,318,30944,27739,58682,6120,6057,12175,70203,72559,142766
CED208,4468,5270,9743,4434,5760,10192,5,4,10,1366,1778,3144,5,12,16,13935,16175,30109,158,194,354,4661,4983,9637,88,124,213,88,86,174,231,351,584,169,196,371,364,487,854,579,742,1320,1286,1585,2878,132,234,365,87,116,199,2100,2963,5061,1744,2174,3921,65,85,150,31502,38041,69540,3270,2706,5978,1772,1436,3212,238,259,498,4,0,9,617,454,1070,316,334,647,936,787,1728,30406,28703,59117,219,197,412,102,131,232,30729,29033,59757,7009,6962,13972,79930,84500,164433
CED209,550,678,1224,7892,9815,17706,0,0,0,1310,1444,2756,35,38,80,16648,18413,35057,108,143,249,535,541,1078,166,206,373,34,39,75,555,657,1209,29,29,55,130,189,320,493,531,1020,2215,2439,4654,158,184,338,76,79,157,4116,5650,9764,1522,1810,3327,48,58,101,36066,42254,78323,515,313,826,513,328,843,33,43,69,6,5,12,168,149,316,171,208,374,348,356,699,29623,26877,56506,236,201,440,113,180,291,29967,27262,57231,6918,6596,13517,74915,77827,152740
CED210,628,892,1522,6909,8754,15666,0,0,0,1223,1453,2675,51,36,85,18590,21206,39799,101,129,226,1498,1504,2994,197,270,467,103,129,232,465,604,1070,26,21,45,164,219,383,365,445,811,1989,2402,4389,151,208,355,80,116,200,2858,3895,6754,1810,2139,3948,51,80,134,36626,43605,80233,541,427,966,1029,850,1877,42,32,71,4,7,7,235,202,439,167,225,396,407,431,840,25143,23497,48637,272,169,437,111,140,252,25529,23805,49328,7990,7079,15069,72793,77125,149914
