CED_CODE_2016,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
CED201,90,287,597,608,644,466,111,7,0,2823,109,303,675,708,840,610,132,32,6,3418,3527,6723,14263,14354,15619,11509,2385,187,29,68598
CED202,99,284,479,465,530,420,113,12,0,2392,167,296,413,486,593,402,165,42,14,2569,4039,6664,13248,14405,15545,11523,2652,314,61,68436
CED203,71,262,722,617,523,319,86,9,0,2598,102,371,1010,780,685,400,102,25,6,3481,2404,7367,23065,19099,15442,8786,1699,183,39,78078
CED204,108,281,508,441,514,405,116,15,3,2396,144,230,375,502,546,448,165,50,8,2471,3790,6187,12207,13329,15055,11963,2826,375,76,65812
CED205,53,250,635,502,528,340,112,15,0,2427,102,430,1184,946,864,553,157,42,9,4273,2319,6530,16419,14490,13474,9225,2364,280,43,65151
CED206,71,289,616,498,628,399,75,5,3,2594,154,476,933,829,976,548,119,22,0,4057,3393,7800,15096,13609,15326,9616,1710,117,15,66675
CED207,148,351,738,683,745,535,131,11,3,3339,176,351,681,710,881,607,207,40,10,3651,3973,6524,14301,14754,16004,11745,2923,297,38,70554
CED208,65,277,558,504,557,372,124,25,0,2474,97,342,904,631,703,409,125,45,17,3277,3086,7903,18326,15490,15408,9527,2373,314,53,72477
CED209,104,269,504,492,491,386,127,7,0,2385,156,234,433,519,538,460,171,41,20,2573,4086,6305,13511,15791,15911,12154,3188,397,66,71401
CED210,94,289,561,493,476,366,90,18,3,2381,153,299,556,536,588,436,136,39,14,2763,3538,6390,13723,13382,14240,10530,2194,250,46,64284
CED211,65,254,592,607,604,433,136,17,0,2703,90,243,662,682,658,401,180,41,6,2958,3184,5898,15683,16923,15289,10017,2735,308,29,70071
CED212,105,270,550,522,620,387,108,4,0,2564,152,317,638,756,788,559,191,34,17,3456,3619,5951,13065,14532,15485,11264,2885,292,49,67140
CED213,124,253,532,522,633,488,147,11,3,2699,162,260,483,593,776,603,257,52,17,3200,4034,5663,11042,13450,15935,12791,3816,485,78,67294
CED214,57,275,761,638,494,353,76,9,0,2671,91,415,1131,884,795,477,122,14,8,3934,2424,6904,22334,20086,15770,9244,1697,153,30,78644
CED215,107,268,438,402,422,354,97,15,3,2113,130,195,408,374,473,474,177,58,12,2298,3274,4776,10642,10940,13047,11432,3011,478,81,57676
CED216,71,168,387,399,584,310,113,21,0,2056,98,206,482,662,903,544,259,49,18,3219,2917,5522,11807,15532,18713,12204,3978,459,57,71187
CED217,102,348,861,793,617,355,75,3,4,3162,196,523,1170,1213,987,545,96,13,4,4760,4082,7895,21040,22822,16987,9877,1544,97,17,84360
CED218,51,234,674,395,384,261,87,14,3,2098,77,287,966,652,663,374,207,57,20,3308,2192,7948,25905,16887,14711,9777,3623,535,104,81684
CED219,111,416,986,838,733,426,100,5,0,3615,223,621,1501,1323,1209,735,162,21,8,5807,3945,8961,23153,21836,17835,11048,1861,150,26,88803
CED220,73,274,628,660,645,421,111,21,0,2826,99,347,954,849,886,553,154,20,15,3881,2802,6438,16056,16386,15257,9692,2255,230,48,69157
CED221,149,274,447,400,495,368,122,16,3,2271,161,211,370,494,592,461,206,73,19,2579,3785,4879,10370,12085,14755,12666,3569,577,137,62829
CED222,95,297,689,674,630,410,112,6,0,2906,128,368,876,990,1008,616,178,31,14,4209,3340,6666,16673,18411,17246,10724,2421,217,35,75735
CED223,80,209,490,494,515,412,99,16,0,2319,100,218,513,562,599,398,154,34,11,2586,3078,5962,13633,16011,15839,11822,2993,306,33,69680
CED224,78,221,424,282,353,280,101,13,0,1758,95,286,551,521,689,431,184,60,18,2833,2909,7660,15862,13793,15989,10767,3769,524,75,71365
CED225,136,322,657,730,869,472,121,12,4,3317,168,340,658,859,1027,642,161,32,15,3906,4728,7245,14252,18641,19298,11949,2412,228,49,78807
CED226,129,337,985,866,616,371,80,0,0,3389,168,543,1629,1373,933,557,125,15,5,5354,4196,9026,30338,28635,20045,10859,1817,106,32,105043
CED227,122,264,465,362,421,338,110,14,4,2103,157,217,434,405,519,497,174,74,19,2491,3433,4903,10496,10692,13344,11829,3268,627,119,58717
CED228,59,314,772,573,580,373,96,14,0,2773,127,494,1075,889,928,556,152,31,8,4262,2890,8101,19882,16388,15461,9966,2107,210,27,75035
CED229,164,438,1018,959,808,482,118,15,0,4010,234,444,1056,1021,1001,591,178,38,3,4572,5039,8846,23614,24305,21646,13154,2775,264,59,99701
CED230,153,323,739,566,641,471,107,22,0,3031,195,322,612,639,740,576,197,57,19,3368,4027,6215,14985,14615,15916,12036,3179,515,87,71572
CED231,43,338,1164,503,400,267,79,11,4,2809,102,593,1718,781,536,313,117,23,5,4187,2448,13206,46272,20611,12777,8044,2497,277,67,106199
CED232,70,253,927,527,419,273,102,11,3,2578,75,294,1257,818,639,439,184,40,17,3775,1450,7279,32078,20265,14426,9598,3417,438,87,89039
