CED_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
CED221,69002,71186,140183,3946,3813,7758,8887,8539,17428,4324,4020,8349,3671,3184,6854,6764,7264,14024,7723,8393,16112,9389,9955,19338,10270,10684,20960,8596,8507,17106,4027,4483,8505,1411,2343,3755,63759,66415,130173,5240,4774,10011,989,1117,2108,51,41,99,24,22,48,1071,1178,2248,56617,58213,114836,6557,7007,13565,60738,62702,123437,3037,3385,6418,61530,63635,125167,796,800,1596,8051,7740,15792,3062,2939,6004,717,878,1590,1061,2374,3439,19230,24510,43740,9212,9199,18410,12966,11225,24185,4986,4280,9260,3668,3451,7121,213,204,417,60702,63320,124021,11435,10544,21979
CED222,77790,80861,158654,5410,5236,10646,10141,9579,19725,4790,4554,9346,5172,4644,9815,10785,11317,22099,11681,12214,23895,10966,11343,22302,8604,9047,17648,5945,6744,12693,3064,3961,7023,1244,2218,3458,74723,77978,152706,3069,2878,5948,350,360,709,30,23,58,11,10,27,399,394,792,47672,48951,96621,25687,27318,53005,51134,52961,104097,22588,23722,46310,63892,66580,130474,1098,1066,2165,9334,8853,18185,3797,3830,7628,2001,1988,3989,2034,3213,5243,33480,36921,70398,7757,7085,14843,8931,8472,17404,3536,3538,7069,3066,3901,6965,1046,1225,2278,72664,75332,148001,3878,4360,8235
CED223,68661,72644,141301,4460,4345,8799,8877,8462,17336,4330,4040,8365,4365,4158,8520,8564,8872,17438,9584,10296,19883,9478,10312,19791,8497,9343,17847,6243,6818,13056,3036,3863,6897,1225,2142,3368,65666,69765,135430,2995,2884,5873,352,369,717,11,12,29,4,8,11,371,385,760,50571,53059,103632,14724,15938,30664,53341,55593,108939,12237,13793,26031,59977,63279,123254,972,1035,2003,8373,7968,16343,3644,3503,7146,2113,2143,4252,2083,2955,5036,33929,37328,71254,6601,6469,13072,6386,6290,12676,2741,2769,5515,2128,2893,5026,288,388,672,64022,67887,131907,3696,3918,7614
CED224,69428,75971,145399,3309,3188,6495,9046,8668,17717,5202,5190,10388,6074,5875,11947,10014,10329,20340,8168,9581,17749,9578,11002,20576,7751,8607,16356,5668,6595,12264,3110,4071,7178,1496,2877,4377,66294,72756,139050,3136,3214,6345,128,119,252,7,5,10,0,5,8,141,128,268,44348,47388,91732,21575,24810,46384,46888,50231,97119,19103,22156,41258,56328,61098,117426,887,859,1749,8526,8206,16735,4749,4763,9504,3903,3647,7552,2939,3810,6752,43333,47269,90608,3867,4758,8628,3200,3913,7110,1642,1793,3438,1257,1976,3239,311,374,686,63740,69616,133361,4441,5123,9568
CED225,77806,79156,156965,5366,5084,10448,11833,10975,22811,6043,5528,11570,5018,4805,9819,8894,9485,18379,11137,12190,23326,11731,12073,23807,8901,9122,18023,5553,5856,11413,2519,2765,5285,810,1272,2077,74847,76358,151202,2962,2800,5755,329,355,691,19,19,44,4,12,18,362,384,749,54634,55294,109922,19381,20010,39393,61192,61495,122686,13265,14326,27592,67491,68306,135796,1070,1033,2101,11046,10244,21294,4872,4579,9448,1760,1941,3702,1561,2988,4547,30657,35929,66591,9324,8434,17754,10532,8735,19267,4041,3519,7567,2219,2430,4642,278,350,622,73356,74561,147916,3181,3516,6691
CED226,116323,115662,231979,11611,10803,22412,17624,16513,34136,6931,6573,13511,7506,6988,14491,20978,22730,43711,19997,18720,38714,13687,13632,27320,9544,10077,19623,5628,5933,11563,2236,2655,4894,573,1034,1608,112837,112522,225359,3489,3139,6623,944,853,1797,23,29,46,15,20,32,982,898,1879,61530,60796,122323,48152,48215,96373,61851,61479,123330,47183,48036,95219,86111,84861,170976,1797,1777,3570,15867,14908,30778,5297,5324,10620,2775,2737,5507,3664,5663,9324,49115,52283,101399,9532,8976,18505,12241,10892,23134,4831,4597,9426,3633,4430,8062,831,1222,2054,108848,109291,218137,6553,5573,12127
CED227,68643,69947,138592,4145,3810,7955,8763,8165,16934,4403,4098,8501,3723,3561,7289,7510,7630,15144,7163,7672,14831,9081,9444,18522,9912,9756,19671,7911,7842,15751,4368,5171,9536,1661,2810,4469,64113,65823,129933,4534,4126,8660,1710,1875,3587,73,72,146,50,39,84,1833,1991,3820,56045,57050,113099,5958,6273,12233,58147,59577,117722,4753,4770,9528,60155,61523,121682,769,707,1472,7793,7328,15123,2999,2951,5949,502,806,1307,892,1805,2693,16168,20808,36969,9481,9519,18996,12200,10724,22930,5832,5067,10901,5028,4690,9722,529,451,978,61052,62166,123220,6861,6774,13635
CED228,81884,84532,166417,5018,4742,9761,9222,8764,17991,4852,4726,9577,6803,6090,12891,13890,13738,27629,11037,11550,22591,10662,10931,21595,8743,9598,18337,6363,7082,13440,3855,4914,8770,1444,2396,3842,78830,81700,160532,3052,2835,5893,264,257,521,21,19,46,5,8,14,297,290,579,44123,45181,89307,32082,33604,65684,39657,40198,79849,37290,39452,76738,64227,67236,131462,897,831,1728,8349,7932,16285,3972,4041,8018,3284,3006,6292,2977,4111,7086,38787,40279,79064,6510,5800,12304,7104,6913,14016,3261,3372,6633,4801,6530,11335,1410,2066,3477,76414,78856,155275,4952,5279,10229
CED229,104184,106345,210531,9154,8699,17852,16171,15102,31264,7046,6600,13648,6426,6214,12647,15076,16468,31546,15484,16139,31630,13625,14383,28001,10499,10993,21491,7053,7338,14390,2816,3085,5905,829,1327,2156,100188,102648,202842,3994,3695,7693,1029,996,2028,48,49,100,25,30,56,1106,1074,2177,75577,77335,152911,21940,22107,44049,77634,79192,156822,20702,21168,41871,89228,90798,180023,1690,1627,3314,14762,13765,28524,5263,5177,10444,1918,2067,3983,2138,4007,6146,36741,43997,80738,11981,11306,23289,14389,11972,26362,5840,4856,10693,3609,3812,7418,465,582,1048,97117,99316,196439,5774,5644,11423
CED230,81396,85928,167328,5942,5663,11601,11251,10892,22144,5185,4817,9998,4481,4596,9076,9757,10734,20488,9557,10256,19819,10423,11101,21524,10190,11027,21214,8750,9428,18180,4447,4972,9420,1414,2450,3861,76586,81433,158018,4810,4501,9313,813,789,1608,39,36,77,28,31,58,873,860,1734,63353,66438,129787,11751,12777,24533,70053,73732,143781,5893,6506,12395,71393,75190,146580,1036,1015,2048,10168,9910,20080,3646,3654,7300,942,1270,2212,1246,2941,4180,22010,29056,51060,11022,10949,21972,14600,12650,27246,6178,5527,11705,4154,4334,8489,242,308,555,74062,78026,152091,5297,6070,11368
CED231,101128,107465,208593,4347,4217,8563,5443,5284,10730,5654,7116,12773,15586,18804,34386,31717,32636,64351,14452,13580,28030,9355,9309,18666,7040,7504,14544,4596,4921,9518,2090,2713,4799,852,1383,2233,96613,102888,199501,4514,4574,9096,394,351,744,14,20,39,14,19,33,425,388,819,46828,46821,93645,43366,49634,92999,53513,53334,106840,36975,43787,80765,60651,63073,123728,699,703,1397,4627,4621,9243,4709,6105,10817,10238,12618,22858,8504,10598,19101,68082,73815,141894,4655,4262,8915,3868,3492,7359,1596,1687,3288,1856,2752,4606,697,1328,2022,86661,92933,179598,22606,22927,45533
CED232,78431,82272,160699,3932,3865,7801,5857,5581,11441,2808,3058,5865,5949,6986,12933,20170,21498,41667,13157,13025,26182,9641,9900,19543,7781,8023,15806,5575,5621,11193,2424,2877,5306,1140,1829,2973,74538,78343,152883,3894,3924,7823,248,232,476,16,12,28,12,12,25,267,257,527,42827,44659,87490,27637,29565,57201,51881,53248,105131,18850,21265,40113,55372,58172,113543,894,857,1751,5302,5072,10379,2340,2540,4884,3015,3528,6539,4030,5428,9459,49326,53434,102762,4375,4332,8706,4057,3719,7774,1439,1351,2786,1407,1695,3096,284,370,662,67992,71956,139945,12411,12183,24596
CED233,66759,70776,137535,3484,3236,6720,8307,7780,16085,4848,4369,9223,4575,4141,8724,7447,7575,15025,7832,8812,16642,9547,10679,20220,8241,9154,17404,6444,7543,13982,4479,5014,9488,1548,2473,4018,64189,68169,132352,2571,2604,5177,128,133,266,16,10,30,4,5,8,149,149,298,40320,41238,81558,23672,26453,50120,39933,40771,80708,24358,27261,51619,55930,58676,114608,826,810,1643,7844,7349,15193,4282,3924,8208,2508,2320,4833,1861,2689,4548,34795,37203,71993,5927,6007,11939,5727,6076,11803,2585,2706,5298,2629,3567,6200,481,732,1214,63057,66393,129448,2417,3308,5724
CED234,72140,73227,145366,4356,4217,8567,9454,8802,18253,4775,4356,9131,3721,3478,7201,7431,7791,15214,7850,8261,16114,9470,9924,19400,10082,10189,20266,8593,8474,17067,4794,5184,9977,1616,2561,4181,67398,68659,136058,4742,4567,9310,1749,1774,3519,70,58,119,58,51,113,1875,1877,3757,57574,58270,115842,7870,8126,15996,60007,61216,121228,6118,6211,12334,62479,63666,126144,736,733,1471,8399,7834,16230,3295,3168,6465,603,860,1464,869,2156,3025,16969,22267,39240,9634,9594,19231,12917,11363,24279,6287,5116,11410,5110,4512,9623,542,481,1023,64067,65048,129112,6656,6582,13235
CED235,83288,84680,167966,6104,5669,11773,10733,10083,20819,5365,5044,10405,6209,5868,12079,13170,13298,26474,11593,11599,23192,10645,11435,22079,8908,9734,18644,6320,6657,12975,3266,3824,7093,968,1466,2430,80721,82235,162956,2559,2449,5006,475,548,1022,16,22,41,20,29,46,518,594,1109,48125,48728,96855,30313,30907,61224,42023,42268,84291,37441,38561,76005,68161,69402,137568,1100,1011,2106,9790,9233,19025,4251,4230,8481,2717,2665,5381,2460,3479,5942,35489,37775,73259,7540,7061,14598,8994,7866,16857,4036,3781,7812,4931,6239,11171,1129,1592,2725,79008,80120,159127,3686,4132,7817
CED236,66534,67237,133772,3633,3494,7126,8347,7854,16199,4180,3885,8064,3589,3155,6740,6400,6516,12915,7332,7413,14738,9206,9523,18724,9934,9979,19914,8286,8136,16426,4210,4779,8995,1417,2509,3930,61957,63063,125026,4576,4177,8747,1028,980,2008,36,37,72,32,20,50,1094,1033,2132,55583,55980,111568,5221,5387,10614,58813,60347,119156,1847,2023,3869,58406,60007,118414,654,654,1306,7494,7116,14612,2845,2804,5650,559,786,1345,810,1825,2643,16610,21931,38541,9519,9580,19094,11466,9769,21241,5667,4592,10258,4464,4019,8483,233,150,381,58416,59999,118415,6576,5605,12180
CED237,82916,86728,169649,5467,5172,10637,8564,8126,16691,3876,3636,7513,6490,6834,13330,18291,18237,36524,13375,13421,26793,9939,10254,20195,6912,7701,14610,4614,5487,10101,3680,5143,8822,1714,2713,4431,79751,83589,163342,3168,3142,6306,351,420,770,35,21,52,25,14,38,406,451,856,49196,52135,101337,28019,28798,56817,46971,49260,96229,31033,32492,63521,64613,69086,133694,1057,967,2027,7767,7427,15194,3094,3008,6100,3224,3462,6685,4496,5585,10075,43654,46908,90565,5554,4977,10528,6139,5347,11484,2619,2600,5223,4481,6272,10752,1001,1585,2590,76892,80322,157208,5053,5500,10550
CED294,4331,3238,7565,215,163,379,173,197,367,180,178,357,447,453,898,1052,795,1848,813,479,1295,628,347,975,460,352,816,283,204,482,72,49,121,9,28,38,0,0,0,4331,3238,7565,146,102,247,13,7,16,3,6,11,160,117,279,2581,1804,4389,1057,952,2011,2372,1835,4201,698,692,1393,2454,1897,4355,22,15,37,113,145,259,68,85,158,102,136,242,131,161,299,1345,1347,2698,379,247,627,475,301,776,257,143,404,155,82,238,43,42,85,0,0,0,0,0,0
CED297,28,4,29,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,11,0,11,5,0,5,0,0,0,0,0,0,0,0,0,20,4,26,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17,6,4,6,18,0,18,7,4,10,25,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,4,0,4,9,0,10,0,0,0,0,0,0,0,0,0,0,0,0,310,38,349
