CED_CODE_2016,Tot_P_M,Tot_P_F,Tot_P_P,Age_0_4_yr_M,Age_0_4_yr_F,Age_0_4_yr_P,Age_5_14_yr_M,Age_5_14_yr_F,Age_5_14_yr_P,Age_15_19_yr_M,Age_15_19_yr_F,Age_15_19_yr_P,Age_20_24_yr_M,Age_20_24_yr_F,Age_20_24_yr_P,Age_25_34_yr_M,Age_25_34_yr_F,Age_25_34_yr_P,Age_35_44_yr_M,Age_35_44_yr_F,Age_35_44_yr_P,Age_45_54_yr_M,Age_45_54_yr_F,Age_45_54_yr_P,Age_55_64_yr_M,Age_55_64_yr_F,Age_55_64_yr_P,Age_65_74_yr_M,Age_65_74_yr_F,Age_65_74_yr_P,Age_75_84_yr_M,Age_75_84_yr_F,Age_75_84_yr_P,Age_85ov_M,Age_85ov_F,Age_85ov_P,Counted_Census_Night_home_M,Counted_Census_Night_home_F,Counted_Census_Night_home_P,Count_Census_Nt_Ewhere_Aust_M,Count_Census_Nt_Ewhere_Aust_F,Count_Census_Nt_Ewhere_Aust_P,Indigenous_psns_Aboriginal_M,Indigenous_psns_Aboriginal_F,Indigenous_psns_Aboriginal_P,Indig_psns_Torres_Strait_Is_M,Indig_psns_Torres_Strait_Is_F,Indig_psns_Torres_Strait_Is_P,Indig_Bth_Abor_Torres_St_Is_M,Indig_Bth_Abor_Torres_St_Is_F,Indig_Bth_Abor_Torres_St_Is_P,Indigenous_P_Tot_M,Indigenous_P_Tot_F,Indigenous_P_Tot_P,Birthplace_Australia_M,Birthplace_Australia_F,Birthplace_Australia_P,Birthplace_Elsewhere_M,Birthplace_Elsewhere_F,Birthplace_Elsewhere_P,Lang_spoken_home_Eng_only_M,Lang_spoken_home_Eng_only_F,Lang_spoken_home_Eng_only_P,Lang_spoken_home_Oth_Lang_M,Lang_spoken_home_Oth_Lang_F,Lang_spoken_home_Oth_Lang_P,Australian_citizen_M,Australian_citizen_F,Australian_citizen_P,Age_psns_att_educ_inst_0_4_M,Age_psns_att_educ_inst_0_4_F,Age_psns_att_educ_inst_0_4_P,Age_psns_att_educ_inst_5_14_M,Age_psns_att_educ_inst_5_14_F,Age_psns_att_educ_inst_5_14_P,Age_psns_att_edu_inst_15_19_M,Age_psns_att_edu_inst_15_19_F,Age_psns_att_edu_inst_15_19_P,Age_psns_att_edu_inst_20_24_M,Age_psns_att_edu_inst_20_24_F,Age_psns_att_edu_inst_20_24_P,Age_psns_att_edu_inst_25_ov_M,Age_psns_att_edu_inst_25_ov_F,Age_psns_att_edu_inst_25_ov_P,High_yr_schl_comp_Yr_12_eq_M,High_yr_schl_comp_Yr_12_eq_F,High_yr_schl_comp_Yr_12_eq_P,High_yr_schl_comp_Yr_11_eq_M,High_yr_schl_comp_Yr_11_eq_F,High_yr_schl_comp_Yr_11_eq_P,High_yr_schl_comp_Yr_10_eq_M,High_yr_schl_comp_Yr_10_eq_F,High_yr_schl_comp_Yr_10_eq_P,High_yr_schl_comp_Yr_9_eq_M,High_yr_schl_comp_Yr_9_eq_F,High_yr_schl_comp_Yr_9_eq_P,High_yr_schl_comp_Yr_8_belw_M,High_yr_schl_comp_Yr_8_belw_F,High_yr_schl_comp_Yr_8_belw_P,High_yr_schl_comp_D_n_g_sch_M,High_yr_schl_comp_D_n_g_sch_F,High_yr_schl_comp_D_n_g_sch_P,Count_psns_occ_priv_dwgs_M,Count_psns_occ_priv_dwgs_F,Count_psns_occ_priv_dwgs_P,Count_Persons_other_dwgs_M,Count_Persons_other_dwgs_F,Count_Persons_other_dwgs_P
CED211,70760,76001,146767,4711,4520,9235,9035,8484,17516,4295,4115,8412,4395,4050,8448,9760,10397,20153,10484,10968,21451,9377,10018,19401,7490,8375,15861,6011,7339,13342,3675,4898,8576,1528,2841,4369,67945,73280,141216,2820,2727,5544,245,259,506,12,22,33,0,3,3,258,288,542,46559,49318,95876,21118,23260,44379,49591,52744,102335,18379,20124,38501,58416,62566,120983,1054,1032,2088,8527,8031,16552,3630,3583,7213,2100,1945,4041,2277,3410,5688,34416,38189,72604,6850,6800,13651,6873,7178,14057,2882,3079,5959,2369,3239,5610,546,754,1299,66482,70929,137418,3062,4054,7116
CED212,70672,75708,146381,4644,4229,8874,8979,8530,17506,4333,4341,8675,4224,4199,8419,8408,8878,17284,9229,9900,19126,9854,10605,20458,8650,9569,18222,7055,8324,15381,3910,4822,8734,1374,2323,3702,67075,72254,139334,3596,3454,7043,600,577,1176,24,35,59,14,23,37,641,636,1272,51285,54401,105691,14562,16196,30758,60572,64376,124945,5899,6887,12791,60619,64959,125577,1031,958,1987,8251,7869,16119,3280,3415,6690,1278,1470,2746,1411,2775,4185,26146,31525,57674,8757,8612,17367,10702,10207,20914,4165,4114,8276,2384,2936,5319,204,218,430,64886,69356,134240,4502,5223,9721
CED213,75055,78445,153498,4310,3984,8286,9382,9027,18414,4577,4072,8643,3965,3539,7498,6930,7675,14605,8521,9163,17685,10120,10851,20969,10306,11300,21612,9760,10547,20310,5306,5618,10923,1873,2671,4541,69718,73418,143134,5335,5023,10361,699,641,1340,38,37,79,18,19,45,756,700,1462,57926,60234,118160,11517,12294,23813,66535,69407,135943,3787,4074,7864,66531,69382,135917,879,854,1735,8605,8282,16894,3186,3068,6256,910,1029,1946,1052,2300,3353,23916,29494,53404,9937,9946,19882,13226,11545,24772,5405,4755,10159,3166,3512,6681,268,223,485,67039,70663,137703,5859,5923,11780
CED214,82718,83151,165873,5954,5605,11557,8674,8541,17214,4102,3854,7953,6068,5335,11400,15500,14896,30389,13395,13154,26545,10742,10861,21606,8309,8513,16824,5385,5942,11333,3272,4224,7489,1332,2230,3558,79565,80182,159744,3151,2972,6127,415,376,789,20,28,46,11,5,22,450,410,864,47101,47664,94764,29754,29667,59421,47204,47398,94607,30241,30668,60914,63762,65890,129651,1105,977,2090,7832,7750,15579,3249,3202,6454,2837,2557,5396,3672,4775,8446,40087,41288,81376,6458,5353,11811,7302,6387,13684,3044,2989,6033,4246,5648,9891,1208,1579,2787,76648,77078,153723,5331,5430,10759
CED215,70685,72339,143033,4145,3899,8048,8689,8297,16991,4170,3930,8105,3873,3634,7512,7679,7982,15661,7658,7945,15605,9057,9759,18811,10322,10866,21189,9235,8911,18142,4446,4900,9345,1409,2213,3623,65426,67620,133043,5261,4721,9986,1289,1378,2663,38,36,75,27,23,47,1351,1435,2783,56269,57204,113472,7881,8325,16204,60869,62829,123696,3325,3675,7001,61478,63551,125031,729,690,1421,7741,7428,15170,2856,2833,5692,636,956,1587,984,2199,3187,17987,22999,40986,9885,9822,19706,12795,11409,24212,5574,5044,10616,4184,3939,8122,251,244,496,61603,64035,125639,7274,6744,14019
CED216,70625,76996,147627,3947,3933,7877,10082,9804,19886,4796,4403,9201,4153,3945,8093,7234,7786,15026,9094,10429,19527,11068,12289,23363,8822,9521,18340,6417,7200,13616,3276,4299,7583,1736,3387,5121,67203,73815,141014,3427,3184,6611,116,110,230,10,6,22,0,0,0,133,117,245,46373,50137,96516,20537,22899,43431,53542,57453,110991,13599,15847,29447,59112,64557,123667,1108,1056,2163,9471,9257,18727,4231,3959,8190,2373,2276,4652,1805,2925,4732,39754,43415,83171,4972,5841,10813,4527,5332,9864,1984,2150,4133,1563,2162,3731,221,293,516,65344,71085,136425,3467,4553,8022
CED217,96210,98479,194692,8234,7943,16177,15187,14750,29937,6526,6207,12732,6502,6342,12841,14625,15811,30439,15658,16146,31806,11960,12374,24335,9102,9829,18932,5922,5917,11840,2032,2296,4329,462,870,1332,93405,95780,189184,2804,2702,5504,723,750,1472,33,21,49,8,14,24,762,790,1554,55827,56292,112112,33989,35645,69640,51013,51384,102399,38849,41113,79958,78891,80547,159441,1424,1437,2860,13584,13222,26806,4949,5016,9966,2137,2345,4486,2306,3808,6113,36321,40625,76940,8859,7970,16834,11179,10007,21189,4722,4319,9043,4365,5189,9552,1089,1536,2627,90177,92617,182797,5435,5193,10629
CED218,73754,80188,153942,3802,3516,7318,7283,7255,14539,3682,3811,7492,6190,7375,13562,15885,16925,32810,10572,10771,21348,9229,9791,19024,7229,8091,15318,5422,6307,11729,3150,4070,7216,1305,2274,3576,70131,76645,146774,3625,3539,7167,199,174,374,11,10,19,3,4,11,215,185,403,45167,48470,93636,23624,26494,50115,50733,54002,104736,18276,21302,39575,56850,61311,118162,973,897,1868,6779,6790,13567,3219,3378,6600,3676,4436,8116,3489,4569,8060,47196,51850,99043,3965,4409,8377,3439,3858,7295,1501,1540,3039,1473,2073,3544,277,443,714,67202,73153,140355,5525,6248,11777
CED219,99928,99939,199864,8656,8240,16895,14810,14094,28907,6919,6364,13280,7426,6790,14217,15799,16855,32657,15306,14651,29957,12359,12521,24879,9659,10006,19661,5704,5999,11702,2536,3060,5595,751,1356,2108,96950,97243,194195,2980,2691,5669,501,548,1050,38,23,59,17,17,35,555,594,1150,50968,50897,101864,42890,43044,85932,52421,52294,104713,42133,42403,84539,78329,77901,156231,1349,1265,2610,13314,12740,26057,5280,5168,10445,2365,2562,4920,2587,4294,6878,38765,41457,80220,9221,8329,17551,12364,10825,23192,4907,4674,9584,4119,4755,8876,1593,1858,3447,94303,94289,188594,4790,4913,9703
CED220,74463,76814,151282,4753,4596,9348,9166,8438,17609,4452,4206,8662,5635,4857,10492,10971,10949,21917,10513,10934,21443,9825,10420,20246,8082,8553,16631,5787,6695,12479,3676,4619,8294,1600,2551,4156,71931,74362,146299,2531,2456,4984,165,195,361,11,12,24,7,6,8,182,214,392,39226,39311,78533,31368,33595,64962,37941,38259,76205,33123,35147,68270,58688,60850,119541,1023,992,2019,8525,7847,16368,3712,3665,7376,2979,2663,5645,2666,3369,6033,36131,37659,73789,5845,5530,11380,6702,6296,12997,2869,2994,5861,3838,5261,9104,1365,1956,3324,70311,72443,142746,3409,3699,7109
