CED_CODE_2016,P_OthServ_0,P_OthServ_1_15,P_OthServ_16_24,P_OthServ_25_34,P_OthServ_35_39,P_OthServ_40,P_OthServ_41_48,P_OthServ_49over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_15,P_ID_NS_16_24,P_ID_NS_25_34,P_ID_NS_35_39,P_ID_NS_40,P_ID_NS_41_48,P_ID_NS_49over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_15,P_Tot_16_24,P_Tot_25_34,P_Tot_35_39,P_Tot_40,P_Tot_41_48,P_Tot_49over,P_Tot_hours_NS,P_Tot_Tot
CED201,62,318,285,330,610,561,253,375,25,2823,93,308,250,270,712,662,226,340,544,3418,2054,8403,6911,7603,14348,14104,6140,7942,1088,68598
CED202,78,355,230,296,460,395,232,317,26,2392,109,282,179,190,363,418,159,299,575,2569,2769,9251,7362,8427,12057,11684,6344,9229,1323,68436
CED203,58,328,330,312,564,497,204,273,30,2598,98,330,321,292,609,605,195,344,685,3481,2349,9038,8883,9084,14935,15317,7351,9643,1481,78078
CED204,83,332,218,308,448,398,248,343,20,2396,113,304,170,214,372,369,155,299,472,2471,2835,9076,7308,8528,11640,10812,5910,8532,1176,65812
CED205,40,315,319,258,581,455,170,247,34,2427,94,389,377,327,904,766,236,285,896,4273,1632,7939,7200,7071,15002,13277,5081,6345,1613,65151
CED206,61,322,270,288,589,504,236,278,40,2594,84,411,307,316,786,625,195,307,1020,4057,1863,8129,7040,7431,14936,13093,5276,6973,1931,66675
CED207,94,408,335,345,651,662,346,471,32,3339,145,367,253,290,630,681,263,438,588,3651,2623,8984,7358,8052,12840,13334,6814,9253,1296,70554
CED208,61,364,332,303,501,422,201,261,22,2474,89,378,359,226,530,638,175,276,604,3277,2095,10348,8574,7668,13168,14841,6150,8424,1208,72477
CED209,60,411,248,288,435,419,180,302,34,2385,101,332,219,213,307,403,147,320,519,2573,2989,10343,8332,8693,11231,12212,6244,10132,1224,71401
CED210,71,327,247,278,493,458,197,288,25,2381,118,281,188,222,431,468,164,280,612,2763,2513,8552,7078,7789,11904,11758,5531,7898,1257,64284
CED211,59,340,306,302,557,469,256,381,21,2703,71,304,220,241,557,544,186,316,518,2958,2133,8932,7472,7796,13281,14137,6601,8654,1070,70071
CED212,78,357,270,304,467,519,218,307,33,2564,111,351,233,248,585,682,230,423,594,3456,2279,8420,6979,8010,11954,12750,6469,9076,1212,67140
CED213,92,392,289,343,447,494,253,378,17,2699,142,356,286,270,447,538,190,391,588,3200,2727,9340,7467,8550,10458,11863,5930,9603,1349,67294
CED214,79,331,320,291,609,506,224,292,18,2671,112,356,365,317,714,696,226,388,757,3934,2523,7945,8460,8413,15678,16066,7662,10408,1479,78644
CED215,58,314,203,245,362,405,178,317,26,2113,118,213,172,182,295,353,121,294,549,2298,2809,7739,6275,7152,9664,8870,5082,8868,1219,57676
CED216,59,383,259,258,301,304,170,306,15,2056,77,436,259,304,312,598,211,558,458,3219,2061,9608,7840,7784,8981,13745,6837,13341,992,71187
CED217,69,381,313,339,731,626,290,366,44,3162,137,417,284,387,1045,885,228,340,1039,4760,2655,8950,7783,9215,19706,17966,7054,8931,2104,84360
CED218,33,313,236,268,382,336,220,296,23,2098,68,380,289,231,384,633,210,528,585,3308,2178,9107,8027,7619,12457,17050,8854,15272,1129,81684
CED219,79,437,326,356,896,748,374,357,45,3615,153,458,343,441,1425,1109,333,428,1123,5807,2551,9129,7931,10037,22790,17944,7727,8581,2108,88803
