CED_CODE_2016,A25_34_SOLSE_T_06_10,A25_34_SOLSE_T_11,A25_34_SOLSE_T_12,A25_34_SOLSE_T_13,A25_34_SOLSE_T_14,A25_34_SOLSE_T_15,A25_34_SOLSE_T_16,A25_34_SOLSE_T_YNS,A25_34_SOLSE_T_T,A25_34_L_PinE_NS_B00,A25_34_L_PinE_NS_00_05,A25_34_L_PinE_NS_06_10,A25_34_L_PinE_NS_11,A25_34_L_PinE_NS_12,A25_34_L_PinE_NS_13,A25_34_L_PinE_NS_14,A25_34_L_PinE_NS_15,A25_34_L_PinE_NS_16,A25_34_L_PinE_NS_YNS,A25_34_L_PinE_NS_T,A25_34_T_B00,A25_34_T_00_05,A25_34_T_06_10,A25_34_T_11,A25_34_T_12,A25_34_T_13,A25_34_T_14,A25_34_T_15,A25_34_T_16,A25_34_T_YNS,A25_34_T_T,A35_44_SEO_B00,A35_44_SEO_00_05,A35_44_SEO_06_10,A35_44_SEO_11,A35_44_SEO_12,A35_44_SEO_13,A35_44_SEO_14,A35_44_SEO_15,A35_44_SEO_16,A35_44_SEO_YNS,A35_44_SEO_T,A35_44_SOLSE_VWW_B00,A35_44_SOLSE_VWW_00_05,A35_44_SOLSE_VWW_06_10,A35_44_SOLSE_VWW_11,A35_44_SOLSE_VWW_12,A35_44_SOLSE_VWW_13,A35_44_SOLSE_VWW_14,A35_44_SOLSE_VWW_15,A35_44_SOLSE_VWW_16,A35_44_SOLSE_VWW_YNS,A35_44_SOLSE_VWW_T,A35_44_SOLSE_NWNAA_B00,A35_44_SOLSE_NWNAA_00_05,A35_44_SOLSE_NWNAA_06_10,A35_44_SOLSE_NWNAA_11,A35_44_SOLSE_NWNAA_12,A35_44_SOLSE_NWNAA_13,A35_44_SOLSE_NWNAA_14,A35_44_SOLSE_NWNAA_15,A35_44_SOLSE_NWNAA_16,A35_44_SOLSE_NWNAA_YNS,A35_44_SOLSE_NWNAA_T,A35_44_SOLSE_PinE_NS_B00,A35_44_SOLSE_PinE_NS_00_05,A35_44_SOLSE_PinE_NS_06_10,A35_44_SOLSE_PinE_NS_11,A35_44_SOLSE_PinE_NS_12,A35_44_SOLSE_PinE_NS_13,A35_44_SOLSE_PinE_NS_14,A35_44_SOLSE_PinE_NS_15,A35_44_SOLSE_PinE_NS_16,A35_44_SOLSE_PinE_NS_YNS,A35_44_SOLSE_PinE_NS_T,A35_44_SOLSE_T_B00,A35_44_SOLSE_T_00_05,A35_44_SOLSE_T_06_10,A35_44_SOLSE_T_11,A35_44_SOLSE_T_12,A35_44_SOLSE_T_13,A35_44_SOLSE_T_14,A35_44_SOLSE_T_15,A35_44_SOLSE_T_16,A35_44_SOLSE_T_YNS,A35_44_SOLSE_T_T,A35_44_L_PinE_NS_B00,A35_44_L_PinE_NS_00_05,A35_44_L_PinE_NS_06_10,A35_44_L_PinE_NS_11,A35_44_L_PinE_NS_12,A35_44_L_PinE_NS_13,A35_44_L_PinE_NS_14,A35_44_L_PinE_NS_15,A35_44_L_PinE_NS_16,A35_44_L_PinE_NS_YNS,A35_44_L_PinE_NS_T,A35_44_T_B00,A35_44_T_00_05,A35_44_T_06_10,A35_44_T_11,A35_44_T_12,A35_44_T_13,A35_44_T_14,A35_44_T_15,A35_44_T_16,A35_44_T_YNS,A35_44_T_T,A45_54_SEO_B00,A45_54_SEO_00_05,A45_54_SEO_06_10,A45_54_SEO_11,A45_54_SEO_12,A45_54_SEO_13,A45_54_SEO_14,A45_54_SEO_15,A45_54_SEO_16,A45_54_SEO_YNS,A45_54_SEO_T,A45_54_SOLSE_VWW_B00,A45_54_SOLSE_VWW_00_05,A45_54_SOLSE_VWW_06_10,A45_54_SOLSE_VWW_11,A45_54_SOLSE_VWW_12,A45_54_SOLSE_VWW_13,A45_54_SOLSE_VWW_14,A45_54_SOLSE_VWW_15,A45_54_SOLSE_VWW_16,A45_54_SOLSE_VWW_YNS,A45_54_SOLSE_VWW_T,A45_54_SOLSE_NWNAA_B00,A45_54_SOLSE_NWNAA_00_05,A45_54_SOLSE_NWNAA_06_10,A45_54_SOLSE_NWNAA_11,A45_54_SOLSE_NWNAA_12,A45_54_SOLSE_NWNAA_13,A45_54_SOLSE_NWNAA_14,A45_54_SOLSE_NWNAA_15,A45_54_SOLSE_NWNAA_16,A45_54_SOLSE_NWNAA_YNS,A45_54_SOLSE_NWNAA_T,A45_54_SOLSE_PinE_NS_B00,A45_54_SOLSE_PinE_NS_00_05,A45_54_SOLSE_PinE_NS_06_10,A45_54_SOLSE_PinE_NS_11,A45_54_SOLSE_PinE_NS_12,A45_54_SOLSE_PinE_NS_13,A45_54_SOLSE_PinE_NS_14,A45_54_SOLSE_PinE_NS_15,A45_54_SOLSE_PinE_NS_16,A45_54_SOLSE_PinE_NS_YNS,A45_54_SOLSE_PinE_NS_T,A45_54_SOLSE_T_B00,A45_54_SOLSE_T_00_05,A45_54_SOLSE_T_06_10,A45_54_SOLSE_T_11,A45_54_SOLSE_T_12,A45_54_SOLSE_T_13,A45_54_SOLSE_T_14,A45_54_SOLSE_T_15,A45_54_SOLSE_T_16,A45_54_SOLSE_T_YNS,A45_54_SOLSE_T_T,A45_54_L_PinE_NS_B00,A45_54_L_PinE_NS_00_05,A45_54_L_PinE_NS_06_10,A45_54_L_PinE_NS_11,A45_54_L_PinE_NS_12,A45_54_L_PinE_NS_13,A45_54_L_PinE_NS_14,A45_54_L_PinE_NS_15,A45_54_L_PinE_NS_16,A45_54_L_PinE_NS_YNS,A45_54_L_PinE_NS_T,A45_54_T_B00,A45_54_T_00_05,A45_54_T_06_10,A45_54_T_11,A45_54_T_12,A45_54_T_13,A45_54_T_14,A45_54_T_15,A45_54_T_16,A45_54_T_YNS,A45_54_T_T,A55_64_SEO_B00,A55_64_SEO_00_05,A55_64_SEO_06_10,A55_64_SEO_11,A55_64_SEO_12,A55_64_SEO_13,A55_64_SEO_14,A55_64_SEO_15,A55_64_SEO_16,A55_64_SEO_YNS,A55_64_SEO_T,A55_64_SOLSE_VWW_B00,A55_64_SOLSE_VWW_00_05,A55_64_SOLSE_VWW_06_10,A55_64_SOLSE_VWW_11
CED201,1846,243,287,235,252,208,82,91,4940,0,0,0,0,0,0,0,0,0,3,8,1344,1161,2032,285,328,270,288,237,104,121,6178,1075,235,238,46,46,30,31,16,9,45,1765,1427,1195,1370,205,189,134,104,85,44,57,4805,53,94,188,36,36,51,41,32,10,12,560,4,9,10,0,0,0,0,0,0,0,15,1481,1295,1571,247,222,187,147,117,52,69,5377,3,3,0,0,0,0,0,0,0,3,12,2558,1536,1807,290,271,215,177,136,58,112,7150,2078,225,156,22,30,18,17,3,3,45,2601,2314,742,679,86,51,34,41,26,6,54,4029,308,102,163,43,37,27,36,15,10,38,790,16,4,3,0,0,0,0,0,0,0,26,2640,855,847,133,91,61,73,45,17,92,4843,0,0,0,0,0,0,0,0,0,5,6,4723,1078,996,158,119,82,94,43,23,138,7453,2774,101,53,10,10,3,3,11,3,57,3021,2811,282,147,20
CED202,534,69,108,86,79,98,51,16,1222,0,0,0,0,0,0,0,0,0,0,0,285,185,663,103,159,124,108,139,65,41,1880,588,203,163,36,33,30,18,12,9,33,1112,154,224,357,40,47,42,29,33,20,16,966,4,5,31,3,11,6,12,8,3,4,74,0,3,3,0,0,0,0,0,0,0,8,158,230,390,44,61,47,42,40,25,18,1046,0,0,0,0,0,0,0,0,0,0,0,745,436,552,78,89,82,61,46,30,45,2161,1340,166,119,17,21,12,5,8,7,67,1756,285,104,118,19,8,11,9,8,5,14,570,14,15,22,4,3,4,0,3,3,5,68,3,0,0,0,0,0,0,0,0,0,3,296,115,144,23,9,14,9,11,11,18,645,0,0,0,0,0,0,0,0,0,0,3,1633,287,261,37,30,18,18,18,18,87,2409,1798,67,55,3,3,16,4,0,0,81,2027,433,42,37,4
CED203,2991,481,729,942,1092,981,553,206,9472,0,0,0,0,0,0,3,0,3,12,18,1405,1067,3711,673,978,1159,1316,1162,662,304,12439,1269,585,567,98,101,74,49,42,26,84,2890,1205,868,1196,144,169,210,186,165,99,80,4333,91,103,188,39,38,71,40,46,21,31,671,10,6,11,0,3,0,4,0,0,3,33,1311,977,1388,185,216,275,232,210,123,118,5038,4,0,4,0,0,0,0,0,0,7,13,2574,1569,1960,285,312,348,277,255,148,208,7939,1780,239,107,17,16,10,13,3,6,55,2252,2189,286,235,33,43,40,34,26,8,72,2962,376,98,138,26,24,38,43,32,20,40,842,23,0,3,0,0,0,0,0,0,3,40,2595,381,375,55,63,80,75,57,32,121,3837,7,0,0,0,0,0,0,0,0,4,8,4381,623,482,74,83,88,87,66,43,184,6103,1566,46,36,5,0,6,12,3,4,45,1722,2768,72,47,10
CED204,446,73,67,96,115,126,58,42,1177,0,0,0,0,0,0,0,0,0,76,77,233,143,557,104,90,131,129,143,72,136,1734,493,222,180,29,20,13,7,15,3,43,1021,114,152,299,46,47,38,28,24,15,19,776,0,7,51,11,8,14,12,11,4,5,124,0,0,0,0,0,0,0,0,0,0,3,117,160,350,58,49,53,41,35,19,25,899,0,0,0,0,0,0,0,0,0,54,54,613,383,530,88,69,66,53,50,23,117,1985,1170,141,98,3,10,10,12,4,3,54,1509,183,96,98,15,13,15,7,4,8,3,441,12,10,45,5,5,12,8,10,6,7,118,3,3,4,0,0,0,0,0,0,0,10,196,110,147,18,16,31,16,16,15,7,570,0,0,0,0,0,0,0,0,0,50,48,1369,248,245,20,31,39,24,18,12,118,2131,1600,58,35,3,3,7,5,3,4,56,1784,235,26,10,3
CED205,4730,729,1249,1248,1126,1038,591,327,14454,0,0,3,0,0,0,0,0,0,7,17,2304,2015,5051,793,1320,1297,1184,1096,624,401,16075,962,250,243,38,52,31,30,28,10,46,1689,2717,2109,2829,398,481,410,377,358,177,116,9974,208,286,467,124,239,245,150,133,88,75,2018,9,15,22,3,0,10,0,4,0,3,60,2940,2408,3317,524,725,665,528,489,264,198,12052,3,0,0,0,0,0,0,0,0,4,14,3902,2661,3560,558,774,695,557,522,276,252,13758,1520,258,196,28,27,22,20,11,7,44,2125,4502,1239,1132,160,199,129,92,81,49,111,7681,891,334,456,117,162,148,113,96,65,111,2495,36,6,10,3,3,5,0,0,0,5,67,5422,1583,1598,278,369,281,204,173,112,222,10241,4,0,0,0,0,0,0,0,0,7,8,6948,1836,1789,306,399,306,223,182,120,280,12379,2066,129,60,4,6,5,3,3,0,50,2331,4927,379,181,37
CED206,2865,512,493,726,632,529,337,199,8914,0,0,0,0,0,0,0,0,0,97,106,1831,1306,3056,563,544,785,685,560,353,346,10033,680,197,163,27,39,27,11,20,8,54,1226,2678,1427,1608,189,228,232,167,160,88,141,6910,363,321,391,99,90,171,96,95,73,50,1744,22,17,13,0,0,0,0,0,0,0,65,3059,1771,2015,285,319,399,262,254,163,192,8724,3,0,3,0,0,0,0,0,0,39,50,3746,1964,2185,312,359,428,277,275,167,286,9993,1669,163,100,18,10,8,3,4,0,72,2047,5403,746,592,85,71,83,66,49,25,161,7283,1044,280,310,80,62,143,64,75,72,66,2196,46,9,3,0,3,0,3,0,0,8,76,6492,1033,909,169,142,224,137,122,96,237,9556,6,3,3,0,0,0,0,0,0,30,42,8169,1203,1010,190,144,233,139,126,99,336,11640,1914,68,25,3,3,3,8,3,0,79,2117,5165,230,146,33
CED207,537,82,124,80,81,68,34,28,1354,0,0,0,0,0,0,0,0,0,0,0,546,290,675,116,170,117,110,90,52,63,2230,956,256,217,24,26,27,22,11,3,48,1597,274,282,415,43,56,50,36,21,13,16,1204,9,25,82,17,14,23,9,14,13,6,207,3,0,0,0,0,0,0,0,0,0,5,285,305,498,64,72,73,46,37,26,13,1420,0,0,0,0,0,0,0,0,0,3,3,1241,562,715,84,98,98,71,50,33,72,3024,2386,220,183,30,12,7,10,3,0,78,2942,550,149,146,13,24,17,9,3,0,11,928,32,20,80,14,10,11,14,4,7,7,211,3,0,0,0,0,0,0,0,0,0,7,596,167,228,25,37,29,19,10,8,24,1144,0,0,0,0,0,0,0,0,0,0,4,2980,392,418,57,53,40,33,17,7,99,4086,3088,92,56,10,10,8,4,7,5,102,3376,686,41,27,3
CED208,4666,801,904,1170,1398,1454,831,397,14675,0,0,0,0,0,5,0,0,0,8,9,1715,2205,5069,893,1016,1304,1524,1563,928,465,16667,1074,342,273,51,42,54,37,29,38,44,1981,2048,1922,1786,269,340,312,308,312,181,103,7572,61,124,268,72,76,108,130,165,107,57,1164,4,5,13,0,0,0,0,0,0,0,35,2109,2052,2064,338,422,421,439,473,293,157,8770,0,3,0,0,0,0,0,0,0,0,0,3187,2401,2339,387,460,469,473,507,324,205,10752,1638,255,160,31,18,23,15,13,9,36,2200,2967,776,616,112,108,97,82,87,40,85,4954,358,226,382,73,99,102,110,120,51,114,1657,20,3,8,0,0,0,0,0,0,3,35,3343,1013,1002,188,207,200,194,208,92,196,6642,4,0,0,0,0,0,0,0,0,10,12,4981,1264,1166,215,225,226,203,226,102,243,8856,1818,82,44,10,4,4,9,6,0,37,2015,3122,242,123,14
CED209,527,104,112,136,130,160,72,49,1471,0,0,0,0,0,0,0,0,0,0,10,357,217,757,154,164,201,177,196,94,87,2396,756,299,291,67,29,48,29,26,8,58,1617,188,211,401,60,79,57,38,36,15,29,1107,6,3,32,6,8,6,3,3,3,0,77,0,0,0,0,0,0,0,0,0,0,3,190,214,435,65,82,64,46,38,20,29,1188,4,0,0,0,0,0,0,0,0,9,13,950,518,722,136,116,117,71,68,28,95,2814,1436,223,207,34,20,13,22,11,7,55,2021,317,135,179,17,21,13,13,5,8,12,722,13,14,22,0,5,8,6,5,4,3,80,0,0,0,0,0,0,0,0,0,0,3,329,151,195,21,26,23,23,15,12,13,803,0,0,0,0,0,0,0,0,0,4,3,1762,370,400,57,46,38,36,24,20,73,2830,2017,76,61,9,10,9,8,6,3,74,2277,426,30,23,3
CED210,802,138,165,203,163,185,127,49,2244,0,0,3,0,0,0,0,0,0,80,86,543,297,1006,199,222,242,203,231,152,177,3281,584,215,201,50,38,32,19,19,17,29,1196,327,205,424,55,56,51,34,48,18,28,1242,17,27,60,15,20,33,20,28,19,14,245,7,0,12,0,0,0,0,0,0,0,16,346,239,488,69,80,90,49,74,39,38,1509,3,0,0,0,0,0,0,0,0,70,67,934,446,690,115,121,118,66,91,53,132,2771,1529,139,160,14,9,12,13,3,9,49,1941,653,141,142,23,17,18,20,11,10,27,1052,88,21,56,9,19,22,8,15,6,14,266,12,0,3,0,0,0,0,0,0,6,20,756,159,194,29,34,40,27,31,22,47,1336,4,0,0,0,0,0,0,0,0,43,45,2283,299,358,45,49,55,40,31,27,141,3322,2423,59,41,4,11,10,0,0,0,72,2617,1016,53,36,0
