CED_CODE_2016,P_Greece_0_4,P_Greece_5_14,P_Greece_15_24,P_Greece_25_44,P_Greece_45_54,P_Greece_55_64,P_Greece_65_74,P_Greece_75_84,P_Greece_85ov,P_Greece_Tot,P_Hong_Kong_0_4,P_Hong_Kong_5_14,P_Hong_Kong_15_24,P_Hong_Kong_25_44,P_Hong_Kong_45_54,P_Hong_Kong_55_64,P_Hong_Kong_65_74,P_Hong_Kong_75_84,P_Hong_Kong_85ov,P_Hong_Kong_Tot,P_India_0_4,P_India_5_14,P_India_15_24,P_India_25_44,P_India_45_54,P_India_55_64,P_India_65_74,P_India_75_84,P_India_85ov,P_India_Tot,P_Indonesia_0_4,P_Indonesia_5_14,P_Indonesia_15_24,P_Indonesia_25_44,P_Indonesia_45_54,P_Indonesia_55_64,P_Indonesia_65_74,P_Indonesia_75_84,P_Indonesia_85ov,P_Indonesia_Tot,P_Iran_0_4,P_Iran_5_14,P_Iran_15_24,P_Iran_25_44,P_Iran_45_54,P_Iran_55_64,P_Iran_65_74,P_Iran_75_84,P_Iran_85ov,P_Iran_Tot,P_Iraq_0_4,P_Iraq_5_14,P_Iraq_15_24,P_Iraq_25_44,P_Iraq_45_54,P_Iraq_55_64,P_Iraq_65_74,P_Iraq_75_84,P_Iraq_85ov,P_Iraq_Tot,P_Ireland_0_4,P_Ireland_5_14,P_Ireland_15_24,P_Ireland_25_44,P_Ireland_45_54,P_Ireland_55_64,P_Ireland_65_74,P_Ireland_75_84,P_Ireland_85ov,P_Ireland_Tot,P_Italy_0_4,P_Italy_5_14,P_Italy_15_24,P_Italy_25_44,P_Italy_45_54,P_Italy_55_64,P_Italy_65_74,P_Italy_75_84,P_Italy_85ov,P_Italy_Tot,P_Japan_0_4,P_Japan_5_14,P_Japan_15_24,P_Japan_25_44,P_Japan_45_54,P_Japan_55_64,P_Japan_65_74,P_Japan_75_84,P_Japan_85ov,P_Japan_Tot,P_Korea_South_0_4,P_Korea_South_5_14,P_Korea_South_15_24,P_Korea_South_25_44,P_Korea_South_45_54,P_Korea_South_55_64,P_Korea_South_65_74,P_Korea_South_75_84,P_Korea_South_85ov,P_Korea_South_Tot,P_Lebanon_0_4,P_Lebanon_5_14,P_Lebanon_15_24,P_Lebanon_25_44,P_Lebanon_45_54,P_Lebanon_55_64,P_Lebanon_65_74,P_Lebanon_75_84,P_Lebanon_85ov,P_Lebanon_Tot,P_Malaysia_0_4,P_Malaysia_5_14,P_Malaysia_15_24,P_Malaysia_25_44,P_Malaysia_45_54,P_Malaysia_55_64,P_Malaysia_65_74,P_Malaysia_75_84,P_Malaysia_85ov,P_Malaysia_Tot,P_Malta_0_4,P_Malta_5_14,P_Malta_15_24,P_Malta_25_44,P_Malta_45_54,P_Malta_55_64,P_Malta_65_74,P_Malta_75_84,P_Malta_85ov,P_Malta_Tot,P_Mauritius_0_4,P_Mauritius_5_14,P_Mauritius_15_24,P_Mauritius_25_44,P_Mauritius_45_54,P_Mauritius_55_64,P_Mauritius_65_74,P_Mauritius_75_84,P_Mauritius_85ov,P_Mauritius_Tot,P_Myanmar_0_4,P_Myanmar_5_14,P_Myanmar_15_24,P_Myanmar_25_44,P_Myanmar_45_54,P_Myanmar_55_64,P_Myanmar_65_74,P_Myanmar_75_84,P_Myanmar_85ov,P_Myanmar_Tot,P_Nepal_0_4,P_Nepal_5_14,P_Nepal_15_24,P_Nepal_25_44,P_Nepal_45_54,P_Nepal_55_64,P_Nepal_65_74,P_Nepal_75_84,P_Nepal_85ov,P_Nepal_Tot,P_Netherlands_0_4,P_Netherlands_5_14,P_Netherlands_15_24,P_Netherlands_25_44,P_Netherlands_45_54,P_Netherlands_55_64,P_Netherlands_65_74,P_Netherlands_75_84,P_Netherlands_85ov,P_Netherlands_Tot,P_New_Zealand_0_4,P_New_Zealand_5_14,P_New_Zealand_15_24,P_New_Zealand_25_44,P_New_Zealand_45_54,P_New_Zealand_55_64,P_New_Zealand_65_74,P_New_Zealand_75_84,P_New_Zealand_85ov,P_New_Zealand_Tot,P_Nthern_Ireland_0_4,P_Nthern_Ireland_5_14,P_Nthern_Ireland_15_24,P_Nthern_Ireland_25_44,P_Nthern_Ireland_45_54,P_Nthern_Ireland_55_64,P_Nthern_Ireland_65_74,P_Nthern_Ireland_75_84,P_Nthern_Ireland_85ov,P_Nthern_Ireland_Tot,P_Pakistan_0_4,P_Pakistan_5_14,P_Pakistan_15_24,P_Pakistan_25_44,P_Pakistan_45_54,P_Pakistan_55_64,P_Pakistan_65_74,P_Pakistan_75_84,P_Pakistan_85ov,P_Pakistan_Tot
CED201,0,6,8,30,85,144,169,116,11,573,25,50,119,468,240,286,82,21,3,1292,30,192,348,1757,633,466,223,119,38,3795,0,24,47,275,95,44,45,20,6,552,4,35,51,280,75,50,34,7,0,540,0,4,20,42,24,16,15,4,0,133,3,25,10,67,53,77,61,53,18,367,0,3,11,39,122,235,304,213,68,998,0,22,19,46,27,6,4,3,3,130,3,55,64,260,93,39,11,3,0,534,0,3,3,28,47,62,19,9,5,186,24,177,346,980,556,632,320,108,27,3176,0,0,0,7,9,50,55,19,9,152,0,5,8,58,65,105,64,26,4,340,0,6,15,41,14,18,8,6,4,116,0,3,26,77,21,4,0,0,0,138,4,4,6,26,45,111,216,181,72,672,14,205,226,503,306,245,133,45,11,1684,0,4,9,21,21,46,38,34,13,177,0,14,19,86,31,16,12,0,0,182
CED202,0,0,0,3,10,24,47,37,7,126,0,9,6,18,13,8,4,0,0,65,24,79,77,719,75,52,40,21,8,1098,5,3,7,27,3,4,10,4,0,64,0,3,4,41,3,3,6,0,0,74,0,3,4,19,8,0,0,0,0,36,0,9,12,64,35,44,47,26,8,254,0,0,3,18,34,71,99,76,40,335,0,7,3,48,17,4,3,9,0,93,0,8,10,28,4,0,0,0,0,52,0,0,0,9,7,5,0,0,0,21,4,26,25,77,40,48,12,13,4,235,0,0,0,20,28,84,99,33,11,276,0,0,3,18,5,14,4,0,0,48,0,0,3,7,3,0,4,3,3,24,0,0,8,35,3,0,0,0,0,48,3,5,3,27,45,161,324,207,49,821,10,79,116,410,308,263,167,60,12,1429,0,0,3,3,21,31,38,18,9,120,0,9,9,50,9,3,0,0,0,76
CED203,10,46,64,233,374,746,1435,1605,430,4939,6,11,78,194,30,38,18,4,0,383,121,182,703,3385,202,130,80,39,17,4860,8,4,43,180,39,26,14,11,0,325,10,31,62,448,47,28,5,0,0,641,14,31,24,179,49,26,4,8,3,339,0,7,9,302,71,72,28,18,19,529,5,26,47,299,320,734,1724,2352,934,6441,3,12,35,208,50,11,6,4,3,327,3,9,22,130,15,3,7,3,0,192,4,9,31,246,291,284,216,107,35,1218,7,28,166,491,102,134,61,18,6,1025,0,0,0,20,16,84,127,99,41,394,0,11,33,126,28,35,20,13,6,267,0,3,5,21,11,4,0,3,0,47,3,26,187,633,14,8,0,0,0,875,0,4,7,68,25,26,37,30,11,213,19,83,150,1465,378,234,89,31,5,2454,0,0,3,45,13,17,8,11,0,101,23,55,93,372,25,12,5,0,0,587
CED204,0,0,0,6,18,13,27,24,6,92,0,3,20,26,13,7,9,0,0,80,27,57,59,531,50,37,30,19,4,822,0,0,12,29,22,12,10,3,3,94,5,15,7,19,7,0,0,0,0,51,0,0,5,11,4,3,3,0,0,32,0,12,7,61,34,30,39,24,15,231,0,0,4,13,25,56,85,43,26,261,0,6,9,20,8,3,4,0,0,54,0,5,12,36,5,3,0,0,0,60,0,0,4,15,13,8,0,0,0,37,4,5,22,63,52,38,21,3,0,200,0,0,0,5,9,42,44,17,3,116,0,3,0,20,14,0,0,0,0,44,0,17,72,223,64,34,17,12,0,449,3,3,0,38,0,0,0,0,0,47,0,5,11,29,40,86,161,85,24,448,4,50,79,383,262,264,139,42,12,1232,0,0,0,15,16,19,28,18,6,96,0,10,7,41,3,3,3,0,0,61
CED205,7,53,50,116,233,392,806,652,129,2437,16,72,211,518,257,325,143,41,0,1594,213,862,1408,6113,1171,705,446,213,100,11223,11,41,115,433,147,95,76,25,5,953,17,179,185,479,117,67,21,10,4,1067,3,33,28,109,57,37,19,9,3,310,13,24,6,31,17,35,42,30,15,208,3,4,18,60,125,341,632,719,282,2193,7,36,22,103,39,19,17,5,3,257,7,102,163,450,175,64,29,6,0,990,0,5,33,125,121,106,114,35,12,558,48,284,552,1351,608,723,514,155,41,4275,0,0,0,5,14,24,72,48,9,176,0,16,37,216,124,202,170,124,74,962,7,32,155,397,109,51,24,18,6,802,4,3,12,92,4,5,3,0,0,135,0,4,3,15,24,39,133,122,70,420,44,307,424,568,257,240,145,45,19,2050,0,3,0,10,23,13,26,26,10,118,59,271,319,948,100,66,18,3,0,1772
CED206,3,30,58,100,176,305,463,349,60,1549,0,3,20,48,36,36,9,8,0,172,93,267,643,3268,639,496,309,118,47,5882,4,19,20,102,29,10,8,7,0,197,16,84,113,383,76,58,33,18,7,775,48,707,1293,3695,1618,906,419,179,60,8921,3,17,5,57,24,29,30,21,14,196,4,20,28,116,389,1014,1281,832,245,3916,0,0,0,22,4,3,0,0,4,46,0,0,15,54,11,3,8,0,0,91,38,84,202,1340,814,586,286,101,28,3482,3,19,50,116,68,84,46,11,3,394,0,0,15,48,129,432,583,291,75,1578,0,6,12,47,36,44,22,5,3,175,0,0,3,16,8,8,7,11,3,60,6,63,115,229,9,3,0,0,0,434,0,8,3,10,5,36,55,28,15,153,79,423,436,618,255,167,49,17,3,2049,0,0,4,7,12,24,30,16,7,93,53,110,314,950,110,28,18,3,0,1597
CED207,0,0,0,11,20,28,40,13,6,121,0,5,17,53,37,30,6,3,0,158,20,41,60,473,114,91,81,33,14,939,0,8,13,59,20,17,21,17,7,160,0,11,13,101,18,15,9,3,0,166,0,0,0,10,5,0,0,0,0,18,0,14,3,62,49,46,88,34,5,302,0,3,7,40,61,170,296,230,104,907,0,7,7,35,18,10,13,3,0,89,3,10,4,33,0,10,0,0,0,61,3,3,0,28,18,21,12,3,0,88,24,60,31,109,56,62,32,4,3,382,0,0,0,3,6,37,49,16,4,111,0,0,3,33,17,23,12,9,0,91,7,109,239,433,103,42,22,6,0,964,0,3,6,26,9,0,0,0,0,45,0,12,15,74,109,293,499,293,159,1456,10,87,137,553,385,330,144,48,14,1714,0,6,6,22,50,38,70,29,3,229,0,3,3,17,6,4,0,0,3,42
CED208,6,57,64,142,270,412,964,1085,237,3237,25,59,533,886,280,341,168,61,15,2372,132,342,1054,3719,562,357,235,116,54,6573,35,62,415,818,116,86,60,17,11,1622,6,46,74,397,75,47,25,14,5,689,8,20,16,51,16,15,0,0,7,133,7,22,11,100,56,46,35,58,30,360,7,12,16,90,95,248,510,665,296,1933,7,49,84,219,94,36,26,6,3,521,23,127,322,792,266,90,27,14,0,1665,0,0,5,30,40,30,23,6,3,138,24,195,1064,1854,541,586,371,129,36,4803,0,0,0,5,7,19,37,31,13,116,0,6,73,149,60,49,37,19,14,405,0,7,25,46,15,7,15,9,0,123,0,11,56,151,3,3,3,3,0,229,3,26,13,42,24,41,86,74,48,368,21,159,270,555,325,266,122,66,32,1809,0,3,5,16,12,20,19,10,5,98,9,34,108,275,15,11,10,3,0,470
CED209,0,0,3,9,15,31,54,23,14,136,0,12,22,36,10,20,16,0,0,120,21,75,245,657,82,48,41,19,9,1199,0,5,17,58,25,8,7,10,0,138,6,20,13,125,35,13,6,0,0,224,0,7,3,25,16,4,0,0,0,59,5,36,15,106,62,52,55,26,13,361,0,3,8,35,56,87,179,138,52,547,0,20,16,48,25,7,4,4,0,125,3,14,19,42,7,0,0,0,0,90,0,3,3,18,9,18,10,3,0,52,0,16,38,107,51,55,20,8,0,294,0,3,0,9,10,41,60,22,4,142,0,3,9,17,11,9,8,3,0,48,0,0,9,6,0,3,0,0,0,29,0,5,5,30,4,0,0,0,0,45,0,13,13,43,48,142,290,138,67,748,18,116,150,550,290,254,156,37,12,1586,0,8,9,25,41,57,64,27,13,240,0,9,24,64,7,5,10,0,0,109
CED210,0,3,3,6,39,60,132,117,34,396,0,12,36,38,6,7,4,5,0,109,41,70,127,894,34,53,33,11,7,1268,0,4,23,46,23,9,16,3,0,129,3,54,59,89,27,12,5,4,3,255,22,29,12,78,18,4,3,0,0,173,3,19,11,97,60,57,50,43,19,356,0,5,15,42,96,220,368,367,186,1300,3,9,3,36,13,3,0,3,3,65,3,7,13,51,3,4,0,0,0,85,3,0,0,19,16,11,0,3,0,57,3,8,42,119,40,37,9,12,0,267,0,0,0,9,10,73,145,48,3,286,0,4,9,26,12,6,7,5,0,59,3,13,73,157,53,31,24,3,3,350,0,0,13,56,0,0,0,0,0,67,0,3,9,29,29,163,382,234,108,944,10,61,131,522,282,231,146,54,11,1458,0,0,0,23,39,50,61,42,8,226,14,64,65,143,8,4,3,0,0,305
