UCL_CODE_2016,P_PNG_0_4,P_PNG_5_14,P_PNG_15_24,P_PNG_25_44,P_PNG_45_54,P_PNG_55_64,P_PNG_65_74,P_PNG_75_84,P_PNG_85ov,P_PNG_Tot,P_Philippines_0_4,P_Philippines_5_14,P_Philippines_15_24,P_Philippines_25_44,P_Philippines_45_54,P_Philippines_55_64,P_Philippines_65_74,P_Philippines_75_84,P_Philippines_85ov,P_Philippines_Tot,P_Poland_0_4,P_Poland_5_14,P_Poland_15_24,P_Poland_25_44,P_Poland_45_54,P_Poland_55_64,P_Poland_65_74,P_Poland_75_84,P_Poland_85ov,P_Poland_Tot,P_Scotland_0_4,P_Scotland_5_14,P_Scotland_15_24,P_Scotland_25_44,P_Scotland_45_54,P_Scotland_55_64,P_Scotland_65_74,P_Scotland_75_84,P_Scotland_85ov,P_Scotland_Tot,P_Singapore_0_4,P_Singapore_5_14,P_Singapore_15_24,P_Singapore_25_44,P_Singapore_45_54,P_Singapore_55_64,P_Singapore_65_74,P_Singapore_75_84,P_Singapore_85ov,P_Singapore_Tot,P_South_Africa_0_4,P_South_Africa_5_14,P_South_Africa_15_24,P_South_Africa_25_44,P_South_Africa_45_54,P_South_Africa_55_64,P_South_Africa_65_74,P_South_Africa_75_84,P_South_Africa_85ov,P_South_Africa_Tot,P_SE_Europe_nfd_0_4,P_SE_Europe_nfd_5_14,P_SE_Europe_nfd_15_24,P_SE_Europe_nfd_25_44,P_SE_Europe_nfd_45_54,P_SE_Europe_nfd_55_64,P_SE_Europe_nfd_65_74,P_SE_Europe_nfd_75_84,P_SE_Europe_nfd_85ov,P_SE_Europe_nfd_Tot,P_Sri_Lanka_0_4,P_Sri_Lanka_5_14,P_Sri_Lanka_15_24,P_Sri_Lanka_25_44,P_Sri_Lanka_45_54,P_Sri_Lanka_55_64,P_Sri_Lanka_65_74,P_Sri_Lanka_75_84,P_Sri_Lanka_85ov,P_Sri_Lanka_Tot,P_Taiwan_0_4,P_Taiwan_5_14,P_Taiwan_15_24,P_Taiwan_25_44,P_Taiwan_45_54,P_Taiwan_55_64,P_Taiwan_65_74,P_Taiwan_75_84,P_Taiwan_85ov,P_Taiwan_Tot,P_Thailand_0_4,P_Thailand_5_14,P_Thailand_15_24,P_Thailand_25_44,P_Thailand_45_54,P_Thailand_55_64,P_Thailand_65_74,P_Thailand_75_84,P_Thailand_85ov,P_Thailand_Tot,P_FYROM_0_4,P_FYROM_5_14,P_FYROM_15_24,P_FYROM_25_44,P_FYROM_45_54,P_FYROM_55_64,P_FYROM_65_74,P_FYROM_75_84,P_FYROM_85ov,P_FYROM_Tot,P_Turkey_0_4,P_Turkey_5_14,P_Turkey_15_24,P_Turkey_25_44,P_Turkey_45_54,P_Turkey_55_64,P_Turkey_65_74,P_Turkey_75_84,P_Turkey_85ov,P_Turkey_Tot,P_USA_0_4,P_USA_5_14,P_USA_15_24,P_USA_25_44,P_USA_45_54,P_USA_55_64,P_USA_65_74,P_USA_75_84,P_USA_85ov,P_USA_Tot,P_Vietnam_0_4,P_Vietnam_5_14,P_Vietnam_15_24,P_Vietnam_25_44,P_Vietnam_45_54,P_Vietnam_55_64,P_Vietnam_65_74,P_Vietnam_75_84,P_Vietnam_85ov,P_Vietnam_Tot,P_Wales_0_4,P_Wales_5_14,P_Wales_15_24,P_Wales_25_44,P_Wales_45_54,P_Wales_55_64,P_Wales_65_74,P_Wales_75_84,P_Wales_85ov,P_Wales_Tot,P_Zimbabwe_0_4,P_Zimbabwe_5_14,P_Zimbabwe_15_24,P_Zimbabwe_25_44,P_Zimbabwe_45_54,P_Zimbabwe_55_64,P_Zimbabwe_65_74,P_Zimbabwe_75_84,P_Zimbabwe_85ov,P_Zimbabwe_Tot,P_Elsewhere_0_4,P_Elsewhere_5_14,P_Elsewhere_15_24,P_Elsewhere_25_44,P_Elsewhere_45_54,P_Elsewhere_55_64,P_Elsewhere_65_74,P_Elsewhere_75_84,P_Elsewhere_85ov,P_Elsewhere_Tot,P_COB_NS_0_4,P_COB_NS_5_14,P_COB_NS_15_24,P_COB_NS_25_44,P_COB_NS_45_54,P_COB_NS_55_64,P_COB_NS_65_74,P_COB_NS_75_84,P_COB_NS_85ov,P_COB_NS_Tot,P_Tot_0_4,P_Tot_5_14,P_Tot_15_24,P_Tot_25_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL201001,13,54,128,825,534,229,77,22,4,1884,409,2643,4912,18626,8005,5656,2413,592,227,43481,11,77,199,2966,1440,3059,2412,1419,1562,13141,60,451,635,3578,3146,3617,3791,2346,949,18562,312,1677,3234,5270,1869,1561,827,268,66,15075,152,1208,2734,8355,4543,3027,2038,844,302,23199,0,0,56,876,1277,1663,1359,1113,315,6660,431,2985,4877,23044,8654,6541,4307,1803,692,53328,103,228,1060,5341,663,726,328,52,22,8530,293,1375,2355,7396,1287,563,214,39,17,13538,17,113,365,3115,3259,4030,3525,1590,370,16383,63,212,589,4378,4458,2530,1579,700,165,14677,525,2150,2138,5982,2430,1532,1034,235,104,16124,399,1570,7228,29596,17230,14502,5093,2078,886,78584,19,103,137,846,657,564,500,308,149,3287,15,169,516,1954,605,375,152,39,8,3845,1975,8359,15630,59606,25005,19999,15938,10320,4726,161569,13696,21797,30430,82031,33315,28668,23475,16385,9225,259021,267976,492595,566068,1296847,545587,439174,317529,185177,85254,4196198
UCL203001,0,4,0,33,19,10,0,3,0,67,14,61,127,339,160,119,76,11,9,904,0,0,3,53,33,71,62,56,67,348,4,23,19,100,125,190,213,160,37,869,0,27,39,44,39,35,19,0,0,203,3,30,59,144,94,53,43,26,6,451,0,0,0,21,65,94,107,96,20,404,3,23,60,163,31,28,26,7,3,347,4,3,8,27,9,4,4,0,0,54,16,164,119,130,32,10,3,3,0,477,0,3,8,61,86,170,150,95,20,587,0,6,12,32,28,11,13,7,0,114,9,44,43,144,53,42,38,5,4,388,3,12,56,166,62,49,15,3,0,360,0,3,3,37,30,32,42,20,7,177,0,8,12,57,22,7,9,3,0,113,42,175,291,724,324,386,411,383,204,2942,478,869,1253,2570,1516,1379,1158,934,571,10729,9762,18114,21886,41236,19884,18465,14388,8763,4593,157104
UCL211001,0,0,0,9,3,7,0,0,0,19,4,33,31,97,22,23,11,0,0,214,0,0,0,6,3,4,7,3,9,29,0,0,3,9,18,19,32,19,5,107,0,0,4,6,4,0,0,0,0,9,0,7,16,26,10,8,0,0,0,62,0,0,0,0,3,6,11,5,4,35,0,7,6,34,8,0,4,4,0,70,0,0,0,16,0,0,0,0,0,15,5,4,3,15,4,3,0,0,0,37,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,7,9,5,21,13,11,6,0,0,59,0,0,0,9,3,0,3,0,0,16,0,0,4,3,8,4,4,0,3,27,0,5,0,10,0,0,0,0,0,17,16,55,65,158,71,72,90,72,29,632,131,200,299,661,292,338,249,163,43,2376,2570,4656,4652,9318,4448,4184,3099,1585,617,35130
UCL211002,0,0,3,15,9,0,0,0,0,30,7,52,44,188,55,44,11,3,0,402,0,3,0,10,8,3,10,7,9,52,0,3,5,39,55,65,91,58,14,336,0,5,3,17,17,10,0,0,0,51,0,12,23,76,35,22,14,11,0,193,0,0,0,4,3,6,9,9,3,42,0,12,6,64,16,7,4,3,3,116,0,0,3,35,3,0,0,0,0,40,0,8,17,53,14,7,4,0,0,102,0,0,0,0,0,0,0,0,0,8,0,0,0,4,4,3,0,0,0,14,0,21,25,69,35,33,30,0,0,215,3,4,10,51,12,8,0,0,0,95,0,3,0,7,8,13,15,16,7,65,0,0,11,16,5,3,3,0,0,41,14,71,120,266,104,93,60,83,34,837,337,543,816,1573,882,786,832,526,222,6521,6152,11608,13241,23873,11630,10873,8887,5178,2325,93759
UCL211003,0,0,0,25,8,0,0,0,0,41,3,33,36,160,63,34,21,9,0,352,0,0,0,3,0,3,3,6,8,18,0,0,4,28,26,58,59,50,16,245,0,0,5,17,3,7,10,3,0,48,0,15,37,68,29,16,22,0,3,188,0,0,0,0,3,0,9,9,0,17,0,19,15,63,24,21,12,8,5,171,0,3,6,35,3,3,0,0,0,46,22,151,137,76,15,4,0,0,0,403,0,0,0,0,0,0,4,0,0,10,0,0,0,3,3,0,0,0,0,7,0,20,17,37,17,23,19,0,3,144,0,11,8,42,7,3,0,0,0,74,0,4,4,7,8,7,7,6,0,39,0,3,8,15,3,0,3,0,0,39,9,36,78,153,62,67,65,40,18,516,338,626,758,1624,879,890,764,572,311,6771,6084,11714,12728,23296,11183,11080,8624,5174,2494,92379
UCL211004,0,3,3,0,3,3,0,0,0,20,8,74,124,351,154,83,34,6,0,830,0,0,3,21,17,39,23,8,12,124,3,3,3,33,42,85,94,35,10,303,4,4,3,19,8,12,5,0,0,58,4,3,14,48,20,17,10,6,0,127,0,0,0,4,21,32,27,21,3,121,0,22,17,125,33,26,18,0,3,246,0,0,0,9,6,3,3,0,0,26,4,16,27,52,17,3,0,0,0,119,0,0,0,51,27,37,24,6,0,148,0,0,0,25,27,10,9,6,0,75,0,17,4,37,3,15,5,0,0,85,3,7,11,138,42,32,5,0,0,243,0,3,3,9,9,12,5,3,3,46,0,0,8,32,7,3,0,0,0,51,23,248,404,939,383,274,207,81,24,2573,366,564,482,1276,541,506,375,169,59,4326,4732,7959,7145,16123,6370,5977,4142,1485,517,54456
UCL212001,0,0,0,0,0,0,0,0,0,6,3,20,25,68,26,21,11,3,0,176,0,0,0,0,0,5,3,3,0,13,0,3,0,7,14,7,17,14,9,79,0,0,3,0,0,0,0,0,0,5,0,4,8,11,8,3,5,0,0,51,0,0,0,0,0,14,9,3,7,35,0,3,3,36,14,3,4,0,0,74,0,0,15,55,0,0,0,0,0,71,12,12,4,23,5,3,0,0,0,51,0,0,0,3,0,0,3,0,0,7,0,7,12,57,72,37,26,16,0,228,0,0,3,14,7,8,4,0,0,39,0,0,8,55,24,35,10,3,0,133,0,0,0,5,5,4,4,4,0,20,0,0,0,6,3,0,0,0,0,12,5,39,52,191,74,69,55,35,18,531,150,244,381,784,392,418,399,325,148,3242,2211,4060,4297,8466,3995,3984,3422,2092,923,33444
UCL212002,0,0,0,3,5,3,0,0,0,10,8,31,31,148,41,38,20,7,0,321,0,0,0,7,3,3,0,0,5,19,0,0,3,12,14,22,36,12,3,96,0,0,3,8,5,0,0,0,0,20,0,16,14,33,18,8,3,6,0,104,0,0,0,0,4,3,10,0,0,14,5,21,6,58,26,8,8,0,0,135,0,0,30,123,6,3,3,0,0,162,0,0,4,22,13,8,5,0,0,52,0,0,0,3,5,17,12,17,0,56,0,6,11,66,71,31,20,8,0,205,0,14,11,16,7,8,7,0,0,63,0,0,0,13,10,3,0,0,0,27,0,0,0,0,0,0,3,3,3,12,0,3,7,14,5,0,0,0,0,33,13,130,207,403,155,114,49,45,25,1141,243,408,418,1077,574,516,464,310,180,4193,3209,6187,5877,11766,5846,5300,4254,2584,1171,46199
UCL212003,0,0,0,11,14,4,0,0,0,29,0,10,26,85,57,30,12,6,0,230,0,0,3,15,3,17,10,7,3,55,0,6,7,31,38,52,55,49,5,252,0,0,4,6,5,4,7,3,0,31,0,16,17,44,33,19,13,4,0,150,0,0,0,0,6,8,5,8,0,22,4,9,3,32,14,10,7,4,0,79,0,0,0,3,3,0,0,0,0,7,0,3,8,24,11,5,3,0,0,48,0,0,0,5,14,0,3,0,0,15,0,0,0,0,8,0,0,0,0,12,0,5,7,26,13,11,3,4,0,71,0,7,9,37,8,8,3,0,0,63,0,0,4,8,4,8,11,4,0,39,0,0,0,3,0,0,0,0,0,11,6,22,15,125,96,69,58,40,12,448,106,152,206,484,254,244,197,89,57,1796,2298,4495,4736,9009,5027,4227,2702,1334,594,34425
UCL212004,0,0,0,0,3,0,0,0,0,8,3,3,16,46,23,27,14,0,3,128,0,0,0,3,0,10,4,0,4,23,0,0,4,5,20,51,62,28,11,182,0,0,6,4,0,0,0,0,0,12,0,9,15,32,20,10,3,4,0,89,0,0,0,0,0,0,0,0,0,6,0,8,4,25,14,6,3,0,0,59,0,0,0,0,0,0,0,0,0,3,0,0,9,21,3,0,0,0,0,31,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,3,7,4,8,3,0,0,29,0,0,0,16,3,3,0,0,0,29,0,0,0,3,3,0,0,0,4,11,0,3,0,5,3,0,0,0,0,18,3,38,34,94,55,25,27,37,17,335,82,207,247,511,279,293,243,208,141,2213,1663,3338,3110,6681,3236,3080,2337,1426,609,25485
