UCL_CODE_2016,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
UCL201001,64350,38981,25084,13081,3682,892,228537,1946,19415,22604,20308,16198,7324,1826,392,90018,60796,212103,159258,101709,67103,35384,13215,4330,653905,27721,77201,70799,61953,44482,27435,11548,4085,325230,44232,92579,80857,83972,60640,35882,18646,6198,423020,5620,5422,5224,4689,3323,1847,522,151,26793,4268,8266,9944,11328,9651,6797,3061,1406,54715,54124,106260,96026,99990,73609,44528,22230,7757,504523,2304,5625,4998,4425,4086,3627,2085,934,28089,39859,52851,40823,37845,34711,33609,27873,18125,285699,191895,550772,458860,365205,265276,164993,82466,36526,2115997
UCL203001,1189,842,620,331,86,20,4452,63,664,688,640,573,252,70,16,2971,1627,5241,4169,2659,2175,1186,438,130,17620,871,2346,2347,2276,1974,1244,519,223,11798,2799,4989,3868,4058,3277,1995,987,352,22327,366,299,232,223,173,84,23,4,1404,207,315,352,395,390,288,120,62,2117,3364,5605,4445,4677,3834,2359,1129,426,25843,57,148,110,107,130,124,92,40,807,1697,1497,1335,1589,1652,1738,1683,1178,12372,7787,16753,14292,12789,10957,7245,4013,2033,75861
UCL211001,130,129,76,45,7,0,537,15,114,117,130,106,45,18,0,547,129,739,644,366,346,210,44,26,2511,153,555,540,552,463,273,79,27,2639,788,1529,1110,1088,828,457,179,54,6039,115,101,70,79,48,23,3,3,438,43,90,95,107,113,88,21,6,580,950,1728,1279,1276,986,568,202,69,7059,13,32,22,27,27,26,25,3,161,414,387,343,338,413,385,277,102,2665,1683,3686,3078,2817,2423,1553,648,225,16117
UCL211002,584,551,455,240,77,4,2517,30,343,480,501,454,223,50,6,2085,753,2779,2344,1529,1221,785,293,82,9786,430,1171,1249,1319,1088,743,332,81,6406,1771,3182,2395,2268,1863,1172,560,165,13373,287,219,157,121,128,55,14,6,985,104,193,212,220,195,140,85,31,1171,2159,3596,2767,2612,2186,1370,651,195,15532,28,58,60,70,78,78,49,26,435,1065,908,823,922,978,1149,993,552,7382,4528,9397,8300,7493,6450,4589,2452,947,44154
UCL211003,413,391,327,207,42,10,1875,37,338,460,400,382,211,53,10,1883,659,2553,2075,1294,1149,652,247,74,8700,353,1070,1133,1161,1129,767,300,114,6028,1776,3293,2513,2455,2122,1221,579,164,14124,230,231,170,151,127,58,0,7,979,131,229,231,222,255,175,75,35,1347,2137,3751,2914,2830,2499,1449,657,204,16449,36,72,58,53,73,93,52,25,468,1067,937,847,935,1072,1137,1076,743,7807,4359,9123,7905,7062,6629,4509,2430,1188,43200
UCL211004,248,87,71,33,7,3,715,19,105,108,76,82,29,7,0,422,212,1024,839,385,297,148,32,9,2948,333,1005,849,561,449,212,48,14,3462,1009,2274,1711,1346,1122,628,188,48,8327,150,146,123,80,60,27,3,0,594,101,187,183,157,147,81,16,3,879,1263,2603,2012,1588,1327,747,210,47,9799,20,54,52,51,44,42,16,8,283,678,751,620,581,602,544,277,92,4152,2540,5786,4732,3327,2878,1753,595,168,21781
UCL212001,107,63,57,24,4,0,355,19,69,96,100,71,30,4,4,393,138,714,537,373,308,150,74,14,2314,118,377,394,384,363,218,83,16,1952,574,1143,809,804,632,384,164,46,4558,138,93,74,46,35,21,5,4,410,63,75,74,81,82,48,13,3,442,775,1314,961,930,749,452,185,55,5406,25,18,27,13,19,27,15,10,152,506,517,362,419,488,571,475,276,3627,1587,3102,2484,2290,2060,1477,836,370,14194
UCL212002,168,137,100,30,17,3,709,14,148,173,161,144,55,15,3,717,213,1009,707,494,430,238,73,20,3198,194,604,589,555,449,267,103,48,2816,776,1403,1155,1152,909,520,216,53,6175,98,81,73,78,59,34,6,3,430,55,92,99,98,78,68,34,9,536,931,1573,1324,1325,1047,618,253,71,7136,17,55,45,21,29,29,24,11,233,568,623,547,603,604,615,497,297,4353,1968,4243,3559,3297,2802,1848,985,458,19162
UCL212003,156,139,109,33,6,4,575,22,111,140,137,124,55,18,0,604,248,734,780,492,416,180,73,24,2955,237,527,611,626,448,225,107,20,2808,601,1289,1172,1198,897,474,172,71,5875,78,67,56,46,56,19,3,3,326,41,73,99,127,105,80,26,11,558,712,1427,1330,1375,1058,571,199,82,6758,9,24,32,37,42,26,10,13,189,275,259,292,288,301,290,189,97,1988,1515,3203,3338,3095,2497,1387,604,234,15872
UCL212004,115,85,76,34,3,3,414,8,83,88,95,57,32,4,3,371,155,616,476,305,274,139,52,10,2031,116,370,360,327,258,139,76,15,1664,491,1073,789,818,657,371,171,44,4410,66,64,31,28,25,5,3,0,234,32,65,54,70,68,39,18,3,348,586,1207,876,919,755,418,187,43,4993,3,11,18,28,17,19,9,0,108,289,304,262,306,365,379,335,207,2447,1176,2678,2197,2061,1803,1147,675,284,12022
