UCL_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
UCL215060,0,4,0,3,3,3,0,0,0,16,4,3,0,18,6,0,0,0,0,36,11,10,40,17,12,17,21,27,4,151,0,0,0,0,0,0,0,0,0,8,3,0,0,3,3,0,0,3,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,11,3,26,29,87,49,46,36,30,18,44,11,346
UCL215061,4,6,0,0,4,0,0,0,0,18,3,8,4,6,8,5,3,0,0,32,17,3,66,32,22,6,15,28,0,195,0,0,3,0,3,0,0,3,0,18,0,0,0,3,3,0,3,10,0,22,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,4,5,6,3,26,49,86,82,56,51,18,27,55,4,419
UCL215062,12,11,7,14,6,3,3,5,0,52,12,18,9,29,23,10,3,4,0,96,37,15,118,54,27,28,37,64,6,382,3,0,0,8,0,5,0,11,0,25,4,0,3,14,0,3,4,0,0,29,0,3,0,0,0,0,0,3,0,7,5,3,9,3,0,5,3,13,0,44,88,171,147,124,72,53,48,99,11,816
UCL215063,0,4,0,6,3,0,0,3,0,17,9,10,7,14,7,0,0,3,0,40,11,3,44,28,11,9,10,25,0,143,0,0,0,3,5,0,0,0,0,9,3,0,0,4,4,4,0,4,0,15,0,0,0,0,0,0,0,0,0,3,4,5,0,3,3,0,5,9,5,34,33,61,53,63,31,12,16,42,6,325
UCL215064,3,3,0,6,0,0,0,0,0,12,0,0,4,5,0,0,0,0,0,20,20,7,36,12,7,6,16,7,0,109,0,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,3,3,0,10,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,3,0,0,10,36,50,47,32,23,8,27,15,0,234
UCL215065,6,15,0,5,6,0,0,4,0,39,10,17,0,29,7,7,4,7,0,76,33,12,102,37,23,23,15,28,3,288,0,0,3,3,0,3,0,4,0,12,5,3,3,7,7,0,3,3,0,26,0,5,0,0,0,0,0,0,0,3,3,3,3,9,5,0,0,3,3,33,91,154,122,109,53,53,29,49,14,677
UCL215066,19,30,4,12,14,4,3,3,5,103,13,18,13,10,14,5,0,0,0,78,25,9,82,17,16,8,4,20,5,192,0,0,0,3,0,0,3,3,3,14,3,5,0,3,0,5,0,6,0,22,0,4,0,0,0,3,0,0,0,6,5,3,0,0,3,3,4,0,3,27,166,394,122,89,104,49,17,45,21,1002
UCL215067,13,13,3,10,13,5,0,3,0,56,25,9,4,20,5,5,0,4,0,79,42,6,111,26,13,6,18,25,3,263,0,3,0,0,0,5,0,3,0,14,3,5,0,3,3,3,0,3,0,22,0,0,0,0,0,0,0,0,0,6,0,3,3,3,0,0,0,10,0,22,150,273,130,101,63,34,23,61,14,846
UCL215068,5,16,4,3,3,0,0,0,0,35,10,6,3,9,12,3,0,5,3,53,32,13,73,43,22,20,28,43,5,280,0,0,0,3,5,10,3,5,0,26,4,0,0,0,3,3,3,9,0,19,0,0,5,0,0,0,0,3,0,11,4,3,0,3,3,9,4,6,4,34,63,112,94,74,50,39,42,79,12,562
UCL215069,12,26,3,8,7,3,3,6,0,78,19,18,15,32,28,3,3,6,0,120,50,22,187,52,45,12,26,31,6,421,0,0,4,3,3,0,0,3,0,20,4,4,6,9,13,3,0,0,0,37,0,5,4,3,0,0,0,0,0,11,0,8,3,7,7,0,0,4,4,29,136,297,233,153,143,46,44,55,12,1120
