UCL_CODE_2016,P_AdvDi_Di_AdvDi_AsDe_Mng,P_AdvDi_Di_AdvDi_AsDe_Pro,P_AdvDi_Di_AdvDi_AsDe_TTW,P_AdvDi_Di_AdvDi_AsDe_CPS,P_AdvDi_Di_AdvDi_AsDe_CA,P_AdvDi_Di_AdvDi_AsDe_Sal,P_AdvDi_Di_AdvDi_AsDe_MOD,P_AdvDi_Di_AdvDi_AsDe_Lab,P_AdvDi_Di_AdvDi_AsDe_IDNS,P_AdvDi_Di_AdvDi_AsDe_Tot,P_AdvDi_Di_Dip_Mng,P_AdvDi_Di_Dip_Pro,P_AdvDi_Di_Dip_TTW,P_AdvDi_Di_Dip_CPS,P_AdvDi_Di_Dip_CA,P_AdvDi_Di_Dip_Sal,P_AdvDi_Di_Dip_MOD,P_AdvDi_Di_Dip_Lab,P_AdvDi_Di_Dip_IDNS,P_AdvDi_Di_Dip_Tot,P_Cert_CertIII_IV_Mng,P_Cert_CertIII_IV_Pro,P_Cert_CertIII_IV_TTW,P_Cert_CertIII_IV_CPS,P_Cert_CertIII_IV_CA,P_Cert_CertIII_IV_Sal,P_Cert_CertIII_IV_MOD,P_Cert_CertIII_IV_Lab,P_Cert_CertIII_IV_IDNS,P_Cert_CertIII_IV_Tot,P_Cert_CertI_II_Mng,P_Cert_CertI_II_Pro,P_Cert_CertI_II_TTW,P_Cert_CertI_II_CPS,P_Cert_CertI_II_CA,P_Cert_CertI_II_Sal,P_Cert_CertI_II_MOD,P_Cert_CertI_II_Lab,P_Cert_CertI_II_IDNS,P_Cert_CertI_II_Tot,P_Cert_Cert_nfd_Mng,P_Cert_Cert_nfd_Pro,P_Cert_Cert_nfd_TTW,P_Cert_Cert_nfd_CPS,P_Cert_Cert_nfd_CA,P_Cert_Cert_nfd_Sal,P_Cert_Cert_nfd_MOD,P_Cert_Cert_nfd_Lab,P_Cert_Cert_nfd_IDNS,P_Cert_Cert_nfd_Tot,P_LE_ID_Mng,P_LE_ID_Pro,P_LE_ID_TTW,P_LE_ID_CPS,P_LE_ID_CA,P_LE_ID_Sal,P_LE_ID_MOD,P_LE_ID_Lab,P_LE_ID_IDNS,P_LE_ID_Tot,P_LE_NS_Mng,P_LE_NS_Pro,P_LE_NS_TTW,P_LE_NS_CPS,P_LE_NS_CA,P_LE_NS_Sal,P_LE_NS_MOD,P_LE_NS_Lab,P_LE_NS_IDNS,P_LE_NS_Tot,P_Tot_Mng,P_Tot_Pro,P_Tot_TTW,P_Tot_CPS,P_Tot_CA,P_Tot_Sal,P_Tot_MOD,P_Tot_Lab,P_Tot_IDNS,P_Tot_Tot
UCL215092,0,4,3,0,0,0,0,3,0,12,4,3,3,9,0,4,0,0,0,26,12,0,57,25,13,8,15,16,0,151,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,13,20,32,71,47,20,19,15,21,0,252
UCL215093,10,12,7,9,7,0,0,0,0,44,10,9,5,19,23,8,0,8,0,91,41,5,156,21,19,26,21,30,6,328,3,0,3,4,0,3,0,0,0,18,0,0,0,3,9,5,0,0,0,20,0,3,0,0,0,0,0,0,0,4,3,4,3,0,0,8,0,0,0,20,91,155,181,75,80,54,30,42,14,721
UCL215094,8,7,5,14,5,4,0,3,0,48,13,11,6,28,13,5,3,9,0,91,35,11,167,56,28,15,37,40,10,395,0,0,3,0,3,3,0,5,0,18,4,3,0,11,3,8,0,3,0,29,0,0,0,0,0,0,0,0,0,5,0,3,4,8,3,3,6,7,9,42,92,111,193,127,75,39,45,71,18,771
UCL215095,0,8,0,3,3,0,0,0,0,18,8,8,0,13,11,6,0,3,0,47,10,4,59,18,12,4,14,21,0,147,0,0,0,0,3,0,0,4,0,11,0,0,3,0,4,3,0,0,0,13,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,3,0,8,24,63,62,51,47,15,23,28,0,311
UCL215096,3,6,0,3,0,0,0,0,0,14,3,5,0,12,4,0,0,7,0,32,13,3,54,26,7,8,15,22,3,158,0,0,0,0,0,4,0,0,0,4,3,0,0,3,0,0,0,3,0,13,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,7,43,72,62,48,20,25,19,37,6,320
UCL215097,0,7,0,6,0,0,0,0,0,10,5,10,5,4,0,0,0,3,0,31,11,6,45,11,4,6,13,16,3,103,0,0,0,0,3,0,0,3,0,9,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,0,5,4,0,0,3,0,4,20,24,75,55,37,15,10,20,19,9,262
UCL221001,4,3,0,7,0,0,0,0,0,14,3,0,0,5,3,3,0,3,0,21,12,6,54,14,14,4,9,14,3,126,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,42,62,30,26,13,13,25,3,232
UCL221002,3,8,8,3,0,0,0,0,0,19,7,11,3,3,0,0,0,0,0,24,18,3,39,7,9,5,12,15,0,107,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,42,56,47,20,21,8,11,38,8,244
UCL221003,3,6,0,0,0,0,0,3,0,14,4,3,0,7,3,4,0,3,0,23,7,3,29,13,3,0,10,14,0,72,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,3,0,15,27,36,28,30,14,8,11,25,4,183
UCL221004,3,3,0,3,3,0,0,0,0,15,0,10,0,11,3,0,0,0,0,26,0,0,33,5,11,8,7,13,3,85,0,0,0,0,0,3,0,0,0,4,0,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,6,12,35,36,27,26,12,15,17,3,175
UCL221005,3,0,6,0,4,0,0,0,0,17,3,7,7,4,3,0,0,6,0,30,9,5,53,6,13,3,6,6,3,100,3,0,0,0,0,0,0,0,0,8,0,0,0,0,3,0,0,0,0,4,0,3,0,0,0,0,0,0,0,4,0,0,0,0,7,3,0,3,0,17,44,64,59,13,33,17,7,19,4,266
UCL221006,3,3,0,5,0,3,0,0,0,8,0,0,0,3,3,0,0,0,0,12,17,6,23,7,4,5,7,6,0,73,0,0,0,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,5,38,48,29,14,18,9,10,6,0,177
UCL221007,0,3,3,8,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,3,4,5,28,8,5,3,6,4,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,25,41,36,18,19,8,10,12,0,169
UCL221008,0,3,0,0,5,3,0,0,0,11,0,3,3,4,3,0,0,0,0,16,4,5,19,15,0,6,7,12,0,65,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,9,6,35,27,24,14,8,11,18,7,150
UCL221009,3,3,0,0,0,0,0,0,0,4,0,4,0,6,0,0,0,0,0,11,12,3,20,5,0,0,4,5,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,3,0,15,36,44,18,21,11,7,12,13,4,155
UCL221010,0,6,0,5,0,0,0,0,0,11,4,3,3,7,0,0,0,0,0,19,3,0,47,6,7,5,3,10,0,77,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,7,11,48,63,23,18,5,3,12,4,179
UCL221011,3,3,0,3,0,0,0,0,0,11,0,0,4,6,6,4,0,6,0,23,4,0,20,12,4,0,8,3,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,13,13,28,29,24,13,6,5,10,0,132
UCL221012,0,7,0,3,0,0,0,0,0,18,0,3,0,0,4,0,0,0,0,13,16,3,40,8,3,3,5,0,0,82,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,7,24,60,47,17,19,6,4,9,0,194
UCL221013,3,3,0,0,0,0,0,0,0,13,7,4,0,4,4,0,0,0,0,19,8,3,24,6,9,0,3,0,0,58,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,7,33,41,30,20,17,3,4,3,3,150
UCL221014,3,0,3,0,3,0,0,0,0,14,0,0,0,7,3,5,0,0,0,18,6,0,40,11,4,6,4,11,0,88,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,4,0,11,17,27,49,22,19,15,12,20,5,188
UCL221015,0,7,0,0,0,3,0,0,0,11,4,7,3,8,3,3,0,0,0,29,9,6,38,14,6,6,0,7,0,80,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,8,26,72,48,35,12,22,3,10,0,230
UCL221016,5,3,0,4,0,0,0,3,0,15,4,3,4,4,5,0,0,0,0,25,8,0,28,13,13,7,4,8,0,73,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,36,28,25,27,8,10,14,0,174
UCL221017,3,0,4,0,3,0,0,0,0,10,4,6,0,3,4,0,0,0,0,18,11,3,43,13,5,6,12,20,3,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,5,0,12,28,34,46,20,20,16,14,25,0,206
UCL221018,0,13,0,3,0,0,0,0,0,22,4,0,0,3,0,0,0,0,0,17,14,6,32,10,9,11,10,13,3,101,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,3,5,0,0,3,0,3,4,0,0,17,27,50,32,29,23,16,10,18,3,211
UCL221019,9,5,0,3,0,3,0,3,0,24,3,3,5,6,5,3,3,3,0,40,14,10,42,16,8,12,3,9,0,123,3,0,3,3,0,0,0,4,0,13,3,3,0,3,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,3,3,0,3,0,3,11,0,18,40,82,65,43,31,26,9,37,3,334
UCL221020,0,8,0,4,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,9,6,0,38,19,12,12,9,11,3,106,0,0,0,4,0,0,0,4,0,7,0,0,0,3,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,18,21,47,32,16,17,11,16,3,177
UCL221021,0,3,0,0,0,0,0,0,0,11,3,3,3,0,3,0,0,3,0,20,3,4,41,6,0,12,10,9,0,83,0,0,0,3,0,0,0,0,0,7,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,11,32,41,15,9,14,13,19,0,155
UCL221022,0,3,0,0,0,0,0,0,0,5,3,0,3,6,3,0,0,0,0,19,6,3,22,10,0,3,10,10,0,67,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,10,11,23,32,23,12,9,12,17,3,136
UCL221023,3,4,3,4,0,0,0,0,0,15,0,0,6,3,3,0,0,0,0,17,13,3,20,11,3,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,36,40,39,24,12,4,0,6,4,164
UCL221024,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,10,4,0,9,8,3,3,3,4,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,6,15,18,16,7,8,3,9,0,70
UCL221025,8,3,0,7,0,0,0,0,0,15,0,5,0,4,5,0,0,0,0,12,8,7,25,10,13,10,7,9,0,91,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,32,57,25,32,25,16,8,11,4,211
UCL221026,0,3,3,8,5,0,0,0,0,22,0,3,0,3,0,0,0,0,0,12,15,3,50,16,7,10,7,11,3,120,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,9,0,0,3,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,14,33,51,61,31,26,10,15,17,5,250
UCL221027,0,5,0,4,0,0,0,5,0,12,4,3,0,3,4,0,0,0,0,13,12,0,16,5,11,4,7,5,0,59,0,0,0,0,3,0,0,0,0,6,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,21,38,20,18,21,9,13,10,0,143
UCL221028,0,0,0,3,0,0,0,0,0,5,3,0,0,4,3,0,0,3,0,10,7,7,33,16,6,8,5,11,0,78,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,4,0,10,15,21,36,40,10,7,3,17,0,152
UCL221029,0,3,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,9,4,3,28,5,3,0,8,5,0,57,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,15,29,28,10,15,9,7,8,0,128
UCL221030,7,10,6,0,0,5,0,0,0,25,0,4,0,0,0,0,0,0,0,12,10,0,14,0,0,3,0,6,0,41,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,0,0,3,0,10,43,63,23,11,6,12,3,20,3,193
UCL221031,0,3,0,0,0,0,0,0,0,4,3,0,4,0,3,3,0,0,0,20,11,3,44,8,11,3,18,15,0,109,0,0,0,3,4,0,0,0,3,8,0,0,0,5,3,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,11,24,39,48,30,27,11,18,22,3,220
UCL221032,0,0,0,0,4,0,0,0,0,6,0,0,3,3,0,0,0,0,0,16,8,3,17,10,12,9,9,8,0,84,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,4,0,14,0,0,0,3,0,0,0,3,0,4,0,0,0,0,3,0,0,3,3,13,25,22,28,32,20,19,10,18,5,186
UCL221033,3,10,4,0,0,0,0,0,0,23,0,0,0,3,6,0,0,0,0,20,3,3,27,5,6,4,5,18,0,79,0,0,0,0,3,0,0,0,0,6,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,5,0,3,0,0,3,0,0,0,8,27,44,38,15,30,14,14,21,6,200
UCL221034,3,8,0,4,0,0,0,0,0,15,3,6,3,5,5,0,0,0,0,17,5,3,26,7,4,7,5,13,0,59,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,19,41,29,19,11,4,13,15,0,154
UCL221035,0,6,0,3,0,0,0,0,0,9,0,3,0,10,0,0,0,0,0,15,11,4,9,8,3,0,8,11,0,57,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,15,31,12,25,3,3,9,11,0,116
UCL221036,3,3,3,0,4,0,0,0,0,16,3,5,0,4,12,0,0,0,0,28,18,3,45,6,10,3,16,3,3,111,0,0,0,0,5,0,0,0,0,10,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,8,32,37,55,18,42,13,17,10,4,224
UCL221037,0,0,0,3,0,0,0,0,0,5,4,0,0,6,4,0,0,0,0,16,6,7,12,10,7,3,3,10,0,62,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,4,0,12,13,19,18,29,10,4,10,19,3,121
UCL221038,0,3,0,0,3,0,0,0,0,11,3,10,4,5,6,0,0,0,0,33,12,3,43,15,3,5,7,14,5,99,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,5,0,11,40,56,53,27,22,10,13,25,4,253
UCL221039,3,4,0,3,0,0,0,0,0,13,0,0,0,3,3,3,0,0,0,15,21,3,23,8,4,3,5,14,0,79,0,0,0,0,0,0,0,0,0,4,0,4,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,29,46,23,17,12,8,5,15,0,162
UCL221040,10,9,0,3,3,4,0,0,0,30,3,9,6,12,7,3,5,0,0,43,19,10,74,23,15,9,13,18,0,178,0,0,0,0,0,0,0,0,0,8,0,0,0,6,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,6,7,3,3,5,4,0,28,47,67,95,61,35,18,25,30,3,372
UCL221041,0,3,8,5,0,0,0,0,0,20,3,3,8,6,6,0,0,5,0,34,16,3,65,14,5,8,13,12,3,136,0,0,0,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,6,0,3,3,0,3,0,0,11,28,52,79,41,26,10,17,20,0,261
UCL221042,5,3,0,3,0,0,0,0,0,13,3,3,0,9,0,0,0,0,0,18,14,3,35,12,6,4,5,10,0,81,0,0,3,3,0,0,0,0,0,6,0,0,0,9,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,4,7,3,0,0,0,0,0,0,15,33,47,42,34,13,8,8,12,6,197
UCL221043,3,0,0,4,0,0,0,0,0,9,4,3,3,3,0,4,0,0,0,16,9,0,25,13,8,3,4,4,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,12,15,40,27,23,16,13,4,10,0,147
UCL221044,3,4,3,3,3,0,0,0,0,15,0,0,3,5,3,0,0,3,0,13,4,3,38,10,6,4,14,9,0,92,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,31,47,25,21,6,15,19,0,175
UCL221045,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,7,3,0,18,6,3,3,3,11,3,48,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,10,10,10,16,15,3,7,3,8,4,78
UCL221046,0,7,0,0,0,0,0,3,0,11,3,5,3,3,0,0,0,0,0,19,18,0,26,11,0,11,3,8,0,79,0,0,0,4,0,3,0,0,0,11,3,0,0,3,3,7,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,3,0,6,35,46,47,31,15,20,3,19,3,217
UCL221047,3,0,0,0,3,0,0,0,0,6,3,0,0,6,0,0,0,0,0,10,14,8,35,19,3,8,7,10,0,95,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,0,0,3,0,15,31,65,41,31,16,6,13,20,0,230
UCL221048,3,0,0,3,0,0,0,0,0,12,5,3,4,14,5,0,0,0,0,29,6,7,58,23,11,11,15,11,3,145,0,0,0,3,3,0,0,3,0,12,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,4,0,0,0,6,26,63,68,52,33,22,15,28,3,296
UCL221049,0,0,0,3,0,0,0,0,0,8,4,3,0,3,3,0,0,0,0,19,20,3,48,9,7,0,6,3,0,97,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,12,35,38,53,13,21,13,7,11,3,198
UCL221050,0,9,3,0,7,0,0,0,3,24,11,4,3,14,0,3,0,0,0,34,19,3,36,13,9,12,11,10,0,124,0,4,4,0,0,0,0,3,0,11,0,0,0,0,4,3,0,0,0,13,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,0,13,46,82,50,43,36,29,11,23,4,319
UCL221051,0,3,0,0,0,0,0,0,0,11,3,0,8,8,3,3,0,0,0,26,15,0,44,10,10,11,9,3,0,97,0,0,0,0,0,0,0,0,0,4,0,3,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,6,35,74,56,20,29,19,10,11,0,255
UCL221052,0,6,0,4,3,0,0,0,0,12,0,6,4,11,3,0,0,0,0,25,13,5,18,5,11,4,3,16,0,86,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,8,17,37,32,19,22,11,8,18,3,169
UCL221053,0,3,0,4,0,0,0,0,0,8,0,0,3,7,0,0,0,0,0,10,11,3,20,18,3,3,3,4,3,71,0,0,0,0,0,0,0,4,0,8,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,3,0,10,23,37,25,31,11,7,9,8,4,159
UCL221054,3,3,0,3,6,0,0,0,0,13,3,5,0,7,4,0,0,3,0,24,10,6,44,11,11,4,12,7,0,98,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,13,17,27,55,22,25,12,14,12,6,185
UCL221055,3,3,0,0,0,0,0,0,0,9,4,3,4,11,6,3,3,0,0,33,11,3,23,11,7,4,11,11,0,90,3,0,0,0,3,0,0,0,0,8,0,0,3,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,13,27,59,35,30,25,3,15,21,3,224
UCL221056,0,3,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,3,0,25,16,3,3,8,13,0,73,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,13,29,28,28,11,10,10,16,0,139
UCL221057,0,5,0,0,0,0,0,0,0,12,0,4,0,8,0,0,0,0,0,17,7,0,31,4,5,3,4,9,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,34,39,27,13,9,5,15,0,154
UCL221058,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,0,16,8,0,55,11,10,9,20,3,0,110,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,3,6,19,11,53,19,15,12,27,12,3,182
UCL221059,0,3,0,0,0,0,0,0,0,8,3,6,0,15,3,0,0,3,0,28,14,3,40,6,3,5,3,8,0,93,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,9,39,39,48,27,18,11,7,19,0,211
UCL221060,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,9,3,3,18,5,8,3,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,25,17,15,13,6,3,3,0,92
UCL221061,0,0,0,0,0,0,0,0,0,8,0,3,7,14,9,0,0,3,0,31,6,0,32,7,11,0,10,9,3,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,3,3,21,8,13,37,31,21,7,22,15,9,165
UCL221062,3,0,0,0,0,0,0,0,0,10,5,3,0,6,3,0,0,0,0,19,13,3,23,13,3,3,4,7,0,76,0,0,0,0,3,0,4,0,0,8,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,13,26,32,33,23,15,6,7,15,3,160
UCL221063,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,10,8,0,14,10,4,11,3,4,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,9,13,28,23,13,5,7,7,4,0,105
UCL221064,0,0,0,0,0,0,0,0,0,5,4,3,5,8,10,3,3,6,0,41,14,0,55,13,5,3,10,9,0,115,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,9,31,32,58,28,30,12,14,17,0,228
UCL221065,0,0,0,3,0,3,0,0,0,14,3,3,0,5,7,3,0,0,0,20,7,9,22,10,13,7,9,10,0,86,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,5,12,30,26,27,27,20,9,19,3,170
UCL221066,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,10,9,0,15,8,3,3,5,9,3,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,13,10,12,17,21,6,9,9,18,3,108
UCL221067,3,3,0,0,0,0,0,3,0,12,4,8,3,9,3,0,0,0,0,31,3,0,47,11,9,4,3,8,4,92,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,22,60,52,38,15,17,7,20,3,235
UCL221068,5,5,0,6,3,0,0,0,0,11,3,3,4,11,7,0,0,3,0,32,10,8,37,10,11,6,12,20,3,113,3,0,0,0,3,0,0,3,0,11,0,0,0,3,3,0,0,0,0,10,0,0,3,0,0,0,0,0,0,8,0,0,3,0,3,0,0,0,3,16,28,56,53,37,25,12,18,25,3,253
UCL221069,4,3,4,12,3,0,0,3,0,31,7,9,5,16,5,0,3,4,0,57,28,4,108,29,16,10,15,31,6,258,0,0,0,0,0,7,3,0,0,10,0,3,0,6,3,0,4,0,0,17,0,0,0,0,0,0,0,0,0,0,3,7,0,5,0,0,3,3,3,29,67,129,129,72,47,25,29,43,11,557
UCL221070,0,4,0,4,0,0,0,0,0,8,3,3,3,7,0,0,0,3,0,21,10,3,35,5,3,3,14,7,0,82,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,12,22,44,38,20,16,9,14,24,0,186
