UCL_CODE_2016,Ag_For_Fish_OcMngr,Ag_For_Fish_OcProf,Ag_For_Fish_OcTechTrdW,Ag_For_Fish_OcComPerS,Ag_For_Fish_OcClericAdm,Ag_For_Fish_OcSalesWk,Ag_For_Fish_OcMacOp_Driv,Ag_For_Fish_OcLab,Ag_For_Fish_OcID_NS,Agri_for_fish_Tot,Mining_OcMngr,Mining_OcProf,Mining_OcTechTrdW,Mining_OcComPerS,Mining_OcClericAdm,Mining_OcSalesWk,Mining_OcMacOp_Driv,Mining_OcLab,Mining_OcID_NS,Mining_Tot,Manufact_OcMngr,Manufact_OcProf,Manufact_OcTechTrdW,Manufact_OcComPerS,Manufact_OcClericAdm,Manufact_OcSalesWk,Manufact_OcMacOp_Driv,Manufact_OcLab,Manufact_OcID_NS,Manufacturing_Tot,El_Gas_W_W_OcMngr,El_Gas_W_W_OcProf,El_Gas_W_W_OcTechTrdW,El_Gas_W_W_OcComPerS,El_Gas_W_W_OcClericAdm,El_Gas_W_W_OcSalesWk,El_Gas_W_W_OcMacOp_Driv,El_Gas_W_W_OcLab,El_Gas_W_W_OcID_NS,El_Gas_W_W_Tot,Construc_OcMngr,Construc_OcProf,Construc_OcTechTrdW,Construc_OcComPerS,Construc_OcClericAdm,Construc_OcSalesWk,Construc_OcMacOp_Driv,Construc_OcLab,Construc_OcID_NS,Construction_Tot,WhlesaleTde_OcMngr,WhlesaleTde_OcProf,WhlesaleTde_OcTechTrdW,WhlesaleTde_OcComPerS,WhlesaleTde_OcClericAdm,WhlesaleTde_OcSalesWk,WhlesaleTde_OcMacOp_Driv,WhlesaleTde_OcLab,WhlesaleTde_OcID_NS,WhlesaleTde_Tot,RetTde_OcMngr,RetTde_OcProf,RetTde_OcTechTrdW,RetTde_OcComPerS,RetTde_OcClericAdm,RetTde_OcSalesWk,RetTde_OcMacOp_Driv,RetTde_OcLab,RetTde_OcID_NS,RetTde_Tot,Acom_food_OcMngr,Acom_food_OcProf,Acom_food_OcTechTrdW,Acom_food_OcComPerS,Acom_food_OcClericAdm,Acom_food_OcSalesWk,Acom_food_OcMacOp_Driv,Acom_food_OcLab,Acom_food_OcID_NS,Acom_food_scs_Tot,Trans_po_wh_OcMngr,Trans_po_wh_OcProf,Trans_po_wh_OcTechTrdW,Trans_po_wh_OcComPerS,Trans_po_wh_OcClericAdm,Trans_po_wh_OcSalesWk,Trans_po_wh_OcMacOp_Driv,Trans_po_wh_OcLab,Trans_po_wh_OcID_NS,Trans_po_wh_Tot,Infon_med_tel_OcMngr,Infon_med_tel_OcProf,Infon_med_tel_OcTechTrdW,Infon_med_tel_OcComPerS,Infon_med_tel_OcClericAdm,Infon_med_tel_OcSalesWk,Infon_med_tel_OcMacOp_Driv,Infon_med_tel_OcLab,Infon_med_tel_OcID_NS,Infon_med_tel_Tot,Fin_and_ins_s_OcMngr,Fin_and_ins_s_OcProf,Fin_and_ins_s_OcTechTrdW,Fin_and_ins_s_OcComPerS,Fin_and_ins_s_OcClericAdm,Fin_and_ins_s_OcSalesWk,Fin_and_ins_s_OcMacOp_Driv,Fin_and_ins_s_OcLab,Fin_and_ins_s_OcID_NS,Fin_and_ins_s_Tot,Rent_hi_re_es_OcMngr,Rent_hi_re_es_OcProf,Rent_hi_re_es_OcTechTrdW,Rent_hi_re_es_OcComPerS,Rent_hi_re_es_OcClericAdm,Rent_hi_re_es_OcSalesWk,Rent_hi_re_es_OcMacOp_Driv,Rent_hi_re_es_OcLab,Rent_hi_re_es_OcID_NS,Rent_hi_re_es_Tot,Prof_sci_tec_OcMngr,Prof_sci_tec_OcProf,Prof_sci_tec_OcTechTrdW,Prof_sci_tec_OcComPerS,Prof_sci_tec_OcClericAdm,Prof_sci_tec_OcSalesWk,Prof_sci_tec_OcMacOp_Driv,Prof_sci_tec_OcLab,Prof_sci_tec_OcID_NS,Prof_sci_tec_Tot,Admin_sup_s_OcMngr,Admin_sup_s_OcProf,Admin_sup_s_OcTechTrdW,Admin_sup_s_OcComPerS,Admin_sup_s_OcClericAdm,Admin_sup_s_OcSalesWk,Admin_sup_s_OcMacOp_Driv,Admin_sup_s_OcLab,Admin_sup_s_OcID_NS,Admin_sup_s_Tot,Pub_adm_sfty_OcMngr,Pub_adm_sfty_OcProf,Pub_adm_sfty_OcTechTrdW,Pub_adm_sfty_OcComPerS,Pub_adm_sfty_OcClericAdm,Pub_adm_sfty_OcSalesWk,Pub_adm_sfty_OcMacOp_Driv,Pub_adm_sfty_OcLab,Pub_adm_sfty_OcID_NS,Pub_adm_sfty_Tot,Educ_training_OcMngr,Educ_training_OcProf,Educ_training_OcTechTrdW,Educ_training_OcComPerS,Educ_training_OcClericAdm,Educ_training_OcSalesWk,Educ_training_OcMacOp_Driv,Educ_training_OcLab,Educ_training_OcID_NS,Educ_training_Tot,Hlth_care_soc_OcMngr,Hlth_care_soc_OcProf,Hlth_care_soc_OcTechTrdW,Hlth_care_soc_OcComPerS,Hlth_care_soc_OcClericAdm,Hlth_care_soc_OcSalesWk,Hlth_care_soc_OcMacOp_Driv,Hlth_care_soc_OcLab,Hlth_care_soc_OcID_NS,Hlth_care_soc_Tot,ArtRecreatOcMngr,ArtRecreatOcProf,ArtRecreatOcTechTrdW,ArtRecreatOcComPerS,ArtRecreatOcClericAdm,ArtRecreatOcSalesWk,ArtRecreatOcMacOp_Driv,ArtRecreatOcLab,ArtRecreatOcID_NS,ArtRecreatTot,Other_scs_OcMngr,Other_scs_OcProf,Other_scs_OcTechTrdW,Other_scs_OcCom_PS_W,Other_scs_OcClericAdmin,Other_scs_OcSalesWk,Other_scs_OcMacOp_Driv,Other_scs_OcLab,Other_scs_OcID_NS,Other_scs_Tot,ID_NS_OcMngr,ID_NS_OcProf,ID_NS_OcTechTrdW,ID_NS_OcComPerS,ID_NS_OcClericAdm,ID_NS_OcSalesWk,ID_NS_OcMacOp_Driv,ID_NS_OcLab,ID_NS_OcID_NS,ID_NS_Tot
UCL215005,7,0,3,0,0,0,0,5,0,16,3,0,3,0,0,0,3,0,0,8,7,6,13,0,7,0,9,9,3,53,0,3,3,0,3,0,3,0,0,11,9,3,49,0,7,0,15,34,0,111,3,3,3,0,6,4,0,0,0,19,12,0,5,0,3,40,3,4,0,65,11,0,3,18,0,10,0,13,0,58,7,4,8,0,8,0,31,3,0,55,4,8,4,0,0,0,0,0,0,19,4,3,0,0,11,0,0,0,0,20,0,0,3,0,3,3,0,0,0,12,11,22,0,0,14,0,0,0,0,59,3,6,3,3,4,0,0,3,0,25,9,11,4,22,26,0,0,11,5,81,7,44,0,16,12,0,0,5,0,83,3,39,4,47,17,0,0,9,0,124,3,3,0,0,0,0,0,4,0,13,0,3,11,4,4,0,0,0,0,27,3,4,18,4,6,0,4,5,3,50
UCL215006,15,0,3,0,0,0,4,11,0,31,3,0,3,0,0,0,0,0,0,7,18,12,12,0,4,3,12,11,0,70,3,0,0,0,0,0,0,0,0,4,21,4,78,0,10,0,0,19,0,135,8,4,0,0,3,0,0,3,0,17,13,9,0,0,5,58,3,8,0,95,10,0,11,20,3,3,0,11,0,60,8,0,4,0,0,0,14,3,0,31,0,3,0,0,0,0,0,0,0,4,3,10,0,0,9,3,0,0,0,22,0,0,0,0,0,3,0,0,0,11,3,34,8,0,14,0,0,0,0,72,3,4,10,5,7,0,0,19,0,47,5,15,8,15,16,0,0,0,3,54,12,96,7,8,10,0,0,0,0,143,5,60,5,47,18,0,0,3,0,138,0,8,3,3,3,0,0,5,0,23,3,4,10,3,7,0,0,3,0,33,6,6,11,3,8,3,0,4,3,39
UCL215007,18,7,9,0,4,0,3,10,0,47,0,0,3,0,0,0,8,0,0,17,26,11,83,0,12,19,35,34,6,225,5,0,5,0,9,0,4,0,0,29,30,0,150,0,15,7,29,43,3,267,7,7,11,0,13,17,12,7,0,62,36,9,27,0,26,140,15,22,0,271,17,0,13,32,3,23,0,34,0,118,16,3,7,0,32,3,68,8,0,132,3,5,7,0,15,0,0,0,0,35,3,11,0,0,33,0,0,0,0,48,5,0,5,0,7,10,4,0,0,27,3,27,20,0,28,0,3,0,0,80,5,4,10,6,7,0,3,18,0,54,12,19,10,81,31,0,0,11,4,170,19,118,12,33,24,3,0,3,0,209,13,98,23,113,50,0,0,14,0,312,4,3,3,4,3,0,0,0,0,17,8,11,56,13,4,0,0,8,0,105,10,4,20,4,9,11,9,16,24,109
UCL215008,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,19,9,28,0,8,3,7,23,0,99,0,0,3,0,0,0,0,0,0,5,10,0,49,4,3,0,10,9,0,82,0,0,5,0,0,0,0,0,0,17,16,3,3,0,0,47,7,5,0,85,9,0,3,10,3,5,0,6,0,37,0,0,0,0,6,3,18,0,0,30,0,0,0,0,0,0,0,0,0,3,0,4,0,0,10,0,0,0,0,18,0,0,0,0,5,7,0,0,0,13,0,19,3,0,8,0,0,0,0,28,3,5,6,4,4,0,0,8,0,22,17,20,16,34,37,0,3,0,3,123,10,53,0,11,6,0,0,0,0,81,3,66,6,29,20,5,3,8,0,139,0,0,3,6,0,0,0,0,0,8,0,0,17,3,3,0,0,0,0,32,9,0,7,3,5,3,0,3,8,41
UCL215009,11,0,3,0,0,0,7,15,0,43,0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,3,5,11,0,30,0,0,0,0,3,0,0,0,0,8,3,0,14,0,3,0,0,6,0,23,0,0,0,0,0,3,0,0,0,6,0,0,10,0,0,34,4,4,0,51,4,0,0,11,0,0,0,10,0,26,0,0,0,0,3,0,12,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,3,0,0,0,0,7,0,11,0,0,0,3,12,0,3,0,0,20,0,7,0,3,0,0,0,0,0,15,3,13,0,15,3,0,0,8,0,40,0,0,0,3,0,0,0,3,0,8,0,0,14,0,0,0,0,0,0,10,0,3,5,0,0,0,3,5,3,22
UCL215010,5,0,3,0,3,0,0,0,0,14,3,0,0,0,0,0,0,0,0,8,29,11,29,0,17,12,4,5,0,114,0,0,3,0,6,0,0,0,0,8,28,0,109,0,32,0,14,25,6,209,15,6,3,0,6,6,3,0,0,41,18,7,10,0,3,55,3,6,0,100,8,0,5,21,4,23,0,13,0,66,4,0,6,3,4,0,16,0,0,35,3,3,0,0,0,0,0,0,0,11,6,14,0,0,9,0,0,0,0,30,0,3,0,0,4,5,0,0,0,17,12,27,3,0,19,0,0,0,0,62,0,0,4,0,8,0,5,16,0,31,5,9,3,14,5,0,0,0,0,39,13,72,0,23,9,0,0,0,0,114,11,45,0,25,14,0,0,4,0,97,9,0,7,8,9,0,0,0,0,26,5,0,26,5,6,0,0,0,0,44,12,3,9,0,7,3,0,3,15,56
UCL215011,10,0,0,0,0,3,3,7,0,25,0,0,0,0,0,0,0,0,0,0,4,0,10,3,0,5,0,4,0,32,0,0,0,0,0,0,0,0,0,5,0,0,7,0,3,0,3,8,0,19,0,0,0,0,0,0,3,0,0,3,8,0,4,0,0,27,0,7,0,42,7,0,3,5,0,0,0,7,0,26,3,0,0,0,3,0,3,3,0,16,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,4,3,0,6,0,0,0,0,12,0,0,0,0,0,0,3,9,0,11,0,0,0,11,8,0,3,5,3,33,0,16,0,3,0,0,0,0,0,20,3,11,0,21,3,0,0,9,0,51,0,0,0,0,0,0,0,3,0,5,0,0,7,4,0,0,0,0,0,18,0,0,3,0,3,0,5,0,11,18
UCL215012,11,0,3,0,3,0,0,8,0,25,0,0,0,0,0,0,3,0,0,6,18,5,38,5,3,17,12,22,0,120,0,0,3,0,0,0,0,0,0,3,13,0,46,0,3,0,3,17,3,81,3,3,0,0,0,3,0,0,0,10,19,7,6,0,0,75,0,8,0,122,48,0,21,42,6,3,3,26,0,142,3,0,3,0,13,0,22,0,0,38,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,5,3,0,0,10,0,28,7,0,5,0,0,0,0,45,9,3,3,3,3,0,0,17,3,42,24,28,3,50,25,0,5,0,0,143,15,98,0,12,10,0,0,3,0,144,11,121,9,69,22,0,0,18,0,252,4,7,0,0,0,0,0,0,0,18,0,9,15,5,3,0,0,3,0,34,3,7,3,4,10,0,0,7,8,39
UCL215013,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,15,4,27,3,8,9,14,9,0,88,0,3,0,0,3,0,0,0,0,7,8,6,55,0,9,3,12,14,0,109,6,8,3,0,11,6,4,3,0,38,13,0,3,0,12,42,0,3,3,77,9,0,0,7,4,7,0,10,0,38,4,0,3,5,23,10,40,7,0,97,3,0,0,0,0,0,0,0,0,7,0,6,0,0,14,0,0,0,0,20,0,0,0,0,3,11,0,0,0,13,0,11,3,0,9,0,0,0,0,32,3,3,3,3,9,0,0,10,0,25,7,3,3,18,16,0,0,3,0,63,3,26,3,19,3,0,0,0,0,60,3,30,3,35,12,0,3,0,0,87,3,3,3,4,0,0,0,0,0,16,0,0,17,5,3,0,0,0,0,37,4,6,9,4,15,8,3,9,7,68
UCL215014,0,0,3,0,0,0,9,4,0,15,0,0,0,0,0,0,0,0,0,0,8,0,18,0,15,0,20,11,3,76,0,0,0,0,3,0,3,5,3,16,5,0,55,0,7,0,15,21,0,103,3,0,6,0,11,4,7,0,0,26,10,0,3,0,3,26,4,8,0,59,4,0,0,8,3,3,0,10,0,32,5,0,0,3,8,0,17,3,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,0,4,4,0,0,0,12,0,7,0,0,10,0,0,0,0,16,0,3,3,4,3,0,0,7,0,22,4,4,3,12,9,0,0,3,0,35,3,16,0,12,4,0,0,0,0,36,4,17,8,22,11,0,0,4,0,65,0,0,0,0,0,0,0,3,0,9,0,0,16,3,0,3,0,5,0,29,3,0,10,0,3,3,5,9,4,39
UCL215015,4,0,0,0,0,0,3,15,0,27,0,0,0,0,0,0,0,0,0,0,5,4,16,8,3,9,3,10,0,43,0,0,0,0,0,0,0,0,0,3,13,0,57,0,6,0,8,6,0,86,3,0,0,0,0,3,0,6,0,9,22,4,0,0,0,46,3,3,0,88,62,0,28,38,12,4,3,50,3,205,0,0,0,0,8,3,15,0,0,29,3,0,0,0,0,0,0,0,0,6,7,5,0,0,9,0,0,0,0,21,3,0,7,0,3,16,0,0,0,25,7,31,8,0,18,0,0,0,0,63,4,0,6,4,0,0,0,23,0,44,4,10,3,12,10,0,3,3,0,52,3,45,0,10,3,3,0,0,0,72,4,38,0,31,16,0,0,5,0,89,3,6,3,0,0,3,0,0,0,14,3,3,11,0,0,0,0,3,0,26,5,0,5,3,3,4,0,3,11,40
UCL215016,6,0,0,0,0,0,3,8,0,18,0,0,3,0,0,0,7,0,0,9,23,11,49,0,16,11,45,82,3,241,7,0,0,0,3,0,10,3,0,19,10,0,107,0,11,0,34,43,4,211,11,4,9,0,10,15,4,3,0,52,21,3,13,0,9,96,3,10,0,156,20,0,10,24,0,19,0,21,0,95,8,0,3,0,21,4,69,8,0,114,0,0,0,0,0,0,0,0,0,11,0,6,0,0,14,0,0,0,0,25,0,0,0,0,0,10,0,3,0,23,3,18,5,0,11,0,3,0,3,47,0,3,16,3,8,0,0,22,0,60,13,16,7,49,27,0,7,12,0,130,7,50,4,29,3,0,0,4,0,110,0,51,8,73,27,0,0,12,0,178,5,0,4,8,3,0,0,3,0,22,3,3,33,13,3,0,0,11,0,59,0,4,24,6,10,11,11,6,14,84
UCL215017,10,0,0,0,5,5,4,7,0,28,0,0,3,0,0,0,0,0,0,4,10,3,24,3,7,3,14,9,0,69,0,0,5,0,3,0,4,0,0,11,20,3,76,0,17,0,21,16,4,157,5,3,3,0,5,6,4,3,0,28,13,0,4,5,8,39,4,3,0,83,6,0,3,16,0,8,0,15,0,51,5,0,3,3,3,3,23,0,0,40,0,0,7,0,0,0,0,0,0,13,0,0,0,0,7,0,0,0,0,11,3,0,3,0,4,3,0,0,0,15,3,12,6,0,9,0,0,0,0,33,0,0,3,5,4,0,3,6,0,23,3,8,0,12,16,0,0,3,0,36,3,42,3,15,9,0,0,0,0,69,4,39,3,31,15,0,0,7,0,98,5,0,0,0,0,0,0,0,0,6,3,0,31,3,7,0,0,3,0,51,0,0,14,0,0,0,5,3,5,33
UCL215018,22,4,12,0,3,5,9,39,0,99,0,0,0,0,0,0,0,0,0,0,12,7,27,0,7,3,14,41,0,111,0,3,3,0,0,0,5,3,0,9,11,0,49,0,9,0,4,11,0,86,0,3,0,0,3,6,4,3,0,24,22,0,11,0,3,84,0,8,0,130,16,0,10,18,0,10,0,14,0,71,7,0,0,0,8,0,27,0,0,48,0,3,3,0,3,0,0,0,0,13,0,3,0,0,10,0,0,0,0,14,0,0,0,0,0,3,0,0,0,9,0,13,6,0,16,0,0,3,0,42,0,0,9,0,7,0,0,12,0,30,11,18,13,14,13,0,10,7,0,80,6,74,3,24,3,0,0,4,0,115,6,65,5,71,22,0,3,15,4,186,0,0,0,0,0,0,0,0,0,8,3,3,21,3,8,0,0,4,0,49,3,4,7,4,3,3,4,7,7,45
UCL215019,0,5,3,0,0,0,0,6,0,9,4,0,0,0,0,0,0,0,0,3,8,0,8,0,3,0,0,0,0,31,3,0,0,0,3,0,0,3,0,9,11,0,92,0,4,4,9,13,0,131,4,0,3,0,0,3,0,0,0,14,7,0,6,0,3,55,4,0,0,74,9,4,9,16,4,3,0,18,0,68,4,0,0,0,3,3,9,0,0,17,0,5,0,0,3,0,0,0,0,5,0,0,0,0,7,0,0,0,0,7,0,0,0,0,5,3,0,0,0,9,3,22,13,0,7,0,0,0,0,44,0,0,7,0,0,0,0,9,0,22,6,7,4,14,5,0,0,0,0,40,6,64,3,7,3,0,0,0,0,91,0,27,6,25,13,0,0,3,0,74,5,18,5,14,4,8,0,3,0,55,0,0,10,3,0,0,0,0,0,19,9,3,4,0,0,0,3,5,3,23
UCL215020,12,3,5,0,0,0,8,23,0,60,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,8,0,0,0,0,0,0,0,3,0,4,0,0,11,0,3,0,0,4,0,25,0,0,3,0,0,3,6,0,0,10,13,0,3,0,0,35,0,6,0,59,6,0,7,7,0,0,0,8,0,29,4,0,0,0,3,0,12,0,0,19,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,6,0,0,0,6,3,0,4,10,0,23,4,18,0,10,9,0,0,4,0,43,3,25,5,27,9,0,0,15,0,93,0,0,0,0,0,0,0,0,0,3,0,0,9,3,0,0,0,3,0,18,0,0,0,3,3,0,0,0,7,13
UCL215021,3,0,4,0,0,0,3,3,0,14,0,0,0,0,0,0,0,0,0,0,11,0,19,5,0,0,10,36,0,75,0,0,0,0,0,0,3,0,0,4,0,0,21,0,3,0,6,5,0,39,0,0,3,0,0,0,0,6,0,14,13,0,3,4,0,41,5,4,0,82,7,0,0,6,0,4,0,10,0,35,3,0,0,0,10,0,19,0,0,41,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,5,0,3,0,0,3,0,0,0,0,8,0,0,3,0,0,0,0,3,0,9,4,6,0,13,18,0,0,5,0,45,0,12,0,4,8,0,0,0,0,30,4,28,4,23,6,0,3,0,0,77,0,0,0,0,0,0,0,0,0,4,0,0,20,0,5,0,0,0,0,20,0,0,4,3,0,3,0,0,9,29
UCL215022,5,0,7,0,0,0,3,19,0,35,3,3,8,0,0,0,5,0,0,22,10,7,33,0,0,11,15,15,3,95,11,11,37,4,8,0,11,7,0,90,6,3,72,0,4,0,19,18,0,126,4,0,3,0,3,8,8,0,0,26,22,3,15,3,13,125,7,21,0,214,11,0,15,33,0,27,0,40,0,131,0,0,0,0,12,5,30,5,0,55,0,3,3,0,5,6,0,0,0,17,3,7,0,0,8,0,0,0,0,21,0,0,0,0,10,3,0,0,0,13,7,15,18,0,11,0,0,3,0,54,0,0,4,3,8,0,3,37,0,57,6,13,3,41,36,0,0,12,9,119,9,90,13,49,28,0,0,3,0,181,5,83,12,83,30,0,0,12,4,231,0,0,4,0,3,0,0,5,3,15,3,4,24,4,6,3,0,3,0,46,3,0,12,3,3,0,6,8,15,50
UCL215023,17,6,3,0,3,3,6,28,3,73,0,0,0,0,0,0,3,0,0,3,11,3,13,0,3,6,29,43,0,103,0,0,0,0,0,0,3,0,0,3,6,0,20,0,0,0,6,11,0,50,0,0,4,0,0,3,3,4,0,17,12,0,0,0,3,49,0,13,0,90,8,0,5,6,0,0,0,9,0,29,3,0,0,0,0,0,25,0,0,35,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,6,0,0,6,0,0,0,0,15,0,0,0,0,3,0,0,6,0,9,0,3,3,3,3,3,0,4,0,18,0,20,3,12,3,0,0,3,0,47,0,20,8,36,3,0,0,10,0,85,0,0,3,3,0,0,0,0,0,6,0,0,16,3,0,0,0,0,0,23,3,0,7,0,0,4,4,5,3,28
UCL215024,32,0,10,0,0,0,5,22,0,61,3,0,4,0,0,0,5,4,0,23,6,3,5,0,3,5,10,4,0,38,3,0,4,0,7,0,12,10,0,29,11,0,29,0,5,0,9,10,0,69,0,0,3,0,0,8,0,0,0,18,11,3,3,4,3,40,0,9,0,78,10,0,3,12,0,0,0,4,0,32,0,0,0,0,8,3,20,0,0,30,0,0,0,0,0,0,0,0,0,0,0,9,0,0,8,0,0,0,0,16,0,0,0,0,3,3,0,0,0,5,0,4,0,0,8,0,0,3,0,19,0,0,0,0,0,0,0,6,0,12,0,3,0,10,3,0,0,3,0,27,3,30,3,6,3,0,0,3,0,48,4,19,5,30,8,0,0,8,0,79,3,0,0,0,0,0,0,0,0,7,0,0,21,3,0,0,0,0,0,27,4,0,3,0,4,0,3,0,6,27
UCL215025,20,0,3,0,0,0,3,18,0,42,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,6,4,0,19,3,0,20,0,0,0,3,0,0,26,3,0,8,0,0,0,11,5,3,29,3,0,0,0,0,0,0,0,0,7,10,0,0,0,0,23,0,8,0,37,5,0,6,8,0,3,0,13,0,40,3,0,0,0,7,0,12,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,0,10,0,5,0,3,3,0,3,3,0,18,3,29,0,4,3,0,0,0,0,37,7,19,3,22,4,0,0,3,0,57,0,3,0,3,0,0,0,7,0,10,0,0,17,0,3,0,0,3,0,27,4,0,3,0,0,0,0,10,0,21
UCL215026,7,3,0,0,0,0,3,5,3,26,3,0,0,0,0,0,0,0,0,5,18,0,16,3,5,8,5,11,0,62,6,3,8,0,4,0,4,0,0,21,26,0,111,0,19,5,17,28,3,208,11,0,0,0,3,13,3,3,0,35,34,6,14,0,11,128,4,19,0,218,66,0,56,65,20,5,3,67,0,281,7,0,3,3,8,0,30,0,0,58,3,4,3,0,0,0,0,0,0,14,3,4,0,0,9,0,0,0,0,15,6,0,0,0,14,32,0,0,0,47,0,18,5,0,20,4,0,0,0,52,7,3,13,3,5,3,0,47,0,77,11,5,9,23,13,0,0,3,0,67,4,69,0,17,4,0,0,0,0,102,7,65,9,85,28,0,0,12,0,202,9,22,10,21,9,18,0,18,3,106,0,3,30,3,3,0,0,4,0,52,8,3,7,3,8,3,0,5,16,53
UCL215027,4,0,8,0,0,0,4,12,0,29,0,0,3,0,0,0,0,0,0,3,7,4,32,0,3,7,14,15,0,86,0,0,0,0,3,0,0,0,0,6,9,0,57,0,9,0,9,13,0,89,3,0,0,0,0,0,4,3,0,12,16,0,12,0,8,59,3,9,0,109,14,0,11,27,0,10,0,20,0,83,4,0,0,0,13,3,20,0,0,45,0,3,4,0,3,0,0,0,0,12,3,3,0,0,4,0,0,0,0,10,0,0,6,0,0,0,0,0,0,12,3,12,10,0,6,0,0,4,0,40,0,3,3,3,10,0,0,15,0,36,7,5,0,20,18,0,4,0,0,50,4,42,3,19,3,0,0,3,0,79,9,48,5,44,21,0,0,15,3,145,0,3,7,0,3,0,0,0,0,16,3,3,30,3,0,0,0,3,0,51,4,3,8,0,0,3,0,6,12,43
UCL215028,12,0,4,0,0,0,4,6,0,21,0,0,0,0,0,0,0,0,0,0,15,3,25,4,3,4,4,16,0,69,0,4,3,0,0,0,0,4,0,9,21,4,60,0,9,4,8,18,0,116,6,4,0,0,0,7,3,0,0,26,39,7,8,0,3,67,0,12,0,143,67,3,59,54,10,6,0,68,3,272,0,3,0,0,11,4,18,5,0,45,3,6,3,0,3,0,0,0,0,19,3,3,0,0,10,0,0,0,0,17,0,0,0,0,3,7,0,0,0,15,11,36,7,0,16,0,0,0,0,69,3,0,13,3,5,0,0,34,0,58,9,22,8,21,27,0,3,0,0,92,9,80,0,11,11,0,0,0,0,113,8,79,5,97,25,3,0,21,0,236,7,20,3,4,0,0,0,3,0,41,3,4,15,12,3,0,0,3,0,42,12,7,5,9,4,5,3,7,10,60
UCL215029,7,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,3,10,3,25,0,16,0,16,11,0,76,0,0,0,0,5,0,0,0,0,4,13,3,52,0,6,4,8,17,0,102,0,0,6,0,12,7,6,0,0,41,24,9,9,3,15,55,7,9,0,115,6,0,5,14,0,15,7,18,0,62,13,5,3,8,34,8,49,4,0,122,3,6,0,0,7,0,0,0,0,16,0,13,0,0,16,3,0,0,0,34,3,0,0,0,3,8,0,0,0,18,3,22,10,0,16,0,3,0,0,52,4,3,3,6,7,3,3,13,0,49,3,13,10,24,20,0,3,5,3,86,3,43,0,23,9,0,0,3,3,80,5,29,3,46,18,0,0,3,0,104,5,3,0,3,0,0,0,0,0,20,0,0,35,4,7,0,0,3,0,52,3,5,11,7,11,6,3,8,17,62
UCL215030,6,4,0,0,0,3,3,12,0,28,0,0,0,0,0,0,3,0,0,3,4,0,12,0,0,4,3,13,0,45,3,0,0,0,0,0,0,0,0,10,0,0,18,0,0,0,3,7,0,32,0,0,0,0,0,0,0,0,0,8,10,0,3,0,3,24,0,0,0,40,3,0,7,4,0,3,0,3,0,13,3,0,0,0,3,0,41,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,9,0,0,0,0,10,0,0,0,3,0,0,0,3,0,8,3,0,0,14,3,0,4,3,3,29,3,26,0,4,8,0,3,0,0,48,7,27,0,40,5,0,0,11,0,95,0,4,0,0,0,0,0,0,0,3,0,0,9,3,0,0,0,0,0,9,0,3,0,0,3,0,0,0,7,24
UCL215031,20,0,0,0,0,3,5,17,0,45,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,7,0,17,0,0,0,0,0,0,0,3,0,3,7,0,16,0,6,0,3,0,0,36,0,0,3,0,0,8,5,5,0,29,9,0,3,0,5,29,0,8,0,66,16,0,3,9,0,0,0,18,0,45,3,0,3,0,5,0,17,6,0,36,0,4,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,10,0,0,0,0,4,0,0,5,0,10,3,0,7,5,0,0,4,3,0,25,3,35,0,9,0,0,0,0,0,50,0,28,3,25,6,0,0,11,0,67,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,17,0,0,0,0,0,0,3,0,3,15
