UCL_CODE_2016,NegNil_inc_Emp_WFT,NegNil_inc_Emp_WPT,NegNil_inc_Emp_AW,NegNil_inc_E_T,NegNil_inc_UnE_lfw_FTW,NegNil_inc_UnE_lfw_PTW,NegNil_inc_UnE_lfw_Tot,NegNil_inc_T_LF,NegNil_inc_Notin_LF,NegNil_inc_LF_sta_NS,NegNil_inc_Tot,I_1_149_Emp_WFT,I_1_149_Emp_WPT,I_1_149_Emp_AW,I_1_149_E_T,I_1_149_UnE_lfw_FTW,I_1_149_UnE_lfw_PTW,I_1_149_UnE_lfw_Tot,I_1_149_T_LF,I_1_149_Notin_LF,I_1_149_LF_sta_NS,I_1_149_Tot,I_150_299_Emp_WFT,I_150_299_Emp_WPT,I_150_299_Emp_AW,I_150_299_E_T,I_150_299_UnE_lfw_FTW,I_150_299_UnE_lfw_PTW,I_150_299_UnE_lfw_Tot,I_150_299_T_LF,I_150_299_Notin_LF,I_150_299_LF_sta_NS,I_150_299_Tot,I_300_399_Emp_WFT,I_300_399_Emp_WPT,I_300_399_Emp_AW,I_300_399_E_T,I_300_399_UnE_lfw_FTW,I_300_399_UnE_lfw_PTW,I_300_399_UnE_lfw_Tot,I_300_399_T_LF,I_300_399_Notin_LF,I_300_399_LF_sta_NS,I_300_399_Tot,I_400_499_Emp_WFT,I_400_499_Emp_WPT,I_400_499_Emp_AW,I_400_499_E_T,I_400_499_UnE_lfw_FTW,I_400_499_UnE_lfw_PTW,I_400_499_UnE_lfw_Tot,I_400_499_T_LF,I_400_499_Notin_LF,I_400_499_LF_sta_NS,I_400_499_Tot,I_500_649_Emp_WFT,I_500_649_Emp_WPT,I_500_649_Emp_AW,I_500_649_E_T,I_500_649_UnE_lfw_FTW,I_500_649_UnE_lfw_PTW,I_500_649_UnE_lfw_Tot,I_500_649_T_LF,I_500_649_Notin_LF,I_500_649_LF_sta_NS,I_500_649_Tot,I_650_799_Emp_WFT,I_650_799_Emp_WPT,I_650_799_Emp_AW,I_650_799_E_T,I_650_799_UnE_lfw_FTW,I_650_799_UnE_lfw_PTW,I_650_799_UnE_lfw_Tot,I_650_799_T_LF,I_650_799_Notin_LF,I_650_799_LF_sta_NS,I_650_799_Tot,I_800_999_Emp_WFT,I_800_999_Emp_WPT,I_800_999_Emp_AW,I_800_999_E_T,I_800_999_UnE_lfw_FTW,I_800_999_UnE_lfw_PTW,I_800_999_UnE_lfw_Tot,I_800_999_T_LF,I_800_999_Notin_LF,I_800_999_LF_sta_NS,I_800_999_Tot,I_1000_1249_Emp_WFT,I_1000_1249_Emp_WPT,I_1000_1249_Emp_AW,I_1000_1249_E_T,I_1000_1249_UnE_lfw_FTW,I_1000_1249_UnE_lfw_PTW,I_1000_1249_UnE_lfw_Tot,I_1000_1249_T_LF,I_1000_1249_Notin_LF,I_1000_1249_LF_sta_NS,I_1000_1249_Tot,I_1250_1499_Emp_WFT,I_1250_1499_Emp_WPT,I_1250_1499_Emp_AW,I_1250_1499_E_T,I_1250_1499_UnE_lfw_FTW,I_1250_1499_UnE_lfw_PTW,I_1250_1499_UnE_lfw_Tot,I_1250_1499_T_LF,I_1250_1499_Notin_LF,I_1250_1499_LF_sta_NS,I_1250_1499_Tot,I_1500_1749_Emp_WFT,I_1500_1749_Emp_WPT,I_1500_1749_Emp_AW,I_1500_1749_E_T,I_1500_1749_UnE_lfw_FTW,I_1500_1749_UnE_lfw_PTW,I_1500_1749_UnE_lfw_Tot,I_1500_1749_T_LF,I_1500_1749_Notin_LF,I_1500_1749_LF_sta_NS,I_1500_1749_Tot,I_1750_1999_Emp_WFT,I_1750_1999_Emp_WPT,I_1750_1999_Emp_AW,I_1750_1999_E_T,I_1750_1999_UnE_lfw_FTW,I_1750_1999_UnE_lfw_PTW,I_1750_1999_UnE_lfw_Tot,I_1750_1999_T_LF,I_1750_1999_Notin_LF,I_1750_1999_LF_sta_NS,I_1750_1999_Tot,I_2000_2499_Emp_WFT,I_2000_2499_Emp_WPT,I_2000_2499_Emp_AW,I_2000_2499_E_T,I_2000_2499_UnE_lfw_FTW,I_2000_2499_UnE_lfw_PTW,I_2000_2499_UnE_lfw_Tot,I_2000_2499_T_LF,I_2000_2499_Notin_LF,I_2000_2499_LF_sta_NS,I_2000_2499_Tot,I_2500_2999_Emp_WFT,I_2500_2999_Emp_WPT,I_2500_2999_Emp_AW,I_2500_2999_E_T,I_2500_2999_UnE_lfw_FTW,I_2500_2999_UnE_lfw_PTW,I_2500_2999_UnE_lfw_Tot,I_2500_2999_T_LF,I_2500_2999_Notin_LF,I_2500_2999_LF_sta_NS,I_2500_2999_Tot,I_3000_3499_Emp_WFT,I_3000_3499_Emp_WPT,I_3000_3499_Emp_AW,I_3000_3499_E_T,I_3000_3499_UnE_lfw_FTW,I_3000_3499_UnE_lfw_PTW,I_3000_3499_UnE_lfw_Tot,I_3000_3499_T_LF,I_3000_3499_Notin_LF,I_3000_3499_LF_sta_NS,I_3000_3499_Tot,I_3500_3999_Emp_WFT,I_3500_3999_Emp_WPT,I_3500_3999_Emp_AW,I_3500_3999_E_T,I_3500_3999_UnE_lfw_FTW,I_3500_3999_UnE_lfw_PTW,I_3500_3999_UnE_lfw_Tot,I_3500_3999_T_LF,I_3500_3999_Notin_LF,I_3500_3999_LF_sta_NS,I_3500_3999_Tot,I_4000more_Emp_WFT,I_4000more_Emp_WPT,I_4000more_Emp_AW,I_4000more_E_T,I_4000more_UnE_lfw_FTW,I_4000more_UnE_lfw_PTW,I_4000more_UnE_lfw_Tot,I_4000more_T_LF,I_4000more_Notin_LF,I_4000more_LF_sta_NS,I_4000more_Tot,Part_inc_sta_Emp_WFT,Part_inc_sta_Emp_WPT,Part_inc_sta_Emp_AW,Part_inc_sta_E_T,Part_inc_sta_UnE_lfw_FTW,Part_inc_sta_UnE_lfw_PTW,Part_inc_sta_UnE_lfw_Tot,Part_inc_sta_T_LF,Part_inc_sta_Notin_LF,Part_inc_sta_LF_sta_NS,Part_inc_sta_Tot,All_inc_NS_Emp_WFT,All_inc_NS_Emp_WPT
UCL212005,0,0,0,0,0,0,0,3,8,0,13,0,3,0,4,0,0,3,4,6,0,14,0,9,0,14,0,3,3,17,17,0,35,0,15,3,23,3,4,5,32,30,0,63,3,8,0,12,7,9,13,24,62,0,88,4,76,5,88,4,3,8,98,73,0,170,21,64,7,94,3,5,9,102,72,0,174,50,64,8,118,0,0,0,115,67,0,181,44,55,0,95,0,3,8,99,41,0,144,51,38,3,86,3,0,3,91,27,0,119,33,14,3,49,0,0,0,53,15,3,72,24,17,0,39,0,0,0,40,5,0,50,42,11,4,58,0,0,0,58,8,0,66,15,3,0,13,0,0,0,13,4,0,19,5,0,0,5,0,0,0,5,0,0,5,4,0,0,4,0,0,0,4,5,0,7,3,0,0,3,0,0,0,3,0,0,3,24,30,3,61,0,0,4,67,40,8,110,3,6
UCL213001,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,9,0,9,0,3,0,3,3,0,3,12,10,0,18,3,5,0,10,0,0,0,7,14,0,23,4,9,3,12,0,3,6,19,41,0,58,4,33,0,34,3,5,4,43,41,0,81,12,34,3,48,3,3,10,55,55,0,116,20,31,4,56,3,7,5,63,34,0,101,30,19,3,50,0,0,3,52,34,0,89,41,13,3,59,0,0,3,64,17,0,81,25,16,0,46,0,0,0,44,12,0,56,24,7,0,32,0,0,0,39,10,0,44,23,13,3,40,0,0,0,40,11,0,49,14,0,0,11,0,0,0,18,3,0,21,3,0,0,3,0,0,0,3,0,0,4,0,0,0,4,0,0,0,4,0,3,3,6,0,0,6,0,0,0,6,3,0,3,26,16,4,41,3,0,3,45,20,0,69,3,0
UCL213002,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,5,0,6,0,4,0,4,0,3,3,5,14,0,19,0,8,0,11,0,3,7,12,19,0,31,3,12,0,15,7,0,12,25,26,0,54,6,26,7,36,3,8,11,49,36,0,86,16,34,3,44,0,3,3,48,48,0,100,21,20,3,49,0,0,0,52,26,0,78,16,15,8,36,0,0,0,34,17,0,56,11,8,3,21,0,0,0,21,14,0,33,15,8,0,22,0,0,0,22,4,0,29,15,5,0,20,0,0,0,20,3,0,20,10,3,0,16,0,0,0,16,6,0,21,7,0,0,4,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,3,0,0,3,0,0,0,3,0,0,6,17,17,0,36,0,0,0,38,25,0,60,0,0
UCL213003,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,3,0,3,0,4,3,6,3,0,3,10,10,0,18,0,7,0,7,0,3,4,14,22,0,32,0,14,0,15,3,0,3,15,19,0,36,3,28,0,40,3,3,10,46,45,0,90,4,20,3,26,0,0,3,29,29,0,60,9,23,4,37,0,0,3,42,22,0,63,14,20,0,33,0,0,0,35,15,0,44,12,18,0,33,0,0,0,33,18,0,45,9,3,0,12,0,0,0,12,9,0,20,12,7,0,15,0,0,0,15,5,0,20,13,7,0,16,0,0,0,16,6,0,26,0,0,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,16,8,0,30,0,0,0,28,20,0,47,0,0
UCL213004,0,0,0,0,0,0,0,0,4,0,4,0,3,0,3,0,5,5,6,0,0,7,0,6,0,6,0,0,0,10,10,0,16,0,3,0,7,0,0,0,7,9,0,17,0,11,0,13,0,3,3,17,20,0,34,0,14,3,16,3,3,4,18,37,0,53,13,23,0,34,3,0,3,41,25,0,67,8,23,0,30,0,0,0,35,28,0,63,16,16,3,34,0,0,4,37,33,0,73,22,11,3,31,0,0,0,31,14,0,39,21,6,4,33,0,0,0,35,9,0,42,4,7,0,4,0,0,0,4,3,0,14,16,0,0,13,0,0,0,13,5,0,17,6,0,0,4,0,0,0,4,5,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,8,10,5,26,3,0,3,31,16,3,50,0,0
UCL213005,0,0,0,0,0,0,0,0,4,0,10,0,0,0,0,0,3,4,6,3,0,3,0,0,0,0,3,0,8,8,6,0,6,0,9,0,12,0,0,0,12,12,0,23,0,11,0,11,3,0,3,17,22,0,35,4,24,3,33,0,0,3,34,31,0,64,9,25,0,36,3,0,4,42,33,0,73,19,23,0,45,0,0,0,46,16,0,66,13,25,0,39,3,0,3,45,19,0,61,25,7,3,33,0,0,0,34,16,0,54,20,4,0,26,0,0,0,26,7,0,38,12,5,0,20,0,0,0,20,8,0,28,12,13,0,22,0,0,0,22,3,0,29,3,5,0,6,0,0,0,6,0,0,8,3,0,0,3,0,0,0,3,0,0,3,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,8,9,0,23,0,4,3,29,20,0,46,0,0
UCL213006,0,0,0,0,0,3,3,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,3,0,6,10,0,21,0,6,0,6,5,0,5,13,14,0,27,0,9,0,8,3,0,3,12,29,0,44,7,25,3,35,0,5,5,40,37,0,82,9,29,3,39,0,3,4,44,26,0,71,22,27,3,50,0,0,0,49,15,0,66,25,21,0,49,0,0,0,50,21,0,69,17,9,3,31,0,0,0,31,8,0,40,13,13,0,28,0,0,0,28,4,0,32,9,5,0,14,0,0,0,14,0,0,22,15,4,0,11,0,0,0,11,3,0,18,10,0,0,10,0,0,0,10,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,3,0,0,5,0,0,0,5,0,0,5,16,15,0,31,4,0,4,36,28,0,57,0,0
UCL213007,0,0,0,0,0,0,0,3,5,0,11,0,0,0,0,0,3,3,3,0,0,3,0,0,0,0,0,0,3,7,4,0,10,0,4,0,5,3,6,9,18,16,0,34,0,8,0,12,3,3,8,20,41,0,60,3,31,3,38,4,4,9,48,47,0,95,13,29,0,47,0,3,4,52,40,0,95,21,32,3,55,0,3,3,55,34,0,91,31,17,0,47,0,0,0,48,34,0,80,14,17,3,39,0,0,0,39,14,0,57,15,6,0,20,0,0,0,20,15,0,31,14,0,3,16,0,0,0,16,4,0,17,15,4,0,15,0,0,0,15,3,0,18,7,0,0,7,0,0,0,7,3,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,7,0,0,4,0,0,0,0,0,0,0,0,3,0,9,17,7,3,33,0,0,0,33,18,0,49,4,0
UCL213008,3,0,0,3,0,0,0,3,8,0,15,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,0,6,5,0,13,0,6,3,9,0,0,0,12,8,0,23,0,4,0,12,3,0,3,12,21,0,35,3,32,0,36,3,0,0,40,27,0,65,14,23,0,31,0,0,0,31,30,0,57,10,30,3,45,0,3,3,49,17,0,67,27,29,8,57,0,0,0,57,23,0,78,26,23,4,56,0,0,0,55,10,0,61,18,8,0,27,0,0,0,27,8,0,34,16,0,0,16,0,3,3,17,4,0,27,33,6,0,37,0,0,0,39,5,0,43,6,3,0,11,0,0,0,11,0,0,11,3,0,0,3,0,0,0,3,3,0,9,4,0,0,4,0,0,0,4,0,0,4,6,0,0,6,0,0,0,6,0,0,6,11,12,0,22,0,0,0,22,4,0,31,3,0
UCL213009,0,0,0,3,0,0,0,4,3,0,3,0,0,0,0,0,0,4,8,3,0,9,0,3,0,3,0,0,0,6,11,0,14,0,3,0,3,3,4,4,9,3,0,17,3,19,0,20,5,0,3,22,19,0,39,9,25,3,37,3,5,8,46,22,0,66,11,22,3,35,0,4,4,42,17,0,52,10,25,3,36,0,5,5,39,28,0,70,26,19,3,48,0,0,0,48,17,0,64,23,11,0,34,0,0,0,34,12,0,44,10,0,0,15,0,0,0,15,5,0,20,19,10,0,24,0,0,0,24,4,0,27,25,0,3,24,0,0,0,24,6,0,33,6,0,0,5,0,0,0,8,3,0,10,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,14,12,0,24,5,0,3,30,13,0,41,0,0
UCL213010,0,0,0,0,0,0,0,3,5,0,10,0,0,0,0,3,0,3,3,6,0,11,0,3,0,4,5,3,10,12,20,0,37,0,14,0,14,7,0,11,21,45,0,62,0,13,0,13,3,7,10,30,50,0,77,3,44,0,49,9,12,20,71,70,0,139,8,36,3,45,6,11,12,64,82,0,137,16,41,0,56,3,0,3,61,50,0,111,24,14,4,38,0,0,0,38,45,0,81,20,8,0,32,0,0,0,32,19,0,54,14,11,3,25,0,0,0,25,9,0,34,6,10,3,14,0,0,0,14,3,0,23,22,0,3,25,0,0,0,25,6,0,32,6,0,0,14,0,0,0,14,3,0,11,3,0,0,4,0,0,0,4,0,0,10,5,0,0,6,0,0,0,6,0,0,4,3,0,0,3,0,0,0,0,0,0,5,36,19,3,56,3,0,9,64,31,3,98,0,4
UCL213011,0,0,0,0,7,0,5,5,10,0,12,0,0,0,0,0,0,0,0,3,0,8,0,5,0,9,3,0,7,11,24,0,36,0,3,0,4,3,3,6,13,49,0,65,3,7,0,10,7,6,18,29,55,0,85,6,35,0,40,5,11,21,57,71,3,133,10,19,3,34,7,3,10,39,52,0,92,20,21,3,41,3,0,8,48,48,0,95,16,26,6,48,3,8,9,60,35,0,97,10,13,0,22,0,0,0,22,21,0,47,11,9,0,23,0,0,0,20,8,0,28,8,4,0,13,0,0,0,13,3,0,19,8,3,0,15,0,0,0,19,10,0,25,6,0,0,10,0,0,0,10,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,3,3,0,5,7,16,0,29,6,6,11,39,32,0,68,0,0
UCL213012,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,4,0,5,0,6,0,0,0,10,3,0,11,0,0,0,4,0,0,3,4,9,0,14,3,15,0,23,0,3,4,25,13,0,38,0,37,0,38,4,3,10,44,26,0,67,7,29,0,41,3,3,5,42,21,0,65,13,30,0,45,3,0,3,48,24,0,77,14,43,0,66,0,3,3,69,24,0,93,21,10,0,29,0,0,0,35,6,0,45,16,12,5,30,0,0,0,32,7,0,37,20,3,0,20,0,0,0,22,7,0,34,24,3,0,24,0,0,0,25,7,0,35,8,0,0,13,0,0,0,13,0,0,10,5,0,0,9,0,0,0,9,0,0,9,11,0,0,11,0,0,0,11,0,0,11,6,0,0,6,0,0,0,6,0,0,4,33,22,0,56,0,0,0,56,16,0,73,0,3
UCL213013,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,6,0,3,0,3,0,0,3,8,11,0,16,0,6,0,9,0,0,3,12,12,0,21,0,6,0,9,0,3,3,14,23,0,38,3,18,3,24,0,8,8,27,31,0,65,9,19,0,30,0,0,4,31,33,0,62,13,19,0,32,0,3,3,40,29,0,64,15,17,0,33,0,0,0,35,18,0,53,19,8,0,30,0,0,0,30,13,0,39,7,0,0,9,0,0,0,10,0,0,17,13,3,0,10,0,0,0,10,8,0,20,16,5,0,14,0,0,0,14,4,0,19,3,0,0,3,0,0,0,3,0,0,7,3,0,0,4,0,0,0,4,0,0,4,4,0,0,4,0,0,0,4,0,0,4,3,0,0,3,0,0,0,3,0,0,3,21,9,0,32,0,0,0,34,20,0,54,3,0
UCL213014,0,0,0,0,0,0,0,0,8,0,12,0,3,0,3,0,0,0,3,3,0,4,0,3,0,6,4,0,5,9,6,0,17,0,3,0,4,0,4,3,8,19,0,29,3,13,0,22,3,5,3,27,21,0,50,4,24,0,31,3,3,10,40,31,0,67,10,23,0,38,0,4,4,43,32,0,73,15,26,0,42,0,0,0,42,30,4,75,21,16,0,37,0,0,4,42,26,0,62,24,7,0,31,0,0,0,28,11,0,44,11,10,3,19,0,0,0,21,5,0,24,16,7,0,24,0,0,0,23,8,0,30,16,3,0,20,0,0,0,18,3,0,19,4,0,0,4,0,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,3,3,0,7,3,0,0,3,0,0,0,3,0,0,3,11,20,4,37,0,0,0,39,20,0,57,3,8
UCL213015,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,0,3,6,7,0,13,0,5,0,5,0,0,0,8,19,0,26,4,10,0,8,3,3,6,13,22,0,36,0,21,3,26,0,3,8,30,24,0,55,5,18,0,26,0,0,0,27,22,0,45,20,18,0,35,0,0,3,34,16,0,54,19,17,4,34,0,0,0,39,20,0,53,23,9,0,26,0,0,0,26,3,0,32,13,3,0,10,0,0,0,10,6,0,17,9,0,0,9,0,0,0,9,6,0,16,16,4,0,21,0,0,0,21,3,0,22,4,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,0,5,0,0,0,0,0,0,0,0,0,0,0,12,15,0,22,0,0,0,28,18,0,42,0,0
UCL213016,0,0,0,0,0,0,0,0,3,0,6,0,0,3,3,0,0,0,3,0,0,4,0,3,0,3,0,0,4,5,3,0,9,0,3,0,3,0,0,0,3,0,0,4,3,10,0,17,3,0,3,19,4,0,21,3,20,4,31,0,0,0,31,10,0,42,4,31,0,34,3,4,9,45,11,0,58,13,21,0,34,0,0,0,36,10,0,44,17,20,3,47,0,0,7,47,12,0,60,15,8,3,29,0,0,0,29,8,0,35,21,14,0,29,0,0,0,31,7,0,39,8,8,0,21,0,0,0,21,3,0,20,19,10,0,32,0,0,0,32,8,0,38,3,3,0,9,0,0,0,9,3,0,7,3,0,0,3,0,0,0,3,0,0,3,3,0,0,3,0,0,0,3,0,0,3,7,0,0,7,0,0,0,7,0,0,7,24,16,0,41,0,0,0,41,12,0,52,3,4
UCL213017,0,0,0,0,0,0,0,0,5,0,5,0,3,0,3,0,0,3,7,9,0,14,0,3,0,7,3,0,9,15,16,0,31,0,4,0,4,6,4,5,17,20,0,33,0,24,3,29,3,3,8,40,40,0,77,3,38,3,40,3,12,13,56,43,0,104,17,29,4,56,0,3,3,52,63,0,116,27,45,0,74,3,4,6,80,39,0,119,26,29,0,52,4,0,4,56,41,0,100,33,9,0,44,0,0,3,48,11,0,62,18,4,0,23,0,0,0,26,15,0,35,10,5,0,19,0,0,0,19,6,0,28,19,3,0,20,5,0,5,25,13,0,40,8,3,0,12,0,0,0,12,6,0,17,0,0,0,3,0,0,0,3,0,0,4,5,3,0,5,0,0,0,7,0,0,11,0,0,0,5,0,0,0,5,0,0,5,23,30,0,47,4,0,4,51,22,0,73,0,8
UCL213018,0,0,0,3,0,0,0,0,9,0,11,0,3,0,3,0,0,0,4,4,0,6,0,3,0,5,0,3,3,3,11,0,16,0,8,0,8,3,0,6,9,18,0,31,0,10,0,10,3,4,4,17,21,0,41,0,34,0,37,0,3,3,40,42,0,81,13,17,3,34,0,3,6,35,31,0,68,17,22,0,41,0,0,5,45,26,0,67,25,22,3,44,0,3,3,44,27,0,76,23,10,0,37,0,0,0,42,14,0,56,22,8,4,37,0,0,0,41,4,0,41,22,3,0,26,0,0,0,26,6,0,34,17,6,0,30,0,0,3,31,10,0,40,9,4,0,14,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,0,5,0,0,0,5,0,0,5,16,17,5,35,0,0,0,41,26,0,62,3,0
UCL214001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,0,3,3,3,0,5,0,4,0,4,0,0,0,5,11,0,16,0,3,0,7,3,3,6,9,15,0,25,3,18,0,22,0,3,3,23,17,0,41,14,14,3,24,0,0,0,24,24,0,48,10,7,4,18,0,0,0,20,19,0,37,13,7,0,26,0,0,0,25,12,0,39,15,6,0,22,0,0,0,22,10,0,29,8,6,0,10,0,0,0,10,3,0,19,7,0,0,8,0,0,0,8,4,0,6,10,0,0,10,0,0,0,10,3,0,17,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,8,3,20,0,0,0,18,12,0,31,0,0
UCL214002,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,7,0,4,0,8,0,8,3,0,3,11,5,0,17,0,3,0,3,3,0,3,8,16,0,27,0,10,0,16,3,3,4,21,31,0,50,3,18,0,25,3,0,5,28,40,0,65,7,22,0,35,3,3,8,36,39,0,77,10,15,3,27,0,0,0,30,30,0,63,19,10,0,33,0,0,0,33,15,0,47,13,3,0,14,0,0,0,14,6,0,19,12,7,0,16,0,0,0,16,3,0,19,5,0,0,6,0,0,0,6,3,0,9,4,9,0,10,0,0,0,10,0,0,15,6,0,0,6,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,3,10,11,0,29,0,0,0,26,15,0,40,0,0
UCL214003,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,4,3,0,7,0,4,0,4,0,5,7,13,10,0,21,0,3,0,4,0,3,4,9,8,0,19,0,18,0,17,4,3,6,25,15,0,43,4,25,0,32,0,5,5,34,27,0,68,13,22,0,33,0,0,3,32,25,0,60,11,13,0,26,0,0,0,26,21,0,45,17,14,0,34,0,0,0,30,12,0,50,14,9,0,21,0,0,0,20,10,0,29,13,8,0,18,0,0,0,18,3,0,23,7,3,0,7,3,0,3,10,3,0,17,8,3,0,16,0,0,0,16,6,0,22,3,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,16,12,0,31,0,0,0,32,17,0,47,0,0
UCL214004,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,3,0,5,0,0,0,5,10,0,15,0,7,3,5,0,0,0,9,15,0,18,0,8,3,13,8,0,8,20,9,0,29,3,11,0,15,0,3,5,18,19,0,35,10,7,0,13,0,0,0,13,13,0,21,6,3,3,16,0,0,0,17,7,0,24,6,3,0,13,0,0,0,13,3,0,19,4,0,0,9,0,0,0,9,0,0,4,3,0,0,3,0,0,0,3,10,0,13,6,0,0,9,0,0,0,9,0,0,9,3,0,0,3,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,11,7,3,17,0,0,0,15,11,0,29,0,0
UCL214005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,3,3,0,4,0,0,0,3,0,0,0,3,0,0,3,0,3,0,3,0,0,0,3,0,0,4,3,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
UCL214006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,5,0,0,0,0,0,0,0,3,3,0,4,0,3,0,3,0,0,0,3,7,0,13,0,5,0,8,0,0,0,8,0,0,9,4,6,0,12,0,0,0,13,6,0,17,4,21,0,25,0,0,3,28,3,0,35,5,17,3,24,0,0,0,23,9,0,37,20,19,0,33,0,0,0,39,7,0,42,10,6,0,19,0,0,0,19,3,0,18,18,3,0,23,0,0,0,23,6,0,25,6,5,0,15,0,0,0,15,3,0,15,12,3,0,22,0,0,0,22,0,0,24,5,0,0,4,0,0,0,4,4,0,11,10,0,0,8,0,0,0,8,0,0,10,3,0,0,3,0,0,0,3,0,0,3,3,0,0,3,0,0,0,3,0,0,3,15,11,0,24,0,0,4,23,7,0,35,4,0
UCL214007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,3,0,3,0,0,0,5,7,0,10,0,4,0,3,0,0,0,7,6,0,14,0,4,0,9,0,0,0,12,17,0,28,0,11,0,16,0,0,0,16,16,0,34,4,22,4,30,3,0,3,32,18,0,49,8,25,0,36,0,0,0,36,14,0,49,12,13,4,24,0,0,0,28,18,0,47,10,3,0,14,0,0,0,14,11,0,27,15,3,0,17,0,0,0,17,5,0,25,7,3,0,14,0,0,0,14,0,0,12,4,0,0,4,0,0,0,4,0,0,8,3,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,10,0,23,0,0,0,24,10,0,33,0,0
