UCL_CODE_2016,POL_Greek_SEO,POL_Greek_SOLSE_VWorW,POL_Greek_SOLSE_NWorNAA,POL_Greek_SOLSE_Tot,POL_Greek_NS,POL_Greek_Tot,POL_IAL_Bengali_SEO,POL_IAL_Bengali_SOLSE_VWorW,POL_IAL_Bengali_SOLSE_NWorNAA,POL_IAL_Bengali_SOLSE_Tot,POL_IAL_Bengali_NS,POL_IAL_Bengali_Tot,POL_IAL_Hindi_SEO,POL_IAL_Hindi_SOLSE_VWorW,POL_IAL_Hindi_SOLSE_NWorNAA,POL_IAL_Hindi_SOLSE_Tot,POL_IAL_Hindi_NS,POL_IAL_Hindi_Tot,POL_IAL_Punjabi_SEO,POL_IAL_Punjabi_SOLSE_VWorW,POL_IAL_Punjabi_SOLSE_NWorNAA,POL_IAL_Punjabi_SOLSE_Tot,POL_IAL_Punjabi_NS,POL_IAL_Punjabi_Tot,POL_IAL_Sinhalese_SEO,POL_IAL_Sinhalese_SOLSE_VWorW,POL_IAL_Sinhale_SOLSE_NWorNAA,POL_IAL_Sinhalese_SOLSE_Tot,POL_IAL_Sinhalese_NS,POL_IAL_Sinhalese_Tot,POL_IAL_Urdu_SEO,POL_IAL_Urdu_SOLSE_VWorW,POL_IAL_Urdu_SOLSE_NWorNAA,POL_IAL_Urdu_SOLSE_Tot,POL_IAL_Urdu_NS,POL_IAL_Urdu_Tot,POL_IAL_Oth_SEO,POL_IAL_Oth_SOLSE_VWorW,POL_IAL_Oth_SOLSE_NWorNAA,POL_IAL_Oth_SOLSE_Tot,POL_IAL_Oth_NS,POL_IAL_Oth_Tot,POL_IAL_Tot_SEO,POL_IAL_Tot_SOLSE_VWorW,POL_IAL_Tot_SOLSE_NWorNAA,POL_IAL_Tot_SOLSE_Tot,POL_IAL_Tot_NS,POL_IAL_Tot_Tot,POL_Italian_SEO,POL_Italian_SOLSE_VWorW,POL_Italian_SOLSE_NWorNAA,POL_Italian_SOLSE_Tot,POL_Italian_NS,POL_Italian_Tot,POL_Japanese_SEO,POL_Japanese_SOLSE_VWorW,POL_Japanese_SOLSE_NWorNAA,POL_Japanese_SOLSE_Tot,POL_Japanese_NS,POL_Japanese_Tot,POL_Korean_SEO,POL_Korean_SOLSE_VWorW,POL_Korean_SOLSE_NWorNAA,POL_Korean_SOLSE_Tot,POL_Korean_NS,POL_Korean_Tot,POL_Macedonian_SEO,POL_Macedonian_SOLSE_VWorW,POL_Macedonian_SOLSE_NWorNAA,POL_Macedonian_SOLSE_Tot,POL_Macedonian_NS,POL_Macedonian_Tot,POL_Maltese_SEO,POL_Maltese_SOLSE_VWorW,POL_Maltese_SOLSE_NWorNAA,POL_Maltese_SOLSE_Tot,POL_Maltese_NS,POL_Maltese_Tot,POL_Persian_ED_SEO,POL_Persian_ED_SOLSE_VWorW,POL_Persian_ED_SOLSE_NWorNAA,POL_Persian_ED_SOLSE_Tot,POL_Persian_ED_NS,POL_Persian_ED_Tot,POL_Polish_SEO,POL_Polish_SOLSE_VWorW,POL_Polish_SOLSE_NWorNAA,POL_Polish_SOLSE_Tot,POL_Polish_NS,POL_Polish_Tot,POL_Russian_SEO,POL_Russian_SOLSE_VWorW,POL_Russian_SOLSE_NWorNAA,POL_Russian_SOLSE_Tot,POL_Russian_NS,POL_Russian_Tot,POL_Samoan_SEO,POL_Samoan_SOLSE_VWorW,POL_Samoan_SOLSE_NWorNAA,POL_Samoan_SOLSE_Tot,POL_Samoan_NS,POL_Samoan_Tot,POL_Serbian_SEO,POL_Serbian_SOLSE_VWorW,POL_Serbian_SOLSE_NWorNAA,POL_Serbian_SOLSE_Tot,POL_Serbian_NS,POL_Serbian_Tot,POL_SAL_Filipino_SEO,POL_SAL_Filipino_SOLSE_VWorW,POL_SAL_Filipin_SOLSE_NWorNAA,POL_SAL_Filipino_SOLSE_Tot,POL_SAL_Filipino_NS,POL_SAL_Filipino_Tot,POL_SAL_Indonesian_SEO,POL_SAL_Indonesia_SOLSE_VWorW,POL_SAL_Indones_SOLSE_NWorNAA,POL_SAL_Indonesian_SOLSE_Tot,POL_SAL_Indonesian_NS,POL_SAL_Indonesian_Tot,POL_SAL_Tagalog_SEO,POL_SAL_Tagalog_SOLSE_VWorW,POL_SAL_Tagalog_SOLSE_NWorNAA,POL_SAL_Tagalog_SOLSE_Tot,POL_SAL_Tagalog_NS,POL_SAL_Tagalog_Tot,POL_SAL_Oth_SEO,POL_SAL_Oth_SOLSE_VWorW,POL_SAL_Oth_SOLSE_NWorNAA,POL_SAL_Oth_SOLSE_Tot,POL_SAL_Oth_NS,POL_SAL_Oth_Tot,POL_SAL_Tot_SEO,POL_SAL_Tot_SOLSE_VWorW,POL_SAL_Tot_SOLSE_NWorNAA,POL_SAL_Tot_SOLSE_Tot,POL_SAL_Tot_NS,POL_SAL_Tot_Tot,POL_Spanish_SEO,POL_Spanish_SOLSE_VWorW,POL_Spanish_SOLSE_NWorNAA,POL_Spanish_SOLSE_Tot,POL_Spanish_NS,POL_Spanish_Tot,POL_Tamil_SEO,POL_Tamil_SOLSE_VWorW,POL_Tamil_SOLSE_NWorNAA,POL_Tamil_SOLSE_Tot,POL_Tamil_NS,POL_Tamil_Tot,POL_Thai_SEO,POL_Thai_SOLSE_VWorW,POL_Thai_SOLSE_NWorNAA,POL_Thai_SOLSE_Tot,POL_Thai_NS,POL_Thai_Tot,POL_Turkish_SEO,POL_Turkish_SOLSE_VWorW,POL_Turkish_SOLSE_NWorNAA,POL_Turkish_SOLSE_Tot,POL_Turkish_NS,POL_Turkish_Tot,POL_Vietnamese_SEO,POL_Vietnamese_SOLSE_VWorW,POL_Vietnamese_SOLSE_NWorNAA,POL_Vietnamese_SOLSE_Tot,POL_Vietnamese_NS,POL_Vietnamese_Tot,POL_Oth_SEO,POL_Oth_SOLSE_VWorW,POL_Oth_SOLSE_NWorNAA,POL_Oth_SOLSE_Tot,POL_Oth_NS,POL_Oth_Tot,POL_Tot_SEO,POL_Tot_SOLSE_VWorW,POL_Tot_SOLSE_NWorNAA,POL_Tot_SOLSE_Tot,POL_Tot_NS,POL_Tot_Tot,P_LSatH_NS_SEO,P_LSatH_NS_SOLSE_VWorW,P_LSatH_NS_SOLSE_NWorNAA,P_LSatH_NS_SOLSE_Tot,P_LSatH_NS_NS,P_LSatH_NS_Tot,P_Tot_SEO,P_Tot_SOLSE_VWorW,P_Tot_SOLSE_NWorNAA,P_Tot_SOLSE_Tot,P_Tot_NS,P_Tot_Tot
UCL201001,..,86340,18809,105148,949,106101,..,9498,680,10180,79,10258,..,45820,2302,48117,357,48480,..,45576,5225,50798,531,51328,..,33529,1940,35474,262,35737,..,19923,1950,21876,211,22088,..,28135,2434,30569,208,30772,..,182480,14528,197010,1648,198662,..,83232,14308,97540,1281,98825,..,8667,1482,10152,87,10233,..,10518,4095,14616,128,14744,..,22580,4498,27075,291,27359,..,13047,1114,14160,180,14347,..,12356,3035,15393,148,15544,..,11713,1650,13366,123,13488,..,13716,2962,16677,131,16806,..,9428,801,10236,181,10417,..,12436,2640,15081,151,15233,..,14680,406,15093,130,15219,..,14639,1062,15702,106,15811,..,19356,546,19899,192,20094,..,6237,376,6616,55,6668,..,54914,2396,57309,483,57797,..,28659,3582,32237,313,32552,..,22216,2252,24465,219,24682,..,8100,1890,9994,83,10077,..,23872,5587,29460,302,29760,..,68803,31162,99965,766,100731,..,164529,43781,208311,4004,212313,..,1162936,245677,1408615,14457,1423074,..,10185,2632,12821,221714,234537,2538591,1173117,248316,1421435,236170,4196198
UCL203001,..,524,89,614,6,622,..,101,12,112,0,112,..,463,13,473,5,473,..,625,67,687,4,699,..,205,12,221,0,221,..,199,21,227,0,227,..,297,11,312,5,315,..,1892,137,2033,15,2051,..,1531,266,1797,34,1833,..,179,12,191,0,191,..,103,29,136,0,136,..,733,184,920,12,930,..,64,4,67,0,67,..,331,78,408,3,407,..,336,67,409,3,411,..,164,41,211,0,211,..,22,0,22,0,22,..,548,144,692,11,702,..,290,10,292,0,292,..,182,4,186,0,189,..,359,9,365,4,366,..,143,3,148,3,149,..,968,23,993,11,1000,..,363,78,446,11,454,..,173,10,181,0,181,..,164,43,209,3,211,..,202,53,250,3,254,..,363,146,509,4,516,..,3251,1120,4372,94,4465,..,16893,3413,20303,277,20579,..,435,50,484,8947,9433,127090,17330,3459,20787,9221,157104
UCL211001,..,23,3,29,0,29,..,17,0,16,0,20,..,71,4,68,0,68,..,109,8,114,3,120,..,51,3,58,0,59,..,28,3,33,0,36,..,182,69,250,3,256,..,457,88,546,9,556,..,95,10,108,3,113,..,22,3,25,0,25,..,12,3,19,0,19,..,4,0,4,0,4,..,7,0,7,0,7,..,14,3,18,0,18,..,20,0,20,0,20,..,9,0,9,0,9,..,0,0,0,0,0,..,46,10,59,0,58,..,61,3,66,0,62,..,11,0,11,0,11,..,93,5,100,0,100,..,29,0,29,0,29,..,195,9,203,0,208,..,41,3,44,0,46,..,14,0,14,0,14,..,25,10,34,0,34,..,0,0,0,0,0,..,19,0,18,0,18,..,384,95,476,15,491,..,1897,301,2201,39,2243,..,69,11,78,2037,2109,30780,1970,310,2278,2071,35130
UCL211002,..,114,24,132,3,136,..,69,10,75,0,75,..,196,17,213,0,213,..,212,24,239,3,243,..,77,9,80,3,83,..,79,17,96,0,96,..,103,6,114,0,114,..,735,82,820,6,826,..,190,16,205,4,203,..,112,16,130,0,130,..,38,3,40,0,40,..,16,0,16,0,16,..,39,4,45,0,47,..,58,11,65,0,65,..,43,3,45,0,45,..,57,5,61,0,61,..,5,0,5,0,5,..,35,0,35,7,37,..,128,7,132,0,132,..,36,0,41,0,41,..,161,6,167,0,167,..,34,3,39,0,40,..,364,16,379,0,383,..,90,5,96,0,101,..,66,7,72,0,72,..,67,18,87,0,86,..,20,3,24,0,24,..,77,22,105,0,100,..,884,162,1047,30,1077,..,4548,674,5228,73,5293,..,273,19,292,5536,5827,82639,4819,694,5516,5606,93759
UCL211003,..,100,18,120,0,117,..,54,7,59,0,58,..,165,11,179,0,179,..,173,23,195,0,192,..,93,8,105,0,105,..,66,4,68,0,72,..,112,14,125,0,125,..,668,60,723,4,728,..,150,8,159,0,162,..,43,0,39,3,43,..,45,15,59,0,59,..,11,0,11,0,11,..,15,0,15,0,15,..,26,3,31,0,31,..,19,0,19,0,19,..,39,3,43,0,43,..,10,0,7,0,7,..,7,4,9,0,9,..,122,0,124,5,127,..,74,0,74,0,74,..,118,0,117,0,117,..,25,0,25,0,23,..,337,4,344,4,349,..,54,8,62,0,62,..,60,3,64,0,69,..,46,8,54,4,56,..,16,3,21,0,21,..,67,25,90,3,95,..,1071,650,1724,35,1762,..,3644,1001,4639,66,4709,..,241,13,258,5997,6255,81419,3882,1014,4900,6064,92379
UCL211004,..,267,37,302,3,310,..,107,13,126,0,124,..,422,27,453,3,453,..,585,99,687,11,701,..,220,9,233,0,233,..,165,11,181,8,186,..,96,54,146,0,152,..,1600,220,1818,25,1842,..,357,29,384,7,394,..,21,4,21,0,21,..,40,15,54,0,54,..,181,31,215,4,223,..,662,51,713,12,720,..,20,13,37,0,37,..,145,23,170,0,169,..,55,9,63,0,67,..,539,38,581,12,590,..,278,53,332,3,334,..,279,6,281,6,288,..,68,9,80,4,86,..,391,10,397,3,401,..,76,0,77,0,77,..,811,27,840,14,853,..,457,54,513,3,518,..,48,3,51,0,51,..,77,17,93,3,100,..,180,31,212,0,215,..,219,116,340,12,347,..,2206,551,2756,60,2815,..,9330,1558,10892,175,11064,..,218,27,245,3536,3780,39612,9548,1588,11139,3707,54456
UCL212001,..,186,36,221,3,221,..,30,0,30,0,30,..,38,3,40,0,40,..,135,23,161,3,160,..,44,0,45,0,45,..,10,0,11,0,11,..,52,0,49,0,49,..,310,29,342,3,342,..,462,90,552,7,562,..,24,12,34,0,34,..,21,32,52,0,52,..,7,0,6,0,6,..,4,0,4,0,4,..,11,13,26,0,30,..,10,0,10,0,10,..,3,0,3,0,3,..,50,8,57,0,57,..,15,0,15,0,12,..,51,0,55,0,55,..,3,0,7,0,7,..,60,5,63,0,63,..,63,35,96,0,95,..,182,40,223,0,222,..,18,3,21,0,21,..,33,11,51,0,51,..,32,13,41,3,42,..,249,120,367,0,364,..,78,86,172,3,170,..,785,297,1087,9,1098,..,2926,951,3884,38,3925,..,89,10,95,2703,2797,26717,3019,966,3981,2742,33444
UCL212002,..,131,23,154,4,155,..,36,3,41,0,44,..,105,4,114,0,111,..,615,122,728,15,745,..,109,10,118,0,115,..,114,9,120,0,121,..,139,18,156,0,155,..,1115,162,1277,23,1297,..,729,131,860,8,873,..,22,6,24,0,29,..,24,7,30,0,30,..,121,17,141,3,147,..,3,0,3,0,3,..,69,20,85,0,85,..,18,3,19,0,19,..,9,0,10,0,10,..,193,14,211,3,214,..,17,3,22,0,22,..,108,7,116,0,116,..,13,3,20,0,23,..,125,5,132,0,132,..,52,13,68,0,68,..,304,35,333,3,335,..,29,7,34,0,34,..,53,4,59,0,59,..,57,13,70,0,70,..,294,105,403,3,406,..,23,11,37,0,41,..,1569,715,2290,54,2342,..,6163,1842,8000,126,8128,..,145,35,183,3602,3777,34292,6301,1877,8179,3729,46199
UCL212003,..,128,13,137,0,137,..,15,0,15,0,15,..,102,0,102,0,102,..,88,10,93,0,94,..,61,4,64,0,64,..,39,3,47,0,47,..,18,0,20,0,19,..,323,22,348,0,346,..,319,30,344,3,350,..,38,4,43,0,43,..,9,0,12,0,12,..,29,0,29,0,29,..,130,4,130,0,130,..,8,0,13,0,13,..,66,8,76,0,76,..,23,0,25,0,25,..,23,0,29,0,29,..,38,4,40,0,40,..,55,0,57,0,53,..,21,0,21,0,21,..,102,5,108,0,108,..,12,0,12,0,12,..,187,9,191,0,192,..,89,7,101,0,103,..,10,0,10,0,10,..,48,10,58,0,58,..,49,3,52,0,52,..,56,32,84,0,84,..,292,63,362,6,366,..,2430,276,2706,23,2725,..,51,8,60,1508,1568,30127,2490,281,2771,1524,34425
UCL212004,..,136,23,154,3,157,..,32,0,35,0,35,..,53,0,53,0,53,..,17,0,17,0,22,..,50,0,51,0,51,..,17,0,20,0,22,..,43,5,43,3,50,..,215,6,218,3,225,..,214,18,230,0,232,..,23,5,25,0,25,..,10,3,14,0,13,..,3,0,3,0,3,..,15,0,17,0,17,..,13,0,14,0,14,..,29,5,31,0,31,..,5,0,5,0,5,..,6,0,6,0,6,..,0,0,0,0,0,..,38,0,38,0,38,..,10,0,10,0,10,..,49,0,45,0,48,..,23,6,27,0,25,..,115,3,121,0,121,..,43,7,52,0,52,..,24,0,30,0,30,..,27,6,29,0,29,..,0,0,0,0,0,..,32,4,43,0,43,..,293,75,365,0,368,..,1538,229,1762,19,1782,..,69,6,71,1962,2030,21669,1609,233,1836,1981,25485
