UCL_CODE_2016,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Hs_cop_cty_ch_gp_DS_Sp_ho,R_Hs_c_ct_ch_g_DS_SD_ro_t_h_t,R_Hse_cp_cty_ch_g_DS_Flt_apt,R_Hs_cop_cty_ch_gp_DS_Ot_dwel,R_Hse_coop_cty_ch_gp_DS_NS,R_Hse_coop_cty_ch_gp_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
UCL212005,3544,374,64,7,10,4002,3283,181,37,3,5,3511,1370,609,238,3,16,2230,385,126,81,0,0,594,503,114,36,0,16,674,27,23,57,0,0,107,49,15,16,4,0,78,31,7,6,0,0,44,2369,887,432,6,29,3729,42,32,29,3,0,101,235,58,71,0,3,369,9474,1530,643,23,54,11713
UCL213001,1651,138,3,17,4,1813,2442,154,3,3,5,2599,658,229,3,4,0,897,146,30,34,0,0,209,218,45,23,0,0,286,9,62,3,0,0,70,14,3,0,9,0,30,23,6,0,0,0,22,1066,379,58,13,0,1515,43,6,0,0,0,57,128,36,0,0,14,173,5324,713,71,29,17,6161
UCL213002,1702,56,12,10,0,1786,1322,15,3,3,4,1350,680,122,45,0,3,857,189,79,19,0,0,287,250,12,6,0,4,277,61,4,10,0,0,79,23,4,0,3,3,34,23,0,0,0,0,23,1225,231,82,6,13,1555,52,4,0,0,0,56,162,15,3,3,47,228,4469,312,101,21,65,4969
UCL213003,1627,121,0,10,6,1767,1395,28,0,3,3,1427,412,155,0,4,0,570,135,60,19,0,0,218,225,56,0,3,0,284,25,20,0,0,0,46,18,6,0,9,0,40,17,12,0,0,0,24,829,309,20,24,0,1183,11,15,0,0,0,30,132,32,0,3,3,165,3996,501,23,34,9,4569
UCL213004,1316,62,58,29,0,1471,1544,26,7,5,0,1585,590,98,91,0,4,783,42,8,20,0,0,74,157,9,11,0,3,183,3,3,0,0,0,3,13,0,5,28,0,44,18,0,0,0,0,16,818,114,129,35,4,1106,5,0,0,0,0,3,106,10,8,7,0,126,3793,214,201,77,8,4294
UCL213005,1848,72,39,0,6,1964,1730,29,0,0,5,1770,552,63,3,5,7,632,6,3,0,0,0,10,176,12,4,0,0,193,9,0,0,0,0,8,9,0,0,0,0,16,11,0,0,0,0,13,769,85,6,5,3,867,22,0,0,0,3,21,112,4,4,0,0,124,4477,196,52,5,22,4746
UCL213006,1529,136,6,12,3,1686,1398,58,3,0,4,1457,586,229,20,0,0,835,200,137,6,0,0,344,228,40,3,8,3,278,12,4,0,0,0,19,10,5,0,3,0,21,20,13,0,0,0,30,1050,428,35,7,5,1527,23,15,0,0,0,36,144,45,3,0,0,197,4147,679,42,20,15,4900
UCL213007,1992,115,68,4,5,2182,1999,31,23,0,0,2059,768,116,204,0,3,1086,157,76,41,0,3,275,257,18,25,0,4,304,17,24,5,0,0,42,18,12,0,0,3,40,19,13,3,0,0,36,1233,259,280,3,11,1787,24,23,3,0,0,55,144,19,13,0,3,183,5389,446,392,9,27,6265
UCL213008,1160,89,0,0,0,1251,1990,124,0,0,0,2123,562,222,20,0,0,797,24,3,0,0,0,22,172,23,0,0,0,200,21,13,0,0,0,34,30,3,0,0,0,40,13,4,0,0,0,13,820,269,21,0,0,1109,26,6,0,0,0,36,83,10,0,0,0,98,4079,500,26,0,4,4610
UCL213009,1285,116,0,0,0,1410,1905,43,0,0,0,1946,465,78,5,0,0,544,20,8,0,0,0,28,166,20,0,0,0,187,5,3,0,0,0,4,9,0,0,0,0,10,9,0,0,0,0,7,670,108,4,0,0,779,21,27,0,0,0,44,70,14,0,0,0,85,3949,306,4,3,3,4268
UCL213010,2066,169,26,16,0,2278,1684,51,12,4,0,1752,628,243,145,0,5,1017,248,176,43,0,0,464,277,47,15,0,0,341,40,22,0,0,0,59,24,22,3,4,0,49,19,13,0,0,0,34,1228,513,209,8,13,1967,26,20,3,0,0,53,172,49,14,0,0,243,5181,806,262,26,13,6290
UCL213011,1819,65,63,3,3,1950,1401,14,25,0,3,1440,762,108,227,0,3,1099,197,99,57,0,0,343,254,16,21,3,4,302,27,18,18,0,0,64,17,3,3,0,4,28,20,4,4,0,0,25,1271,250,333,3,5,1866,26,0,0,0,0,27,181,19,31,0,0,234,4702,346,454,10,14,5524
UCL213012,2371,206,14,8,13,2605,2299,114,10,0,6,2432,734,151,19,4,5,920,18,29,0,0,0,48,259,41,3,11,0,308,23,0,0,0,0,25,14,6,0,7,3,31,33,7,0,0,0,45,1088,234,23,19,11,1373,25,0,0,0,0,26,98,21,6,0,3,123,5889,569,51,25,29,6558
UCL213013,1297,32,35,13,4,1384,1177,10,13,0,7,1205,497,80,78,3,0,653,134,26,63,0,0,218,223,17,16,7,4,266,3,0,0,0,0,9,25,3,4,3,0,29,18,0,0,0,0,20,895,126,161,11,10,1200,11,0,0,0,3,11,109,16,15,4,0,145,3493,192,225,28,19,3942
UCL213014,1602,86,62,27,4,1780,1479,37,21,9,5,1555,748,175,158,0,3,1081,135,70,38,0,0,244,162,11,15,3,0,195,12,19,6,0,0,42,123,5,3,0,0,133,19,8,3,0,0,29,1213,286,218,11,3,1729,14,25,0,0,0,39,107,26,10,0,0,147,4411,466,312,43,10,5243
UCL213015,1174,52,52,9,3,1298,1086,23,18,0,15,1140,409,100,182,4,6,700,154,19,40,0,0,215,219,32,27,0,6,293,18,15,7,0,0,40,25,3,3,11,3,44,21,0,3,0,0,26,847,169,266,19,20,1319,19,0,0,0,0,17,109,12,21,0,10,148,3229,259,362,26,52,3924
UCL213016,1752,148,9,0,7,1921,2201,96,10,0,0,2302,737,230,23,0,0,988,0,3,0,0,0,3,245,40,5,0,0,290,5,0,0,0,0,5,6,3,0,3,0,14,23,3,0,0,0,29,1021,277,28,3,0,1329,55,13,0,0,0,63,103,14,0,0,0,120,5129,539,46,6,15,5740
UCL213017,2473,205,0,10,6,2695,2186,74,7,3,4,2273,761,366,31,0,0,1159,252,140,15,0,0,402,304,113,0,0,0,423,14,39,0,0,0,54,14,5,0,10,0,36,12,14,0,0,3,35,1357,676,49,10,4,2105,35,42,0,0,0,75,221,57,4,3,3,292,6278,1054,64,28,20,7442
UCL213018,1698,71,266,26,8,2075,1762,19,19,0,3,1799,570,116,93,0,0,785,108,58,21,0,0,191,207,33,26,0,0,263,4,3,6,0,0,19,11,0,6,0,0,21,7,4,9,0,0,23,911,216,156,4,8,1291,20,0,41,0,0,58,120,19,30,3,3,170,4506,325,510,37,16,5397
UCL214001,1028,25,16,9,4,1084,794,3,9,4,0,813,339,35,47,5,0,429,88,32,4,0,0,116,161,0,13,7,0,183,10,3,0,0,0,15,23,0,3,6,0,42,16,3,0,0,0,27,643,70,76,22,0,808,20,8,0,0,0,30,91,11,5,3,3,107,2569,118,108,38,13,2841
UCL214002,1438,9,71,12,4,1531,1001,3,22,3,9,1035,492,25,143,0,4,670,190,18,32,0,0,243,175,3,28,0,0,200,6,0,12,0,0,14,19,0,0,0,0,23,13,0,3,0,0,14,894,46,221,3,10,1174,21,0,42,3,0,71,110,5,25,4,0,142,3471,61,372,23,24,3948
UCL214003,1547,55,4,4,10,1624,1149,14,6,0,9,1178,391,65,6,0,3,470,72,53,0,0,0,122,200,25,9,0,3,238,17,8,0,0,0,20,10,5,0,0,0,15,16,0,0,0,0,15,705,153,17,4,5,888,23,0,0,0,0,25,104,18,3,0,3,124,3519,244,28,11,35,3832
UCL214004,783,20,11,12,3,826,507,3,3,0,0,512,245,59,36,0,0,335,86,6,40,0,0,127,108,17,5,0,0,133,0,0,5,0,0,11,12,0,0,0,0,19,6,0,11,0,0,15,461,82,92,0,3,636,12,5,5,0,0,22,84,6,8,0,3,104,1841,112,120,9,4,2088
UCL214005,137,0,9,0,3,152,149,0,4,0,0,155,20,0,15,0,0,40,0,0,9,0,0,9,16,0,3,0,0,25,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,43,0,28,0,0,73,0,0,0,0,0,0,7,0,4,0,0,12,342,0,46,0,3,392
UCL214006,867,95,0,0,0,971,1518,73,0,0,0,1591,263,108,0,0,3,379,17,11,0,0,0,27,82,33,0,0,0,113,5,12,4,0,0,17,3,0,0,0,0,3,5,3,0,0,0,9,371,175,3,0,3,555,10,3,0,0,0,9,65,11,0,0,0,77,2833,362,6,0,9,3202
UCL214007,1447,18,18,3,0,1493,1035,4,3,5,3,1057,374,45,42,0,3,470,116,12,29,0,0,152,225,14,3,0,3,247,11,24,0,0,0,35,19,3,0,9,0,25,19,0,0,0,0,23,760,104,69,10,6,955,21,0,0,0,0,21,106,11,3,0,0,121,3373,140,96,20,17,3648
UCL214008,1008,104,4,43,0,1159,1251,55,6,0,3,1315,266,66,3,0,0,337,56,33,4,0,0,95,129,12,0,0,0,149,10,16,0,0,0,21,11,0,0,6,0,16,12,0,0,0,0,11,481,125,11,6,0,627,18,7,0,0,0,25,71,8,0,3,0,86,2832,308,13,47,10,3212
UCL214009,924,48,13,0,0,984,441,8,3,0,0,457,272,64,6,0,3,344,5,32,3,0,0,37,79,4,3,0,0,88,4,5,0,0,0,7,8,3,0,0,0,11,12,3,0,0,0,20,381,109,15,0,3,508,10,0,0,0,5,16,47,5,0,0,0,52,1809,166,32,0,6,2020
UCL214010,603,86,20,14,0,729,943,21,0,0,3,968,310,55,12,0,0,381,24,12,0,0,0,40,85,14,0,0,0,98,0,0,0,0,0,3,7,3,0,13,0,19,8,0,0,0,0,7,437,83,13,12,4,550,3,17,5,0,0,36,38,11,0,0,4,51,2028,225,44,31,9,2342
UCL214011,839,29,65,3,3,934,629,4,11,0,0,646,212,9,109,0,0,335,44,0,33,0,0,82,126,5,25,0,0,160,12,0,11,0,0,24,8,0,4,14,0,24,8,0,3,0,0,11,419,15,189,14,3,639,7,0,11,0,0,21,61,0,18,0,0,79,1959,46,291,17,9,2321
UCL214012,987,24,21,37,10,1065,532,9,5,0,0,547,253,55,29,3,3,340,89,17,8,0,3,111,115,7,3,6,9,133,7,0,0,0,0,7,10,0,3,19,3,43,24,0,0,0,0,23,491,78,41,26,18,664,8,0,0,3,7,15,83,9,0,9,7,102,2106,114,66,78,33,2400
UCL214013,730,30,47,0,0,813,580,5,10,0,0,591,253,25,40,0,0,321,25,6,3,0,0,41,81,3,19,0,0,102,10,3,13,0,0,22,12,0,0,0,0,14,3,0,4,0,0,9,389,40,82,0,3,516,5,0,10,0,0,16,45,3,8,0,0,60,1751,84,151,5,4,1991
UCL214014,1203,69,3,25,4,1307,784,17,3,3,5,810,386,70,18,3,0,473,97,44,6,0,0,145,180,15,4,8,0,208,13,19,9,0,0,39,17,0,0,8,0,28,19,3,0,0,0,22,704,156,31,11,4,916,18,29,0,0,0,43,108,18,7,3,0,131,2821,292,45,48,13,3215
UCL214015,1382,47,37,0,4,1478,565,13,7,0,0,593,425,72,47,0,3,547,0,0,0,0,0,0,119,20,11,0,0,149,0,17,0,0,0,18,3,0,0,0,0,11,15,0,0,3,0,25,572,103,56,3,8,743,19,3,0,0,0,17,86,6,7,0,4,108,2628,178,110,7,17,2940
UCL214016,741,6,24,14,0,785,608,3,8,0,0,624,273,11,70,0,0,355,146,11,46,0,0,204,123,0,28,0,8,162,5,0,3,0,0,6,24,0,10,5,0,38,12,0,3,0,0,15,588,21,161,8,8,782,5,0,9,0,0,16,73,4,12,0,0,95,2024,34,215,23,8,2290
UCL214017,917,5,26,5,3,947,603,0,0,3,7,614,237,12,66,0,4,322,69,3,33,0,0,107,123,3,11,3,0,136,0,13,3,0,0,15,18,10,0,3,0,33,12,3,0,0,3,20,466,37,113,4,9,632,13,3,0,0,0,17,61,3,11,0,0,75,2053,49,147,9,16,2289
UCL214018,547,18,14,0,0,573,1520,38,7,0,5,1565,242,67,20,0,0,327,9,10,0,0,0,13,100,4,7,0,0,111,3,5,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,3,361,83,23,0,3,464,4,0,0,0,0,4,55,5,0,0,0,57,2491,138,40,0,5,2672
UCL214019,1245,15,4,67,0,1335,829,4,0,0,0,837,482,18,6,3,0,502,84,76,10,0,0,169,190,3,4,3,0,202,20,7,8,0,0,34,13,3,0,10,0,34,15,3,0,0,0,13,801,112,24,17,5,959,15,3,0,0,0,17,95,6,3,8,4,116,2986,142,30,91,11,3262
UCL214020,1110,32,62,3,42,1245,767,11,4,0,0,786,339,37,65,0,3,447,59,9,22,0,0,89,140,12,17,3,4,167,11,3,0,0,0,10,8,0,5,0,12,25,26,0,0,0,0,29,586,57,104,3,18,765,8,3,3,0,0,11,89,0,13,0,4,106,2557,100,191,4,61,2914
UCL215001,211,0,5,0,0,215,121,0,0,0,0,121,33,0,5,4,0,40,3,0,0,0,0,3,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,5,4,0,74,0,0,0,0,0,5,13,0,0,0,0,13,417,0,4,4,0,431
UCL215002,365,24,0,21,0,416,285,3,0,0,0,291,80,28,10,4,0,126,8,17,0,0,0,23,44,7,0,0,0,57,0,0,0,0,0,0,6,3,0,3,0,13,3,0,0,0,0,3,143,55,15,13,0,223,3,0,0,0,0,4,39,19,0,9,0,69,837,98,17,45,0,1000
UCL215003,463,7,11,5,0,482,251,3,4,0,0,257,100,8,4,0,0,112,9,0,8,0,0,18,52,9,0,0,3,66,0,0,8,0,0,9,5,0,0,0,0,5,4,0,0,0,0,4,172,10,20,0,3,203,3,0,5,0,0,7,21,0,0,0,0,25,908,27,37,11,3,984
UCL215004,183,8,4,6,3,208,102,3,5,3,0,112,70,16,15,3,0,104,6,0,0,0,0,9,38,5,4,0,0,46,10,5,0,0,0,13,7,4,0,0,0,11,3,0,0,0,0,3,135,31,18,4,0,190,4,0,0,3,0,6,10,0,0,0,0,10,433,50,27,16,3,526
UCL215005,287,3,15,0,0,304,354,0,9,0,0,363,75,0,16,0,0,89,8,14,0,0,0,21,31,0,0,0,0,34,0,0,0,0,0,0,5,0,0,0,0,5,4,0,3,0,0,3,122,17,25,3,0,163,0,0,0,0,0,0,24,0,6,7,0,32,781,17,49,11,0,863
UCL215006,394,4,0,0,0,396,303,3,0,0,0,312,63,0,0,0,0,65,3,0,0,0,0,3,35,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,112,0,0,0,0,115,3,0,0,0,0,3,23,0,0,0,0,18,833,7,0,0,0,842
UCL215007,394,0,0,0,0,393,922,0,0,0,0,919,136,0,3,0,0,137,0,0,0,0,0,0,53,0,0,0,0,53,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,193,0,3,0,0,198,3,0,0,0,0,3,32,0,0,0,0,34,1538,3,3,0,3,1552
UCL215008,126,0,0,0,0,128,308,3,0,0,0,313,48,0,0,0,0,48,6,0,0,0,0,6,14,0,0,0,0,14,4,0,0,0,0,7,25,0,0,0,0,25,3,0,0,0,0,3,93,3,0,0,0,97,3,0,0,0,0,3,12,0,0,0,0,12,547,10,0,0,0,556
UCL215009,182,0,0,6,0,188,97,0,0,0,0,95,16,0,0,0,0,18,0,0,3,0,0,3,35,0,3,0,0,40,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,54,0,5,3,0,68,0,0,0,0,0,4,16,0,0,0,0,16,350,0,8,7,0,373
UCL215010,222,0,0,0,3,227,353,0,0,0,3,352,17,0,0,0,0,23,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,29,0,0,0,0,0,0,19,0,0,0,0,17,626,0,0,0,9,632
UCL215011,254,0,0,6,0,256,99,0,0,0,0,100,29,0,3,0,0,37,0,0,0,0,0,0,40,0,5,0,0,49,0,0,0,0,0,0,4,0,0,0,0,6,3,0,0,0,0,8,78,0,16,0,0,100,4,0,0,0,0,4,18,0,4,0,0,21,458,0,16,6,3,482
UCL215012,471,14,11,3,0,507,319,8,4,0,3,328,116,10,18,0,0,152,25,3,17,0,0,41,70,5,6,3,3,82,3,0,0,0,0,5,8,0,0,0,3,8,6,0,5,0,0,7,225,25,47,4,4,295,14,0,3,0,0,13,23,0,3,0,4,24,1043,48,70,11,13,1176
UCL215013,60,0,0,0,0,60,385,0,0,0,0,388,54,0,0,0,0,54,0,0,0,0,0,0,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,77,0,0,0,0,0,0,10,0,0,0,0,10,532,0,0,0,0,529
UCL215014,119,0,0,0,0,119,256,0,0,0,0,253,23,0,0,0,0,23,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,39,0,0,0,0,0,0,11,0,0,0,0,11,428,0,0,0,0,423
UCL215015,378,15,12,0,0,405,208,3,12,0,3,224,93,11,22,0,0,136,15,9,0,0,0,25,47,10,9,0,0,71,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,3,171,31,35,3,4,243,5,0,3,0,0,5,26,3,3,0,0,31,782,53,63,3,4,912
UCL215016,386,3,14,0,0,400,628,0,9,0,0,635,165,13,15,0,0,200,7,19,7,0,0,33,65,0,0,0,0,70,3,0,10,0,0,7,4,0,0,0,0,5,5,0,0,0,0,5,253,34,32,0,0,324,8,0,0,0,0,8,19,0,7,0,0,26,1298,36,62,0,5,1400
UCL215017,179,30,18,0,0,221,293,10,0,0,0,301,30,13,0,0,0,45,0,0,4,0,0,8,25,13,0,0,0,35,0,0,0,0,0,0,3,0,0,0,0,6,0,0,0,0,0,3,57,26,8,0,0,90,3,0,6,0,0,9,13,0,4,0,0,20,548,60,29,0,0,643
UCL215018,523,18,3,0,0,539,329,0,4,0,0,333,106,20,9,0,0,143,30,14,6,0,0,59,59,13,0,0,0,75,3,0,0,0,0,7,0,0,3,0,0,4,4,0,0,0,0,3,207,56,23,0,0,282,3,0,0,0,0,6,39,4,0,0,0,45,1100,79,26,3,0,1207
UCL215019,215,4,0,0,0,221,262,0,0,0,0,265,90,0,3,0,0,95,0,0,0,0,0,0,42,0,3,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,7,0,0,146,4,0,0,0,0,4,11,0,0,0,0,11,630,8,7,0,4,646
UCL215020,313,0,0,3,0,314,131,0,0,0,0,132,24,0,7,0,0,32,4,0,0,0,0,5,55,0,0,0,0,61,0,5,0,0,0,3,10,0,0,0,0,10,9,0,0,0,0,5,103,4,7,0,0,112,4,0,0,0,0,3,29,3,0,0,0,31,573,8,9,5,0,593
UCL215021,171,0,5,13,3,194,184,0,0,0,8,194,32,0,3,0,0,36,0,0,4,0,0,4,20,0,3,0,0,29,0,0,0,0,0,0,3,0,0,4,0,6,0,0,0,0,0,0,52,0,17,4,0,72,3,0,0,0,0,3,12,0,0,0,0,16,431,4,22,21,9,485
UCL215022,559,7,3,0,0,565,506,0,0,0,0,507,294,3,5,0,0,306,92,0,27,0,0,116,78,0,4,0,0,85,15,0,0,0,0,11,3,0,0,0,0,5,3,0,0,0,0,4,482,3,36,0,5,530,0,0,0,0,0,0,42,0,0,0,17,63,1590,9,45,0,25,1666
UCL215023,275,3,4,0,0,280,164,0,0,0,0,167,42,0,10,3,0,59,8,13,0,0,0,20,37,0,5,0,0,38,0,0,0,0,0,0,7,3,0,0,0,7,10,0,0,0,0,5,101,18,14,3,0,134,0,0,0,0,0,3,20,0,0,0,4,23,554,26,21,7,8,609
