UCL_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
UCL201001,262130,507545,243094,201608,273979,192635,107672,157451,34140,1980273
UCL203001,7180,15071,10048,9099,8422,7532,4230,7482,1065,70130
UCL211001,1614,2610,2542,2072,2014,1706,1252,1892,266,15964
UCL211002,4237,8915,5820,5241,5076,4457,2103,4279,618,40738
UCL211003,4138,8406,5751,5101,5036,4363,2304,4891,600,40593
UCL211004,1826,2329,3511,2809,3324,2358,2906,2534,457,22062
UCL212001,1508,2405,1751,1696,1546,1630,831,1794,238,13397
UCL212002,2196,3441,2576,2145,2242,2106,1264,2597,306,18868
UCL212003,1839,2730,2814,2105,2795,1871,1260,1380,242,17038
UCL212004,1112,2060,1919,1286,1623,1103,753,1146,203,11209
UCL212005,1416,2692,1965,1671,1585,1748,798,2040,192,14105
UCL213001,818,1250,1279,939,1112,740,793,734,131,7794
UCL213002,508,746,725,637,538,586,298,717,90,4853
UCL213003,512,602,726,678,510,539,403,1065,103,5127
UCL213004,515,730,849,542,524,440,419,679,87,4789
UCL213005,496,866,953,761,674,540,340,546,89,5268
UCL213006,627,890,842,789,552,676,343,759,80,5560
UCL213007,885,1303,1011,855,846,855,403,768,91,7014
UCL213008,616,1072,1043,876,835,714,583,720,128,6581
UCL213009,556,874,941,829,784,625,351,610,66,5630
UCL213010,346,629,1037,763,666,634,393,760,116,5344
UCL213011,333,496,703,554,573,537,403,651,86,4331
UCL213012,1087,2289,1322,1036,973,762,237,579,129,8407
UCL213013,375,597,636,484,407,347,534,579,67,4023
UCL213014,642,1154,902,712,606,590,264,684,93,5646
UCL213015,614,763,635,507,537,522,238,587,74,4483
UCL213016,1216,2278,1129,944,936,776,189,514,141,8121
UCL213017,795,1440,1078,1016,939,911,541,954,108,7789
UCL213018,695,1230,962,723,751,561,329,768,94,6111
UCL214001,268,378,368,552,239,274,189,575,58,2903
UCL214002,376,544,570,457,386,350,274,473,58,3476
UCL214003,449,984,468,443,363,315,155,513,56,3737
UCL214004,225,222,277,182,203,204,153,454,36,1954
UCL214005,56,47,76,45,47,42,40,94,4,438
UCL214006,667,1075,707,547,698,430,208,292,41,4674
